{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.02981856, 'Yes': -4.5975065, ' yes': -4.870898, '\n': -5.091349, ' ': -5.3726487}
{' Yes': -0.031009847, 'Yes': -4.3516674, ' yes': -4.8329377, '\n': -5.3528137, ' ': -5.8190317}
{' No': -0.015723493, 'No': -4.173829, ' ': -8.970105, '\n': -10.663486, ' Generally': -11.379421}
{' No': -0.011390968, 'No': -4.5085545, ' ': -8.66268, '\n': -9.333675, ' Ant': -11.433394}
{' No': -0.06288136, 'No': -2.8067472, ' ': -7.854938, '\n': -10.095574, ' no': -10.702972}
{' No': -0.042036414, 'No': -3.2057498, ' ': -7.558565, '\n': -9.652173, ' no': -11.42187}
{' No': -0.06713312, 'No': -2.7695887, ' ': -6.7801585, '\n': -6.987047, ' An': -10.4313755}
{' No': -0.063400514, 'No': -2.8413181, ' ': -6.3195415, '\n': -6.7930336, '\xa0': -10.439536}
{' No': -0.021295536, 'No': -3.8711584, ' ': -9.062897, ' An': -9.686145, ' Absolutely': -11.4825535}
{' No': -0.023994645, 'No': -3.7515354, ' ': -8.760944, ' Ant': -10.476352, '\n': -11.211246}
{' No': -0.14691752, 'No': -2.0262969, ' ': -6.074049, '\n': -6.42871, ' An': -8.107727}
{' No': -0.13123634, 'No': -2.16002, ' ': -5.5059195, '\n': -5.9882903, ' Ant': -7.923147}
{' No': -0.06605834, 'No': -2.77641, ' ': -7.4658313, ' An': -8.315206, ' Absolutely': -8.679809}
{' No': -0.08224569, 'No': -2.5644615, ' ': -6.879312, ' Ant': -7.7338357, '\n': -9.047285}
{' No': -0.009276328, 'No': -4.9452868, ' ': -6.668557, '\n': -7.286046, ' no': -9.5330515}
{' No': -0.0070397547, 'No': -5.270057, ' ': -6.941228, '\n': -7.131017, ' no': -9.856972}
{' No': -0.05355872, 'No': -3.06761, '\n': -5.860567, ' ': -6.037909, ' An': -9.136442}
{' No': -0.030520827, 'No': -3.5990593, ' ': -6.4406924, '\n': -6.98998, ' no': -9.617358}
{' No': -0.114595145, 'No': -2.7194784, '\n': -3.3635418, ' ': -4.997375, ' An': -8.228257}
{' No': -0.155456, '\n': -2.6688476, 'No': -2.7183697, ' ': -4.8523974, ' Ant': -8.2549515}
{' No': -0.011444626, 'No': -4.60689, ' ': -6.743054, '\n': -8.999743, ' no': -9.937774}
{' No': -0.0072445804, 'No': -5.0042477, ' ': -7.766926, '\n': -9.969637, ' no': -10.6772}
{' No': -0.23633848, 'No': -1.6945674, '\n': -4.1884246, ' ': -4.6563334, ' An': -7.414862}
{' No': -0.18738326, 'No': -1.9213786, '\n': -4.288497, ' ': -4.7007766, ' no': -7.459921}
{' No': -0.040398926, 'No': -3.4317846, ' ': -5.5526533, ' no': -6.711932, '\n': -6.811919}
{' No': -0.05616934, 'No': -3.0630605, ' ': -5.6462026, ' no': -6.331227, '\n': -6.5692306}
{' No': -0.111532256, 'No': -2.3055744, ' no': -5.943845, ' ': -6.328682, '\n': -7.830204}
{' No': -0.12743887, 'No': -2.2042763, ' no': -5.4525857, ' ': -6.1240845, '\n': -6.5935197}
{' No': -0.09359023, 'No': -2.4221215, ' ': -7.909413, ' no': -8.87888, 'no': -10.37146}
{' No': -0.12562226, 'No': -2.1423821, ' ': -7.709303, ' no': -9.594743, '\n': -9.771225}
{' No': -0.17419727, 'No': -1.844924, ' ': -6.703719, '\n': -8.152187, '\xa0': -9.553294}
{' No': -0.15906793, 'No': -1.9315519, ' ': -6.696784, '\n': -7.82869, ' no': -9.210381}
{' No': -0.037083253, 'No': -3.3295388, ' ': -7.9543886, ' no': -9.042419, 'no': -10.1368265}
{' No': -0.030755164, 'No': -3.5158758, ' ': -7.894055, ' no': -9.264757, 'no': -10.705517}
{' No': -0.49468973, 'No': -0.9488141, ' ': -6.6445646, '\n': -7.549529, ' An': -8.247485}
{' No': -0.47515213, 'No': -0.98536783, ' ': -6.4159203, ' Ant': -6.5184603, '\n': -6.9917955}
{' No': -0.11072827, 'No': -2.2684736, ' ': -7.5229034, ' no': -8.005201, '\n': -8.688954}
{' No': -0.10416655, 'No': -2.3304906, ' Ant': -7.3852663, ' ': -7.604803, ' no': -8.659682}
{' No': -0.032110948, 'No': -4.157622, ' no': -4.843206, ' ': -5.0659347, '\n': -6.6814513}
{' No': -0.025267277, 'No': -4.451714, ' no': -5.025457, ' ': -5.339997, '\n': -6.4948525}
{' No': -0.0996635, 'No': -2.4656703, ' ': -5.469088, '\n': -5.6827226, ' no': -6.3656178}
{' No': -0.0798062, 'No': -2.7332008, '\n': -5.0812593, ' ': -5.55159, ' no': -6.647696}
{' No': -0.19641444, 'No': -1.986955, '\n': -3.481168, ' ': -4.9486766, ' no': -6.1876326}
{' No': -0.23210068, 'No': -2.014369, '\n': -2.7593012, ' ': -4.946331, ' no': -6.149833}
{' No': -0.033449296, 'No': -3.5328863, ' ': -6.0985866, ' no': -7.3031898, '\n': -7.455511}
{' No': -0.031771377, 'No': -3.5552392, ' ': -6.6164503, '\n': -7.3447895, ' no': -7.440788}
{' No': -0.32935166, 'No': -1.4141828, '\n': -3.846989, ' ': -4.86302, ' no': -5.2082033}
{' No': -0.28950757, 'No': -1.6161257, '\n': -3.4353855, ' ': -4.6627393, ' no': -4.8365884}
{' No': -0.08399411, ' no': -3.3751163, 'No': -3.4876864, '\n': -4.9123964, ' ': -5.061701}
{' No': -0.12608932, ' no': -2.9562244, 'No': -3.070757, '\n': -4.6241055, ' ': -5.1713877}
{' No': -0.018768668, 'No': -4.475731, '\n': -5.3508453, ' ': -6.19807, ' no': -8.501252}
{' No': -0.021214195, 'No': -4.535313, '\n': -4.8435254, ' ': -6.2100506, ' no': -8.817876}
{' No': -0.073614866, 'No': -3.129279, '\n': -3.84833, ' ': -5.2235227, ' An': -8.763756}
{' No': -0.07357323, '\n': -3.395753, 'No': -3.4423873, ' ': -5.271102, ' Ant': -9.5402975}
{' No': -0.054220602, 'No': -3.3394113, '\n': -4.4206624, ' ': -5.438742, ' An': -7.771458}
{' No': -0.053775188, 'No': -3.5143118, '\n': -4.0403757, ' ': -5.437036, ' Ant': -8.349769}
{' No': -0.01725123, 'No': -4.531461, ' ': -5.576513, '\n': -6.112975, ' An': -8.836995}
{' No': -0.022558589, 'No': -4.2762914, '\n': -5.348986, ' ': -5.668667, ' no': -9.620159}
{' No': -0.04983607, 'No': -3.3391387, '\n': -4.866978, ' ': -5.328612, ' An': -8.406045}
{' No': -0.039058995, 'No': -3.5400374, ' ': -5.3269978, '\n': -5.5657687, ' Ant': -8.458195}
{' No': -0.046613544, 'No': -3.5391731, ' ': -4.981733, '\n': -4.9908423, ' no': -6.7954264}
{' No': -0.043299455, 'No': -3.5846808, '\n': -4.869616, ' ': -5.3645415, ' no': -6.806145}
{' Yes': -0.00758115, 'Yes': -5.548639, ' No': -6.071645, ' Generally': -7.651843, ' A': -7.88828}
{' Yes': -0.025077244, ' No': -4.5659156, ' Generally': -4.9917536, 'Yes': -5.377374, ' Wh': -7.2504573}
{' Yes': -0.46340472, ' No': -1.0687057, 'No': -4.162078, 'Yes': -4.9181643, ' A': -6.4905767}
{' Yes': -0.4974766, ' No': -1.0273019, 'No': -4.0554676, 'Yes': -4.786022, ' Generally': -5.4046097}
{' No': -0.10117079, 'No': -2.913949, ' Yes': -3.3262017, ' ': -5.9656153, '\n': -6.701266}
{' No': -0.500733, ' Yes': -1.1072947, 'No': -3.129826, 'Yes': -4.6254907, ' ': -5.4079785}
{' Yes': -0.08972842, ' No': -2.6017406, ' A': -5.406932, 'Yes': -5.4949613, 'No': -6.760297}
{' Yes': -0.2978946, ' No': -1.5360861, ' Wh': -4.1790743, ' Generally': -4.745084, 'No': -4.8978662}
{' No': -0.111275665, 'No': -2.3986597, ' Yes': -5.197053, ' ': -5.7580347, '\n': -5.759724}
{' No': -0.17810331, 'No': -2.4558284, ' Yes': -2.8202884, ' ': -5.0738397, '\n': -5.569651}
{' No': -0.23447226, ' Yes': -1.8554611, 'No': -3.2325244, ' A': -5.6383348, ' Generally': -5.6939783}
{' Yes': -0.50328624, ' No': -1.0577449, 'No': -3.732378, 'Yes': -4.324041, ' ': -5.8326254}
{' Yes': -0.023689374, ' No': -4.034624, 'Yes': -6.047828, ' ': -6.465236, ' A': -7.2892485}
{' Yes': -0.034802288, ' No': -3.5707614, 'Yes': -5.798476, ' ': -6.7386866, '\n': -7.2232766}
{' No': -0.07893804, 'No': -3.2917943, ' Yes': -3.5862448, ' ': -5.554276, ' A': -5.622402}
{' Yes': -0.7111515, ' No': -0.7590069, 'No': -3.9971526, 'Yes': -4.777348, ' ': -4.987345}
{' No': -0.15944347, 'No': -2.655867, '\n': -3.0555272, ' ': -4.16309, ' A': -5.02018}
{' No': -0.14900477, '\n': -2.7669857, 'No': -2.8813596, ' ': -4.291442, ' Yes': -5.3957124}
{' No': -0.06688194, ' Yes': -2.9825158, 'No': -4.5184884, ' ': -6.130242, ' A': -7.692433}
{' No': -0.70121205, ' Yes': -0.7118359, 'No': -4.9154606, 'Yes': -5.710956, ' ': -6.4176235}
{' No': -0.30734995, 'No': -1.5743996, '\n': -3.759157, ' ': -3.9666374, ' Yes': -4.8289413}
{' No': -0.2907511, 'No': -1.695298, ' Yes': -3.4789207, '\n': -4.119866, ' ': -4.191693}
{' Yes': -0.52108246, ' No': -1.0476843, ' A': -4.0808854, ' ': -4.3641324, 'No': -4.5162177}
{' Yes': -0.100979544, ' No': -2.8421695, 'Yes': -4.0846715, ' yes': -4.734994, ' ': -5.1164165}
{' No': -0.28929892, ' Yes': -2.003643, 'No': -2.4303093, ' A': -4.5358887, 'Yes': -5.0849266}
{' Yes': -0.17207663, ' No': -2.6523411, 'Yes': -3.2280607, ' yes': -3.756812, 'No': -4.648543}
{' No': -0.06287622, 'No': -2.830464, ' Yes': -6.5288167, ' ': -8.013208, 'Yes': -10.018469}
{' No': -0.24017139, 'No': -2.003006, ' Yes': -2.647009, 'Yes': -5.3326316, ' Generally': -6.538184}
{' No': -0.15171506, 'No': -2.292567, ' Yes': -3.321734, 'Yes': -6.3536873, ' ': -6.6156178}
{' No': -0.17335434, 'No': -2.1651604, ' Yes': -3.2229662, 'Yes': -5.9379416, ' ': -6.860737}
{' No': -0.050477706, ' Yes': -3.5513282, 'No': -3.9378083, ' ': -7.7362666, 'Yes': -7.9811926}
{' Yes': -0.17338248, ' No': -2.0017781, 'Yes': -4.231665, 'No': -5.016804, ' Generally': -6.7120514}
{' No': -0.56130415, 'No': -0.8619157, ' Yes': -6.5362816, ' Generally': -6.5962057, ' ': -6.768895}
{' No': -0.5460456, 'No': -0.9434034, ' Yes': -4.4393425, ' Generally': -5.52583, ' Wh': -5.5748296}
{' No': -0.070292525, 'No': -2.7238607, ' Yes': -7.257191, ' ': -7.322512, ' Generally': -7.879227}
{' No': -0.25523156, ' Yes': -2.0404203, 'No': -2.5331953, 'Yes': -5.140367, ' Generally': -5.782412}
{' Yes': -0.09031461, ' yes': -2.8925567, ' No': -4.439531, 'Yes': -4.8776755, ' ': -4.9189487}
{' Yes': -0.05409017, ' yes': -3.3891215, 'Yes': -4.4275317, ' ': -5.9506383, ' No': -5.9719977}
{' No': -0.6665166, ' Yes': -0.9414132, 'No': -3.1017067, ' ': -4.2797503, ' A': -4.3408084}
{' Yes': -0.15430251, ' No': -2.5151021, 'Yes': -3.5158784, 'No': -4.803211, ' ': -4.8505797}
{' No': -0.56584597, ' Yes': -2.097983, '\n': -2.1045728, 'No': -2.2164426, ' ': -3.3063147}
{' No': -1.0093975, ' Yes': -1.2237835, '\n': -1.571577, 'No': -2.7403848, 'Yes': -3.3720207}
{' Yes': -0.30052543, ' No': -1.4659879, 'Yes': -4.6018615, 'No': -4.8721976, ' ': -5.3181915}
{' Yes': -0.15520808, ' No': -2.1758492, 'Yes': -4.165729, ' yes': -5.2911563, 'No': -5.3149047}
{' No': -0.4358636, 'No': -1.3155977, '\n': -2.7488346, ' ': -4.372633, ' Yes': -5.548502}
{' No': -0.7791882, ' Yes': -1.3892193, 'No': -1.8263321, '\n': -2.9727895, 'Yes': -2.9871767}
{' No': -0.10970707, ' Yes': -3.4100096, 'No': -3.4620686, ' no': -4.3489475, ' ': -4.5893564}
{' Yes': -0.2804672, ' yes': -2.3167677, ' No': -2.418033, 'Yes': -3.8860188, '\n': -4.1744814}
{' Yes': -0.056048613, ' No': -3.1303608, 'Yes': -5.6367636, ' ': -5.9226236, '\n': -6.123656}
{' Yes': -0.55821043, ' No': -0.91321564, '\n': -4.567442, ' ': -5.183979, 'No': -5.2945976}
{' No': -0.086412705, 'No': -3.2452967, ' Yes': -3.8208525, '\n': -4.3271065, ' ': -5.0317135}
{' No': -0.075808875, 'No': -3.13437, '\n': -3.9580984, ' ': -5.312232, ' Yes': -5.3881197}
{' No': -0.26641273, ' Yes': -1.846773, 'No': -3.4671535, '\n': -3.9549043, ' A': -4.5314903}
{' No': -0.077050865, 'No': -3.363254, '\n': -3.9567351, ' Yes': -4.4216304, ' ': -4.9391418}
{' No': -0.40141332, ' Yes': -1.2101959, ' ': -4.2026234, 'No': -4.7928624, '\n': -5.0238976}
{' No': -0.36166853, ' Yes': -1.3456696, 'No': -4.18102, '\n': -4.201903, ' ': -4.6140676}
{' No': -0.07238044, 'No': -2.9151366, '\n': -4.8166122, ' ': -5.3230405, ' Yes': -6.1836452}
{' No': -0.063516356, 'No': -3.1072881, ' Yes': -5.0858626, ' ': -5.1946197, '\n': -5.3902693}
{' Yes': -0.15376428, ' No': -2.28095, ' ': -4.331968, 'Yes': -4.841518, '\n': -4.900326}
{' Yes': -0.20953098, ' No': -1.8555709, 'Yes': -4.5897837, ' ': -4.9496546, ' yes': -5.2082167}
{' Yes': -0.003712174, 'Yes': -5.706518, ' A': -9.0400505, ' yes': -9.065544, ' Absolutely': -9.387341}
{' Yes': -0.0039419937, 'Yes': -5.717395, ' Absolutely': -8.400146, ' yes': -8.47857, ' Generally': -9.50913}
{' Yes': -0.013399175, 'Yes': -4.3842697, ' yes': -7.968959, ' A': -8.299877, ' ': -8.798761}
{' Yes': -0.011810235, 'Yes': -4.501903, ' yes': -8.221083, ' ': -8.428446, ' Generally': -9.886326}
{' Yes': -0.015983298, 'Yes': -4.2336917, ' ': -7.516605, ' yes': -8.157143, ' A': -8.164515}
{' Yes': -0.02514894, 'Yes': -3.8141596, ' ': -6.8468666, ' yes': -7.6253853, '\n': -7.7015047}
{' Yes': -0.0047087274, 'Yes': -5.527929, ' A': -7.703943, ' yes': -8.672759, ' ': -10.141294}
{' Yes': -0.0051780455, 'Yes': -5.4271026, ' yes': -8.059751, ' Wh': -8.323315, ' ': -9.530204}
{' Yes': -0.024741763, 'Yes': -3.8767447, ' ': -6.536807, '\n': -7.2014284, ' A': -7.46158}
{' Yes': -0.033423103, 'Yes': -3.5592353, ' ': -6.2925477, '\n': -7.3197937, ' No': -7.5327387}
{' Yes': -0.013390479, 'Yes': -4.4397283, ' yes': -7.5247593, ' A': -7.7675233, ' ': -8.214119}
{' Yes': -0.023337523, 'Yes': -3.874694, ' yes': -6.753489, ' ': -7.582138, ' Wh': -8.419099}
{' Yes': -0.004177195, 'Yes': -5.8734894, ' ': -7.6160316, ' yes': -7.757335, ' A': -8.316954}
{' Yes': -0.0048296438, 'Yes': -5.7264576, ' yes': -7.50931, ' ': -7.5984974, '\n': -8.192587}
{' Yes': -0.035175864, 'Yes': -4.1199746, ' A': -4.6761613, ' ': -5.729689, ' No': -6.086031}
{' Yes': -0.021443626, 'Yes': -4.226247, ' ': -6.2226, ' No': -6.462434, ' Wh': -6.4949656}
{' Yes': -0.12155277, '\n': -3.063451, 'Yes': -3.2015986, ' ': -4.148286, ' A': -4.7989306}
{' Yes': -0.1411337, '\n': -2.7315972, 'Yes': -3.1871312, ' ': -4.134271, ' No': -5.2339487}
{' Yes': -0.0069108265, 'Yes': -5.3344445, ' ': -7.036379, ' A': -7.6004696, ' yes': -7.919424}
{' Yes': -0.007150507, 'Yes': -5.275167, ' No': -6.8050876, ' ': -7.656303, ' yes': -8.098782}
{' Yes': -0.18500356, 'Yes': -2.091225, '\n': -4.174534, ' ': -4.2385845, ' A': -4.878208}
{' Yes': -0.15907952, 'Yes': -2.103404, ' ': -4.7713156, '\n': -4.8951464, ' yes': -5.503041}
{' Yes': -0.026882093, 'Yes': -4.3188643, ' yes': -5.2005653, ' A': -5.4804726, ' ': -6.039121}
{' Yes': -0.031296264, 'Yes': -3.9455206, ' yes': -4.970343, ' ': -5.95582, '\n': -7.4655523}
{' Yes': -0.07641064, 'Yes': -3.1123583, ' yes': -4.279753, ' A': -4.468672, ' ': -6.7187867}
{' Yes': -0.10032427, 'Yes': -2.893787, ' yes': -3.875978, ' Wh': -4.480166, ' No': -5.8711996}
{' Yes': -0.02425274, 'Yes': -3.8089433, ' yes': -6.984284, ' ': -7.798971, ' No': -8.16091}
{' Yes': -0.045289766, 'Yes': -3.1566253, ' yes': -7.19176, ' No': -7.98686, ' ': -8.264211}
{' Yes': -0.04375841, 'Yes': -3.1989934, ' ': -7.055691, ' yes': -7.185064, 'yes': -9.501339}
{' Yes': -0.056231447, 'Yes': -2.9528036, ' yes': -7.0166726, ' ': -7.344298, ' No': -7.798381}
{' Yes': -0.011588972, 'Yes': -4.6053715, ' yes': -7.1510043, ' No': -8.197617, ' ': -8.402162}
{' Yes': -0.016869565, 'Yes': -4.1518984, ' yes': -7.4506187, ' ': -8.830317, ' No': -9.025812}
{' Yes': -0.29466742, 'Yes': -1.8073207, ' No': -3.1500216, 'No': -3.3912249, ' ': -5.586293}
{' Yes': -0.2349656, 'Yes': -1.6814378, ' Wh': -4.7468367, ' No': -5.842232, ' Generally': -5.9826365}
{' Yes': -0.038599897, 'Yes': -3.39445, ' yes': -5.8620977, ' ': -7.211587, ' A': -8.229889}
{' Yes': -0.042300895, 'Yes': -3.308519, ' yes': -5.694749, ' ': -7.5042853, ' Wh': -8.202423}
{' Yes': -0.05233265, ' yes': -3.3823035, 'Yes': -4.341561, ' ': -6.301798, '\n': -7.2116165}
{' Yes': -0.03551382, ' yes': -3.984778, 'Yes': -4.360366, ' ': -6.2555237, 'yes': -7.4924283}
{' Yes': -0.061754324, 'Yes': -3.070461, ' yes': -5.0604, ' ': -5.809192, '\n': -6.0550423}
{' Yes': -0.0638376, 'Yes': -3.0432131, ' yes': -5.1309476, '\n': -5.542645, ' ': -5.6612396}
{' Yes': -0.20809527, 'Yes': -2.214992, '\n': -2.9038653, ' ': -4.4384055, ' yes': -4.980535}
{' Yes': -0.22008254, 'Yes': -2.2332852, '\n': -2.75723, ' ': -4.453662, ' yes': -4.6454973}
{' Yes': -0.020466411, 'Yes': -4.0943418, ' yes': -6.2536473, ' ': -6.9100485, '\n': -8.203782}
{' Yes': -0.024455382, 'Yes': -3.9184926, ' yes': -6.1345377, ' No': -6.975507, ' ': -7.357009}
{' Yes': -0.3145374, 'Yes': -1.6244434, '\n': -3.1917577, ' yes': -4.42244, ' ': -4.523954}
{' Yes': -0.29788327, 'Yes': -1.6632702, '\n': -3.3238094, ' yes': -4.3267717, ' ': -4.579217}
{' Yes': -0.09306963, ' yes': -2.9366612, 'Yes': -3.6677082, '\n': -5.4700007, ' ': -5.8846474}
{' Yes': -0.12205981, ' yes': -2.6521235, 'Yes': -3.3922927, '\n': -5.5517898, 'yes': -5.687798}
{' Yes': -0.010183474, 'Yes': -5.1555595, '\n': -6.386678, ' ': -6.8273387, ' yes': -7.011455}
{' Yes': -0.016243577, 'Yes': -5.028914, '\n': -5.3435197, ' ': -6.288475, ' No': -6.290237}
{' Yes': -0.039639723, 'Yes': -4.1246424, '\n': -4.311078, ' ': -5.14503, ' A': -6.199428}
{' Yes': -0.048470825, 'Yes': -3.9425635, '\n': -4.0765796, ' ': -5.197311, ' No': -5.542356}
{' Yes': -0.05013183, 'Yes': -3.806119, '\n': -4.4492235, ' A': -4.9979734, ' ': -5.035062}
{' Yes': -0.05132208, 'Yes': -3.770476, '\n': -4.407199, ' ': -4.9403806, ' No': -5.3155966}
{' Yes': -0.027308028, ' ': -4.9289365, ' No': -4.962776, 'Yes': -5.3047523, '\n': -5.4428678}
{' Yes': -0.046194166, ' No': -4.1699696, '\n': -4.4062805, 'Yes': -4.7233233, ' ': -4.9179688}
{' Yes': -0.052194297, 'Yes': -3.495317, '\n': -4.777677, ' ': -5.1307425, ' A': -5.885284}
{' Yes': -0.058616165, 'Yes': -3.468658, ' No': -4.5920215, ' ': -4.9653525, '\n': -5.04001}
{' Yes': -0.025869094, 'Yes': -4.403997, ' yes': -5.328403, ' ': -5.6308246, '\n': -5.9239345}
{' Yes': -0.029034197, 'Yes': -4.0945306, ' yes': -5.090054, ' ': -5.865755, '\n': -6.105443}
{' Yes': -0.0051287967, ' Generally': -5.9479995, 'Yes': -6.08172, ' yes': -9.282811, ' Typically': -10.442296}
{' Yes': -0.015272322, ' Generally': -4.594166, 'Yes': -5.6084023, ' On': -7.698061, ' yes': -8.653368}
{' Yes': -0.015707992, 'Yes': -4.624749, ' Generally': -5.37295, ' yes': -8.26942, ' A': -8.321862}
{' Yes': -0.014957178, 'Yes': -4.4092326, ' Generally': -6.247873, ' No': -8.65215, ' yes': -8.73792}
{' Yes': -0.020271141, 'Yes': -4.0749717, ' Generally': -7.0879664, '\n': -7.4426284, ' ': -7.4987617}
{' Yes': -0.025496967, 'Yes': -3.849525, ' Generally': -7.0338755, '\n': -7.287643, ' ': -7.458293}
{' Yes': -0.009575185, ' Generally': -5.072108, 'Yes': -6.0117054, ' A': -8.115751, ' yes': -8.822725}
{' Yes': -0.01942159, ' Generally': -4.745713, 'Yes': -5.0910444, ' No': -6.0182366, ' On': -7.4347734}
{' Yes': -0.45539853, ' No': -1.3709526, 'No': -3.2319584, ' Generally': -3.8072681, 'Yes': -3.9586236}
{' Yes': -0.04098447, 'Yes': -3.5672808, ' Generally': -5.670268, ' No': -6.0956907, '\n': -6.3653135}
{' Yes': -0.018580716, ' Generally': -4.862693, 'Yes': -4.8849306, ' A': -7.1259513, ' yes': -7.248969}
{' Yes': -0.01985354, 'Yes': -4.148794, ' Generally': -6.285374, ' yes': -7.136099, ' ': -7.656706}
{' Yes': -0.0019312226, 'Yes': -6.6106343, ' yes': -8.321535, ' ': -8.668735, '\n': -9.243096}
{' Yes': -0.0034435862, 'Yes': -6.1182256, ' yes': -7.969184, '\n': -7.999275, ' ': -8.358484}
{' Yes': -0.028410358, 'Yes': -4.341368, ' No': -5.0113187, ' Generally': -6.140465, '\n': -6.2745285}
{' Yes': -0.013697762, 'Yes': -4.581729, ' Generally': -6.970946, ' No': -7.450722, ' ': -7.4972405}
{' Yes': -0.08387574, '\n': -3.3720512, 'Yes': -3.622982, ' ': -4.760065, ' A': -5.213682}
{' Yes': -0.2251566, '\n': -2.019735, 'Yes': -3.6601713, ' ': -3.9577825, ' No': -4.4413376}
{' Yes': -0.0031444, 'Yes': -6.008635, ' ': -8.182553, ' yes': -8.338457, '\n': -9.653831}
{' Yes': -0.027726483, ' No': -3.7655005, 'Yes': -5.777526, ' ': -8.118516, 'No': -8.242951}
{' Yes': -0.2080936, 'Yes': -2.6096344, ' No': -2.857912, '\n': -4.0637846, ' ': -4.13948}
{' Yes': -0.14103857, 'Yes': -2.652643, ' No': -3.6842532, '\n': -4.374948, ' ': -4.742377}
{' Yes': -0.014311642, 'Yes': -4.9219804, ' yes': -5.331467, ' ': -6.879269, ' A': -7.9106054}
{' Yes': -0.018804321, 'Yes': -4.4409976, ' yes': -5.2956614, ' ': -6.8963127, '\n': -8.070038}
{' Yes': -0.044382744, 'Yes': -3.5762544, ' yes': -4.707619, ' A': -6.102393, ' Generally': -6.1286516}
{' Yes': -0.06569794, 'Yes': -3.137296, ' yes': -4.280692, ' Generally': -6.382271, '\n': -6.6620655}
{' Yes': -0.026261553, 'Yes': -3.8361254, ' No': -6.3153276, ' yes': -6.617308, ' Generally': -7.728875}
{' Yes': -0.044685427, 'Yes': -3.2332988, ' Generally': -6.196001, ' No': -6.9814477, ' yes': -7.559193}
{' Yes': -0.031554595, 'Yes': -3.585996, ' yes': -6.977193, ' Generally': -7.1613116, ' ': -7.314227}
{' Yes': -0.03842837, 'Yes': -3.3344812, ' yes': -7.1806893, ' Generally': -7.9261527, ' No': -8.107261}
{' Yes': -0.008327934, 'Yes': -4.973204, ' yes': -7.4862804, ' Generally': -8.300922, ' No': -8.409724}
{' Yes': -0.014755303, 'Yes': -4.32683, ' Generally': -7.4719944, ' yes': -7.6580634, ' ': -8.936081}
{' No': -0.9154453, 'No': -1.014448, ' Yes': -1.8097421, 'Yes': -3.6630993, ' Generally': -4.132189}
{' Yes': -0.19899881, 'Yes': -2.150642, ' Generally': -3.8209984, ' Rats': -4.275968, 'No': -4.6656184}
{' Yes': -0.04733214, 'Yes': -3.4780073, ' yes': -4.4538493, ' ': -6.888825, 'yes': -7.5158324}
{' Yes': -0.037979838, 'Yes': -3.4571693, ' yes': -5.918664, ' Generally': -6.3067, ' Rats': -7.8356433}
{' Yes': -0.05972954, ' yes': -3.0105429, 'Yes': -5.082354, ' ': -6.567657, 'yes': -7.526875}
{' Yes': -0.036255706, ' yes': -3.5767217, 'Yes': -5.1611123, ' ': -6.9845324, '\n': -7.6510415}
{' Yes': -0.032217246, 'Yes': -3.8211782, ' yes': -5.0363297, ' ': -6.643913, '\n': -6.649164}
{' Yes': -0.03392749, 'Yes': -3.6248813, ' yes': -5.475, '\n': -6.7351184, ' ': -7.199815}
{' Yes': -0.108537756, 'Yes': -2.83205, '\n': -3.6009045, ' yes': -4.7201724, ' ': -5.15629}
{' Yes': -0.102940895, 'Yes': -2.9872046, '\n': -3.3664522, ' yes': -4.8984957, ' ': -5.557498}
{' Yes': -0.010172272, 'Yes': -4.9953117, ' yes': -5.9204044, ' ': -8.0595665, '\n': -8.642144}
{' Yes': -0.008767743, 'Yes': -4.9470344, ' yes': -6.661277, '\n': -9.043094, ' ': -9.1027155}
{' Yes': -0.49639913, ' No': -1.9045699, 'Yes': -2.3827362, '\n': -2.709528, 'No': -2.9958363}
{' Yes': -0.1707956, 'Yes': -2.3227386, '\n': -3.5580387, ' yes': -4.5597534, ' No': -4.701657}
{' Yes': -0.11564458, ' yes': -2.443083, 'Yes': -4.1216965, '\n': -6.25045, ' ': -6.265995}
{' Yes': -0.106876224, ' yes': -2.6093423, 'Yes': -3.8667753, 'yes': -5.784871, '\n': -6.186184}
{' Yes': -0.004445439, 'Yes': -6.013589, '\n': -6.9929137, ' yes': -7.503697, ' ': -7.790397}
{' Yes': -0.00842723, 'Yes': -5.9426556, '\n': -5.987204, ' No': -6.2589173, ' ': -7.1950912}
{' Yes': -0.02687144, 'Yes': -4.1744275, '\n': -4.9033113, ' ': -6.2577457, ' yes': -7.0761547}
{' Yes': -0.034078017, 'Yes': -4.086425, '\n': -4.4717913, ' ': -6.0422525, ' Generally': -6.862517}
