{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{'\n': -11.170792, ' ': -10.169866, ' Yes': -0.00084085076, ' yes': -9.529426, 'Yes': -7.2661657}
{' No': -9.476518, ' ': -9.404761, ' Yes': -0.003688063, ' yes': -9.369014, 'Yes': -5.6828895}
{' No': -9.620595, '\n': -9.036882, ' ': -8.890218, ' Yes': -0.005149106, 'Yes': -5.351861}
{' No': -7.983733, ' ': -9.036788, ' Yes': -0.0013744266, ' yes': -9.878877, 'Yes': -7.076627}
{'\n': -8.801095, ' ': -8.562147, ' Yes': -0.0071900673, ' yes': -9.589807, 'Yes': -5.0008574}
{'\n': -9.90641, ' ': -9.150642, ' Yes': -0.0020412316, ' yes': -9.279049, 'Yes': -6.3323665}
{' No': -0.008135441, ' ': -10.8355255, 'No': -4.818547, ' no': -13.93866, ' NO': -13.313823}
{' No': -0.030054213, ' ': -9.993776, 'No': -3.5215929, ' no': -13.31809, ' NO': -12.269338}
{' No': -0.06766699, '\n': -12.696647, ' ': -9.253019, 'No': -2.7285612, ' NO': -11.624402}
{' No': -0.013378035, ' ': -11.027102, 'No': -4.322336, ' no': -13.923162, ' NO': -13.295384}
{' No': -0.055028643, '\n': -11.829782, ' ': -9.290929, 'No': -2.9294293, ' NO': -12.12846}
{' No': -0.035821613, '\n': -11.81889, ' ': -8.766404, 'No': -3.3523004, ' NO': -11.9540415}
{' No': -0.0014344739, '\n': -11.827313, ' ': -10.090157, 'No': -6.58543, ' NO': -13.114964}
{' No': -0.009566702, '\n': -11.793218, ' ': -9.629731, 'No': -4.6626024, ' NO': -13.012127}
{' No': -0.009242639, '\xa0': -12.8542595, '\n': -9.681061, ' ': -9.100526, 'No': -4.708507}
{' No': -0.002439572, '\n': -13.026473, ' ': -10.43593, 'No': -6.031444, ' NO': -13.360419}
{' No': -0.0113554, '\n': -8.971105, ' ': -8.049415, 'No': -4.5253115, ' NO': -12.574025}
{' No': -0.009204136, '\n': -9.38147, ' ': -8.708272, 'No': -4.7226896, ' no': -11.499805}
{' No': -0.018290263, ' ': -9.711978, 'No': -4.0152135, ' no': -11.523289, ' NO': -12.136706}
{' No': -0.033177845, ' ': -11.083127, 'No': -3.4230664, ' no': -13.026506, ' NO': -13.468847}
{' No': -0.06344015, '\n': -11.240176, ' ': -9.104522, 'No': -2.7915645, ' no': -12.032511}
{' No': -0.009852045, ' ': -10.512098, 'No': -4.6289487, ' no': -12.119137, ' NO': -12.768659}
{' No': -0.05934674, '\n': -10.736222, ' ': -8.827474, 'No': -2.8572953, ' Yes': -11.730315}
{' No': -0.050755784, '\n': -9.967778, ' ': -8.537902, 'No': -3.0134213, ' Yes': -9.854765}
{' No': -0.002205255, '\n': -10.921661, ' ': -8.955717, 'No': -6.1936684, ' no': -11.642211}
{' No': -0.015422672, '\n': -11.355514, ' ': -8.472397, 'No': -4.1953278, ' no': -11.611745}
{' No': -0.015148565, '\n': -9.129562, ' ': -8.241732, 'No': -4.223212, ' no': -12.595868}
{' No': -0.0041700713, '\n': -11.666508, ' ': -8.90501, 'No': -5.5201974, ' no': -11.829402}
{' No': -0.014290602, '\n': -8.101935, ' ': -7.6092057, 'No': -4.314776, ' no': -11.698959}
{' No': -0.014997111, '\n': -8.278604, ' ': -7.4965887, 'No': -4.271135, ' no': -9.36394}
{' No': -0.0011384528, '\n': -10.448259, ' ': -9.400591, 'No': -6.886426, ' NO': -12.864718}
{' No': -0.0064553944, '\n': -10.844533, ' ': -9.257235, 'No': -5.065078, ' NO': -12.565373}
{' No': -0.0105224205, '\n': -7.7926855, ' ': -8.239049, 'No': -4.627456, ' NO': -12.345264}
{' No': -0.0018319736, '\n': -11.142261, ' ': -9.127848, 'No': -6.3769975, ' NO': -12.398436}
{' No': -0.011533079, '\n': -7.1255946, ' ': -7.7852054, 'No': -4.581842, ' NO': -12.605707}
{' No': -0.0035282832, '\n': -9.773316, ' ': -8.852962, 'No': -5.708728, ' NO': -12.995044}
{' No': -0.004078738, ' ': -11.770673, 'No': -5.507712, ' Yes': -12.164686, ' NO': -13.840729}
{' No': -0.018435296, ' ': -10.540495, 'No': -4.0071516, ' Yes': -9.916134, ' NO': -12.903657}
{' No': -0.032633506, ' ': -10.142292, 'No': -3.4439359, ' Yes': -9.048121, ' NO': -12.534673}
{' No': -0.0063435785, ' ': -11.841901, 'No': -5.067104, ' Yes': -11.202054, ' NO': -13.801404}
{' No': -0.024282908, '\n': -11.82758, ' ': -9.71273, 'No': -3.746327, ' Yes': -8.0906315}
{' No': -0.02028598, ' ': -9.248042, 'No': -4.110284, ' Yes': -5.6438913, 'Yes': -10.407411}
{' No': -0.0008940038, '\n': -12.869839, ' ': -10.7785845, 'No': -7.2050443, ' Yes': -8.992524}
{' No': -0.0054071248, '\n': -12.867568, ' ': -10.146419, 'No': -5.248079, ' Yes': -9.334975}
{' No': -0.0044099363, '\n': -10.476021, ' ': -9.363873, 'No': -5.519594, ' Yes': -8.208908}
{' No': -0.0013595641, ' ': -10.865556, 'No': -6.6270976, ' Yes': -11.271494, ' NO': -13.683658}
{' No': -0.006862271, '\n': -9.855356, ' ': -8.68503, 'No': -5.0261874, ' Yes': -9.947418}
{' No': -0.0077609182, '\n': -9.787523, ' ': -8.536262, 'No': -5.103895, ' Yes': -6.585262}
{' No': -0.012166207, ' ': -10.375471, 'No': -4.4450254, ' Yes': -8.076765, ' no': -12.341391}
{' No': -0.020226616, ' ': -11.808153, 'No': -3.9405813, ' Yes': -7.476201, 'Yes': -11.5310135}
{' No': -0.038162682, ' ': -9.760115, 'No': -3.5552602, ' Yes': -4.751974, 'Yes': -8.740147}
{' No': -0.005075777, ' ': -11.263475, 'No': -5.353489, ' Yes': -8.071392, 'Yes': -13.203196}
{' No': -0.051832262, ' ': -9.321445, 'No': -3.476919, ' Yes': -3.955452, 'Yes': -7.9855914}
{' No': -0.1401108, ' ': -8.709169, 'No': -3.425761, ' Yes': -2.3384883, 'Yes': -6.5587583}
{' No': -0.0012009923, ' ': -9.284352, 'No': -6.8507276, ' Yes': -10.330466, ' no': -11.857779}
{' No': -0.00672839, ' ': -9.456702, 'No': -5.025132, ' Yes': -10.017392, ' no': -12.153913}
{' No': -0.004853122, '\n': -10.811701, ' ': -9.073967, 'No': -5.3899865, ' Yes': -8.872665}
{' No': -0.0021669657, ' ': -9.542349, 'No': -6.184799, ' Yes': -10.743713, ' no': -12.429345}
{' No': -0.0067127277, '\n': -9.379293, ' ': -8.377731, 'No': -5.06185, ' Yes': -10.30969}
{' No': -0.00972065, '\n': -8.86658, ' ': -7.6828585, 'No': -4.7371335, ' Yes': -8.456382}
{' No': -0.00066637533, '\n': -11.412538, ' ': -9.881134, 'No': -7.4347634, ' Yes': -11.536051}
{' No': -0.0034870692, '\n': -11.845114, ' ': -9.796183, 'No': -5.6859417, ' Yes': -10.836694}
{' No': -0.004299665, '\n': -8.722443, ' ': -8.576218, 'No': -5.5664754, ' Yes': -9.125216}
{' No': -0.000828026, '\n': -12.276183, ' ': -9.7435, 'No': -7.190878, ' Yes': -11.8328085}
{' No': -0.0068770954, '\n': -8.82789, ' ': -8.193004, 'No': -5.0875235, ' Yes': -8.296558}
{' No': -0.0016868779, '\n': -10.223944, ' ': -8.866768, 'No': -6.6307774, ' Yes': -8.590292}
{' YES': -11.983098, ' ': -12.302395, ' Yes': -0.002797601, ' yes': -10.347923, 'Yes': -5.896655}
{' YES': -11.373412, ' ': -11.612905, ' Yes': -0.008473212, ' yes': -9.461519, 'Yes': -4.7876654}
{' YES': -11.253665, ' ': -11.765652, ' Yes': -0.011669536, ' yes': -9.595747, 'Yes': -4.4648514}
{' YES': -11.8949, ' ': -12.506192, ' Yes': -0.004449452, ' yes': -10.503529, 'Yes': -5.4263015}
{' YES': -11.617328, ' ': -11.319966, ' Yes': -0.013319924, ' yes': -9.692131, 'Yes': -4.3322763}
{' YES': -11.426853, ' ': -10.791239, ' Yes': -0.0076167034, ' yes': -9.328274, 'Yes': -4.8982167}
{' YES': -11.443949, ' ': -11.473087, ' Yes': -0.0008365564, ' yes': -9.495669, 'Yes': -7.215943}
{' YES': -11.259654, ' ': -10.781698, ' Yes': -0.0044217897, ' yes': -9.415545, 'Yes': -5.452418}
{'\n': -10.689873, ' ': -10.335336, ' Yes': -0.003732035, ' yes': -9.513074, 'Yes': -5.632373}
{' YES': -11.801899, ' ': -11.578924, ' Yes': -0.0011588628, ' yes': -10.148852, 'Yes': -6.8137064}
{'\n': -9.890535, ' ': -9.157879, ' Yes': -0.0060146805, ' yes': -9.501852, 'Yes': -5.159262}
{'\n': -9.571793, ' ': -9.376389, ' Yes': -0.0058099236, ' yes': -8.023315, 'Yes': -5.246357}
{' YES': -11.365148, ' Yes': -0.007568357, ' yes': -8.829446, 'Yes': -4.9113445, 'yes': -11.5223055}
{' YES': -12.2460375, ' Yes': -0.01276901, ' yes': -9.764079, 'Yes': -4.3727694, 'yes': -11.824142}
{' YES': -10.912304, ' Yes': -0.019243538, ' yes': -8.664776, 'Yes': -3.9720747, 'yes': -10.804867}
{' YES': -11.7274885, ' Yes': -0.0050569056, ' yes': -9.370466, 'Yes': -5.309963, 'yes': -12.186581}
{' ': -11.270962, ' Yes': -0.018837424, ' yes': -8.971661, 'Yes': -3.990719, 'yes': -10.736885}
{' ': -10.591463, ' Yes': -0.018722089, ' yes': -7.925309, 'Yes': -4.011682, 'yes': -10.344998}
{' YES': -11.2407, ' ': -10.4886465, ' Yes': -0.001528966, ' yes': -8.10901, 'Yes': -6.746452}
{' ': -9.981175, ' Yes': -0.007058902, ' yes': -8.044654, 'Yes': -5.0165095, 'yes': -10.956878}
{'\n': -11.25377, ' ': -10.083834, ' Yes': -0.0048462343, ' yes': -9.333672, 'Yes': -5.364946}
{' YES': -11.168209, ' ': -10.185528, ' Yes': -0.0027892932, ' yes': -8.381897, 'Yes': -5.996279}
{'\n': -9.773789, ' ': -9.049533, ' Yes': -0.007828739, ' yes': -8.736754, 'Yes': -4.901681}
{'\n': -8.592121, ' ': -8.368851, ' Yes': -0.009406942, ' yes': -6.347472, 'Yes': -4.9468555}
{'\n': -10.619862, ' ': -10.328764, ' Yes': -0.00092150713, ' yes': -9.897993, 'Yes': -7.140972}
{'\n': -10.56949, ' ': -10.146004, ' Yes': -0.0040193703, ' yes': -9.613926, 'Yes': -5.5574555}
{'\n': -9.43628, ' ': -9.825666, ' Yes': -0.0041093803, ' yes': -9.9918995, 'Yes': -5.544333}
{' YES': -11.48907, ' ': -10.453655, ' Yes': -0.00090659293, ' yes': -10.41255, 'Yes': -7.0985627}
{'\n': -8.577113, ' ': -8.936934, ' Yes': -0.0071637738, ' yes': -9.926124, 'Yes': -4.9972057}
{'\n': -10.331576, ' ': -9.823969, ' Yes': -0.0016154711, ' yes': -9.974555, 'Yes': -6.520925}
{' No': -10.291837, ' ': -11.751643, ' Yes': -0.0022062105, ' yes': -10.159575, 'Yes': -6.156932}
{' No': -9.856899, ' ': -10.401865, ' Yes': -0.011570342, ' yes': -8.827898, 'Yes': -4.487751}
{' No': -8.321676, ' ': -9.83864, ' Yes': -0.023358142, ' yes': -9.067238, 'Yes': -3.788491}
{' No': -11.510724, ' ': -11.759126, ' Yes': -0.0034118888, ' yes': -10.2193575, 'Yes': -5.700067}
{' No': -8.287873, ' ': -9.599402, ' Yes': -0.01420233, ' yes': -9.192883, 'Yes': -4.2946377}
{' No': -10.519759, ' ': -9.944282, ' Yes': -0.007499233, ' yes': -8.493186, 'Yes': -4.9377494}
{' YES': -12.042895, ' ': -10.604841, ' Yes': -0.0007903851, ' yes': -9.259889, 'Yes': -7.324314}
{' No': -10.430829, ' ': -9.950945, ' Yes': -0.005968028, ' yes': -9.072159, 'Yes': -5.1599975}
{' No': -10.156901, ' ': -9.236739, ' Yes': -0.006263742, ' yes': -8.877712, 'Yes': -5.127037}
{' No': -12.1536455, ' ': -10.683393, ' Yes': -0.0013524021, ' yes': -9.6794, 'Yes': -6.682109}
{' No': -9.865946, ' ': -8.136456, ' Yes': -0.006714527, ' yes': -9.126783, 'Yes': -5.082953}
{'\n': -10.367623, ' ': -8.831968, ' Yes': -0.0060179164, ' yes': -7.6842155, 'Yes': -5.236395}
{' No': -8.674172, ' ': -10.364038, ' Yes': -0.010770018, ' yes': -7.5389466, 'Yes': -4.612611}
{' ': -12.7197075, ' Yes': -0.015875436, ' yes': -9.24905, 'Yes': -4.158091, 'yes': -11.464262}
{' ': -10.495326, ' Yes': -0.019525094, ' yes': -8.203301, 'Yes': -3.9635556, 'yes': -10.722689}
{' No': -9.964174, ' ': -11.336694, ' Yes': -0.005667246, ' yes': -8.643806, 'Yes': -5.221165}
{' ': -10.102908, ' Yes': -0.027091578, ' yes': -7.8862243, 'Yes': -3.640548, 'yes': -9.863259}
{' ': -9.990303, ' Yes': -0.024064612, ' yes': -6.8780913, 'Yes': -3.7899315, 'yes': -9.522502}
{' ': -9.661447, ' Yes': -0.0019391666, ' yes': -7.4239893, 'Yes': -6.680005, 'yes': -11.693366}
{' No': -10.228441, ' ': -8.990134, ' Yes': -0.010327999, ' yes': -7.3913126, 'Yes': -4.661704}
{' ': -8.623175, ' Yes': -0.0099301785, ' yes': -7.7915177, 'Yes': -4.68504, 'yes': -10.712943}
{' No': -10.612801, ' ': -8.997512, ' Yes': -0.0032023983, ' yes': -7.790403, 'Yes': -5.94991}
{'\n': -10.164584, ' ': -7.915113, ' Yes': -0.008258697, ' yes': -7.7850313, 'Yes': -4.9126945}
{'\n': -9.245881, ' ': -7.8482795, ' Yes': -0.012207296, ' yes': -5.572424, 'Yes': -4.86425}
{'\n': -11.591351, ' ': -9.962024, ' Yes': -0.00085373747, ' yes': -9.574987, 'Yes': -7.2461114}
{' No': -9.538609, ' ': -9.235908, ' Yes': -0.0043894025, ' yes': -9.365757, 'Yes': -5.495459}
{'\n': -9.107811, ' ': -8.527481, ' Yes': -0.0058565065, ' yes': -9.284578, 'Yes': -5.2253346}
{' No': -9.753319, ' ': -9.364714, ' Yes': -0.0011602361, ' yes': -9.674911, 'Yes': -6.970633}
{'\n': -9.131885, ' ': -7.787365, ' Yes': -0.007408858, ' yes': -9.343599, 'Yes': -5.0048985}
{'\n': -10.8249035, ' ': -9.466406, ' Yes': -0.0016006047, ' yes': -9.110193, 'Yes': -6.583929}
{' No': -0.006007004, ' ': -10.697956, 'No': -5.122231, ' no': -13.919804, ' NO': -13.605792}
{' No': -0.03341842, ' ': -9.918349, 'No': -3.4172645, ' no': -12.680038, ' NO': -11.811944}
{' No': -0.05176221, ' ': -9.246302, 'No': -2.9891343, ' no': -12.879937, ' NO': -11.796873}
{' No': -0.00970578, ' ': -11.004791, 'No': -4.641927, ' no': -13.98008, ' NO': -13.540025}
{' No': -0.04569529, '\n': -11.081544, ' ': -8.624347, 'No': -3.1134577, ' NO': -11.985056}
{' No': -0.026966715, ' ': -8.849112, 'No': -3.633265, ' no': -11.713504, ' NO': -11.984117}
{' No': -0.0013680401, '\n': -12.376678, ' ': -10.163898, 'No': -6.6295986, ' NO': -13.346615}
{' No': -0.00959035, '\n': -12.111463, ' ': -9.406353, 'No': -4.661709, ' NO': -13.004012}
{' No': -0.009947095, '\xa0': -12.476185, '\n': -10.021194, ' ': -8.778319, 'No': -4.636957}
{' No': -0.0024371212, '\n': -12.68401, ' ': -10.00557, 'No': -6.0395765, ' NO': -13.499458}
{' No': -0.008432217, '\xa0': -12.472272, '\n': -10.200541, ' ': -8.215439, 'No': -4.8187046}
{' No': -0.009870825, '\n': -9.681967, ' ': -8.501999, 'No': -4.6524067, ' no': -11.683894}
{' No': -0.024726307, ' ': -9.6064, 'No': -3.716714, ' no': -10.752834, ' NO': -11.662247}
{' No': -0.0279378, ' ': -11.250417, 'No': -3.5924442, 'no': -13.259976, ' no': -12.844706}
{' No': -0.06542796, '\n': -11.310938, ' ': -9.117081, 'No': -2.7618809, ' no': -11.399876}
{' No': -0.009825978, ' ': -10.232608, 'No': -4.6328516, ' no': -11.802602, ' NO': -12.568615}
{' No': -0.07810511, '\n': -10.772126, ' ': -8.551481, 'No': -2.5920115, ' no': -11.221191}
{' No': -0.086055875, '\n': -9.504185, ' ': -8.357487, 'No': -2.501421, ' no': -9.777537}
{' No': -0.0019331938, '\n': -11.340481, ' ': -8.694502, 'No': -6.3556657, ' no': -11.495139}
{' No': -0.019540956, '\n': -11.598302, ' ': -8.296989, 'No': -3.959835, ' no': -11.095921}
{' No': -0.015886458, '\n': -9.115019, ' ': -7.976791, 'No': -4.1804657, ' no': -12.237701}
{' No': -0.0049131378, '\n': -11.895212, ' ': -8.620639, 'No': -5.3603415, ' no': -11.716053}
{' No': -0.013625675, '\n': -9.031476, ' ': -7.4771357, 'No': -4.3570895, ' no': -11.092918}
{' No': -0.015836136, '\n': -8.336244, ' ': -7.1405377, 'No': -4.2295675, ' no': -9.25088}
{' No': -0.0013285887, '\n': -10.686037, ' ': -9.207185, 'No': -6.7255616, ' NO': -12.922835}
{' No': -0.0065674637, '\n': -11.75969, ' ': -9.125584, 'No': -5.0477967, ' NO': -12.754204}
{' No': -0.008734192, '\n': -8.107033, ' ': -8.195031, 'No': -4.814825, ' NO': -12.590185}
{' No': -0.0018738327, '\n': -11.321022, ' ': -8.871317, 'No': -6.3699093, ' NO': -12.488542}
{' No': -0.009398097, '\n': -8.919894, ' ': -7.75573, 'No': -4.7351556, ' NO': -12.590391}
{' No': -0.0026489594, '\n': -10.317849, ' ': -8.582906, 'No': -6.024587, ' no': -12.723823}
{' No': -0.034476917, ' ': -10.212516, 'No': -5.1273246, ' Yes': -3.582016, 'Yes': -9.253806}
{' No': -0.044294022, ' ': -9.707522, 'No': -3.447549, ' Yes': -4.48915, 'Yes': -8.507915}
{' No': -0.05281683, ' ': -9.588413, 'No': -3.0020127, ' Yes': -6.4174886, 'Yes': -9.933138}
{' No': -0.028878476, ' ': -10.527106, 'No': -4.5587397, ' Yes': -4.0261607, 'Yes': -9.054732}
{' No': -0.29591233, ' ': -8.244174, 'No': -3.4100914, ' Yes': -1.5183415, 'Yes': -5.60203}
{' No': -3.9764922, 'No': -7.531573, ' Yes': -0.026886502, ' yes': -8.664944, 'Yes': -4.97325}
{' No': -4.0773363, ' ': -10.017891, ' Yes': -0.018134203, ' yes': -9.350606, 'Yes': -7.0697794}
{' No': -1.1624795, ' ': -8.5235, 'No': -5.6891055, ' Yes': -0.38654324, 'Yes': -5.470905}
{' No': -2.0472345, ' ': -8.013696, 'No': -6.5313363, ' Yes': -0.1473379, 'Yes': -5.139544}
{' No': -0.17589565, ' ': -8.977148, 'No': -6.250585, ' Yes': -1.8394336, 'Yes': -8.074006}
{' No': -1.6276819, ' ': -6.953415, 'No': -6.3955646, ' Yes': -0.22792447, 'Yes': -5.4063168}
{' No': -4.6414466, ' ': -8.02047, ' Yes': -0.017219396, ' yes': -7.93042, 'Yes': -5.046373}
{' No': -0.31088322, ' ': -8.939842, 'No': -4.0864224, ' Yes': -1.3948561, 'Yes': -6.077278}
{' No': -1.0570444, 'No': -4.4967093, ' Yes': -0.45841542, ' yes': -9.595544, 'Yes': -4.7132144}
{' No': -1.9423599, 'No': -5.040884, ' Yes': -0.1814118, ' yes': -8.739866, 'Yes': -4.14925}
{' No': -0.8312193, ' ': -9.501625, 'No': -5.3412485, ' Yes': -0.5865351, 'Yes': -5.7197495}
{' No': -3.317551, 'No': -6.200337, ' Yes': -0.06008754, ' yes': -8.267599, 'Yes': -3.9315493}
{' No': -5.938222, 'No': -8.430249, ' Yes': -0.021184362, ' yes': -7.2501616, 'Yes': -4.0593963}
{' No': -1.3282369, ' ': -7.742528, 'No': -7.9599433, ' Yes': -0.31038612, 'Yes': -7.1391535}
{' No': -0.1693367, ' ': -7.579497, 'No': -4.319792, ' Yes': -1.963053, 'Yes': -6.5533147}
{' No': -1.8940146, ' ': -7.286855, 'No': -6.21814, ' Yes': -0.17458373, 'Yes': -4.993668}
{' No': -0.14148745, ' ': -7.7209587, 'No': -5.794082, ' Yes': -2.0558627, 'Yes': -7.817152}
{' No': -0.7412858, ' ': -6.4458866, 'No': -5.337652, ' Yes': -0.66754377, 'Yes': -5.58911}
{' No': -1.5764642, ' ': -6.1994233, 'No': -5.8682294, ' Yes': -0.24775949, 'Yes': -5.202933}
{' No': -2.1252563, ' ': -8.505645, 'No': -9.035157, ' Yes': -0.12841128, 'Yes': -7.3246007}
{' No': -0.113143384, ' ': -8.1642275, 'No': -5.28346, ' Yes': -2.2908397, 'Yes': -7.8333616}
{' No': -1.038463, ' ': -6.8489356, 'No': -5.979043, ' Yes': -0.44858113, 'Yes': -5.8346434}
{' No': -0.19518867, ' ': -7.7491946, 'No': -6.8008094, ' Yes': -1.740139, 'Yes': -8.386647}
{' No': -2.9751654, ' ': -7.050082, 'No': -7.7616625, ' Yes': -0.059233848, 'Yes': -5.334058}
{' No': -3.5703626, ' ': -8.146561, 'No': -9.533489, ' Yes': -0.03047228, 'Yes': -6.601856}
{' YES': -11.920617, ' ': -11.779442, ' Yes': -0.0031824268, ' yes': -9.953481, 'Yes': -5.772378}
{' YES': -11.466407, ' ': -11.175561, ' Yes': -0.012431594, ' yes': -9.147908, 'Yes': -4.4052634}
{' YES': -11.36461, ' ': -11.313813, ' Yes': -0.020511733, ' yes': -9.375091, 'Yes': -3.902897}
{' YES': -12.1762705, ' ': -12.014989, ' Yes': -0.0054813186, ' yes': -10.217205, 'Yes': -5.2185073}
{' ': -10.628371, ' Yes': -0.018985514, ' yes': -9.432637, 'Yes': -3.98076, 'yes': -10.994885}
{' YES': -11.438498, ' ': -10.405313, ' Yes': -0.00955527, ' yes': -8.932027, 'Yes': -4.6751}
{' YES': -11.6389885, ' ': -10.826547, ' Yes': -0.0012622814, ' yes': -9.469506, 'Yes': -6.7708044}
{' YES': -11.450007, ' ': -10.400483, ' Yes': -0.007304741, ' yes': -9.342412, 'Yes': -4.9431276}
{'\n': -9.647948, ' ': -9.550195, ' Yes': -0.0070452746, ' yes': -9.16257, 'Yes': -4.9968123}
{' YES': -12.1675415, ' ': -11.273374, ' Yes': -0.0015537436, ' yes': -9.959336, 'Yes': -6.5142274}
{'\n': -9.607956, ' ': -8.816232, ' Yes': -0.008611959, ' yes': -9.321215, 'Yes': -4.797941}
{'\n': -9.074314, ' ': -8.911163, ' Yes': -0.008922767, ' yes': -8.030018, 'Yes': -4.7961216}
{' ': -11.353414, ' Yes': -0.009780175, ' yes': -8.246736, 'Yes': -4.6645975, 'yes': -10.640281}
{' YES': -12.961529, ' Yes': -0.015533023, ' yes': -9.59373, 'Yes': -4.1780486, 'yes': -11.332623}
{' ': -10.788904, ' Yes': -0.03373784, ' yes': -8.457214, 'Yes': -3.4146352, 'yes': -10.264763}
{' ': -11.863399, ' Yes': -0.00839465, ' yes': -8.800768, 'Yes': -4.8057294, 'yes': -11.288685}
{' ': -10.883668, ' Yes': -0.027844945, ' yes': -8.753606, 'Yes': -3.6033301, 'yes': -10.149087}
{' ': -10.254506, ' Yes': -0.023883965, ' yes': -7.6823997, 'Yes': -3.7715054, 'yes': -9.780102}
{'\n': -11.355249, ' ': -10.014443, ' Yes': -0.0020043822, ' yes': -8.148689, 'Yes': -6.412853}
{' ': -9.516777, ' Yes': -0.012209045, ' yes': -7.879297, 'Yes': -4.4546623, 'yes': -10.312859}
{'\n': -10.048649, ' ': -9.377214, ' Yes': -0.009355559, ' yes': -8.7971525, 'Yes': -4.7095714}
{' ': -10.062029, ' Yes': -0.0036586307, ' yes': -8.324738, 'Yes': -5.703312, 'yes': -11.063656}
{'\n': -9.620083, ' ': -9.05097, ' Yes': -0.008791614, ' yes': -8.987257, 'Yes': -4.777493}
{'\n': -8.285589, ' ': -8.0679, ' Yes': -0.013145795, ' yes': -6.1106606, 'Yes': -4.5887775}
{'\n': -10.542033, ' ': -10.308024, ' Yes': -0.0012311277, ' yes': -10.063687, 'Yes': -6.8032975}
{'\n': -10.914678, ' ': -9.70048, ' Yes': -0.005166182, ' yes': -9.684669, 'Yes': -5.299815}
{'\n': -8.822684, ' ': -9.354303, ' Yes': -0.0055875843, ' yes': -9.647663, 'Yes': -5.247905}
{'\n': -11.327661, ' ': -10.122476, ' Yes': -0.0015139843, ' yes': -10.0839205, 'Yes': -6.5663595}
{'\n': -9.72366, ' ': -9.198443, ' Yes': -0.008399457, ' yes': -9.952962, 'Yes': -4.8108225}
{'\n': -9.756729, ' ': -9.668923, ' Yes': -0.0022124236, ' yes': -9.770815, 'Yes': -6.2036242}
{' No': -12.399927, ' ': -12.091131, ' Yes': -0.002207643, ' yes': -10.265163, 'Yes': -6.1393185}
{' YES': -11.50138, ' ': -10.640345, ' Yes': -0.010269463, ' yes': -9.054457, 'Yes': -4.600237}
{' No': -11.150679, ' ': -10.455681, ' Yes': -0.019665385, ' yes': -9.222183, 'Yes': -3.9472013}
{' YES': -12.71219, ' ': -11.820267, ' Yes': -0.0036646738, ' yes': -10.176659, 'Yes': -5.625231}
{' No': -11.151806, ' ': -10.113381, ' Yes': -0.012928704, ' yes': -9.31704, 'Yes': -4.36781}
{' ': -10.145009, ' Yes': -0.007714907, ' yes': -8.744355, 'Yes': -4.8973885, 'yes': -11.710384}
{' YES': -12.342762, ' ': -11.068045, ' Yes': -0.00069888175, ' yes': -9.436852, 'Yes': -7.4255896}
{' YES': -11.83925, ' ': -10.20361, ' Yes': -0.005349476, ' yes': -9.15179, 'Yes': -5.2642856}
{'\n': -11.150758, ' ': -9.561424, ' Yes': -0.005554977, ' yes': -9.058477, 'Yes': -5.235772}
{' YES': -12.571266, ' ': -11.115633, ' Yes': -0.0011453744, ' yes': -9.769629, 'Yes': -6.843783}
{'\n': -11.337828, ' ': -8.772837, ' Yes': -0.0062312945, ' yes': -9.294313, 'Yes': -5.1265907}
{'\n': -10.639832, ' ': -9.133717, ' Yes': -0.004864263, ' yes': -7.828001, 'Yes': -5.451941}
{' ': -10.802826, ' Yes': -0.0096267015, ' yes': -7.7676983, 'Yes': -4.7009544, 'yes': -10.606106}
{' ': -12.898275, ' Yes': -0.013864069, ' yes': -9.307824, 'Yes': -4.293023, 'yes': -11.5755205}
{' ': -10.517137, ' Yes': -0.016700033, ' yes': -8.280623, 'Yes': -4.1198435, 'yes': -10.817399}
{' ': -11.732828, ' Yes': -0.005062718, ' yes': -8.779266, 'Yes': -5.324187, 'yes': -11.753062}
