{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -2.208702, ' ': -7.194621, 'No': -4.479608, ' Yes': -0.17798984, 'Yes': -3.2067947}
{' No': -4.9474006, ' ': -6.4121447, 'No': -7.1870832, ' Yes': -0.055026814, 'Yes': -3.148977}
{' No': -1.3713487, ' ': -5.7782526, 'No': -3.175481, ' Yes': -0.4373696, 'Yes': -2.9575226}
{' No': -3.4088917, ' ': -7.234869, 'No': -6.8908024, ' Yes': -0.05167615, 'Yes': -4.1997604}
{' No': -0.20233537, ' ': -7.23312, 'No': -2.9074745, ' Yes': -2.0961246, 'Yes': -5.4423103}
{' No': -1.2766181, ' ': -5.071599, 'No': -1.963893, ' Yes': -0.77436155, 'Yes': -2.2501364}
{' No': -1.1599692, ' Tigers': -3.0941195, 'No': -1.8938407, ' Yes': -0.9587267, 'Yes': -2.4816225}
{' No': -4.1179533, 'No': -5.910701, ' Yes': -0.08097574, ' yes': -5.6892333, 'Yes': -3.037595}
{' No': -1.0174083, ' Tigers': -3.1838527, 'No': -2.7338197, ' Yes': -0.7178267, 'Yes': -3.2945383}
{'\n': -9.889928, ' ': -8.245329, ' Yes': -0.0039774785, ' yes': -6.594365, 'Yes': -6.1057324}
{' No': -3.689294, ' ': -6.493359, ' Yes': -0.031144682, ' yes': -7.496635, 'Yes': -5.864595}
{'\n': -5.210544, ' ': -6.1157494, ' Yes': -0.064397626, ' yes': -5.645542, 'Yes': -2.9951952}
{' No': -3.1244893, '\n': -3.9090674, ' ': -4.988213, ' Yes': -0.13519545, 'Yes': -3.1437228}
{'\n': -2.9967976, ' ': -4.9459705, ' Yes': -0.14240095, ' yes': -5.8579297, 'Yes': -2.6689646}
{' No': -2.514401, ' Tigers': -2.5546649, '\n': -1.0723556, ' Yes': -0.8582081, 'Yes': -3.4701562}
{'\n': -7.6827307, ' ': -7.7815294, ' Yes': -0.009116495, ' yes': -7.3450747, 'Yes': -4.9279413}
{' No': -0.6412738, ' Tigers': -5.2757626, 'No': -4.43799, ' Yes': -0.81014466, 'Yes': -5.1425896}
{' No': -4.1704373, '\n': -2.7240703, ' ': -4.4635797, ' Yes': -0.2623432, 'Yes': -2.055949}
{' No': -1.9871737, '\n': -1.6640917, 'No': -3.572535, ' Yes': -0.64835805, 'Yes': -2.4282002}
{'\n': -6.362622, ' ': -7.127481, ' Yes': -0.03607846, ' yes': -4.280341, 'Yes': -4.0023775}
{'\n': -4.5388107, ' ': -5.888773, ' Yes': -0.06319846, ' yes': -4.3905964, 'Yes': -3.4065804}
{'\n': -6.4466753, ' ': -7.3053236, ' Yes': -0.0055860253, ' yes': -8.065267, 'Yes': -5.9168367}
{' No': -4.4269485, '\n': -4.6249866, ' ': -5.856735, ' Yes': -0.029937947, 'Yes': -5.5550632}
{' No': -7.009877, '\n': -3.700746, ' ': -5.4411864, ' Yes': -0.055566475, 'Yes': -3.7897031}
{' No': -2.9338326, '\n': -1.7446887, ' ': -4.2706957, ' Yes': -0.3152207, 'Yes': -3.9937732}
{' No': -5.171854, '\n': -3.5087073, ' ': -4.766445, ' Yes': -0.07086781, 'Yes': -4.013081}
{' No': -1.7915444, ' Tigers': -2.0685964, '\n': -1.8314365, ' ': -3.7021983, ' Yes': -0.6851391}
{'\n': -4.8149467, ' ': -5.243242, ' A': -6.1746, ' Yes': -0.02316646, 'Yes': -5.3088775}
{' No': -2.020883, ' Tigers': -4.393871, '\n': -2.3544097, ' ': -3.6822045, ' Yes': -0.32320368}
{' No': -4.67451, '\n': -4.544444, ' ': -5.8891253, ' Yes': -0.047999788, 'Yes': -3.8000271}
{' No': -0.96550757, ' Tigers': -2.9826586, '\n': -2.5572722, ' ': -3.930815, ' Yes': -0.7912542}
{'\n': -5.3813376, ' ': -5.9190955, ' Yes': -0.022738995, ' yes': -5.869863, 'Yes': -4.471929}
{'\n': -4.6064463, ' ': -5.3601084, ' Yes': -0.04044622, ' yes': -6.0623503, 'Yes': -3.9067373}
{' Generally': -6.959252, ' A': -9.933297, ' Yes': -0.0058071045, ' yes': -9.148151, 'Yes': -5.38544}
{' No': -1.8603952, ' Generally': -3.6826036, 'No': -5.0143523, ' Yes': -0.22539501, 'Yes': -4.995245}
{' No': -6.162331, ' Generally': -6.054063, ' A': -8.048591, ' Yes': -0.018048747, 'Yes': -4.405967}
{' No': -3.1777792, ' Generally': -5.708697, 'No': -5.3680787, ' Yes': -0.073844, 'Yes': -3.9408672}
{' No': -5.4138865, ' ': -6.9992228, ' A': -7.100478, ' Yes': -0.02502768, 'Yes': -4.109784}
{' No': -1.2465911, 'No': -3.4865086, ' Yes': -0.43114612, 'Yes': -4.0242, ' Sn': -5.022609}
{' Generally': -6.416361, ' A': -7.9322033, ' Yes': -0.007189108, ' yes': -8.665825, 'Yes': -5.3507557}
{' No': -4.768009, ' Generally': -5.725427, ' Yes': -0.025354575, 'Yes': -4.669361, ' Sn': -5.9941688}
{' No': -1.8205559, ' Generally': -4.7556696, 'No': -3.7373517, ' Yes': -0.2676919, 'Yes': -3.6449518}
{' No': -0.7563431, ' Generally': -4.946349, 'No': -2.5464184, ' Yes': -0.9058469, 'Yes': -3.9932494}
{' No': -6.9317365, ' Generally': -6.147801, ' A': -7.169351, ' Yes': -0.016951041, 'Yes': -4.4729695}
{' No': -4.0931807, ' Generally': -6.0123653, ' Yes': -0.05345465, 'Yes': -3.7084894, ' Sn': -5.750427}
{'\n': -8.752458, ' ': -8.214859, ' Yes': -0.0039132126, ' yes': -7.9418397, 'Yes': -5.80061}
{' No': -5.8540077, '\n': -7.636675, ' ': -7.6804996, ' Yes': -0.007837329, 'Yes': -5.7302794}
{' No': -1.5686623, ' ': -5.574783, 'No': -4.46454, ' Yes': -0.28019103, 'Yes': -4.444505}
{' No': -0.5082592, ' ': -6.077427, 'No': -3.5112898, ' Yes': -1.0307621, 'Yes': -5.140692}
{' No': -2.3749592, '\n': -2.748174, ' ': -3.8531795, ' Yes': -0.2618403, 'Yes': -3.5955784}
{' No': -0.1983811, '\n': -2.4929118, ' ': -4.187204, 'No': -2.5729883, ' Yes': -5.714283}
{' No': -7.6655774, ' ': -8.278433, ' Yes': -0.0037714646, ' yes': -8.255028, 'Yes': -5.909691}
{' No': -0.18471532, ' ': -7.410367, 'No': -4.584514, ' Yes': -1.8535461, 'Yes': -7.0909395}
{' No': -1.1433669, ' ': -3.9566863, 'No': -2.5219545, ' Yes': -0.6872666, 'Yes': -3.0400574}
{' No': -0.23653395, '\n': -4.512193, ' ': -4.7258277, 'No': -1.6748389, ' Yes': -6.2268863}
{' ': -6.6208878, ' A': -7.285447, ' Yes': -0.01787652, ' yes': -5.161244, 'Yes': -4.730395}
{' No': -6.279979, ' ': -6.400863, ' Yes': -0.02641864, ' yes': -4.9152865, 'Yes': -4.296968}
{' No': -4.9090786, ' A': -5.544941, ' Yes': -0.062724404, ' yes': -4.7076426, 'Yes': -3.3288856}
{' No': -3.1633077, ' Yes': -0.1155572, ' yes': -4.552317, 'Yes': -3.2960055, ' Sn': -4.856137}
{' No': -0.8709786, ' Generally': -5.5842843, 'No': -3.1279306, ' Yes': -0.6593621, 'Yes': -4.2508097}
{' No': -1.022886, ' Generally': -5.8192782, 'No': -2.5627341, ' Yes': -0.63263863, 'Yes': -3.6357477}
{' No': -1.3436054, ' Generally': -5.9396744, 'No': -3.2641072, ' Yes': -0.4014247, 'Yes': -3.6644654}
{' No': -1.1860864, 'No': -2.8971746, ' Yes': -0.50421315, 'Yes': -3.5045583, ' Sn': -6.2425056}
{' No': -4.805945, ' ': -8.483824, ' Yes': -0.016213045, ' yes': -7.628105, 'Yes': -5.00433}
{' No': -3.648376, 'No': -6.6500316, ' Yes': -0.043704983, 'Yes': -4.306551, ' Sn': -7.2011523}
{' No': -0.72252285, ' Generally': -4.844717, 'No': -1.0150491, ' Yes': -2.1648407, 'Yes': -3.9735582}
{' No': -1.0315408, 'No': -1.1293916, ' Yes': -1.4844522, 'Yes': -3.071225, ' Sn': -3.7272785}
{' No': -5.769035, ' ': -6.8713827, ' Yes': -0.036401637, ' yes': -5.3684673, 'Yes': -3.6837862}
{' No': -3.594884, ' Generally': -4.926053, ' Yes': -0.10448378, 'Yes': -3.2023973, ' Sn': -4.46895}
{' ': -6.645447, ' Yes': -0.06303022, ' yes': -2.9667394, 'Yes': -4.954185, 'yes': -7.3794403}
{' No': -7.525414, ' ': -6.68458, ' Yes': -0.035626534, ' yes': -3.715886, 'Yes': -4.8312254}
{'\n': -6.2974625, ' ': -6.3280334, ' Yes': -0.0376223, ' yes': -4.7428546, 'Yes': -3.762287}
{' No': -5.1133842, '\n': -5.9675713, ' Yes': -0.050447673, ' yes': -5.138191, 'Yes': -3.4617999}
{' No': -4.454721, '\n': -2.882736, ' ': -4.4256263, ' Yes': -0.17496279, 'Yes': -2.7843451}
{' No': -0.9087238, '\n': -1.7933866, 'No': -2.503746, ' Yes': -1.2063826, 'Yes': -3.7853715}
{'\n': -8.582996, ' ': -7.856437, ' Yes': -0.012643869, ' yes': -5.759418, 'Yes': -4.758598}
{' No': -4.5279503, ' ': -7.559688, ' Yes': -0.023624439, ' yes': -6.0859656, 'Yes': -4.7347946}
{' No': -1.6466991, '\n': -3.0001888, 'No': -2.4247963, ' Yes': -0.6223365, 'Yes': -2.3040898}
{' No': -0.30271137, '\n': -3.8423228, ' ': -4.931356, 'No': -1.4936465, ' Yes': -5.4614234}
{'\n': -5.7722826, ' ': -6.071754, ' Yes': -0.15558566, ' yes': -2.1090312, 'Yes': -4.2157817}
{'\n': -5.67811, ' Yes': -0.16022696, ' yes': -2.1445563, 'Yes': -3.8226051, 'yes': -5.724685}
{'\n': -7.548165, ' ': -7.876776, ' Yes': -0.00413799, ' yes': -7.670971, 'Yes': -5.999893}
{' No': -1.2786856, '\n': -4.5700593, ' ': -5.5172224, 'No': -5.4646287, ' Yes': -0.36028764}
{' No': -5.125471, '\n': -4.470806, ' ': -5.380371, ' Yes': -0.038067076, 'Yes': -4.3380685}
{' No': -1.2666944, '\n': -2.9591591, 'No': -4.1773195, ' Yes': -0.46987283, 'Yes': -4.4381266}
{' No': -3.5816314, '\n': -4.3293276, ' ': -5.015872, ' Yes': -0.07585794, 'Yes': -4.114922}
{' No': -0.19286783, '\n': -4.2247415, ' ': -5.0439706, 'No': -3.5049024, ' Yes': -2.1494508}
{' No': -5.2508764, '\n': -5.5130095, ' ': -5.5507307, ' Yes': -0.01847974, 'Yes': -5.456392}
{' No': -0.113785215, '\n': -4.486754, ' ': -4.977635, 'No': -4.006352, ' Yes': -2.6576257}
{' No': -0.44088936, '\n': -4.1124, ' ': -4.2916603, 'No': -3.0318086, ' Yes': -1.3268719}
{' No': -0.05981635, '\n': -5.557447, ' ': -5.5410933, 'No': -3.0046444, ' Yes': -7.5849514}
{'\n': -5.753367, ' ': -5.84796, ' Yes': -0.022250399, ' yes': -5.279006, 'Yes': -4.6395864}
{'\n': -6.289478, ' ': -6.311286, ' Yes': -0.023474682, ' yes': -5.252551, 'Yes': -4.4341497}
{' No': -6.2046175, ' Generally': -8.650017, ' A': -8.661391, ' Yes': -0.0058324654, 'Yes': -5.7447333}
{' No': -4.622008, '\n': -8.38855, ' Yes': -0.017882165, 'Yes': -5.0738096, ' Sn': -7.116301}
{' No': -3.3418005, ' Generally': -5.6623325, 'No': -6.3392715, ' Yes': -0.056077737, 'Yes': -4.4177055}
{' No': -4.8508177, ' ': -7.6621904, ' Generally': -7.7363267, ' Yes': -0.021954432, 'Yes': -4.412545}
{' No': -1.8256626, '\n': -5.5847926, 'No': -5.175705, ' Yes': -0.20662889, 'Yes': -4.5240135}
{' No': -2.3148057, ' ': -6.2416277, 'No': -5.5968566, ' Yes': -0.12961191, 'Yes': -4.295421}
{' No': -5.1197543, ' Generally': -7.88605, ' A': -7.829299, ' Yes': -0.011218501, 'Yes': -5.4978037}
{' No': -3.526699, ' ': -8.824071, 'No': -7.6924148, ' Yes': -0.036222514, 'Yes': -5.2417927}
{' No': -0.114574626, '\n': -4.8540344, ' ': -5.292902, 'No': -2.5732558, ' Yes': -4.444359}
{' No': -2.535578, '\n': -5.066622, 'No': -4.7091084, ' Yes': -0.15014298, 'Yes': -3.302996}
{' No': -3.4430885, ' Generally': -5.3710666, 'No': -6.1736426, ' Yes': -0.062669635, 'Yes': -4.067201}
{' No': -4.4689302, ' ': -6.446969, ' Generally': -6.5364275, ' Yes': -0.039672405, 'Yes': -3.822654}
{' No': -6.7025857, ' ': -7.765686, ' Yes': -0.0038591786, ' yes': -7.674121, 'Yes': -6.5589375}
{' No': -5.437593, '\n': -7.6106195, ' ': -8.099206, ' Yes': -0.0069362726, 'Yes': -6.480521}
{' No': -0.3553282, '\n': -3.643374, ' ': -4.8330884, 'No': -3.7312093, ' Yes': -1.4535719}
{' No': -5.7561026, '\n': -6.108054, ' ': -6.871114, ' Yes': -0.018177902, 'Yes': -4.535573}
{' No': -1.4712862, '\n': -1.3754686, ' ': -3.3805363, ' Yes': -0.79131824, 'Yes': -4.515853}
{' No': -0.8206493, '\n': -1.0828067, ' ': -3.849513, 'No': -4.2496843, ' Yes': -1.729602}
{' No': -3.1454399, ' ': -6.946589, ' A': -7.9339247, ' Yes': -0.04731658, 'Yes': -6.6022882}
{' No': -1.6024148, ' ': -7.5404263, 'No': -8.171957, ' Yes': -0.22753878, 'Yes': -6.9486384}
{' No': -0.19253899, '\n': -3.7046142, ' ': -4.5607047, 'No': -2.011091, ' Yes': -5.8505187}
{' No': -0.3515062, '\n': -3.325513, 'No': -2.5690067, ' Yes': -1.8840474, 'Yes': -4.334691}
{' No': -3.6119292, ' ': -5.618538, ' Yes': -0.049932938, ' yes': -5.8892326, 'Yes': -4.64613}
{' No': -6.591186, ' ': -6.6190605, ' Yes': -0.01943247, ' yes': -5.764988, 'Yes': -4.389012}
{' No': -3.1055715, 'No': -5.6738544, ' A': -5.859391, ' Yes': -0.08119351, 'Yes': -3.767591}
{' No': -3.643914, 'No': -5.2982206, ' Yes': -0.098032854, ' yes': -6.008644, 'Yes': -2.8729544}
{' No': -0.080128394, ' ': -7.9158044, 'No': -2.822974, ' Yes': -4.1003137, 'Yes': -7.5302777}
{' No': -0.23153941, 'No': -2.209601, ' Yes': -2.4021173, 'Yes': -5.1991296, ' Sn': -8.022476}
{' No': -0.11132464, ' ': -6.992943, 'No': -2.9906714, ' Yes': -2.9520912, 'Yes': -6.6172333}
{' No': -0.36529887, 'No': -1.9581906, ' Yes': -1.9064745, 'Yes': -4.331508, ' Sn': -7.0082545}
{' No': -0.41658968, ' ': -6.7348166, 'No': -4.9188704, ' Yes': -1.1097431, 'Yes': -6.1572757}
{' No': -1.0756341, ' ': -7.7804146, 'No': -4.496973, ' Yes': -0.45020118, 'Yes': -4.6628113}
{' No': -0.19386196, '\n': -7.549949, ' ': -7.203268, 'No': -1.7500409, ' Yes': -7.4147077}
{' No': -0.5407103, 'No': -1.110796, ' Yes': -2.7500093, 'Yes': -4.2464633, ' Sn': -5.650142}
{' No': -0.13247797, '\n': -6.253352, ' ': -6.7975893, 'No': -2.192956, ' Yes': -4.821534}
{' No': -0.15227313, 'No': -2.3626041, ' Yes': -3.3854291, 'Yes': -6.162168, ' Sn': -4.6902275}
{'\n': -7.8510137, ' ': -6.794278, ' Yes': -0.017320124, ' yes': -4.34423, 'Yes': -6.0570154}
{' No': -8.431975, ' ': -7.797097, ' Yes': -0.0063638543, ' yes': -5.52765, 'Yes': -6.496104}
{' No': -1.2662588, '\n': -4.6540933, 'No': -4.3252745, ' Yes': -0.3972651, 'Yes': -4.360981}
{' No': -7.053336, '\n': -6.816096, ' Yes': -0.020720804, ' yes': -5.7828035, 'Yes': -4.2173667}
{' No': -1.8225403, '\n': -1.30097, ' ': -3.7260053, ' Yes': -0.7069987, 'Yes': -3.6020887}
{' No': -2.2236948, '\n': -1.6566056, ' ': -4.5393643, ' Yes': -0.43296534, 'Yes': -3.5077677}
{' No': -3.4867916, ' ': -6.726363, ' Yes': -0.038948122, ' yes': -6.828746, 'Yes': -5.566747}
{' No': -3.2740283, '\n': -7.7099013, ' Yes': -0.04572287, ' yes': -7.1442785, 'Yes': -5.3558407}
{' No': -0.22723307, '\n': -2.905179, ' ': -4.8693886, 'No': -1.9900143, ' Yes': -6.317121}
{' No': -0.55537343, '\n': -2.4224656, 'No': -2.1852238, ' Yes': -1.6824296, 'Yes': -3.710925}
{'\n': -6.049226, ' ': -6.536949, ' Yes': -0.08279792, ' yes': -2.7171533, 'Yes': -4.7693973}
{'\n': -6.030289, ' Yes': -0.09268466, ' yes': -2.6968677, 'Yes': -4.108264, 'yes': -6.820052}
{' No': -6.4442315, '\n': -5.8095407, ' ': -6.658667, ' Yes': -0.009617974, 'Yes': -5.978295}
{' No': -4.0995193, '\n': -4.7517447, ' ': -6.278672, ' Yes': -0.030908164, 'Yes': -5.889446}
{' No': -3.342921, '\n': -2.003333, ' ': -4.1087694, ' Yes': -0.22969723, 'Yes': -4.288888}
{' No': -3.3073602, '\n': -1.6558249, ' ': -4.71341, ' Yes': -0.29035038, 'Yes': -4.3568254}
{' No': -2.0335252, '\n': -1.7746637, ' ': -3.6499152, ' Yes': -0.43428588, 'Yes': -4.3608894}
{' No': -1.1972933, '\n': -1.3347616, ' ': -3.8727999, 'No': -4.8647757, ' Yes': -0.9386148}
{' No': -4.3137336, '\n': -4.0256534, ' ': -4.74521, ' Yes': -0.046548788, 'Yes': -5.7270904}
{' No': -3.4714158, '\n': -3.9051583, ' ': -5.2703395, ' Yes': -0.062471084, 'Yes': -5.662786}
{' No': -0.07138209, '\n': -4.132959, ' ': -5.202932, 'No': -3.5792937, ' Yes': -4.0933757}
{' No': -0.8294253, '\n': -2.8950322, ' ': -4.504989, 'No': -4.4805136, ' Yes': -0.74888563}
{'\n': -4.2090855, ' ': -4.8493996, ' Yes': -0.043136578, ' yes': -5.519596, 'Yes': -4.4255557}
{'\n': -5.4533134, ' ': -6.2431617, ' Yes': -0.02632666, ' yes': -5.3925333, 'Yes': -4.2605815}
{' No': -0.03014629, ' Generally': -6.593363, 'No': -3.5844293, ' A': -9.065395, ' It': -9.026668}
{' No': -0.04542024, ' ': -8.775235, ' Generally': -7.0963593, 'No': -3.147097, ' Sn': -8.601009}
{' No': -0.056271207, ' ': -7.9767838, ' Generally': -7.106131, 'No': -2.9358182, ' A': -8.784769}
{' No': -0.10279602, ' ': -7.9668074, ' Generally': -8.447185, 'No': -2.334428, ' Sn': -9.376678}
{' No': -0.076989576, '\n': -7.1797137, ' ': -7.0055213, 'No': -2.6391673, ' A': -7.9285383}
{' No': -0.14212237, '\n': -6.9558983, ' ': -6.6815147, 'No': -2.0487728, ' Sn': -7.2326717}
{' No': -0.023483898, ' ': -9.058559, ' Generally': -6.7690034, 'No': -3.837033, ' A': -8.439611}
{' No': -0.04915372, ' ': -8.608832, ' Generally': -7.45337, 'No': -3.0632412, ' Sn': -8.0206}
{' No': -0.12083371, '\n': -6.723306, ' ': -6.374793, ' Generally': -7.236903, 'No': -2.214513}
{' No': -0.15406537, '\n': -5.8511724, ' ': -5.7362223, 'No': -2.0309992, ' Sn': -6.192976}
{' No': -0.062437396, ' ': -7.653078, ' Generally': -6.1702285, 'No': -2.878523, ' A': -7.1461105}
{' No': -0.12218757, ' ': -6.749454, ' Generally': -6.811578, 'No': -2.2080088, ' Sn': -6.4631467}
{' No': -0.010180882, '\n': -7.3542166, ' ': -7.1569033, 'No': -4.7629023, ' A': -9.62655}
{' No': -0.010937586, '\n': -6.9304433, ' ': -6.970912, ' Generally': -10.578948, 'No': -4.725959}
{' No': -0.07013018, '\n': -6.879103, ' ': -6.7283406, 'No': -2.7335174, ' A': -8.25926}
{' No': -0.05901866, '\n': -7.554597, ' ': -6.6774974, 'No': -2.8937185, ' Sn': -9.696806}
{' No': -0.11899636, '\n': -4.149529, ' ': -5.4697576, 'No': -2.3969486, ' A': -7.0827446}
{' No': -0.18076406, '\n': -2.843352, ' ': -4.562657, 'No': -2.343335, ' Sn': -8.240454}
{' No': -0.013165783, '\n': -10.581215, ' ': -7.849705, 'No': -4.3730135, ' A': -10.598886}
{' No': -0.014157893, '\n': -10.61625, ' ': -8.368884, 'No': -4.2848544, ' Sn': -11.5829315}
{' No': -0.22600439, '\n': -5.22852, ' ': -5.0636683, 'No': -1.665263, ' A': -7.205744}
{' No': -0.21531798, '\n': -4.8969526, ' ': -5.0625067, 'No': -1.7186865, ' Sn': -8.719839}
{' No': -0.035245385, ' ': -6.4884915, 'No': -3.5219412, ' A': -6.137068, ' no': -7.8939996}
{' No': -0.05401926, '\n': -7.045183, ' ': -5.831272, 'No': -3.0585775, ' Sn': -7.258367}
{' No': -0.1344124, ' ': -7.034787, 'No': -2.1141696, ' A': -6.539263, ' no': -7.0860558}
{' No': -0.13855487, '\n': -6.7285156, ' ': -6.41455, 'No': -2.1118348, ' Sn': -5.994224}
{' No': -0.13079108, ' ': -7.993696, ' Generally': -9.196339, 'No': -2.1039717, ' no': -9.729631}
{' No': -0.20788401, ' ': -8.440624, ' Generally': -8.693282, 'No': -1.6771756, ' Sn': -8.427862}
{' No': -0.159423, '\n': -9.805854, ' ': -7.680123, ' Generally': -9.577038, 'No': -1.9198582}
{' No': -0.1842218, ' ': -7.604464, ' Generally': -9.005295, 'No': -1.7913384, ' Sn': -7.797685}
{' No': -0.030468594, ' ': -8.611956, ' Generally': -10.032824, 'No': -3.518124, ' no': -10.038599}
{' No': -0.041440375, ' ': -8.33976, ' Generally': -9.670391, 'No': -3.2195294, ' Sn': -8.560508}
{' No': -0.59411037, ' ': -7.066827, ' Generally': -7.549028, 'No': -0.8097267, ' Sn': -7.7529974}
{' No': -0.5590415, ' ': -6.9017053, ' Generally': -7.3769207, 'No': -0.8632673, ' Sn': -5.875945}
{' No': -0.08459907, ' ': -7.555025, 'No': -2.5351303, ' Sn': -8.038173, ' no': -8.111993}
{' No': -0.20944954, ' ': -7.3890753, ' Generally': -6.2973247, 'No': -1.7127149, ' Sn': -5.5189686}
{' No': -0.030628921, '\n': -6.8688684, ' ': -5.5729165, 'No': -4.077971, ' no': -4.8290067}
{' No': -0.025134083, '\n': -7.0265565, ' ': -5.765181, 'No': -4.057551, ' no': -5.722777}
{' No': -0.11105831, '\n': -6.369093, ' ': -6.126773, 'No': -2.3035765, ' no': -7.13885}
{' No': -0.104623154, '\n': -5.6723228, ' ': -5.9325914, 'No': -2.3777573, ' no': -8.073521}
{' No': -0.26275212, '\n': -3.986137, ' ': -5.490954, 'No': -1.5777222, ' no': -7.1723046}
{' No': -0.23686096, '\n': -3.4184558, ' ': -5.373297, 'No': -1.756934, ' no': -7.7105246}
{' No': -0.036206506, '\n': -8.289626, ' ': -7.0343695, 'No': -3.3817072, ' no': -8.049756}
{' No': -0.03475545, '\n': -8.240738, ' ': -7.2459884, 'No': -3.4138753, ' no': -8.517474}
{' No': -0.34745732, '\n': -4.1778765, ' ': -5.107561, 'No': -1.3180116, ' no': -5.913959}
{' No': -0.32602006, '\n': -4.3124514, ' ': -5.108705, 'No': -1.3619429, ' no': -6.513823}
{' No': -0.08439794, '\n': -5.7248282, ' ': -5.5933676, 'No': -2.9445872, ' no': -4.0319953}
{' No': -0.11168686, '\n': -5.3201504, ' ': -5.5413837, 'No': -2.5841944, ' no': -3.966038}
{' No': -0.010016691, '\n': -6.479144, ' ': -6.9502573, 'No': -4.9249315, ' A': -9.443116}
{' No': -0.025104685, '\n': -4.7211685, ' ': -5.9512253, ' Generally': -9.758607, 'No': -4.338747}
{' No': -0.054626364, '\n': -4.6858096, ' ': -5.712066, 'No': -3.214552, ' A': -8.651942}
{' No': -0.075422905, '\n': -3.6910863, ' ': -5.486035, 'No': -3.1400626, ' Sn': -9.138898}
{' No': -0.05028633, '\n': -5.0147157, ' ': -5.6523957, 'No': -3.2680328, ' A': -7.4637804}
{' No': -0.049085036, '\n': -4.478057, ' ': -5.429025, 'No': -3.4535744, ' Sn': -8.023454}
{' No': -0.021584673, '\n': -6.333951, ' ': -6.05304, 'No': -4.071149, ' A': -9.449082}
{' No': -0.025135124, '\n': -5.78556, ' ': -5.9731264, 'No': -3.958353, ' Sn': -10.3212385}
{' No': -0.060030006, '\n': -5.6492233, ' ': -5.506284, 'No': -2.9910777, ' A': -8.086216}
{' No': -0.047437508, '\n': -5.744713, ' ': -5.559955, 'No': -3.2411785, ' Sn': -9.983646}
{' No': -0.034615804, '\n': -5.9436197, ' ': -5.684974, 'No': -3.6983829, ' A': -6.3238106}
{' No': -0.042246927, '\n': -6.026923, ' ': -5.6587515, 'No': -3.370473, ' Sn': -7.7220163}
{' No': -0.014088798, '\n': -8.917861, ' ': -9.314952, ' Generally': -9.297168, 'No': -4.3010683}
{' No': -0.018631665, '\n': -7.9032173, ' ': -8.65332, ' Generally': -8.990535, 'No': -4.0386333}
{' No': -0.034571998, '\n': -9.394299, ' ': -7.993783, ' Generally': -7.689599, 'No': -3.4147446}
{' No': -0.036420923, '\n': -8.984228, ' ': -7.698494, ' Generally': -8.251953, 'No': -3.3603666}
{' No': -0.046064902, '\n': -5.841154, ' ': -6.588637, ' Generally': -8.759199, 'No': -3.2109244}
{' No': -0.04151046, '\n': -5.948127, ' ': -6.386443, 'No': -3.3306952, ' Sn': -8.4706135}
{' No': -0.021461714, ' ': -9.498869, ' Generally': -9.008763, 'No': -3.8685303, ' A': -9.174492}
{' No': -0.02790562, '\n': -9.589286, ' ': -9.000207, ' Generally': -9.6283655, 'No': -3.6040733}
{' No': -0.09505188, '\n': -5.303544, ' ': -5.8995924, ' Generally': -7.479555, 'No': -2.504178}
{' No': -0.083746694, '\n': -5.694726, ' ': -5.972036, ' Generally': -7.4824243, 'No': -2.6223705}
{' No': -0.08288449, '\n': -7.45621, ' ': -6.9411144, ' Generally': -6.788554, 'No': -2.5753884}
{' No': -0.064926386, '\n': -7.8335013, ' ': -6.577387, ' Generally': -7.6395745, 'No': -2.8108559}
{' No': -0.0036696354, '\n': -7.969423, ' ': -7.782551, 'No': -5.891962, ' A': -9.422726}
{' No': -0.004717049, '\n': -6.931339, ' ': -8.029639, 'No': -5.698156, ' no': -11.062713}
{' No': -0.055960357, '\n': -4.36468, ' ': -5.6174703, 'No': -3.2801101, ' A': -8.389659}
{' No': -0.029052602, '\n': -5.6262054, ' ': -6.5130897, 'No': -3.7587202, ' Sn': -9.568357}
{' No': -0.1647956, '\n': -2.2872303, ' ': -4.5677724, 'No': -3.2481751, ' A': -7.34388}
{' No': -0.3452452, '\n': -1.3963661, ' ': -4.2233353, 'No': -3.5481071, ' S': -8.46375}
{' No': -0.0047811307, '\n': -9.42467, ' ': -7.7807584, 'No': -5.4770937, ' A': -9.644605}
{' No': -0.0034627263, '\n': -9.67867, ' ': -8.263127, 'No': -5.779935, ' Sn': -10.728875}
{' No': -0.16078027, '\n': -3.9923382, ' ': -4.8698564, 'No': -2.109131, ' A': -7.8901715}
{' No': -0.115139924, '\n': -3.894351, ' ': -4.893178, 'No': -2.523181, ' Sn': -8.839528}
{' No': -0.040272642, '\n': -6.688437, ' ': -6.056243, 'No': -3.3541589, ' A': -7.6486974}
