{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.0047705914, ' No': -5.492447, 'Yes': -7.5976977, ' The': -9.758299, ' yes': -10.112705}
{' Yes': -0.0021114144, ' No': -6.878063, 'Yes': -7.071619, ' yes': -9.200186, ' ': -9.691263}
{' Yes': -0.0023156554, 'Yes': -6.608618, ' No': -7.033682, ' yes': -10.534504, ' ': -10.546635}
{' Yes': -0.016733913, ' No': -4.1787953, 'Yes': -6.751381, 'No': -10.391045, ' ': -10.582848}
{' Yes': -0.0012903903, 'Yes': -7.3092713, ' No': -7.648539, ' The': -9.997348, ' ': -10.047574}
{' Yes': -0.0011258635, 'Yes': -7.107973, ' No': -8.730179, ' ': -9.9069195, ' yes': -10.160048}
{' Yes': -0.004561237, ' No': -5.6928067, 'Yes': -7.0297303, ' The': -9.320855, ' ': -9.343732}
{' Yes': -0.016851138, ' No': -4.189628, 'Yes': -6.762646, ' yes': -8.891906, ' ': -8.9548855}
{' Yes': -0.0006517033, 'Yes': -7.493977, ' yes': -10.1695385, ' No': -10.184707, ' ': -11.849464}
{' Yes': -0.0006213445, 'Yes': -7.874044, ' No': -8.636622, ' yes': -10.540746, ' The': -11.03949}
{' Yes': -0.0018226585, 'Yes': -6.5412016, ' No': -8.423846, ' The': -9.526486, ' yes': -10.160436}
{' Yes': -0.0019560622, 'Yes': -6.862486, ' Heart': -7.58467, ' No': -8.604072, ' YES': -9.608956}
{' Yes': -0.0005167393, 'Yes': -7.8391566, ' No': -9.738114, ' The': -10.591815, ' yes': -11.425054}
{' Yes': -0.0005960573, 'Yes': -7.5216355, ' ': -10.765748, ' YES': -11.680101, ' yes': -11.75481}
