{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Down': -0.32644337, ' down': -1.2824522, 'Down': -7.5510755, 'down': -7.6445184, ' Up': -9.526089}
{' Up': -0.034484014, ' up': -3.4052267, ' Down': -7.8143945, ' UP': -8.856396, 'Up': -9.503768}
{' Down': -0.07315094, ' down': -2.6580472, 'Down': -8.190546, 'down': -9.083682, ' DOWN': -10.2052555}
{' Up': -0.13557512, ' up': -2.074559, ' UP': -7.278231, ' Down': -8.609913, ' "': -9.134281}
{' down': -0.15070762, ' Down': -2.0090163, 'down': -5.370447, 'Down': -7.357849, ' ': -8.593752}
{' up': -0.6566672, ' Up': -0.74604934, 'up': -6.460378, ' e': -6.618049, ' Even': -6.8221865}
{' down': -0.4565257, ' Down': -1.0201625, 'down': -5.4561367, 'Down': -6.689496, ' e': -8.695486}
{' Up': -0.3913279, ' up': -1.1333152, ' UP': -7.124305, 'Up': -7.4374285, 'up': -7.984212}
{' down': -0.18069045, ' Down': -1.8720317, 'down': -4.9782634, ' even': -6.6175437, ' ': -6.912294}
{' Up': -0.43025595, ' up': -1.0689069, ' e': -6.3219047, ' ': -6.75678, 'up': -7.0773754}
{' down': -0.34304398, ' Down': -1.2804849, 'down': -5.1985373, ' e': -5.616012, 'Down': -6.533674}
{' up': -0.4556919, ' Up': -1.0157734, 'up': -6.96796, ' UP': -7.1384172, ' e': -7.263658}
{' down': -0.063109696, ' Down': -2.8869886, 'down': -5.596755, ' even': -7.8950047, 'Down': -7.91525}
{' up': -0.36237666, ' Up': -1.2003359, 'up': -6.8729124, ' UP': -7.437726, ' down': -7.8652124}
{' down': -0.25721604, ' Down': -1.507218, 'down': -5.6281323, 'Down': -7.088834, ' up': -7.982592}
{' up': -0.27641144, ' Up': -1.4307196, ' UP': -6.6843815, 'up': -7.4245396, 'Up': -7.9580894}
{' down': -0.45300508, ' Down': -1.0334857, 'down': -5.122551, 'Down': -6.2308445, ' ': -7.678574}
{' Up': -0.23736548, ' up': -1.5742757, 'Up': -6.8425875, 'up': -6.8870344, ' ': -7.0378547}
{' Down': -0.6886698, ' down': -0.7159792, 'down': -5.188641, 'Down': -5.9187665, ' ': -8.079445}
{' Up': -0.45793968, ' up': -1.0148473, ' UP': -6.2611775, 'Up': -6.586911, 'up': -6.9322166}
{' e': -0.56733316, ' down': -1.2393398, ' Down': -2.8462827, ' even': -3.299509, ' Even': -3.3496513}
{' e': -0.6159679, ' Up': -1.3350785, ' up': -1.6588182, ' ': -6.223436, ' Even': -6.5622764}
{' Down': -0.15090695, ' down': -1.982181, 'down': -6.6494856, 'Down': -7.0914435, ' DOWN': -9.262912}
{' Up': -0.21719685, ' up': -1.6454824, ' UP': -6.651185, 'Up': -7.539066, 'up': -8.228608}
{' down': -0.100731455, 'down': -2.767323, ' Down': -3.5643108, 'Down': -5.8216653, ' ': -6.6420774}
{' up': -0.18844695, ' Up': -1.9854956, 'up': -3.563918, 'Up': -5.608594, ' ': -6.7944593}
{' down': -0.1585777, ' Down': -2.4969852, 'down': -2.8372235, 'Down': -5.3738413, ' ': -7.712441}
{' up': -0.27662185, ' Up': -1.5721827, 'up': -3.8630226, 'Up': -4.8672204, ' UP': -5.473143}
{' down': -0.28216016, ' Down': -2.0617144, ' up': -2.345154, ' Up': -3.8596272, 'down': -6.989729}
{' down': -0.11376477, ' Down': -2.2707548, ' up': -6.121842, 'down': -6.7007146, ' Up': -7.601624}
{' down': -0.10805668, ' Down': -2.3705404, ' up': -5.038137, ' Up': -6.2768626, 'down': -7.6572795}
{' down': -0.1618009, ' Down': -2.2421424, ' up': -3.31033, ' Up': -5.1150155, 'down': -7.62139}
{' Down': -0.5981397, ' down': -1.0948019, ' Up': -2.475606, ' up': -3.5611694, 'down': -6.290189}
{' Down': -0.39089093, ' down': -1.155528, ' Up': -5.470641, 'down': -5.9907193, 'Down': -6.9949446}
{' Down': -0.5536003, ' down': -0.8872299, ' Up': -4.8076262, ' up': -5.7479744, 'down': -6.7679996}
{' Down': -0.48226988, ' down': -1.3623148, ' Up': -2.3780963, ' up': -3.4528067, 'down': -6.863175}
{' Up': -0.40266111, ' Down': -1.3880432, ' down': -3.1934917, ' up': -3.2299867, 'Down': -8.131294}
{' Down': -0.30009782, ' down': -1.3626587, 'down': -6.4688196, 'Down': -6.8913884, ' Up': -7.953055}
{' Down': -0.29144955, ' down': -1.4039143, ' Up': -5.3833456, 'down': -7.126715, 'Down': -7.14357}
{' Down': -0.5851084, ' Up': -1.189734, ' down': -2.2977433, ' up': -3.3065877, 'Down': -7.546278}
{' up': -0.69394547, ' down': -1.5204569, ' Up': -1.558106, ' Down': -2.662917, 'down': -7.734303}
{' down': -0.33259156, ' Down': -1.3573203, ' up': -4.232425, ' Up': -4.6988745, 'down': -6.5702014}
{' down': -0.53485715, ' Down': -1.6131327, ' up': -1.9877685, ' Up': -2.5775435, 'down': -6.7607155}
{' down': -0.95341796, ' up': -1.3521645, ' Down': -1.5096656, ' Up': -2.0167036, 'down': -7.002637}
{' Down': -0.7405753, ' Up': -0.934608, ' down': -2.3631415, ' up': -3.3949313, 'Down': -6.9276385}
{' Down': -0.27070075, ' down': -1.4675238, ' Up': -5.9462795, 'down': -6.314247, 'Down': -6.458055}
{' Down': -0.3724671, ' down': -1.2407951, ' Up': -4.120405, ' up': -5.872142, 'down': -6.645275}
{' Down': -0.26475137, ' down': -2.0219457, ' Up': -2.4287395, ' up': -4.6319714, 'Down': -6.9077563}
{' Up': -0.15870985, ' Down': -2.6155427, ' up': -2.7903244, ' down': -4.455053, ' UP': -8.3556185}
{' Down': -0.21285664, ' down': -1.6620163, 'down': -6.7503605, 'Down': -7.7085876, ' DOWN': -8.487511}
{' Down': -0.17466237, ' down': -1.9136837, ' Up': -4.563424, ' up': -6.8291907, 'down': -7.3612204}
{' Down': -0.33546546, ' Up': -1.9231082, ' down': -2.1275568, ' up': -3.9777575, 'down': -7.719553}
{' down': -0.9238574, ' Down': -1.3327796, ' Up': -1.7967517, ' up': -1.8018405, 'down': -5.394604}
{' down': -0.68027747, ' Down': -0.7989737, ' Up': -3.9999068, ' up': -4.2923512, 'down': -4.883736}
{' down': -0.46317583, ' Down': -1.3412372, ' up': -2.9021347, ' Up': -3.1249378, 'down': -4.9583464}
{' down': -0.6851632, ' Down': -0.832832, ' up': -3.6165617, ' Up': -3.648012, 'down': -5.319528}
{' Up': -0.5709826, ' up': -0.9761701, ' down': -3.4259894, ' Down': -3.687054, ' "': -7.6461053}
{' down': -0.52812475, ' Down': -0.91005224, ' up': -5.556367, ' Up': -5.6966863, 'down': -7.9256406}
{' up': -0.1238529, ' Up': -2.1595335, ' down': -7.1298013, ' Down': -8.929705, 'up': -8.977664}
{' down': -0.15069617, ' Down': -1.9712338, 'down': -7.570732, 'Down': -9.666996, ' DOWN': -10.859919}
{' Up': -0.15458268, ' up': -2.444158, ' Down': -3.150144, ' down': -4.382108, ' "': -7.5826807}
{' Down': -0.3581095, ' down': -1.2209941, ' Up': -5.881234, 'down': -6.2743406, 'Down': -7.2781644}
{' Up': -0.17091072, ' up': -2.0786808, ' Down': -3.7227507, ' down': -4.9519243, 'up': -7.9141483}
{' Down': -0.65550905, ' down': -0.74087256, 'down': -5.6505766, 'Down': -7.507926, ' DOWN': -10.544948}
{' Up': -0.70368284, ' Down': -0.8667249, ' down': -2.750245, ' up': -4.050202, ' "': -6.17966}
{' Down': -0.19775602, ' down': -1.7407782, 'down': -6.302511, 'Down': -6.7648125, ' Up': -7.5083294}
{' Up': -0.13502666, ' up': -2.4607217, ' Down': -3.4427335, ' down': -4.8966637, ' "': -7.8476977}
{' Down': -0.33969566, ' down': -1.2576301, 'down': -5.9892983, 'Down': -6.9125657, ' "': -9.31902}
{' down': -0.9072467, ' Down': -1.3779022, ' Up': -1.5888436, ' up': -1.9794779, ' "': -6.9908853}
{' down': -0.78463316, ' Down': -1.1239675, ' Up': -2.1335196, ' up': -2.3127646, 'down': -7.242797}
{' up': -0.26100022, ' Up': -1.5495572, ' down': -4.2919965, ' Down': -5.778118, 'up': -7.8841705}
{' down': -0.15236025, ' Down': -1.971412, 'down': -6.8282304, ' up': -7.527598, ' Up': -8.519841}
{' Up': -0.05210758, ' up': -3.1130626, ' Down': -5.634562, ' "': -7.1486163, ' down': -7.3649163}
{' Down': -0.19327371, ' down': -1.7686826, 'down': -6.023699, 'Down': -6.1314564, ' "': -8.364336}
{' Up': -0.03636047, ' up': -3.3763433, 'Up': -7.182999, ' UP': -7.983908, 'up': -8.269226}
{' Down': -0.2933374, ' down': -1.3913847, 'down': -5.6914597, 'Down': -6.2271156, ' DOWN': -9.716248}
{' Up': -0.077006124, ' Down': -3.1874719, ' up': -3.5751386, ' down': -5.49334, ' "': -7.5655117}
{' Down': -0.09363507, ' down': -2.4423842, ' Up': -6.3754396, 'down': -8.141854, 'Down': -8.434926}
{' Up': -0.13146663, ' up': -2.1000984, ' Down': -8.122044, ' UP': -8.82765, 'up': -8.986775}
{' Down': -0.27614713, ' down': -1.4262172, 'down': -7.1847925, 'Down': -8.246476, ' "': -10.496236}
{' down': -0.617104, ' up': -1.5660615, ' Down': -2.0364385, ' Up': -2.2276652, 'down': -4.8235364}
{' down': -0.33853802, ' Down': -1.3748864, 'down': -4.30849, ' up': -4.48342, ' Up': -5.0162435}
{' up': -0.30148247, ' Up': -1.4069111, ' down': -5.0323305, 'up': -5.2140093, ' Down': -6.3498697}
{' down': -0.13351479, ' Down': -2.1820548, 'down': -4.50466, 'Down': -6.9077816, ' ': -9.560991}
{' Up': -1.11555, ' Down': -1.2217168, ' down': -1.5062075, ' up': -1.8658665, 'down': -7.911763}
{' Down': -0.7590572, ' down': -1.3149368, ' Up': -1.6213468, ' up': -2.7412598, 'down': -7.6825366}
{' Up': -0.4255264, ' up': -1.372853, ' Down': -2.931685, ' down': -3.2257907, 'Up': -9.851885}
{' Down': -0.45636025, ' down': -1.0102468, ' Up': -6.54802, ' up': -7.887285, 'down': -8.283361}
{' Down': -0.63504505, ' down': -1.1368456, ' Up': -2.114068, ' up': -3.6002016, 'down': -7.285445}
{' Down': -0.5383847, ' down': -1.535867, ' Up': -1.7636979, ' up': -3.564565, 'down': -7.1543474}
{' Down': -0.686485, ' Up': -1.3883778, ' down': -1.6071734, ' up': -3.0863032, 'down': -7.387021}
{' Down': -0.56698555, ' down': -0.8679538, ' Up': -4.663505, ' up': -6.1435843, 'down': -6.9315386}
{' Down': -0.5364398, ' down': -0.9176424, ' Up': -4.5026207, ' up': -6.2950897, 'down': -6.530157}
{' Up': -0.17594993, ' up': -2.4408388, ' Down': -2.9307084, ' down': -3.9176338, 'Up': -7.9315033}
{' Up': -0.4786879, ' Down': -1.8577887, ' up': -2.0522676, ' down': -2.355025, 'down': -7.8763795}
{' Down': -0.52575684, ' down': -0.9073791, ' Up': -5.861564, 'down': -6.684162, 'Down': -7.333864}
{' down': -0.7602088, ' up': -1.3842571, ' Up': -1.8426254, ' Down': -2.0960796, 'down': -8.120561}
{' down': -0.6152903, ' Down': -1.6309229, ' up': -1.9047645, ' Up': -2.1689076, 'down': -8.049822}
{' up': -0.91292924, ' down': -1.0825058, ' Up': -1.7303922, ' Down': -2.4977717, 'down': -8.541375}
{' down': -0.17016971, ' Down': -1.9578303, ' up': -4.6529083, ' Up': -5.271002, 'down': -7.6595645}
{' Down': -0.26500058, ' down': -1.6067154, ' Up': -3.6276278, 'Down': -6.0728884, ' up': -6.412925}
{' Up': -0.19745965, ' Down': -2.1179156, ' up': -3.285495, ' down': -3.9279017, 'Up': -7.1482897}
{' Up': -0.20269002, ' Down': -2.3648014, ' up': -2.724962, ' down': -3.7945917, 'Up': -7.2952113}
{' Down': -0.30816752, ' down': -1.3452407, 'Down': -6.432015, ' Up': -6.5028615, 'down': -6.540425}
{' Up': -0.7342768, ' Down': -0.99033076, ' down': -2.2429745, ' up': -3.1753228, 'down': -8.161479}
{' Up': -0.5537244, ' Down': -1.3704493, ' up': -2.4259093, ' down': -2.513441, 'down': -7.805868}
{' Up': -0.30832228, ' Down': -1.9552014, ' up': -2.4477856, ' down': -3.299159, 'down': -9.245397}
{' Down': -0.29855472, ' down': -1.473695, ' Up': -3.6453104, ' up': -6.2398505, 'down': -7.35251}
{' down': -0.46839386, ' Down': -1.7770371, ' up': -2.1812844, ' Up': -2.4810834, 'down': -5.370602}
{' down': -0.26306263, ' up': -2.3004885, ' Down': -2.336749, ' Up': -3.654048, 'down': -5.0750666}
{' down': -0.66779834, ' up': -1.3504366, ' Up': -2.1674473, ' Down': -2.2372851, 'down': -5.639422}
{' down': -0.28075415, ' Down': -1.4923973, ' up': -5.121647, 'down': -5.1741104, ' Up': -5.2231884}
{' Up': -0.17439736, ' up': -1.8381528, ' Down': -7.7787867, ' down': -8.543218, 'up': -8.970139}
{' Down': -0.6139656, ' down': -0.78032637, 'down': -8.078555, 'Down': -8.467477, ' DOWN': -11.162265}
{' Up': -0.27302, ' up': -1.4337617, ' UP': -8.1302185, 'Up': -9.381073, 'up': -9.808777}
{' Down': -0.46165958, ' down': -0.99631226, 'down': -8.072696, 'Down': -8.59378, ' DOWN': -11.365502}
{' Up': -0.22652471, ' up': -1.651343, ' Down': -5.4594274, ' down': -5.613779, 'up': -6.3805637}
{' Down': -0.4841701, ' down': -0.9638339, 'down': -6.484227, 'Down': -7.1528134, ' DOWN': -10.78255}
{' Up': -0.04801032, ' up': -3.0791862, 'Up': -8.078816, ' UP': -8.3808, ' Down': -9.090045}
{' Down': -0.4106618, ' down': -1.097807, 'down': -6.131788, 'Down': -7.0076733, ' DOWN': -10.02529}
{' Up': -0.22525291, ' up': -1.6326034, 'up': -6.2831674, ' Down': -6.710994, ' down': -6.713919}
{' down': -0.663698, ' Down': -0.73220617, 'down': -5.9194555, 'Down': -6.5952263, ' DOWN': -9.621567}
{' Up': -0.06658278, ' up': -2.7663014, ' "': -7.7693524, 'Up': -7.8687496, ' UP': -8.141935}
{' Down': -0.42465907, ' down': -1.0749333, 'down': -5.852938, 'Down': -6.513808, ' "': -8.545983}
{' up': -0.37229782, ' Up': -1.198441, ' down': -4.987032, ' Down': -6.8549576, 'up': -6.9870076}
{' down': -0.09475329, ' Down': -2.419691, 'down': -6.7051387, 'Down': -8.592932, ' ': -10.9581995}
{' up': -0.6193324, ' Up': -0.7766943, ' down': -7.401694, 'up': -8.037297, ' UP': -8.272207}
{' down': -0.28954506, ' Down': -1.3880061, 'down': -6.6189837, 'Down': -7.9478126, ' up': -9.954155}
{' Up': -0.21804179, ' up': -1.6641246, 'up': -5.8569827, 'Up': -6.29025, ' Down': -7.3589835}
{' Down': -0.60119927, ' down': -0.80379015, 'down': -6.123313, 'Down': -6.254136, ' DOWN': -9.551737}
{' Up': -0.1318214, ' up': -2.122361, ' Down': -6.5964017, ' down': -7.1576066, 'Up': -7.2896523}
{' down': -0.6742879, ' Down': -0.7286911, 'down': -5.2174473, 'Down': -6.1114235, ' DOWN': -8.9128475}
{' Up': -0.042689785, ' up': -3.1984553, ' Down': -7.9790964, 'up': -8.361497, 'Up': -8.642203}
{' Down': -0.09159325, ' down': -2.4462419, 'Down': -7.659207, 'down': -7.871763, ' "': -10.627827}
{' Up': -0.020678025, ' up': -3.9183295, ' UP': -8.08791, 'Up': -8.774483, ' "': -9.573994}
{' Down': -0.08308422, ' down': -2.5397224, 'down': -7.8314486, 'Down': -7.900705, ' "': -10.201143}
{' up': -0.5668739, ' Up': -0.87181705, 'up': -4.5059514, 'Up': -6.046423, ' ': -7.769236}
{' down': -0.27557153, ' Down': -1.5099446, 'down': -4.1200595, 'Down': -5.6534514, ' ': -8.981172}
{' up': -0.49044558, ' Up': -0.97316116, 'up': -5.2408347, 'Up': -5.684003, ' UP': -7.8976684}
{' down': -0.48392457, ' Down': -1.0261494, 'down': -3.884456, 'Down': -5.407762, ' ': -9.225203}
{' down': -0.44664627, ' Down': -1.0410544, ' Up': -5.676569, ' up': -6.3947773, 'down': -6.4575906}
{' down': -0.6471956, ' Down': -0.7687281, ' Up': -4.8708644, ' up': -5.6977344, 'down': -6.591722}
{' down': -0.50538033, ' Down': -1.554258, ' up': -2.2923694, ' Up': -2.4882543, 'down': -7.005573}
{' down': -0.23313119, ' Down': -1.5801485, 'down': -6.753427, ' Up': -8.097881, ' up': -8.147562}
{' Down': -0.7756231, ' down': -0.9029577, ' Up': -2.3017287, ' up': -3.5322435, 'down': -5.8705726}
{' down': -0.38222975, ' Down': -1.1684237, 'down': -5.6797204, ' Up': -6.600352, ' up': -6.7260857}
{' down': -1.0075926, ' Down': -1.0900606, ' Up': -1.596435, ' up': -2.3782458, 'down': -6.200366}
{' down': -0.39127755, ' Down': -1.1447394, 'down': -5.391905, 'Down': -7.185793, ' "': -9.436701}
{' down': -0.46323058, ' Down': -1.0314661, ' Up': -5.196146, 'down': -5.4666653, ' up': -5.8783593}
{' down': -0.534468, ' Down': -0.9036258, 'down': -5.68787, ' Up': -5.8483906, ' up': -6.6635456}
{' down': -1.1364688, ' Up': -1.2726325, ' up': -1.2766895, ' Down': -2.1434784, 'down': -6.648887}
{' down': -0.29837728, ' Down': -1.3722774, 'down': -5.6250334, 'Down': -7.2564816, ' "': -9.912366}
{' down': -0.7319152, ' Down': -0.74772906, ' Up': -3.462031, ' up': -4.4957204, 'down': -6.270983}
{' Down': -0.41727456, ' down': -1.1919175, ' Up': -3.5187054, ' up': -5.2111664, 'down': -6.5839458}
{' Up': -1.0045205, ' Down': -1.3907949, ' down': -1.4926722, ' up': -1.8418143, 'down': -7.248236}
{' down': -0.37711117, ' Down': -1.1694545, 'down': -6.07998, 'Down': -7.5361876, ' Up': -7.9103694}
{' down': -0.43821514, ' Down': -1.0719182, 'down': -4.9164257, ' Up': -6.0959263, 'Down': -6.4302726}
{' down': -0.47286782, ' Down': -1.0361555, ' Up': -4.5602355, 'down': -5.0897026, ' up': -5.753946}
{' down': -0.73809934, ' up': -1.541135, ' Up': -1.6510975, ' Down': -2.1985352, 'down': -5.74113}
{' down': -0.22440295, ' Down': -1.6331477, 'down': -5.370601, 'Down': -7.0806117, ' ': -9.767261}
{' Down': -0.1817112, ' down': -1.9550667, ' Up': -3.9165437, 'down': -6.2878323, ' up': -6.6559696}
{' Down': -0.17945206, ' down': -1.9007367, ' Up': -4.556329, 'down': -6.0948396, 'Down': -7.0763}
{' Up': -0.8053584, ' Down': -0.9657112, ' down': -2.107986, ' up': -3.0175166, 'down': -7.0278463}
{' Down': -0.3241986, ' down': -1.2940892, 'down': -6.151459, 'Down': -7.714648, ' "': -9.511834}
{' down': -0.10763291, ' Down': -2.477643, 'down': -4.2801566, ' up': -6.449912, 'Down': -6.4723735}
{' down': -0.11045877, ' Down': -2.53056, 'down': -4.233645, ' up': -5.0792565, ' Up': -6.3681126}
{' down': -0.81350577, ' up': -0.8823229, ' Up': -2.3416429, ' Down': -3.3360069, 'down': -5.254601}
{' down': -0.06099866, ' Down': -3.162729, 'down': -4.1612697, 'Down': -6.815181, ' ': -9.071248}
{' Down': -0.0916116, ' down': -2.4418657, 'Down': -8.328784, 'down': -8.563315, ' Up': -9.680467}
{' Up': -0.105144635, ' up': -2.3117466, ' UP': -8.153212, ' Down': -8.401531, 'Up': -9.378012}
{' Down': -0.3543213, ' down': -1.211787, 'down': -8.050949, 'Down': -8.055734, ' DOWN': -10.200501}
{' Up': -0.073279835, ' up': -2.6535637, ' UP': -8.947423, 'Up': -9.674972, ' Down': -10.14758}
{' Down': -0.23457967, ' down': -1.5798459, 'down': -6.377093, 'Down': -6.871098, ' Up': -8.670862}
{' Up': -0.11716364, ' up': -2.2493067, ' Down': -5.7038713, ' down': -6.8389, 'Up': -8.240506}
{' down': -0.4467442, ' Down': -1.2569191, ' Up': -3.3348322, ' up': -3.3563948, 'down': -5.5762453}
{' down': -1.073294, ' Down': -1.1586844, ' Up': -1.4615215, ' up': -2.227215, 'down': -5.9492917}
{' Down': -0.2476597, ' down': -1.5254421, 'down': -7.056261, 'Down': -7.1179442, ' DOWN': -9.331319}
{' Up': -0.08327278, ' up': -2.5648515, ' Down': -6.6010737, ' down': -7.680927, ' UP': -7.7075934}
{' Down': -0.40240544, ' down': -1.1096598, 'down': -7.156337, 'Down': -7.1920705, ' DOWN': -9.749374}
{' Up': -0.08311181, ' up': -2.5379286, ' UP': -8.087941, 'Up': -8.160389, 'up': -9.282902}
{' down': -0.51342624, ' Down': -0.9231287, 'down': -6.265545, ' Up': -7.1488824, ' up': -7.177252}
{' up': -0.50095814, ' Up': -0.94024533, ' down': -6.2107053, ' Down': -7.46143, 'up': -7.947659}
{' down': -0.093623556, ' Down': -2.444608, 'down': -6.3063173, ' up': -8.085439, 'Down': -8.42096}
{' up': -0.44470948, ' Up': -1.041088, ' down': -5.5932016, ' Down': -7.0251117, 'up': -7.24805}
{' Down': -0.32253116, ' down': -1.3064218, 'down': -6.012978, 'Down': -6.2413735, ' "': -8.486704}
{' Up': -0.13156466, ' up': -2.1691127, ' Down': -5.483991, ' down': -6.0703764, 'Up': -6.8987837}
{' Down': -0.68604267, ' down': -0.7107542, 'down': -5.6189804, 'Down': -6.601867, ' DOWN': -8.936252}
{' Up': -0.10783253, ' up': -2.2984242, 'Up': -7.181256, 'up': -7.575527, ' UP': -7.7681565}
{' Down': -0.090496704, ' down': -2.4565396, 'down': -7.720179, 'Down': -8.305501, ' Up': -10.081641}
{' Up': -0.017730357, ' up': -4.081178, ' Down': -8.240253, ' UP': -8.330755, 'Up': -9.142487}
{' Down': -0.09364554, ' down': -2.4221175, 'down': -8.058687, 'Down': -8.123953, ' DOWN': -10.352137}
{' Up': -0.019106831, ' up': -3.9820428, ' UP': -8.655611, 'Up': -9.614404, 'up': -10.499151}
{' down': -0.5592969, ' Down': -0.95025945, 'down': -3.8053944, ' Up': -4.9760885, 'Down': -4.987464}
{' down': -0.54537696, ' Down': -1.1036388, ' Up': -3.2718287, 'down': -3.792951, ' up': -3.9530058}
{' down': -0.2305921, ' Down': -1.754844, 'down': -4.0355825, ' up': -4.988801, ' Up': -5.4196844}
{' Up': -0.4496053, ' up': -1.1807873, ' down': -3.581502, ' Down': -3.9290118, 'up': -5.981749}
{' Down': -0.24614859, ' down': -1.5269045, 'Down': -7.6485624, 'down': -7.8613157, ' DOWN': -9.945312}
{' Up': -0.029272854, ' up': -3.5639026, ' UP': -8.171293, ' Down': -9.057609, 'Up': -9.436287}
{' Down': -0.09735876, ' down': -2.3855171, 'Down': -7.9462957, 'down': -8.742166, ' DOWN': -9.156549}
{' Up': -0.11359161, ' up': -2.2456508, ' UP': -6.7352, 'Up': -8.772941, ' "': -9.601268}
{' down': -0.22686537, ' Down': -1.6301363, 'down': -5.124095, 'Down': -7.0905623, ' ': -8.704104}
{' Up': -0.51301533, ' up': -0.92068833, 'up': -6.7932925, 'Up': -7.4473414, ' ': -7.823772}
{' Down': -0.6385529, ' down': -0.7618097, 'down': -5.6602793, 'Down': -6.579259, ' ': -9.29531}
{' Up': -0.3097344, ' up': -1.3316612, 'Up': -7.0782433, ' UP': -7.13303, 'up': -7.7428145}
{' down': -0.21634749, ' Down': -1.6812314, 'down': -5.00373, 'Down': -6.928992, ' ': -7.7705674}
{' Up': -0.28542158, ' up': -1.4050583, 'Up': -7.3080916, 'up': -7.4537845, ' ': -7.5471053}
{' down': -0.6736415, ' Down': -0.7298262, 'down': -5.3289394, 'Down': -6.2251163, ' DOWN': -7.6635857}
{' Up': -0.608871, ' up': -0.7946543, ' UP': -6.65245, 'Up': -7.0727572, 'up': -7.3155}
{' down': -0.07346546, ' Down': -2.7253208, 'down': -5.410557, 'Down': -7.718288, ' ': -8.516813}
{' up': -0.46787345, ' Up': -0.99741644, ' down': -6.6205263, 'up': -6.6267114, ' UP': -7.0764165}
{' down': -0.55310017, ' Down': -0.8722644, 'down': -5.449163, 'Down': -6.48879, ' up': -7.856945}
