{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.24627836, ' left': -1.5796906, ' Right': -5.1325903, 'left': -5.9297194, 'Left': -5.976915}
{' Right': -0.10345047, ' right': -2.392097, 'Right': -5.4389315, 'right': -6.2684436, ' Left': -8.000564}
{' Left': -0.41235054, ' left': -1.1751908, ' Right': -4.252318, 'left': -5.1131387, ' right': -5.378554}
{' Right': -0.23714212, ' right': -1.5961087, 'Right': -5.4205236, 'right': -5.6097655, ' Left': -9.078903}
{' Left': -0.23413338, ' left': -1.606814, 'Left': -5.646857, 'left': -5.948376, ' Right': -6.4310155}
{' Right': -0.08459608, ' right': -2.5881722, 'Right': -5.518836, 'right': -6.5704527, ' Left': -8.446067}
{' Left': -0.35260767, ' left': -1.2468224, 'Left': -5.39409, 'left': -5.46402, ' Right': -7.5162983}
{' Right': -0.19192734, ' right': -1.788111, 'Right': -5.4124837, 'right': -5.948323, ' ': -8.80759}
{' Left': -0.65831435, ' left': -0.7907034, ' Right': -4.3314633, ' right': -4.808636, 'left': -5.5171742}
{' Right': -0.2953367, ' right': -1.3979235, 'Right': -5.3263426, 'right': -5.7867928, ' ': -8.3940525}
{' Left': -0.70172876, ' left': -0.8239173, ' Right': -3.5582867, ' right': -3.7569463, 'left': -4.9752674}
{' Right': -0.6289016, ' right': -0.78341395, 'right': -5.251468, 'Right': -5.455625, ' ': -8.572774}
{' Left': -0.32370442, ' left': -1.3907171, ' Right': -4.144816, 'Left': -5.4376283, ' right': -5.6695065}
{' Right': -0.28447637, ' right': -1.4493265, 'Right': -5.0107946, 'right': -5.6506777, ' ': -7.021338}
{' Left': -0.58897674, ' left': -0.84487236, 'left': -4.840831, 'Left': -4.9493284, ' ': -8.223742}
{' Right': -0.31140268, ' right': -1.3580507, 'Right': -4.9780493, 'right': -5.7927732, ' ': -8.097775}
{' Left': -0.057241064, ' left': -3.1039383, ' Right': -4.999578, 'Left': -6.0199943, 'left': -6.8242464}
{' Right': -0.023505926, ' right': -3.944921, 'Right': -5.797119, 'right': -7.5708313, ' ': -8.7687025}
{' Left': -0.7028288, ' Right': -0.8083148, ' left': -3.3317409, ' right': -4.134809, 'Right': -6.1758413}
{' Right': -0.043752495, ' right': -3.3020341, 'Right': -5.564377, 'right': -6.617414, ' Left': -7.7262506}
{' Left': -0.33001164, ' left': -1.2862952, ' Right': -6.35573, 'Left': -6.681366, 'left': -6.8916607}
{' Right': -0.20529124, ' right': -1.6975225, 'Right': -6.40141, 'right': -7.3602076, '\n': -9.634513}
{' Left': -0.3857848, ' left': -1.1467178, 'Left': -6.782898, 'left': -6.973217, ' Right': -8.670719}
{' Right': -0.23897736, ' right': -1.5628872, 'Right': -6.2468605, 'right': -7.173271, ' RIGHT': -9.145977}
{' Left': -0.15967028, ' left': -1.9867634, 'Left': -4.9654007, 'left': -5.9139905, ' Right': -7.5888805}
{' Right': -0.22810094, ' right': -1.6366475, 'Right': -5.1937623, 'right': -5.653566, ' ': -8.871766}
{' Left': -0.29114223, ' left': -1.4088236, 'Left': -5.3550496, 'left': -5.7274346, ' ': -9.269324}
{' Right': -0.17514606, ' right': -1.8852937, 'Right': -5.085018, 'right': -6.1505103, ' RIGHT': -8.409288}
{' Left': -0.19544055, ' left': -1.7874814, 'Left': -4.981392, 'left': -5.8815823, ' ': -8.146767}
{' Right': -0.18725911, ' right': -1.8371024, 'Right': -4.9718604, 'right': -5.53775, ' ': -8.0286455}
{' Left': -0.3067293, ' left': -1.3695574, 'Left': -5.1593256, 'left': -5.581654, ' ': -8.428879}
{' Right': -0.16475372, ' right': -1.965634, 'Right': -4.8917127, 'right': -5.800011, ' RIGHT': -7.2771225}
{' Left': -0.5912344, ' left': -0.8340475, 'Left': -5.090692, 'left': -5.4648075, ' Right': -7.5429454}
{' Right': -0.6481269, ' right': -0.76970136, 'Right': -4.9861856, 'right': -5.0568757, '\n': -8.242764}
{' Left': -0.57849604, ' left': -0.84191805, 'Left': -5.3938227, 'left': -5.675271, '\n': -8.584952}
{' Right': -0.5613728, ' right': -0.881159, 'Right': -4.728277, 'right': -5.2068424, '\n': -7.9569883}
{' Left': -0.2969083, ' left': -1.4219444, 'Left': -4.5039606, 'left': -5.537957, ' ': -7.682043}
{' Right': -0.32021412, ' right': -1.3514756, 'Right': -4.7240815, 'right': -5.21585, ' ': -7.560133}
{' Left': -0.34305045, ' left': -1.28163, 'Left': -4.787789, 'left': -5.498516, ' ': -8.276856}
{' Right': -0.2416651, ' right': -1.625681, 'Right': -4.4215508, 'right': -5.5342336, ' RIGHT': -7.051846}
{' Left': -0.09231884, ' left': -2.488851, 'Left': -5.5180883, 'left': -6.96901, ' ': -8.877174}
{' Right': -0.07233276, ' right': -2.7374365, 'Right': -5.592396, 'right': -6.833338, ' ': -8.916005}
{' Left': -0.09983763, ' left': -2.401828, 'Left': -5.780971, 'left': -6.7380834, ' ': -9.288896}
{' Right': -0.05754678, ' right': -2.9728544, 'Right': -5.64415, 'right': -7.167597, ' RIGHT': -8.623987}
{' Right': -0.09316273, ' right': -2.4565966, 'Right': -6.281595, 'right': -7.1559277, ' Left': -8.499128}
{' Left': -0.27088532, ' left': -1.4507444, 'Left': -6.4699035, 'left': -6.7346964, ' ': -9.769516}
{' Right': -0.23744173, ' right': -1.5736786, 'right': -6.204908, 'Right': -6.307443, ' ': -9.028227}
{' Left': -0.18256742, ' left': -1.8121564, 'Left': -6.219175, 'left': -6.729306, ' Right': -8.818912}
{' Right': -0.05949937, ' right': -3.0166087, 'Right': -5.0799594, 'right': -6.3890753, ' Left': -7.667894}
{' Left': -0.1642193, ' left': -1.9402183, 'Left': -5.2531857, 'left': -6.033589, ' ': -9.179408}
{' Right': -0.14893739, ' right': -2.0577796, 'Right': -5.232437, 'right': -5.352139, ' Left': -8.423403}
{' Left': -0.13880356, ' left': -2.1185207, 'Left': -5.1059685, 'left': -5.8069987, ' Right': -8.7183}
{' Right': -0.06521601, ' right': -2.9377973, 'Right': -4.954502, 'right': -6.231825, ' Left': -7.783864}
{' Left': -0.20149158, ' left': -1.7589847, 'Left': -5.025275, 'left': -5.665748, ' ': -8.98347}
{' Right': -0.1338259, ' right': -2.2192197, 'Right': -4.8114705, 'right': -5.133635, ' Left': -6.5413284}
{' Left': -0.19755876, ' left': -1.796653, 'Left': -5.003806, 'left': -5.4760885, ' Right': -6.2863245}
{' Right': -0.26942196, ' right': -1.4956775, 'Right': -4.961942, 'right': -5.575259, ' ': -7.8077407}
{' Left': -0.66650903, ' left': -0.74279344, 'Left': -5.273088, 'left': -5.2776465, ' ': -8.503938}
{' Right': -0.5848578, ' right': -0.8476045, 'right': -4.8507156, 'Right': -5.122305, ' ': -8.031421}
{' Left': -0.5311529, ' left': -0.9192049, 'Left': -5.0050073, 'left': -5.253607, ' Right': -7.643456}
{' Right': -0.060830537, ' right': -3.0874362, 'Right': -4.6146674, 'right': -6.217559, ' ': -7.246351}
{' Left': -0.20641683, ' left': -1.7727332, 'Left': -4.479221, 'left': -5.3365684, ' ': -8.1559725}
{' Right': -0.1712703, ' right': -1.9906157, 'Right': -4.3355103, 'right': -4.987301, ' ': -7.5874233}
{' Left': -0.22997804, ' left': -1.6759981, 'Left': -4.4091005, 'left': -5.1915183, ' ': -7.8776855}
{' Right': -0.035738833, ' right': -3.5663173, 'Right': -5.3172803, 'right': -6.858839, ' Left': -7.9945536}
{' Left': -0.08035088, ' left': -2.6438274, 'Left': -5.4119797, 'left': -6.553188, ' ': -8.839956}
{' Right': -0.055538684, ' right': -3.0471883, 'Right': -5.3956666, 'right': -6.4133835, ' ': -8.471164}
{' Left': -0.07242279, ' left': -2.7909017, 'Left': -5.0584054, 'left': -6.321101, ' ': -8.702354}
{' Right': -0.36193472, ' right': -1.2007562, 'Right': -6.6734877, 'right': -6.7372255, ' ': -9.199111}
{' Left': -0.2237258, ' left': -1.619125, 'Left': -6.429895, 'left': -7.2981896, '\n': -9.988894}
{' Right': -0.26737693, ' right': -1.4601221, 'Right': -6.789288, 'right': -7.2180715, ' Left': -8.78341}
{' Left': -0.2965253, ' left': -1.3711787, 'Left': -6.3442492, 'left': -7.00229, ' ': -9.639104}
{' Right': -0.1556879, ' right': -1.9846025, 'Right': -5.5130734, 'right': -6.067029, ' ': -8.447188}
{' Left': -0.122760676, ' left': -2.2357862, 'Left': -5.0194488, 'left': -6.276661, ' ': -9.593352}
{' Right': -0.11317035, ' right': -2.4068296, ' Left': -4.8048644, 'Right': -5.482923, ' left': -6.0858703}
{' Left': -0.21474545, ' left': -1.6853456, 'Left': -5.294749, 'left': -5.8997617, ' ': -9.449662}
{' Right': -0.13109234, ' right': -2.1666946, 'Right': -5.318718, 'right': -5.892975, ' ': -7.8558464}
{' Left': -0.09474084, ' left': -2.4947479, 'Left': -5.091256, 'left': -6.48353, ' ': -9.040302}
{' Right': -0.08560267, ' right': -2.6734207, ' Left': -5.165686, 'Right': -5.6061444, 'right': -6.5257306}
{' Left': -0.15599975, ' left': -1.9864689, 'Left': -5.3024, 'left': -6.172244, ' ': -9.054463}
{' Right': -0.41878057, ' right': -1.1035435, 'Right': -5.2076774, 'right': -5.4441576, ' ': -7.909553}
{' Left': -0.4455843, ' left': -1.05268, 'Left': -4.9832335, 'left': -5.712092, ' ': -8.578696}
{' Right': -0.4468864, ' right': -1.0534939, 'Right': -5.505064, 'right': -5.7539005, ' left': -6.332466}
{' Left': -0.64736974, ' left': -0.75946265, 'Left': -5.35883, 'left': -5.6275487, ' ': -8.506667}
{' Right': -0.12428065, ' right': -2.236406, 'Right': -4.9511905, 'right': -6.2105665, ' ': -7.4461966}
{' Left': -0.11917449, ' left': -2.3099227, 'Left': -4.5074472, 'left': -6.346145, ' ': -8.5567465}
{' Right': -0.14353363, ' right': -2.7563398, ' Left': -2.9877794, ' left': -4.6513596, 'Right': -5.0902343}
{' Left': -0.15822831, ' left': -2.0048757, 'Left': -4.7136364, 'left': -6.013139, ' ': -8.706631}
{' Right': -0.06675486, ' right': -2.8499312, 'Right': -5.495725, 'right': -6.5243983, ' ': -7.5677085}
{' Left': -0.056861687, ' left': -3.0288658, 'Left': -5.1776333, 'left': -6.9135017, ' ': -8.742598}
{' Right': -0.1896566, ' Left': -2.1566517, ' right': -3.331426, ' left': -4.3094378, 'Right': -5.6431317}
{' Left': -0.08878158, ' left': -2.5203288, 'Left': -5.76424, 'left': -6.754661, ' ': -8.803673}
{' Left': -0.6186647, ' left': -0.8313512, ' Right': -4.2612805, ' right': -4.9682093, 'left': -5.9134316}
{' Right': -0.1852001, ' right': -1.802479, 'Right': -6.0776315, 'right': -6.5835576, '\n': -8.760931}
{' left': -0.7819395, ' Left': -1.0317659, ' Right': -2.3301134, ' right': -2.5149527, 'left': -5.876}
{' Right': -0.56099874, ' right': -0.8591288, 'right': -5.7021174, 'Right': -6.162193, ' ': -8.9984665}
{' Left': -0.26664048, ' left': -1.6372572, ' Right': -3.5721862, ' right': -5.373486, 'left': -5.750769}
{' Right': -0.09526041, ' right': -2.5029979, 'Right': -5.198732, 'right': -6.1124353, ' Left': -7.0452495}
{' Left': -0.39065927, ' left': -1.2003728, ' Right': -4.820722, 'left': -5.0287375, 'Left': -5.363996}
{' Right': -0.22793645, ' right': -1.6401602, 'Right': -5.270434, 'right': -5.4635186, ' Left': -8.646167}
{' Left': -0.2654031, ' left': -1.501159, 'Left': -5.7285795, ' Right': -5.736022, 'left': -5.8329573}
{' Right': -0.076476514, ' right': -2.6969771, 'Right': -5.469308, 'right': -6.6143975, ' Left': -8.158521}
{' Left': -0.3696911, ' left': -1.2082931, 'Left': -5.40569, 'left': -5.415433, ' Right': -7.0697904}
{' Right': -0.20235516, ' right': -1.7400899, 'Right': -5.403237, 'right': -5.858037, ' ': -8.715492}
{' Left': -0.7203401, ' left': -0.7209218, ' Right': -4.5085497, ' right': -4.8442087, 'left': -5.389381}
{' Right': -0.29985702, ' right': -1.3910626, 'Right': -5.134732, 'right': -5.6407456, ' ': -8.098961}
{' Left': -0.8085022, ' left': -0.8291951, ' Right': -2.8831213, ' right': -3.0672703, 'left': -5.011026}
{' Right': -0.67059284, ' right': -0.7415404, 'right': -5.047811, 'Right': -5.2802787, ' ': -8.058303}
{' Left': -0.29198456, ' left': -1.5441512, ' Right': -3.6412487, ' right': -5.324217, 'Left': -5.377407}
{' Right': -0.15053238, ' right': -2.0497403, 'Right': -5.014439, 'right': -6.063257, ' Left': -7.1592827}
{' Left': -0.36190543, ' left': -1.2444642, 'Left': -4.7798896, 'left': -5.07187, ' Right': -7.812695}
{' Right': -0.33366027, ' right': -1.3000966, 'Right': -4.9531574, 'right': -5.6381855, ' ': -7.9424076}
{' Left': -0.08423925, ' left': -2.6387608, ' Right': -5.4160852, 'Left': -5.9314165, 'left': -6.402505}
{' Right': -0.027906787, ' right': -3.7540514, 'Right': -5.7950287, 'right': -7.374428, ' ': -8.55004}
{' Left': -0.34449098, ' Right': -1.5717573, ' left': -2.7270784, ' right': -4.552367, 'Left': -5.877511}
{' Right': -0.051395997, ' right': -3.1355653, 'Right': -5.49754, 'right': -6.390875, ' Left': -7.7465024}
{' Left': -0.35744157, ' left': -1.2211597, ' Right': -6.211001, 'Left': -6.5743465, 'left': -6.670157}
{' Right': -0.30687106, ' right': -1.3438679, 'Right': -6.206383, 'right': -6.7501693, '\n': -9.226282}
{' Left': -0.41797087, ' left': -1.0819266, 'Left': -6.707077, 'left': -6.8038297, ' Right': -8.733313}
{' Right': -0.24762382, ' right': -1.5358336, 'Right': -5.982838, 'right': -6.8842373, ' RIGHT': -8.612884}
{' Left': -0.1544901, ' left': -2.021172, 'Left': -4.9777436, 'left': -5.90164, ' Right': -7.2381673}
{' Right': -0.22584547, ' right': -1.6477376, 'Right': -5.1371555, 'right': -5.6523685, ' ': -8.76875}
{' Left': -0.31102198, ' left': -1.3542329, 'Left': -5.2691035, 'left': -5.5821137, ' ': -8.947369}
{' Right': -0.16274326, ' right': -1.9665896, 'Right': -4.951039, 'right': -5.9991307, ' RIGHT': -8.202906}
{' Left': -0.20628847, ' left': -1.74047, 'Left': -4.93958, 'left': -5.7156262, ' ': -8.210468}
{' Right': -0.21254624, ' right': -1.7334813, 'Right': -4.777861, 'right': -5.175626, ' ': -7.750899}
{' Left': -0.29246518, ' left': -1.4145831, 'Left': -5.1245914, 'left': -5.478899, ' ': -8.271407}
{' Right': -0.17100117, ' right': -1.9315468, 'Right': -4.8685246, 'right': -5.7822967, ' RIGHT': -7.16336}
{' Left': -0.42749017, ' left': -1.0964888, 'Left': -5.137499, 'left': -5.6570606, ' Right': -6.0170856}
{' Right': -0.6621552, ' right': -0.75923926, 'Right': -4.8548126, 'right': -4.8658752, ' ': -7.961357}
{' Left': -0.6927062, ' left': -0.71110266, 'left': -5.486129, 'Left': -5.511216, '\n': -8.73081}
{' Right': -0.507577, ' right': -0.9591056, 'Right': -4.7782545, 'right': -5.260232, ' ': -7.8012533}
{' Left': -0.26342487, ' left': -1.5205431, 'Left': -4.709592, 'left': -5.702468, ' ': -7.637997}
{' Right': -0.28890988, ' right': -1.4468555, 'Right': -4.686069, 'right': -5.2486377, ' ': -7.2103796}
{' Left': -0.30214292, ' left': -1.3933828, 'Left': -4.800163, 'left': -5.5785723, ' ': -7.944592}
{' Right': -0.1745347, ' right': -1.9420441, 'Right': -4.4526467, 'right': -5.8475494, ' RIGHT': -6.8920283}
{' Left': -0.08516896, ' left': -2.5723476, 'Left': -5.537401, 'left': -6.8915195, ' ': -8.867752}
{' Right': -0.07724209, ' right': -2.669161, 'Right': -5.640982, 'right': -6.7796826, ' ': -8.550848}
{' Left': -0.0792624, ' left': -2.62991, 'Left': -5.900748, 'left': -6.945969, ' Right': -8.208282}
{' Right': -0.052767877, ' right': -3.0663538, 'Right': -5.644187, 'right': -7.2100663, ' RIGHT': -8.4519615}
{' Right': -0.11188042, ' right': -2.280467, 'Right': -6.081048, 'right': -6.9734983, ' ': -8.872214}
{' Left': -0.32444513, ' left': -1.2980036, 'Left': -6.1343775, 'left': -6.3889513, ' ': -9.594119}
{' Right': -0.3184224, ' right': -1.3191625, 'right': -5.9098907, 'Right': -6.0327053, ' ': -8.97944}
{' Left': -0.24747016, ' left': -1.5375625, 'Left': -5.9827485, 'left': -6.481683, '\n': -9.249521}
{' Right': -0.04967044, ' right': -3.2022943, 'Right': -5.0940084, 'right': -6.7053347, ' ': -8.789442}
{' Left': -0.19470713, ' left': -1.7863207, 'Left': -5.1016283, 'left': -5.7646627, ' ': -9.329744}
{' Right': -0.109094456, ' right': -2.3766346, 'Right': -5.076486, 'right': -5.5176907, ' ': -8.905627}
{' Left': -0.14717098, ' left': -2.0782528, 'Left': -4.8528385, 'left': -5.60288, ' ': -9.229761}
{' Right': -0.04860679, ' right': -3.287727, 'Right': -4.8773193, 'right': -6.306284, ' ': -8.160251}
{' Left': -0.16363415, ' left': -1.965144, 'Left': -4.923367, 'left': -5.705603, ' ': -9.027504}
{' Right': -0.10803755, ' right': -2.4404998, 'Right': -4.65862, 'right': -5.213611, ' ': -8.490573}
{' Left': -0.19261791, ' left': -1.8264831, 'Left': -4.7256722, 'left': -5.2851167, ' ': -8.839854}
{' Right': -0.238195, ' right': -1.6139255, 'Right': -4.8696876, 'right': -5.495601, ' ': -7.7667484}
{' Left': -0.5450222, ' left': -0.89310944, 'Left': -5.1754103, 'left': -5.344308, ' ': -8.608166}
{' Right': -0.46554613, ' right': -1.0294976, 'right': -4.871002, 'Right': -4.981531, ' ': -8.1831455}
{' Left': -0.49200794, ' left': -0.98293084, 'Left': -4.878921, 'left': -5.1496735, ' ': -8.131274}
{' Right': -0.055948634, ' right': -3.2015495, 'Right': -4.5628166, 'right': -6.2836037, ' ': -7.3841734}
{' Left': -0.20111732, ' left': -1.8036373, 'Left': -4.418013, 'left': -5.3068643, ' ': -8.101684}
{' Right': -0.15173052, ' right': -2.1125286, 'Right': -4.3148184, 'right': -5.1621904, ' ': -7.7085805}
{' Left': -0.22487237, ' left': -1.7142485, 'Left': -4.2846756, 'left': -4.978952, ' ': -7.902661}
{' Right': -0.038514096, ' right': -3.5392902, 'Right': -5.0743566, 'right': -6.5279064, ' Left': -7.674044}
{' Left': -0.08899657, ' left': -2.5602567, 'Left': -5.1688323, 'left': -6.234132, ' ': -8.939127}
{' Right': -0.06121466, ' right': -2.9798205, 'Right': -5.1364594, 'right': -6.060501, ' ': -8.444609}
{' Left': -0.0853733, ' left': -2.6267493, 'Left': -4.9597077, 'left': -6.1346874, ' ': -8.75346}
{' Right': -0.37496752, ' right': -1.1711216, 'right': -6.6743426, 'Right': -6.732328, ' ': -9.233471}
{' Left': -0.2539471, ' left': -1.5060433, 'Left': -6.489268, 'left': -7.170323, ' Right': -9.445451}
{' Right': -0.24705563, ' right': -1.5309147, 'Right': -6.7165127, 'right': -7.1358986, ' Left': -8.653824}
{' Left': -0.31340814, ' left': -1.3233187, 'Left': -6.379509, 'left': -6.9058495, ' ': -9.845411}
{' Right': -0.15986335, ' right': -1.9677799, 'Right': -5.3359804, 'right': -5.8981633, ' ': -8.432569}
{' Left': -0.11425524, ' left': -2.3058674, 'Left': -5.0752516, 'left': -6.2699842, ' Right': -9.637433}
{' Right': -0.11978506, ' right': -2.3367057, ' Left': -4.9413238, 'Right': -5.367576, ' left': -6.22048}
{' Left': -0.21427952, ' left': -1.6903042, 'Left': -5.208151, 'left': -5.8598056, ' ': -9.658092}
{' Right': -0.14647985, ' right': -2.0584233, 'Right': -5.2788057, 'right': -5.8605165, ' ': -7.8142104}
{' Left': -0.117705606, ' left': -2.2744687, 'Left': -5.076314, 'left': -6.331617, ' ': -9.114839}
{' Right': -0.086607546, ' right': -2.580956, 'Right': -5.5054536, 'right': -6.416273, ' Left': -7.162756}
{' Left': -0.13954589, ' left': -2.0960715, 'Left': -5.27895, 'left': -6.191492, ' ': -9.159145}
{' Right': -0.40144598, ' right': -1.1363876, 'Right': -5.2934346, 'right': -5.482537, ' ': -8.21649}
{' Left': -0.32566553, ' left': -1.3138132, 'Left': -5.1200247, 'left': -5.8766046, ' ': -8.742941}
{' Right': -0.44589323, ' right': -1.0504789, 'Right': -5.4762163, 'right': -5.6270413, ' left': -7.2997975}
{' Left': -0.6049679, ' left': -0.81006515, 'Left': -5.2663293, 'left': -5.5967317, ' ': -9.005965}
{' Right': -0.12016288, ' right': -2.2715492, 'Right': -4.9364295, 'right': -6.1654983, ' ': -7.608085}
{' Left': -0.12240526, ' left': -2.2780354, 'Left': -4.561208, 'left': -6.199528, ' ': -8.727503}
{' Right': -0.071888566, ' right': -2.965069, ' Left': -4.840527, 'Right': -5.099766, 'right': -6.4781117}
{' Left': -0.15654065, ' left': -2.011338, 'Left': -4.769755, 'left': -6.0309014, ' ': -8.843199}
{' Right': -0.051188573, ' right': -3.117297, 'Right': -5.598826, 'right': -6.7264905, ' ': -7.850959}
{' Left': -0.052924603, ' left': -3.1105797, 'Left': -5.163749, 'left': -6.8396864, ' ': -9.114871}
{' Right': -0.03935635, ' right': -3.4630468, 'Right': -5.682199, ' Left': -6.1598773, 'right': -7.035087}
{' Left': -0.092694, ' left': -2.482251, 'Left': -5.654095, 'left': -6.6372304, ' ': -9.096395}
{' Left': -0.70665854, ' left': -0.72010344, ' Right': -4.6284723, ' right': -5.187955, 'left': -5.8762255}
{' Right': -0.20357186, ' right': -1.7134005, 'Right': -6.0667725, 'right': -6.6691575, ' ': -9.140411}
{' left': -0.56254566, ' Left': -0.8866919, ' Right': -5.13079, ' right': -5.1366673, 'left': -5.5884924}
