{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.05160491, ' No': -3.0112433, 'Yes': -7.0229793, 'No': -9.379661, ' yes': -10.482056}
{' Yes': -0.03696332, ' No': -3.3536515, 'Yes': -6.967168, ' Nope': -9.608719, 'No': -9.814141}
{' Yes': -0.02434593, ' No': -3.8578227, 'Yes': -6.6814895, ' Gross': -6.7501044, ' Gro': -8.787786}
{' Yes': -0.116413444, ' No': -2.2231145, 'Yes': -6.9599514, ' Gross': -8.464486, 'No': -9.21188}
{' Yes': -0.00052258343, 'Yes': -7.687568, ' YES': -11.055751, ' Yep': -11.137512, ' Sure': -11.442549}
{' Yes': -0.00060047174, 'Yes': -7.7596908, ' No': -9.451402, ' Yep': -10.596934, ' Sure': -11.001035}
{' Yes': -0.031080307, ' No': -3.8786793, ' Guard': -4.8686237, 'Yes': -6.6427646, ' Guardian': -8.028601}
{' No': -0.3461201, ' Yes': -1.312751, ' Guard': -3.9142487, 'No': -6.3482366, ' Guardian': -7.705183}
{' Yes': -0.0014487397, 'Yes': -6.8735795, ' No': -8.896682, ' Sweet': -9.402478, ' Swe': -9.670458}
{' Yes': -0.0030538768, ' No': -6.582075, 'Yes': -6.7553024, ' Sweet': -8.800844, ' Swe': -8.88203}
{' Yes': -0.09417731, ' No': -2.4978561, ' Grass': -5.049982, 'Yes': -7.0051556, 'No': -9.519702}
{' Yes': -0.039481718, ' No': -3.2906008, 'Yes': -7.25648, ' Grass': -7.300693, ' yes': -10.512196}
{' Yes': -0.0008333932, 'Yes': -7.484281, ' No': -8.793107, ' yes': -9.532657, ' YES': -10.730418}
{' Yes': -0.0016967892, 'Yes': -6.836533, ' yes': -8.421751, ' No': -8.447884, ' Beard': -9.84892}
{' Yes': -0.07441355, ' No': -2.7200832, ' Girls': -5.922607, 'Yes': -6.3285093, ' G': -8.39465}
{' Yes': -0.07425586, ' No': -2.7040854, ' Girls': -5.937079, 'Yes': -6.8640056, ' G': -8.6073885}
{' Yes': -0.0009542614, 'Yes': -7.605665, ' No': -7.8935986, ' YES': -10.167556, ' yes': -11.084269}
{' Yes': -0.011927187, ' No': -4.5896745, 'Yes': -7.147494, ' Light': -7.923278, ' YES': -8.957773}
{' Yes': -0.10078353, ' No': -2.3681097, ' Nope': -7.0042157, 'Yes': -7.0908165, ' Spoon': -8.665328}
{' Yes': -0.09987398, ' No': -2.3659472, 'Yes': -7.3888125, ' Nope': -7.860703, 'No': -9.751123}
{' Yes': -0.18326041, ' No': -1.8503879, ' Lo': -5.0188236, ' Nope': -6.402479, 'Yes': -6.8260536}
{' Yes': -0.12127732, ' No': -2.2142873, ' Lo': -5.8853436, 'Yes': -6.8081512, ' Nope': -7.453741}
{' Yes': -0.12269761, ' No': -2.1917837, 'Yes': -6.1390314, ' Plant': -7.183226, ' Nope': -8.541214}
{' Yes': -0.1014174, ' No': -2.4153993, 'Yes': -5.7424936, ' Plant': -5.9975348, ' Pl': -8.130725}
{' Yes': -0.015820757, ' No': -4.246814, 'Yes': -6.8583765, ' Seven': -9.348904, ' yes': -9.660204}
{' Yes': -0.017981078, ' No': -4.0760593, 'Yes': -7.374758, ' Seven': -9.583574, ' yes': -10.126628}
{' Yes': -0.0009693577, 'Yes': -7.1701336, ' No': -8.925007, ' yes': -11.130182, ' YES': -11.255739}
{' Yes': -0.08192534, ' No': -2.556153, 'Yes': -7.379069, ' Nope': -8.123504, 'No': -9.729704}
{' Yes': -0.044984967, ' Rough': -3.7053833, ' No': -3.9948714, 'Yes': -7.3407135, ' Nope': -9.389305}
{' Yes': -0.123251125, ' Rough': -2.3720322, ' No': -3.8626022, 'Yes': -7.13916, ' Nope': -8.612698}
{' Yes': -0.0069692857, 'Yes': -5.741325, ' Dance': -6.1379957, ' No': -7.042345, ' YES': -8.195711}
{' Yes': -0.40177512, ' No': -1.115875, 'Yes': -6.4781146, 'No': -7.6651883, ' Nope': -7.681209}
{' Yes': -0.006352936, ' No': -5.16312, 'Yes': -7.519124, ' yes': -10.259416, ' YES': -11.0630865}
{' Yes': -0.020083878, ' No': -3.9534712, 'Yes': -7.4209437, ' yes': -10.258597, ' YES': -10.947925}
{' Yes': -0.05686945, ' No': -3.1681726, ' Looks': -4.8760624, 'Yes': -5.785173, ' Lo': -7.3276925}
{' Yes': -0.12521489, ' No': -2.2896092, ' Looks': -4.58246, 'Yes': -5.853876, ' Lo': -6.8944507}
{' Yes': -0.07762329, ' Store': -2.6575239, ' Sure': -5.6003203, 'Yes': -7.330701, ' YES': -9.557637}
{' Yes': -0.02143638, ' Store': -4.212585, ' Sure': -5.509313, 'Yes': -6.9351287, ' St': -7.7449794}
{' Yes': -0.0003426196, 'Yes': -8.133714, ' yes': -10.416482, ' YES': -11.815159, ' Break': -11.905413}
{' Yes': -0.003122574, 'Yes': -6.5868073, ' Break': -7.3770976, ' No': -7.473692, ' yes': -8.791438}
{' Yes': -0.0032286495, ' No': -6.4142885, 'Yes': -6.60913, ' yes': -9.520517, ' Parts': -10.121595}
{' Yes': -0.007902857, ' No': -5.074681, 'Yes': -6.543896, ' yes': -9.784237, ' Parts': -10.422565}
{' Yes': -0.0098174885, ' No': -5.743416, 'Yes': -6.2436504, ' Sh': -6.319166, ' Nope': -7.079236}
{' Yes': -0.04154594, ' Sh': -3.8883684, ' No': -4.883999, ' Sho': -5.3186493, ' Nope': -6.1730556}
{' Yes': -0.0037827136, ' No': -6.2488403, 'Yes': -6.6240864, ' Sy': -8.124241, ' yes': -9.727369}
{' Yes': -0.0018483935, 'Yes': -6.690716, ' No': -7.857744, ' Sy': -9.52706, ' yes': -9.777693}
{' Yes': -0.00050516764, 'Yes': -7.742376, ' yes': -10.489692, ' YES': -10.586422, ' Yeah': -12.268478}
{' Yes': -0.0008895902, 'Yes': -7.7163067, ' No': -7.917225, ' yes': -10.435661, ' YES': -10.739295}
{' Yes': -0.46979892, ' No': -0.9825571, 'Yes': -8.27462, 'No': -8.3671055, ' yes': -10.914028}
{' Yes': -0.029704597, ' No': -3.544122, 'Yes': -8.044446, 'No': -10.691171, ' yes': -10.947288}
{' Yes': -0.00041876204, 'Yes': -7.8195257, ' yes': -11.915785, ' No': -12.318281, ' YES': -12.552081}
{' Yes': -0.00093779556, 'Yes': -7.0856123, ' No': -10.124106, ' Where': -10.906021, ' YES': -11.730354}
{' Yes': -0.007188147, ' No': -5.1065645, 'Yes': -6.9136596, ' Arrow': -9.69258, ' yes': -10.874458}
{' Yes': -0.029613113, ' Arrow': -3.856281, ' No': -5.181545, 'Yes': -6.2762733, 'arrow': -8.899928}
{' Yes': -0.005568705, ' No': -5.328227, 'Yes': -7.359348, ' yes': -10.786365, ' YES': -11.832076}
{' Yes': -0.01664755, ' No': -4.246557, 'Yes': -6.618223, ' Chain': -7.8151093, ' Nope': -8.699877}
{' Yes': -0.0010603449, ' No': -7.185661, 'Yes': -8.17173, ' yes': -11.095975, ' YES': -13.124672}
{' Yes': -0.063827306, ' No': -2.7897966, 'Yes': -7.9709697, 'No': -10.5981865, ' yes': -11.137108}
{' Yes': -0.0038414083, ' Heart': -6.022873, 'Yes': -6.7491856, ' YES': -9.526685, ' No': -9.932608}
{' Yes': -0.009926749, ' Heart': -4.8441286, 'Yes': -6.730468, ' No': -7.6104, ' YES': -9.34304}
{' Yes': -0.0008377485, 'Yes': -7.6356907, ' Sure': -8.209532, ' Horse': -9.912001, ' yes': -11.812844}
{' Yes': -0.0008815948, 'Yes': -7.2788944, ' Sure': -9.039709, ' No': -10.769163, ' Horse': -10.893715}
