{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' Yes': -0.04488927, '\n': -4.1487765, ' C': -4.261167, ' No': -5.3034854, 'Yes': -5.4508586}
{' No': -0.29384458, '\n': -2.1548064, ' Yes': -2.8568118, 'No': -3.1056273, ' ': -3.5033417}
{' No': -0.12529379, '\n': -2.7225018, 'No': -3.3870447, ' ': -4.2464523, ' A': -6.3125815}
{' No': -0.46647808, '\n': -1.1924893, 'No': -3.6012454, ' ': -3.8579462, ' C': -4.1805706}
{'\n': -0.7393747, ' Yes': -1.4447827, ' No': -1.8712717, ' C': -2.6558156, ' ': -3.12921}
{' No': -0.50637645, '\n': -1.8422759, ' Yes': -2.054083, ' ': -3.0143337, 'No': -3.5508764}
{' No': -0.16527359, '\n': -2.3797169, 'No': -3.3274972, ' ': -3.9711359, ' A': -5.5734572}
{' No': -0.16467537, '\n': -2.4749382, ' C': -3.6795413, 'No': -3.7738042, ' ': -4.230583}
{' Yes': -0.8136793, '\n': -1.2029061, ' C': -2.0707517, ' No': -2.6330192, ' ': -3.1423326}
{' Yes': -0.7778234, ' No': -0.86906713, '\n': -2.971711, ' ': -3.0090647, ' A': -4.480044}
{' No': -0.06598601, '\n': -3.9787512, ' ': -4.105331, ' Yes': -4.4251666, 'No': -4.7393312}
{' No': -0.22687525, '\n': -2.0498407, ' C': -3.572662, ' ': -3.6421297, 'No': -4.234279}
{' Yes': -0.5757626, '\n': -1.8300502, ' No': -1.8708732, ' C': -2.6347797, ' ': -3.235318}
{' No': -0.061528508, 'No': -3.330394, '\n': -4.166084, ' ': -4.9524794, ' Yes': -7.5087976}
{' No': -0.057042208, 'No': -3.258159, '\n': -4.4850893, ' ': -5.349723, ' A': -7.1789045}
{' No': -0.052749217, '\n': -3.7678673, 'No': -3.920009, ' ': -5.1241813, ' C': -6.22191}
{' No': -0.20752841, '\n': -2.5185177, ' C': -3.1832707, 'No': -3.5543392, ' ': -3.9586174}
{' Yes': -0.3670177, ' No': -1.6597041, '\n': -3.1369417, ' ': -3.2024057, 'Yes': -4.484163}
{' No': -0.37728482, ' Yes': -1.5999659, '\n': -3.480331, ' ': -3.5015178, ' A': -3.6042116}
{' No': -0.37939683, ' Yes': -1.7856374, '\n': -2.8304331, ' C': -3.3234313, ' ': -3.7032797}
{' Yes': -0.11655541, ' C': -3.4283173, '\n': -3.455823, 'Yes': -4.1865797, ' ': -4.2953806}
{' Yes': -0.01990638, ' No': -4.4336996, 'Yes': -5.3433523, ' Generally': -6.56491, ' A': -7.158435}
{' Yes': -0.5954365, ' No': -0.95175976, ' It': -4.097201, 'No': -4.118918, ' A': -4.5771756}
{' Yes': -0.0109725995, ' Generally': -5.3517394, 'Yes': -5.386993, ' B': -6.8480544, ' yes': -8.78978}
{' Yes': -0.05836193, ' Generally': -3.3029547, ' B': -4.6865187, 'Yes': -5.2712564, ' No': -6.488665}
{' Yes': -0.03736728, 'Yes': -3.8933146, ' No': -4.899418, ' Generally': -5.201662, 'No': -6.934806}
{' Yes': -0.05978712, 'Yes': -3.6985047, ' No': -3.9118342, ' Generally': -4.9687414, 'No': -5.8701277}
{' Yes': -0.039860804, 'Yes': -4.0671473, ' Generally': -4.078984, ' B': -5.969426, ' In': -7.613983}
{' Yes': -0.20453162, ' Generally': -2.2011805, 'Yes': -3.8432853, ' B': -4.375567, ' No': -4.498261}
{' Yes': -0.02105372, 'Yes': -4.0935254, '\n': -6.70199, ' No': -6.964283, ' ': -7.387768}
{' Yes': -0.05531113, ' No': -3.4788072, 'Yes': -4.0630145, 'No': -6.2332573, '\n': -6.8050704}
{' Yes': -0.034658875, 'Yes': -4.009421, ' Generally': -5.3114247, ' B': -5.6029587, '\n': -5.640972}
{' Yes': -0.058476053, 'Yes': -3.9616628, ' No': -4.4261823, ' Generally': -4.7356515, ' B': -5.116532}
{' Yes': -0.007401052, 'Yes': -5.302796, ' Generally': -6.904511, ' No': -7.0003147, ' A': -8.786043}
{' Yes': -0.0915436, ' No': -2.7843554, 'Yes': -4.182877, 'No': -5.4313874, ' A': -5.467797}
{' Yes': -0.035754092, ' Generally': -3.9811885, 'Yes': -4.868096, ' B': -4.949239, ' On': -7.5568275}
{' Yes': -0.1607074, ' Generally': -2.3918989, ' B': -3.9506204, 'Yes': -4.292011, ' No': -4.9644814}
{' Yes': -0.072707735, 'Yes': -3.569282, ' No': -3.9903216, '\n': -4.8304496, ' Generally': -5.070064}
{' No': -0.45038575, ' Yes': -1.570377, 'No': -2.4911323, ' Generally': -4.022344, ' It': -4.087143}
{' Yes': -0.08218357, 'Yes': -3.2423568, '\n': -4.356258, ' B': -4.4786754, ' Generally': -4.8191504}
{' Yes': -0.12726685, ' Generally': -3.4880972, 'Yes': -3.6098354, ' No': -3.803994, ' B': -4.1667466}
{' Yes': -0.03420944, 'Yes': -3.897643, ' Generally': -4.872863, ' No': -6.1784782, ' yes': -7.094841}
{' Yes': -0.13227393, ' Generally': -3.196124, ' No': -3.4818795, 'Yes': -3.5321057, ' A': -5.018159}
{' Yes': -0.040795088, 'Yes': -3.892695, ' Generally': -4.474339, ' B': -5.3039517, ' yes': -7.182313}
{' Yes': -0.114599556, ' Generally': -3.118731, 'Yes': -3.639244, ' B': -3.7998962, ' No': -5.700945}
{' Yes': -0.0042519555, 'Yes': -6.320631, ' No': -6.5224633, ' yes': -8.001661, '\n': -8.288797}
{' No': -0.13485387, ' Yes': -2.1274743, 'No': -5.307986, ' ': -7.4699345, ' A': -7.7166405}
{' Yes': -0.0036623995, 'Yes': -6.0209823, '\n': -7.496395, ' yes': -8.045549, ' Generally': -8.732836}
{' Yes': -0.005163425, 'Yes': -6.087763, ' No': -6.4207153, '\n': -7.787813, ' Generally': -7.7983}
{' No': -0.3897489, ' Yes': -1.4553864, 'No': -3.070947, '\n': -3.9096198, ' A': -4.9017043}
{' No': -0.0978998, 'No': -2.5347874, '\n': -5.4188337, ' Yes': -5.6913347, ' A': -6.0055685}
{' Yes': -0.018028174, 'Yes': -4.5291653, ' B': -5.920091, ' Generally': -6.3917766, ' yes': -6.9497976}
{' Yes': -0.047677346, ' Generally': -4.115327, 'Yes': -4.5362444, ' B': -4.9426546, ' No': -5.2142916}
{' Yes': -0.5811604, '\n': -1.5462654, ' No': -1.9583424, ' ': -3.5202737, 'Yes': -3.8608615}
{' No': -0.19612375, 'No': -2.46333, '\n': -2.747292, ' Yes': -4.439461, ' ': -4.7309957}
{' Yes': -0.15051754, '\n': -2.339345, 'Yes': -3.9074657, ' B': -4.5246778, ' ': -4.7546816}
{' Yes': -0.3337424, '\n': -2.1194403, ' No': -2.5205328, ' B': -3.38711, 'Yes': -4.033783}
{' Yes': -0.0044945353, 'Yes': -6.2266417, ' No': -6.3619623, ' yes': -8.413947, ' ': -8.587222}
{' No': -0.087549865, ' Yes': -2.732699, 'No': -4.2553563, ' A': -6.242108, ' It': -6.8426213}
{' Yes': -0.0041220705, 'Yes': -5.7219276, ' B': -7.7452636, ' yes': -8.474004, ' Generally': -9.479337}
{' Yes': -0.020631535, ' No': -4.5775924, 'Yes': -5.207021, ' B': -6.334176, ' Generally': -6.3716497}
{' Yes': -0.7575085, ' No': -1.0722438, 'No': -2.4660978, '\n': -3.168147, 'Yes': -3.399972}
{' No': -0.23092836, 'No': -1.747919, '\n': -4.196237, ' Yes': -5.127702, ' ': -5.470288}
{' Yes': -0.11952541, 'Yes': -2.7374396, '\n': -3.927192, ' B': -4.0228515, ' ': -5.4161963}
{' Yes': -0.27118632, ' No': -2.5506644, 'Yes': -2.7565665, 'No': -3.5435138, ' B': -3.7543042}
{' Yes': -0.34195966, ' No': -1.3743598, 'No': -4.39029, 'Yes': -4.9051423, ' yes': -5.5018897}
{' No': -0.5780453, ' Yes': -1.0301309, 'No': -3.3477137, ' A': -4.0239263, ' It': -4.876517}
{' Yes': -0.024975853, 'Yes': -4.3510313, ' yes': -5.221389, ' B': -5.8437557, '\n': -6.876427}
{' Yes': -0.023226425, 'Yes': -4.3406625, ' yes': -5.7435308, ' Generally': -5.8879685, ' B': -6.6344953}
{' Yes': -0.035520364, 'Yes': -3.9251535, ' No': -5.0010657, ' Generally': -5.8307796, ' yes': -6.080587}
{' Yes': -0.5685695, ' No': -1.172377, 'No': -2.7826731, 'Yes': -3.723858, ' A': -4.0638447}
{' Yes': -0.0627364, 'Yes': -3.440029, ' Generally': -4.644674, ' B': -4.741047, ' yes': -4.9377804}
{' Yes': -0.14363167, 'Yes': -3.1416745, ' Generally': -3.732745, ' No': -3.869355, ' B': -4.211371}
{' No': -0.25215986, 'No': -2.191447, ' Yes': -2.258725, 'Yes': -5.212907, ' ': -7.61935}
{' No': -0.16471662, 'No': -2.0828245, ' Yes': -3.69161, 'Yes': -6.6229854, ' It': -7.8423996}
{' Yes': -0.07076263, 'Yes': -2.9845712, ' No': -4.9027653, ' Generally': -5.4509697, 'No': -6.0517697}
{' Yes': -0.44988334, ' No': -1.6854066, 'No': -2.8304677, 'Yes': -3.1307228, ' It': -3.1961179}
{' Yes': -0.1115088, ' No': -2.9605303, 'Yes': -3.1516755, 'No': -5.015315, ' yes': -6.1497808}
{' Yes': -0.48591727, ' No': -1.1575272, 'No': -3.1945946, 'Yes': -3.609601, ' It': -7.372148}
{' Yes': -0.08476729, 'Yes': -2.5885077, ' No': -6.0761633, 'No': -7.079035, ' Generally': -7.2079887}
{' Yes': -0.12446707, 'Yes': -2.7261763, ' No': -3.3155582, 'No': -4.467889, ' Generally': -6.62579}
{' Yes': -0.42154235, ' No': -1.1217301, 'No': -4.6979933, 'Yes': -4.901515, ' ': -7.2158856}
{' No': -0.61265624, ' Yes': -0.8557898, 'No': -3.6913362, 'Yes': -4.9215097, ' ': -7.8336377}
{' Yes': -0.015808223, 'Yes': -4.4654617, ' Generally': -5.9132004, ' No': -7.378433, ' B': -8.236555}
{' Yes': -0.04484513, 'Yes': -3.612783, ' No': -4.370399, 'No': -6.318721, ' Generally': -6.4680185}
{' No': -0.3736963, 'No': -1.2192316, ' Yes': -5.1252832, '\n': -5.1556025, ' ': -6.7487245}
{' No': -0.39601493, 'No': -1.168289, ' It': -5.2506022, ' Yes': -6.336955, ' That': -6.372531}
{' Yes': -0.19340895, 'Yes': -2.1097584, ' B': -3.9241023, ' Generally': -4.502056, ' No': -4.876491}
{' Yes': -0.47567406, 'Yes': -2.4875758, ' No': -2.7516809, ' Generally': -2.8124318, ' B': -2.821356}
{' No': -0.24407536, 'No': -1.6911083, ' Yes': -3.912536, '\n': -4.8696685, 'Yes': -6.765581}
{' No': -0.20637968, 'No': -1.699496, ' Yes': -6.496588, ' no': -7.694981, ' A': -7.9936376}
{' Yes': -0.338935, 'Yes': -2.2321959, ' No': -2.709447, ' B': -2.8781347, 'No': -3.1317244}
{' No': -0.5142733, 'No': -1.0147007, ' Yes': -3.9194705, ' B': -4.9784055, 'Yes': -5.7738605}
{' Yes': -0.009916154, ' yes': -4.9538054, 'Yes': -6.2665157, ' ': -7.7092886, '\n': -8.276092}
{' Yes': -0.021381453, ' yes': -4.6825714, ' No': -4.8179245, 'Yes': -6.0084853, ' ': -7.257063}
{' Yes': -0.013841827, ' yes': -4.467394, 'Yes': -6.3762603, ' ': -8.389404, '\n': -8.401037}
{' Yes': -0.005976901, ' yes': -5.839385, 'Yes': -6.221835, ' Generally': -7.977202, ' No': -8.228904}
{' Yes': -0.043366928, 'Yes': -4.013288, ' No': -4.4312105, ' yes': -5.15751, '\n': -5.7675815}
{' No': -0.18015352, ' Yes': -2.4361176, 'No': -2.7493901, '\n': -5.5198956, 'Yes': -6.200383}
{' Yes': -0.029081445, 'Yes': -3.9208543, ' yes': -5.1393433, '\n': -6.6763053, ' Generally': -7.0455317}
{' Yes': -0.04674607, 'Yes': -3.8236833, ' Generally': -4.5334764, ' It': -5.6942315, '\n': -5.93516}
{' Yes': -0.15910476, '\n': -2.3737156, 'Yes': -3.285266, ' ': -4.9114656, ' yes': -5.1037383}
{' No': -0.7419601, ' Yes': -1.5239979, '\n': -1.618612, 'No': -2.616403, ' ': -4.2690864}
{' Yes': -0.08916689, 'Yes': -3.234423, '\n': -3.338598, ' yes': -5.2134004, ' ': -6.0917664}
{' Yes': -0.17691748, '\n': -2.918908, 'Yes': -3.2016382, ' No': -3.6747773, ' Generally': -4.144765}
{' Yes': -0.00933017, 'Yes': -5.215497, ' yes': -6.143489, ' No': -7.225116, '\n': -8.077121}
{' Yes': -0.050875314, ' No': -3.333584, 'Yes': -4.8292356, ' yes': -6.2626066, 'No': -6.751251}
{' Yes': -0.010536213, 'Yes': -4.8505344, ' yes': -6.8460035, ' Generally': -7.0845118, ' B': -8.177307}
{' Yes': -0.030030137, 'Yes': -4.422854, ' No': -5.093222, ' Generally': -5.5320096, ' It': -5.572663}
{' No': -0.876912, ' Yes': -1.4505261, 'No': -1.8817527, '\n': -1.8954629, 'Yes': -3.4951847}
{' No': -0.43175742, 'No': -1.3831582, '\n': -2.6082845, ' Yes': -4.2455993, ' ': -5.1098275}
{' Yes': -0.128395, 'Yes': -2.6152303, '\n': -3.704494, ' yes': -4.1791587, ' ': -6.0833716}
{' Yes': -0.24025932, ' No': -2.7783206, 'Yes': -2.8326623, '\n': -3.2861078, 'No': -3.599705}
{' Yes': -0.08870544, ' yes': -2.701073, 'Yes': -4.3783035, '\n': -6.032343, ' ': -6.756081}
{' Yes': -0.16364881, ' No': -2.7656326, ' yes': -3.0046103, 'Yes': -4.5764246, ' It': -4.7139125}
{' Yes': -0.06693917, ' yes': -3.0326009, 'Yes': -4.4048333, '\n': -6.4798, 'yes': -7.314723}
{' Yes': -0.057273816, ' yes': -3.372896, 'Yes': -4.3486285, ' It': -6.0715156, '\n': -6.373429}
{' Yes': -0.026930708, ' No': -4.0167, '\n': -5.445754, 'Yes': -6.2726736, ' ': -6.823088}
{' No': -0.22919482, ' Yes': -1.6679155, 'No': -5.1279716, '\n': -5.4573765, ' A': -5.949053}
{' Yes': -0.013379062, '\n': -4.769246, 'Yes': -5.9718766, ' Generally': -7.0031443, ' ': -7.1106}
{' Yes': -0.015269962, '\n': -5.1937213, ' Generally': -5.3140063, 'Yes': -5.8731728, ' ': -7.4511027}
{' Yes': -0.5189312, ' No': -1.4411209, '\n': -2.2202384, 'No': -4.095618, ' ': -4.1197286}
{' No': -0.15225516, 'No': -2.8749988, '\n': -3.2878788, ' Yes': -3.4170463, ' ': -5.081832}
{' Yes': -0.07357323, '\n': -3.0466545, 'Yes': -4.258046, ' ': -5.317788, ' Generally': -6.245005}
{' Yes': -0.24006794, '\n': -2.3655887, ' No': -3.3405695, ' Generally': -3.4045076, ' B': -4.1363115}
{' Yes': -0.33828864, '\n': -2.0709221, ' No': -2.2559657, ' ': -3.8718596, 'Yes': -4.201934}
{' No': -0.09864729, 'No': -3.0638266, '\n': -3.364232, ' ': -5.0442286, ' Yes': -5.8750052}
{' Yes': -0.08700209, '\n': -3.1248267, ' B': -3.9931433, 'Yes': -4.5451584, ' ': -4.9349556}
{' Yes': -0.70646113, ' No': -1.2621938, '\n': -2.3689654, ' B': -2.9562664, ' Generally': -3.6616232}
{' Yes': -0.10661811, ' No': -2.7879212, '\n': -3.8265314, ' ': -4.614217, 'Yes': -5.7310324}
{' No': -0.2800739, ' Yes': -1.6210086, '\n': -4.104192, 'No': -4.3270235, ' A': -4.893599}
{' Yes': -0.065946974, '\n': -3.0619297, ' ': -4.9769745, 'Yes': -5.102507, ' B': -6.401184}
{' Yes': -0.13867886, '\n': -2.794364, ' Generally': -3.8075001, ' No': -4.1142764, ' ': -4.674485}
{' No': -0.114019066, 'No': -3.172847, '\n': -3.4201217, ' Yes': -3.9059155, ' ': -4.7157035}
{' No': -0.073091105, 'No': -2.991214, '\n': -4.420411, ' ': -5.6919956, ' A': -6.24498}
{' Yes': -0.0466098, 'Yes': -4.162288, '\n': -4.537908, ' B': -4.6093407, ' No': -5.6264815}
{' No': -0.48563567, ' Yes': -1.2521286, 'No': -3.3099098, '\n': -3.6721628, ' B': -4.4878674}
{' Yes': -0.30541825, ' No': -1.851866, '\n': -2.8126261, ' ': -4.0292053, 'Yes': -4.843605}
{' No': -0.1986131, ' Yes': -2.3408213, 'No': -3.2822826, '\n': -3.8828135, ' A': -4.472108}
{' Yes': -0.03676901, '\n': -4.396796, 'Yes': -4.4425535, ' ': -5.420905, ' yes': -5.6033373}
{' Yes': -0.04018837, 'Yes': -4.4198594, '\n': -4.8042984, ' No': -5.339926, ' yes': -5.480704}
{' No': -0.070918486, 'No': -3.454736, ' It': -4.3907175, ' Yes': -4.615251, ' Generally': -5.3978953}
{' No': -0.5056454, ' It': -1.9802203, ' Yes': -2.1026568, ' That': -3.1729805, 'No': -3.4458592}
{' No': -0.46068817, ' It': -2.1511197, ' Generally': -2.483952, ' B': -3.137276, 'No': -3.1748338}
{' No': -1.2531486, ' It': -1.623222, ' Generally': -1.6305785, ' B': -2.5361304, ' On': -2.83196}
{' No': -0.15763324, 'No': -1.991154, ' Generally': -5.886646, ' It': -6.08428, ' Not': -7.10254}
{' No': -0.27675742, 'No': -1.9918453, ' Yes': -3.0382376, ' It': -3.7923253, ' Generally': -4.084256}
{' No': -0.38977927, 'No': -1.9361736, ' It': -2.9600098, ' Generally': -3.1684065, ' B': -3.7833416}
{' No': -0.81059587, ' It': -1.970098, ' Generally': -2.1829598, 'No': -2.211782, ' That': -2.8767042}
{' No': -0.12466, 'No': -2.304502, '\n': -5.1324725, ' Yes': -5.7090354, ' Generally': -6.0224686}
{' No': -0.11438021, 'No': -2.4181292, ' Yes': -4.953722, '\n': -5.6860676, ' It': -5.815773}
{' No': -0.31258985, 'No': -2.124552, ' It': -3.2853088, ' B': -3.533207, ' That': -3.8244991}
{' No': -0.3743257, 'No': -2.1496992, ' It': -2.8833299, ' B': -3.295596, ' That': -3.4727752}
{' No': -0.09345547, 'No': -2.52217, ' It': -5.7738657, ' Generally': -6.5802646, ' A': -6.9166975}
{' No': -0.28797165, 'No': -2.3968832, ' Yes': -2.537529, ' It': -3.4544275, ' A': -3.650835}
{' No': -0.25882006, 'No': -2.3988748, ' It': -3.01458, ' Generally': -3.6803286, ' B': -3.984776}
{' No': -1.1325977, ' It': -1.5150956, ' That': -2.2890937, ' Ow': -2.3345132, 'No': -2.7940776}
{' No': -0.19012053, 'No': -1.8953017, '\n': -4.665888, ' Generally': -5.5668044, ' ': -5.848075}
{' No': -0.21311288, 'No': -2.0153778, ' It': -4.031022, ' That': -4.8369036, ' A': -5.0724373}
{' No': -0.60546947, 'No': -1.992564, ' B': -2.4584854, ' It': -2.787436, ' That': -3.268008}
{' No': -0.6983164, ' It': -2.0874994, 'No': -2.094549, ' That': -2.5540063, ' B': -3.068191}
{' No': -0.24387445, 'No': -1.5895089, ' Generally': -5.4950986, ' Ow': -6.8529954, ' Not': -6.8592987}
{' No': -0.45848086, 'No': -2.0918007, ' Yes': -2.4862175, ' Generally': -2.8752248, ' A': -3.7666063}
{' No': -0.34328577, 'No': -1.6939231, ' Generally': -3.7000132, ' B': -3.7599437, ' It': -4.0454683}
{' No': -0.80580294, ' Ow': -2.0376832, 'No': -2.2293315, ' Generally': -2.355148, ' It': -2.6817966}
{' No': -0.009450745, 'No': -4.8176055, ' ': -7.943879, '\n': -8.051391, ' It': -8.4888115}
{' No': -0.007964981, 'No': -5.026218, ' ': -7.9901233, ' It': -8.013248, '\n': -8.03528}
{' No': -0.0848079, ' It': -3.4588788, 'No': -4.0138736, '\n': -4.449033, ' B': -5.1412535}
{' No': -0.19396904, ' It': -2.2354252, 'No': -3.9388363, ' That': -4.200757, ' B': -4.6961184}
{' No': -0.07943023, 'No': -2.760838, '\n': -4.9964356, ' ': -6.1100473, ' It': -6.3899064}
{' No': -0.12733218, 'No': -2.35028, '\n': -4.6399817, ' A': -5.5478415, ' It': -5.5761523}
{' No': -0.27076805, 'No': -2.5612133, ' It': -2.6397731, ' B': -3.5159843, ' Generally': -4.30868}
{' No': -0.4239102, ' It': -2.1408136, 'No': -2.6863744, ' B': -3.139816, ' Generally': -3.15407}
{' No': -0.20704494, 'No': -2.420521, '\n': -2.471409, ' ': -4.604935, ' A': -6.345249}
{' No': -0.16769119, 'No': -2.3622577, '\n': -3.0037258, ' ': -5.244405, ' A': -6.016368}
{' No': -0.32674083, '\n': -2.0120149, 'No': -2.8588128, ' B': -3.5198503, ' It': -3.9244847}
{' No': -0.33236784, '\n': -1.9709673, 'No': -2.813996, ' B': -3.3742986, ' ': -4.3950753}
{' No': -0.019058838, 'No': -4.369694, ' It': -5.527447, ' A': -7.481596, ' Generally': -7.6092834}
{' No': -0.028558156, 'No': -4.018831, ' It': -4.976541, ' That': -6.802663, ' A': -7.1476374}
{' No': -0.11461506, 'No': -3.2267823, ' It': -3.2369752, ' B': -4.1887093, ' That': -5.4870057}
{' No': -0.41701287, ' It': -1.6585653, 'No': -3.0489895, ' That': -3.09555, ' This': -3.7214367}
{' No': -0.2871976, 'No': -1.5087419, '\n': -3.8404064, ' ': -5.4029365, ' A': -6.7909627}
{' No': -0.27655417, 'No': -1.5366327, '\n': -4.2512145, ' A': -5.507383, ' ': -5.6180305}
{' No': -0.29713088, 'No': -1.7055552, '\n': -3.6894932, ' B': -3.9635944, ' It': -4.479475}
{' No': -0.36423534, 'No': -1.7033793, ' B': -3.6569693, ' It': -3.658438, '\n': -3.6763518}
{' No': -0.09523589, 'No': -2.476017, ' ': -6.5950894, '\n': -6.624163, ' It': -6.803583}
{' No': -0.24168248, 'No': -2.3755038, ' It': -2.6837354, ' A': -4.2890077, ' That': -4.594658}
{' No': -0.25522596, 'No': -2.2546499, ' B': -3.014978, ' It': -3.6132333, ' That': -4.8678126}
{' No': -0.54575205, ' It': -1.9655023, 'No': -2.505835, ' B': -3.1533723, ' Ow': -3.17252}
{' No': -0.15585472, 'No': -2.124679, ' Yes': -4.934829, ' It': -5.5050187, ' Generally': -5.530416}
{' No': -0.36540356, 'No': -1.8183321, ' Yes': -2.9119353, ' It': -3.3929572, ' A': -3.899173}
{' No': -0.48804393, 'No': -1.8857737, ' It': -2.416177, ' B': -3.4711657, ' That': -3.540971}
{' No': -0.69408935, 'No': -1.8385023, ' It': -2.0249588, ' That': -3.0386517, ' B': -3.4179766}
{' No': -0.12117828, 'No': -2.174958, ' ': -8.5660095, ' no': -9.564213, ' It': -9.899555}
{' No': -0.1421316, 'No': -2.0332792, ' Yes': -6.9080462, ' It': -8.544859, ' ': -9.15355}
{' No': -0.38219652, 'No': -1.3505517, ' It': -3.7162857, ' B': -4.448721, ' Not': -4.840399}
{' No': -0.53633404, 'No': -1.3921576, ' It': -2.3454905, ' That': -3.664498, ' Not': -4.3747854}
{' No': -0.111268006, 'No': -2.278617, ' Yes': -6.4875584, '\n': -7.82921, ' ': -7.9417653}
{' No': -0.15596172, 'No': -1.9483565, '\n': -7.6296034, ' Yes': -7.9669323, ' ': -8.029205}
{' No': -0.49120143, 'No': -1.211956, ' It': -3.1023922, ' B': -4.084038, ' That': -4.99653}
{' No': -0.48434618, 'No': -1.030363, ' It': -4.535892, ' That': -5.2752237, ' B': -5.833094}
{' No': -0.061049033, 'No': -2.8367124, ' ': -8.245211, ' Yes': -9.851568, ' no': -9.942574}
{' No': -0.06707238, 'No': -2.769566, ' Yes': -6.3955555, ' ': -9.045999, ' It': -9.568485}
{' No': -0.13267301, 'No': -2.1633584, ' B': -5.5573745, ' Generally': -6.2222323, ' Not': -6.658191}
{' No': -0.18554533, 'No': -1.9083426, ' It': -4.9416943, ' That': -5.783219, ' Not': -5.836525}
{' No': -0.4220496, 'No': -1.0808611, '\n': -5.8353963, ' ': -7.5594177, ' It': -7.659297}
{' No': -0.4411493, 'No': -1.0603663, ' It': -5.68335, ' That': -6.431099, '\n': -6.542894}
{' No': -0.6662284, 'No': -0.8747722, ' B': -3.6567335, ' It': -4.2589693, ' Generally': -5.1534877}
{'No': -0.85943073, ' No': -1.0866609, ' It': -2.5203612, ' B': -3.1609, ' That': -3.4402962}
{' No': -0.27025113, 'No': -1.4744136, '\n': -5.070967, ' ': -7.952623, ' no': -8.221427}
{' No': -0.1978864, 'No': -1.7345322, ' BAT': -7.4076867, '\n': -7.4267554, ' A': -7.688605}
{' No': -0.40475646, 'No': -1.1362704, ' B': -4.68716, '\n': -7.447687, 'B': -7.773564}
{' No': -0.634726, 'No': -0.89176226, ' It': -3.9409733, ' That': -4.387213, ' B': -4.508328}
{' No': -0.0049164924, 'No': -5.6921835, ' ': -7.046151, ' no': -8.324716, '\n': -8.410986}
{' No': -0.010535852, 'No': -5.4590297, ' It': -5.5497923, ' ': -6.8528686, '\n': -7.9193053}
{' No': -0.26148227, ' It': -1.6153259, 'No': -4.745554, ' That': -4.8346577, '\n': -5.628679}
{' No': -0.45304483, ' It': -1.1383779, ' That': -4.410614, 'No': -4.7984366, ' Generally': -5.340992}
{' No': -0.10513285, 'No': -2.3539197, '\n': -6.0965586, ' ': -6.905857, ' no': -7.661178}
{' No': -0.13138853, 'No': -2.1717231, '\n': -5.949597, ' It': -6.029404, ' ': -6.8136244}
{' No': -0.7184222, ' It': -1.2781413, 'No': -1.9689828, ' That': -3.2681847, ' Not': -4.5544314}
{' No': -0.9675881, ' It': -0.97491044, 'No': -2.165468, ' That': -3.1301227, ' Generally': -3.6953847}
{' No': -0.35819387, 'No': -1.8426965, '\n': -2.072572, ' ': -4.690929, ' It': -5.68952}
{' No': -0.29576877, 'No': -1.7958279, '\n': -2.5507107, ' ': -5.2609196, ' It': -5.578632}
{' No': -0.5800988, '\n': -1.8628252, 'No': -2.0057027, ' It': -2.2952917, ' ': -4.4395757}
{' No': -0.7978068, ' It': -1.8554431, 'No': -1.8964243, '\n': -1.9849615, ' Generally': -3.5075865}
{' No': -0.04268133, 'No': -3.2367537, ' It': -6.9644203, '\n': -7.9156747, ' ': -8.01287}
{' No': -0.10204285, 'No': -3.00991, ' It': -3.5200915, ' That': -4.4237514, '\n': -6.793241}
{' No': -0.15821826, 'No': -2.6004522, ' It': -3.2829585, ' That': -4.308294, ' B': -4.934917}
{' No': -0.97838295, ' It': -1.1765012, ' That': -1.900645, ' This': -2.6982317, 'No': -2.8263903}
{' No': -0.45073938, 'No': -1.2755609, '\n': -2.5958524, ' ': -5.16301, ' no': -6.4006767}
{' No': -0.49203053, 'No': -1.0817409, '\n': -3.1948996, ' ': -5.472877, ' It': -6.6006546}
