{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Down': -0.07778357, ' down': -2.6214218, 'Down': -6.4915104, 'down': -7.7456164, ' DOWN': -9.826009}
{' Up': -0.060163435, ' up': -2.8737676, 'Up': -7.4817233, ' Down': -7.5280566, ' UP': -7.7843847}
{' Down': -0.13034308, ' down': -2.1303372, 'Down': -6.1103997, 'down': -6.898361, ' DOWN': -9.558211}
{' Up': -0.050260693, ' up': -3.0582373, 'Up': -7.0913143, ' Down': -7.6693516, ' UP': -8.014797}
{' Down': -0.07636997, ' down': -2.6450727, 'Down': -6.264844, 'down': -7.766488, ' DOWN': -9.502406}
{' Up': -0.04554868, ' up': -3.1499453, 'Up': -7.3596363, ' UP': -7.4585466, ' Down': -8.77215}
{' Down': -0.10449358, ' down': -2.3556511, 'Down': -5.7186174, 'down': -7.04025, ' DOWN': -9.415445}
{' Up': -0.0244348, ' up': -3.7923481, 'Up': -6.967544, ' UP': -7.9382586, ' ': -9.122385}
{' Down': -0.32219914, ' down': -1.3058037, 'Down': -6.0352006, 'down': -6.448744, '\n': -8.496252}
{' Up': -0.17080863, ' up': -1.8742653, 'Up': -6.954508, ' UP': -7.3098183, ' Down': -7.3605576}
{' Down': -0.3723197, ' down': -1.1995978, ' Up': -5.6392126, 'Down': -5.9327884, 'down': -6.259298}
{' Down': -0.94403166, ' Up': -1.0860128, ' down': -1.7984114, ' up': -2.2777433, 'Down': -6.530983}
{' Down': -0.15284617, ' down': -1.9970328, 'Down': -5.5649114, 'down': -6.7268524, ' Up': -8.145055}
{' Down': -0.33273312, ' Up': -1.9708424, ' down': -2.0352535, ' up': -4.96183, 'Down': -5.940607}
{' Down': -0.17454816, ' down': -1.878112, 'Down': -5.233678, 'down': -6.481957, ' DOWN': -8.466099}
{' Up': -0.08690846, ' up': -2.5449104, 'Up': -6.34371, ' Down': -6.7294292, ' UP': -7.5839877}
{' Down': -0.03932424, ' down': -3.315985, 'Down': -6.441868, 'down': -7.754686, ' DOWN': -9.548546}
{' Up': -0.020513985, ' up': -3.9641304, ' UP': -7.4236646, 'Up': -7.7019353, ' Down': -9.516922}
{' Down': -0.048246615, ' down': -3.1275387, 'Down': -6.095325, 'down': -7.20758, ' ': -9.121117}
{' Up': -0.0146929985, ' up': -4.3530946, 'Up': -7.078194, ' UP': -7.668732, ' ': -8.981004}
{' Down': -0.28903008, ' down': -1.5263615, 'Down': -3.724859, 'down': -4.75029, ' ': -7.636724}
{' Up': -0.23621672, ' up': -1.6818498, 'Up': -4.578515, ' Down': -5.4349146, ' down': -5.9380407}
{' Down': -0.51327115, ' down': -1.0053786, 'Down': -3.8928869, 'down': -4.3277907, ' ': -6.913389}
{' Up': -0.20412152, ' up': -1.782689, 'Up': -4.624511, 'up': -5.8496494, ' UP': -6.34412}
{' Down': -0.37519777, ' down': -1.1667188, 'Down': -7.1019926, 'down': -7.748613, '\n': -9.524369}
{' Up': -0.07766497, ' up': -2.608171, ' UP': -7.3230357, 'Up': -8.248754, '\n': -9.962703}
{' Down': -0.34490746, ' down': -1.2382714, 'Down': -6.9261603, 'down': -7.4371486, ' DOWN': -9.32362}
{' Up': -0.27727467, ' up': -1.4255174, ' UP': -6.7916613, 'Up': -7.954725, 'up': -9.079972}
{' Down': -0.52667624, ' down': -0.9089166, 'down': -5.665508, 'Down': -5.925281, ' DOWN': -8.923639}
{' Up': -0.058160517, ' up': -2.9104495, 'Up': -6.8053064, ' UP': -7.3260627, 'up': -8.6004305}
{' Down': -0.38518304, ' down': -1.1587924, 'Down': -5.9306464, 'down': -5.9375277, ' DOWN': -8.378158}
{' Up': -0.24875772, ' up': -1.5273126, ' UP': -6.697501, 'Up': -6.7528543, 'up': -7.7917967}
{' Down': -0.40860313, ' down': -1.1127352, 'Down': -5.659208, 'down': -5.965588, ' DOWN': -8.137151}
{' Up': -0.040276982, ' up': -3.3122382, ' UP': -6.475663, 'Up': -6.7447276, 'up': -8.897677}
{' Down': -0.2616223, ' down': -1.4951408, 'Down': -5.746308, 'down': -6.2410607, ' DOWN': -7.5390306}
{' Up': -0.14593071, ' up': -2.0372517, ' UP': -5.7904425, 'Up': -6.4915805, 'up': -8.036775}
{' Down': -0.69073087, ' down': -0.7109735, 'Down': -5.623998, 'down': -5.7406764, '\n': -8.050618}
{' Up': -0.15652211, ' up': -1.9578984, ' UP': -6.365296, 'Up': -6.5913987, 'up': -8.107737}
{' down': -0.60056424, ' Down': -0.8132317, 'down': -5.517211, 'Down': -5.724517, '\n': -8.252193}
{' Up': -0.6453176, ' up': -0.75471365, ' UP': -6.2492065, 'Up': -6.504698, 'up': -6.9676905}
{' Down': -0.43703166, ' down': -1.0674504, 'Down': -5.2049127, 'down': -5.5612626, ' DOWN': -7.9489026}
{' Up': -0.075044334, ' up': -2.7085662, ' UP': -5.938516, 'Up': -6.085908, 'up': -7.861446}
{' Down': -0.2389271, ' down': -1.5979644, 'Down': -5.1467447, 'down': -5.805089, ' DOWN': -6.959613}
{' Up': -0.20375977, ' up': -1.7312598, ' UP': -5.7536306, 'Up': -5.9717226, 'up': -7.2032213}
{' Down': -0.23463994, ' down': -1.5873048, 'Down': -6.0538745, 'down': -6.2604, ' ': -8.710204}
{' Up': -0.026471332, ' up': -3.7137864, ' UP': -7.01435, 'Up': -7.372842, 'up': -9.312066}
{' Down': -0.08661658, ' down': -2.5388126, 'Down': -6.052889, 'down': -6.721229, ' DOWN': -8.337513}
{' Up': -0.11143777, ' up': -2.2864025, ' UP': -6.0314493, 'Up': -7.0205393, 'up': -8.27937}
{' down': -0.3661819, ' Down': -1.679752, 'down': -2.4118304, 'Down': -3.5959737, ' ': -6.154859}
{' up': -0.7328252, ' Up': -0.8136568, 'up': -3.173522, 'Up': -3.5546083, ' ': -5.9012938}
{' down': -0.6276229, ' Down': -1.1132834, 'down': -2.347336, 'Down': -3.2492564, ' ': -6.6084213}
{' up': -0.6676617, ' Up': -0.8779279, 'up': -3.4102228, 'Up': -3.4269943, ' UP': -5.863384}
{' Up': -0.2521884, ' up': -1.5080649, ' UP': -7.3399606, 'Up': -7.7762165, 'up': -8.824188}
{' Down': -0.26248494, ' down': -1.474523, 'Down': -6.9037085, 'down': -7.258485, '\n': -9.437951}
{' Up': -0.22740364, ' up': -1.6000023, 'Up': -7.546034, ' UP': -7.8816314, 'up': -8.05929}
{' Down': -0.57438236, ' down': -0.8337551, 'down': -6.632009, 'Down': -7.0159616, '\n': -9.0677}
{' Up': -0.20067255, ' up': -2.3614542, ' Down': -2.7432313, ' down': -3.9509776, 'Up': -6.7241726}
{' Down': -0.13332157, ' down': -2.1271455, 'Down': -5.632131, 'down': -6.495969, ' Up': -8.445755}
{' Up': -0.07072981, ' up': -2.7270637, 'Up': -6.487924, 'up': -7.44782, ' UP': -7.684402}
{' Down': -0.29393318, ' down': -1.3985989, 'Down': -5.5160494, 'down': -5.7110276, ' ': -8.773328}
{' Up': -0.36914226, ' Down': -1.6702534, ' up': -2.7864413, ' down': -2.989246, ' ': -5.9903274}
{' Down': -0.11131618, ' down': -2.3228867, 'Down': -5.2911105, 'down': -6.424297, ' DOWN': -8.534502}
{' Up': -0.048732135, ' up': -3.142175, 'Up': -6.227496, ' Down': -7.128297, ' UP': -7.4551}
{' Down': -0.27626708, ' down': -1.4618634, 'Down': -5.2202024, 'down': -5.628819, ' ': -8.501814}
{' Up': -0.41722336, ' up': -1.5831323, ' Down': -2.619454, ' down': -2.879265, ' ': -6.3718824}
{' Down': -0.4507231, ' down': -1.0444406, 'Down': -5.6263404, ' Up': -5.8406, 'down': -5.9701605}
{' Up': -0.3337941, ' up': -1.2777829, 'Up': -6.1773868, 'up': -6.499672, ' UP': -7.3827095}
{' down': -0.57744765, ' Down': -0.8446214, 'down': -5.357494, 'Down': -5.648126, ' ': -8.078111}
{' Down': -0.89077336, ' Up': -0.9418083, ' down': -2.0031295, ' up': -2.9964306, ' ': -5.300984}
{' Down': -0.20951915, ' down': -1.7238663, 'Down': -5.009648, 'down': -5.7967134, ' DOWN': -8.181119}
{' Up': -0.12780592, ' up': -2.2332728, ' Down': -5.4159336, 'Up': -5.7490287, 'up': -6.4490027}
{' Down': -0.41917738, ' down': -1.1104405, 'Down': -5.068906, 'down': -5.158923, ' ': -7.928808}
{' Up': -0.06744628, ' up': -2.9861815, ' Down': -4.5663514, ' down': -6.413853, 'Up': -6.8228574}
{' Down': -0.08629945, ' down': -2.5560222, 'Down': -5.7372675, 'down': -6.639491, ' DOWN': -8.96145}
{' Up': -0.034464702, ' up': -3.4549031, 'Up': -6.714394, ' UP': -7.725991, 'up': -7.992332}
{' Down': -0.13562173, ' down': -2.106365, 'Down': -5.8157325, 'down': -6.3461127, ' ': -8.703616}
{' Down': -1.1811448, ' Up': -1.222933, ' down': -1.4662591, ' up': -2.1447392, 'Down': -4.086767}
{' Down': -0.4024879, ' down': -1.3076432, 'Down': -3.282567, 'down': -4.130559, ' Up': -5.716361}
{' Up': -0.20688322, ' up': -1.8717142, 'Up': -3.7868695, 'up': -4.834447, ' UP': -6.8235173}
{' Down': -0.7011011, ' down': -0.84382415, 'Down': -3.3124633, 'down': -3.3338866, ' ': -6.808269}
{' Down': -0.17738198, ' down': -1.8643708, ' Up': -5.1862125, 'Down': -7.233084, ' up': -7.7791104}
{' Down': -0.4518065, ' Up': -1.3789152, ' down': -2.371654, ' up': -4.1128516, '\n': -7.044118}
{' Up': -0.4835413, ' Down': -1.266569, ' down': -2.966869, ' up': -3.0292032, '\n': -7.1142306}
{' Down': -0.20538348, ' down': -1.6949636, 'Down': -6.901517, 'down': -7.5346003, ' Up': -8.466656}
{' Down': -0.084269926, ' down': -2.9414208, ' Up': -3.6952486, 'Down': -6.359494, ' up': -7.5167894}
{' Down': -0.07473728, ' down': -3.2258258, ' Up': -3.5454707, 'Down': -6.27015, ' up': -7.1632037}
{' Down': -0.4818307, ' Up': -1.0657502, ' down': -3.5831642, ' up': -4.9321117, 'Down': -6.588506}
{' Down': -0.07118994, ' down': -2.7293606, 'Down': -6.238966, ' Up': -7.3197517, 'down': -7.4785557}
{' Down': -0.11174918, ' down': -2.2919497, 'Down': -5.918493, ' Up': -7.1770034, 'down': -7.21432}
{' Up': -0.15137367, ' Down': -2.2901618, ' up': -3.6692133, ' down': -4.4886136, 'Up': -7.0135427}
{' Down': -0.33495292, ' Up': -1.6111618, ' down': -2.622953, ' up': -4.8514705, 'Down': -6.0418844}
{' Down': -0.08613747, ' down': -2.5699153, 'Down': -5.809541, ' Up': -6.3661947, 'down': -7.1764307}
{' Down': -0.21791156, ' down': -1.7139767, ' Up': -4.497498, 'Down': -6.177958, ' up': -7.0642743}
{' Down': -0.427215, ' Up': -1.6404755, ' down': -2.0216916, ' up': -4.088607, 'Down': -6.3322005}
{' Down': -0.5289874, ' Up': -1.4629911, ' down': -1.907039, ' up': -3.6476321, 'Down': -6.3664813}
{' Down': -0.28433552, ' down': -1.4215406, 'Down': -6.0350504, ' Up': -6.3478994, 'down': -6.7874327}
{' Down': -0.12822391, ' down': -2.1982465, ' Up': -5.4633904, 'Down': -5.710999, 'down': -7.227822}
{' Up': -0.5545382, ' Down': -0.98827314, ' down': -3.4217808, ' up': -4.153333, 'Down': -6.5363107}
{' Down': -0.26890334, ' Up': -1.9852462, ' down': -2.461555, ' up': -5.04795, 'Down': -5.6471395}
{' Down': -0.15802117, ' down': -1.9688275, 'Down': -5.458488, 'down': -6.7957716, ' Up': -7.8620515}
{' Down': -0.11576764, ' Up': -2.8828533, ' down': -3.0244322, 'Down': -6.34117, ' up': -6.8211317}
{' Down': -0.15619266, ' Up': -2.3608456, ' down': -3.1149268, ' up': -5.9988265, 'Down': -6.383283}
{' Down': -0.13779311, ' Up': -2.605021, ' down': -3.0352483, 'Down': -6.0983872, ' up': -6.1232467}
{' Down': -0.09897633, ' down': -2.670174, ' Up': -3.9097195, 'Down': -6.0800858, 'down': -6.982822}
{' Down': -0.70052063, ' down': -0.84626114, ' Up': -3.7378037, 'Down': -3.772681, 'down': -4.340087}
{' Down': -0.5609724, ' down': -1.1729051, ' Up': -2.7254565, 'Down': -3.8723316, ' up': -3.9244785}
{' Down': -0.5178443, ' down': -1.0484287, 'Down': -3.6834228, 'down': -4.3215513, ' Up': -4.7479277}
{' down': -0.760981, ' Down': -0.7928299, 'Down': -3.767704, ' Up': -3.7720227, 'down': -3.9436383}
{' Up': -0.0620979, ' up': -2.858679, ' Down': -6.4567075, ' down': -7.932011, 'Up': -8.102726}
{' Down': -0.34662992, ' down': -1.2326792, 'Down': -7.2730217, 'down': -7.5694766, '\n': -9.251385}
{' Up': -0.22250879, ' up': -1.6842186, ' Down': -4.913608, ' down': -5.4168596, '\n': -7.526971}
{' Down': -0.2901766, ' down': -1.3873178, 'Down': -6.8474307, 'down': -7.2284513, '\n': -8.753227}
{' Up': -0.022842778, ' up': -3.9795594, ' Down': -5.993016, 'Up': -7.4128175, ' ': -8.417748}
{' Down': -0.21872887, ' down': -1.64591, 'Down': -6.152543, 'down': -6.7012076, ' ': -8.794663}
{' Up': -0.28848094, ' Down': -1.9055446, ' up': -2.8341293, ' down': -3.252535, ' ': -6.3442817}
{' Down': -0.122293785, ' down': -2.1929798, 'Down': -6.1128235, 'down': -6.9074707, ' DOWN': -9.014123}
{' Up': -0.023551572, ' up': -4.005729, ' Down': -5.968744, 'Up': -6.956588, ' ': -7.6778846}
{' Down': -0.18163072, ' down': -1.8253607, 'Down': -5.7738585, 'down': -6.5815635, ' ': -8.510182}
{' Up': -0.45279366, ' Down': -1.4620271, ' down': -2.6006494, ' up': -2.9764695, ' ': -5.9966984}
{' Down': -0.18185131, ' down': -1.8229665, 'Down': -5.891848, 'down': -6.5242143, ' DOWN': -8.395349}
{' Up': -0.09462211, ' up': -2.6131024, ' Down': -4.7233872, ' down': -5.714184, ' ': -6.52949}
{' Down': -0.49900725, ' down': -0.95217043, 'Down': -5.6946054, 'down': -5.865693, ' ': -7.837778}
{' Up': -0.46024138, ' up': -1.4483052, ' down': -2.702919, ' Down': -2.879284, ' ': -5.4925404}
{' Down': -0.51900005, ' down': -0.92606074, 'down': -5.4755273, 'Down': -5.6486707, '\n': -7.7010236}
{' Up': -0.034138575, ' up': -3.8495412, ' Down': -4.8528504, 'Up': -6.6666837, ' ': -6.936698}
{' Down': -0.20424323, ' down': -1.7263607, 'Down': -5.385123, 'down': -6.4528947, ' ': -8.014975}
{' Down': -0.40213075, ' down': -1.7017733, ' Up': -2.0915039, ' up': -4.517983, ' ': -5.3480744}
{' Down': -0.13225128, ' down': -2.148416, 'Down': -5.3500247, 'down': -6.4474382, ' DOWN': -7.844619}
{' Up': -0.014898552, ' up': -4.457062, ' Down': -6.6828136, 'Up': -7.241459, ' ': -7.8127995}
{' Down': -0.09868919, ' down': -2.4079657, 'Down': -6.0013933, 'down': -6.8991175, ' ': -8.338976}
{' Up': -0.14653382, ' Down': -2.6427402, ' up': -3.043722, ' down': -4.3375945, ' ': -6.5532203}
{' Down': -0.090931095, ' down': -2.4901905, 'Down': -6.080545, 'down': -6.8120594, ' ': -8.4885025}
{' Up': -0.30243897, ' up': -1.542248, 'Up': -4.1279907, 'up': -4.416147, ' ': -5.031618}
{' down': -0.53970605, ' Down': -1.0278558, 'down': -3.4282367, 'Down': -3.6679482, ' ': -6.9808183}
{' up': -0.81519353, ' Up': -0.828648, ' down': -2.8501592, ' Down': -3.6430418, ' ': -4.4785576}
{' down': -0.529483, ' Down': -1.0406905, 'down': -3.3121388, 'Down': -3.9151583, ' ': -7.037638}
{' Down': -0.4024328, ' down': -1.219684, ' Up': -3.587991, ' up': -5.173522, 'Down': -6.8260984}
{' Down': -0.8224675, ' Up': -0.8840958, ' down': -2.3547418, ' up': -2.9981148, 'Down': -7.0018377}
{' Up': -0.51816666, ' Down': -1.7102557, ' up': -1.8763344, ' down': -2.692605, '\n': -7.6456437}
{' Down': -0.5865203, ' down': -0.8417693, ' Up': -4.9387236, ' up': -6.1580224, 'down': -6.319709}
{' Down': -0.2745112, ' down': -2.1718366, ' Up': -2.1779573, ' up': -4.7449565, 'Down': -6.1673536}
{' Down': -0.12594469, ' Up': -2.7613893, ' down': -3.0287037, ' up': -5.8124757, 'Down': -5.9806523}
{' Up': -0.07745569, ' up': -3.0089705, ' Down': -3.875679, ' down': -6.195339, 'Up': -6.8038883}
{' Down': -0.19995661, ' down': -1.7378156, 'Down': -5.9081645, 'down': -6.2636747, ' Up': -8.041259}
{' Down': -0.09716864, ' down': -2.6352165, ' Up': -4.161717, 'Down': -5.7157865, 'down': -7.1783624}
{' Down': -0.15255807, ' Up': -2.3033013, ' down': -3.3753822, 'Down': -5.7014585, ' up': -6.0053163}
{' Up': -0.17538379, ' Down': -2.1182683, ' up': -3.5505688, ' down': -4.8010244, 'Up': -6.718684}
{' Down': -0.118177615, ' down': -2.2607653, 'Down': -5.4391003, 'down': -6.647585, ' Up': -6.8864574}
{' Down': -0.25778833, ' down': -1.8293083, ' Up': -2.908484, ' up': -5.025103, 'Down': -5.6743817}
{' Up': -0.38064933, ' Down': -1.4003427, ' up': -3.26783, ' down': -3.58345, 'Down': -6.6682477}
{' Up': -0.45556948, ' Down': -1.5849277, ' up': -2.20956, ' down': -3.0696957, 'Down': -6.782281}
{' Down': -0.3847911, ' down': -1.2243086, ' Up': -4.2250924, 'Down': -5.503403, ' up': -5.69793}
{' Down': -0.14289129, ' down': -2.1048625, 'Down': -5.3296185, ' Up': -5.744301, 'down': -6.39246}
{' Down': -0.6684681, ' Up': -0.8504272, ' down': -3.2730365, ' up': -4.3754344, 'Down': -5.5953817}
{' Up': -0.20520152, ' Down': -2.0224507, ' up': -3.316457, ' down': -4.532689, 'Up': -6.149627}
{' Down': -0.13848312, ' down': -2.136961, 'Down': -4.9784827, 'down': -5.8971334, ' Up': -7.1181087}
{' Down': -0.12462187, ' Up': -2.5291228, ' down': -3.443603, 'Down': -6.057487, ' up': -6.3980055}
{' Down': -0.17363034, ' Up': -1.9802119, ' down': -4.1921506, 'Down': -5.829426, ' up': -6.309252}
{' Up': -0.6304196, ' Down': -0.82234275, ' down': -4.3887224, ' up': -4.433274, 'Down': -6.461598}
{' Down': -0.06515525, ' down': -2.9856663, ' Up': -4.819664, 'Down': -5.9111195, 'down': -6.9668446}
{' Down': -0.3552135, ' down': -1.4354023, 'Down': -3.6874754, ' Up': -3.9723058, 'down': -4.6470985}
{' Down': -0.33021113, ' down': -1.9639963, ' Up': -2.4377835, 'Down': -3.648801, ' up': -4.254907}
{' Up': -0.21634851, ' up': -1.9863757, ' Down': -3.4887655, 'Up': -4.537485, ' down': -4.8000007}
{' Down': -0.3911924, ' down': -1.2685881, 'Down': -3.6181362, 'down': -4.273047, ' ': -7.2523794}
{' Down': -0.27619153, ' down': -1.4277551, 'Down': -7.222327, 'down': -7.4732885, '\n': -9.58491}
{' Up': -0.2009011, ' up': -1.756855, ' Down': -5.2676506, ' down': -5.9368362, ' UP': -7.508116}
{' Down': -0.6018641, ' down': -0.79979545, 'down': -6.700075, 'Down': -6.992529, ' Up': -8.332001}
{' Up': -0.32517216, ' up': -1.2882763, ' UP': -7.2931952, 'Up': -7.8518386, 'up': -8.296777}
{' Down': -0.10974505, ' down': -2.2944393, 'Down': -6.2972126, 'down': -7.206495, ' Up': -8.089868}
{' Up': -0.2600555, ' Down': -1.9317169, ' up': -2.9158309, ' down': -3.6059625, ' ': -7.20873}
{' Down': -0.20776354, ' down': -1.6975898, 'Down': -5.9995074, 'down': -6.413669, ' DOWN': -8.997919}
{' Up': -0.1739724, ' up': -2.4054866, ' Down': -2.8539839, ' down': -4.6575212, 'Up': -7.116739}
{' Down': -0.09981274, ' down': -2.3981278, 'Down': -5.9998446, 'down': -7.3564706, ' Up': -7.4466486}
{' Down': -0.6929279, ' Up': -0.9109798, ' down': -2.583034, ' up': -4.029178, 'Down': -6.533672}
{' Down': -0.10333929, ' down': -2.3717718, 'Down': -5.6159387, 'down': -6.964324, ' DOWN': -8.720967}
{' Up': -0.051506005, ' up': -3.094839, ' Down': -5.9997425, 'Up': -6.949859, ' UP': -7.4598002}
{' Down': -0.3475794, ' down': -1.2442392, 'Down': -6.0555506, 'down': -6.3436956, ' Up': -7.294713}
{' Up': -0.22897327, ' up': -1.9150372, ' Down': -3.2972238, ' down': -4.058859, 'Up': -7.1074486}
{' Down': -0.45323914, ' down': -1.0264336, 'Down': -5.9021807, 'down': -6.0374427, ' Up': -7.7045913}
{' Up': -0.28345218, ' up': -1.4245063, ' Down': -6.2066393, ' down': -6.5844126, 'Up': -6.951262}
{' Down': -0.13239272, ' down': -2.1346128, 'Down': -5.541551, 'down': -6.7887473, ' DOWN': -8.217886}
{' Up': -0.42122704, ' Down': -1.3494154, ' down': -3.1471295, ' up': -3.3384328, ' ': -6.1945686}
{' Down': -0.17977476, ' down': -1.8600992, 'Down': -5.0606456, 'down': -6.26422, ' DOWN': -7.9203877}
{' Up': -0.079648115, ' up': -2.6201718, 'Up': -6.4317365, ' UP': -6.9882207, ' ': -7.773949}
{' Down': -0.030554807, ' down': -3.5904074, 'Down': -6.3314714, 'down': -7.7955995, ' Up': -9.208696}
{' Up': -0.18029678, ' Down': -1.9270333, ' up': -4.484767, ' down': -5.220448, ' UP': -7.0632157}
{' Up': -0.24546175, ' Down': -1.7001184, ' up': -3.8659718, ' down': -4.4858313, ' UP': -7.1730666}
{' Up': -0.19395927, ' Down': -1.883624, ' up': -4.0917788, ' down': -5.239026, 'Up': -7.483522}
{' Up': -0.92664605, ' Down': -1.1142242, ' down': -1.8563411, ' up': -2.4561317, 'Down': -4.4972925}
{' Down': -0.50260854, ' down': -1.018594, 'Down': -3.9157379, 'down': -4.489007, ' ': -6.3500485}
{' Up': -0.32759625, ' up': -1.6233499, ' Down': -3.2815013, ' down': -3.6944652, 'Up': -4.6848044}
{' Down': -0.41826814, ' down': -1.1770668, 'Down': -3.9258246, 'down': -4.4851704, ' ': -7.1114674}
{' Down': -0.2619956, ' down': -1.4738963, 'Down': -7.0599365, 'down': -7.831833, '\n': -9.567726}
{' Up': -0.059496276, ' up': -2.87682, ' UP': -6.8784237, 'Up': -8.149181, '\n': -9.970421}
{' Down': -0.33554468, ' down': -1.2612762, 'Down': -6.9949927, 'down': -7.485479, ' DOWN': -9.040196}
{' Up': -0.31644684, ' up': -1.3140284, ' UP': -6.296868, 'Up': -7.9735646, 'up': -9.074281}
{' Down': -0.5615442, ' down': -0.861492, 'down': -5.5652347, 'Down': -5.8372035, ' ': -8.6995125}
{' Up': -0.071701065, ' up': -2.7083051, 'Up': -6.6482368, ' UP': -7.055639, 'up': -8.349363}
{' Down': -0.44906133, ' down': -1.0315447, 'down': -6.021863, 'Down': -6.030033, ' DOWN': -8.366389}
{' Up': -0.29080436, ' up': -1.391644, ' UP': -6.5412865, 'Up': -6.618437, 'up': -7.563158}
{' Down': -0.45668194, ' down': -1.0278909, 'Down': -5.439077, 'down': -5.6666694, ' ': -7.559524}
{' Up': -0.058271643, ' up': -2.9470825, ' UP': -6.1894894, 'Up': -6.5213966, 'up': -8.326688}
{' Down': -0.3569498, ' down': -1.2297201, 'Down': -5.6138043, 'down': -5.8080263, ' DOWN': -7.2489147}
{' Up': -0.21372269, ' up': -1.6826692, ' UP': -5.6464615, 'Up': -6.3321266, 'up': -7.583356}
{' down': -0.5573087, ' Down': -0.87495095, 'down': -5.356983, 'Down': -5.3959694, '\n': -7.530433}
{' Up': -0.18375275, ' up': -1.8142803, ' UP': -6.2704086, 'Up': -6.3274364, 'up': -7.6019726}
{' down': -0.48553783, ' Down': -0.9836114, 'down': -5.118606, 'Down': -5.6511865, '\n': -7.626958}
{' Up': -0.6719098, ' up': -0.72968525, ' UP': -6.0842443, 'Up': -6.152626, 'up': -6.63885}
{' Down': -0.48769858, ' down': -0.9797754, 'Down': -5.211936, 'down': -5.5059533, ' ': -7.581103}
{' Up': -0.07484108, ' up': -2.7134862, ' UP': -5.970484, 'Up': -6.034216, 'up': -7.8118205}
{' Down': -0.30226645, ' down': -1.3907197, 'Down': -5.069024, 'down': -5.477891, ' DOWN': -7.0080957}
{' Up': -0.22615676, ' up': -1.632897, ' UP': -5.768799, 'Up': -6.036186, 'up': -7.263044}
