{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.00060941797, 'Yes': -7.9100103, ' Purple': -9.218989, ' yes': -10.019353, ' No': -10.464843}
{' Yes': -0.0017322542, 'Yes': -6.6590734, ' Animal': -8.019129, ' yes': -9.898619, ' No': -10.491846}
{' Yes': -0.0031731594, 'Yes': -6.5650725, ' Animal': -6.5863576, ' No': -8.295604, ' yes': -9.7427}
{' Hel': -0.07395643, ' Yes': -2.71399, 'Helper': -6.349773, ' Help': -6.7192025, ' Helic': -7.355302}
{' Hel': -0.16965108, ' Yes': -1.8931276, ' Help': -6.335541, 'Helper': -6.408634, ' helper': -7.516305}
{' Yes': -0.33116668, ' No': -1.2702174, 'Yes': -7.819403, ' Nope': -7.9862003, 'No': -8.27159}
{' Yes': -0.00038554877, 'Yes': -8.027531, ' No': -10.564373, ' yes': -10.790813, ' YES': -11.974678}
{' Yes': -0.0006923215, 'Yes': -7.360428, ' yes': -10.693427, ' Sure': -11.711003, ' Branch': -11.851742}
{' Yes': -0.002809018, 'Yes': -6.4333186, ' Branch': -7.057534, ' yes': -8.90871, ' No': -8.981093}
{' Yes': -0.0005552024, 'Yes': -7.6115623, ' No': -10.531615, ' yes': -11.708347, ' Yep': -11.7138195}
{' Yes': -0.0009429253, 'Yes': -7.514466, ' No': -8.16283, ' Yep': -10.493083, ' yes': -10.749566}
{' Yes': -0.008692824, ' Ignore': -5.5743074, ' No': -5.5930624, ' Ign': -7.492944, 'Yes': -7.9119368}
{' No': -0.440638, ' Yes': -1.1024307, ' Ignore': -3.8354762, ' Ign': -6.700802, ' Nope': -6.943815}
{' Yes': -0.006696285, ' Divide': -5.3847957, ' No': -6.501715, 'Yes': -7.7328176, ' yes': -9.860551}
{' Divide': -0.23535022, ' Yes': -1.6625371, ' Div': -4.553412, ' No': -4.8517785, ' Division': -7.849162}
{' Yes': -0.00031584647, 'Yes': -8.130176, ' yes': -11.899187, ' YES': -12.095333, ' Hammer': -12.755898}
{' Yes': -0.0065620025, ' Hammer': -5.1535745, 'Yes': -7.3458753, ' yes': -10.356684, ' YES': -10.539727}
{' Yes': -0.00095975155, 'Yes': -7.170566, ' Second': -10.018741, ' No': -10.322859, ' yes': -10.3835745}
{' Yes': -0.0035669238, 'Yes': -6.329199, ' Second': -7.0574045, ' No': -8.245813, ' yes': -8.701331}
{' Yes': -0.021340169, ' No': -3.9328237, 'Yes': -6.6424255, ' yes': -9.865659, 'No': -10.211437}
{' Yes': -0.011461569, ' No': -4.612314, 'Yes': -6.659811, ' yes': -10.264724, ' Absolutely': -10.481064}
{' Yes': -0.0054339124, ' Ex': -5.4591746, 'Yes': -7.14065, ' No': -8.421404, ' yes': -9.407077}
{' Yes': -0.05303754, ' No': -3.34922, ' Ex': -4.2681937, 'Yes': -6.976833, ' Nope': -7.520017}
{' Yes': -0.00023905636, 'Yes': -8.499847, ' yes': -11.123018, ' No': -11.4857025, ' YES': -12.851948}
{' Yes': -0.00036992683, ' No': -8.591206, 'Yes': -8.766339, ' yes': -11.211285, ' YES': -12.055434}
{' Yes': -0.0064076423, ' Planet': -5.192532, 'Yes': -7.33631, ' No': -9.427234, ' yes': -9.87336}
{' Yes': -0.0042823637, ' Planet': -5.6949196, 'Yes': -7.222168, ' No': -9.681898, ' yes': -9.833675}
{' Yes': -0.0021600956, 'Yes': -6.714585, ' No': -7.214339, ' YES': -9.744354, ' yes': -9.747268}
{' Yes': -0.0009592738, 'Yes': -7.3061256, ' No': -8.461156, ' yes': -10.401915, ' YES': -10.502027}
{' Yes': -0.00041083325, 'Yes': -7.8681145, ' yes': -11.428271, ' YES': -11.6682625, ' Ass': -13.044222}
{' Yes': -0.002260336, 'Yes': -6.6760216, ' Ass': -7.25111, ' No': -8.819437, ' YES': -10.228549}
{' Yes': -0.00033331852, 'Yes': -8.131081, ' No': -11.074563, ' yes': -11.226027, ' YES': -11.912877}
{' Yes': -0.009374933, ' Circus': -5.093352, ' No': -6.8848667, 'Yes': -6.945074, ' Circ': -7.3223}
{' Yes': -0.00035072953, 'Yes': -8.034419, ' yes': -11.371749, ' No': -11.960219, ' YES': -12.073707}
{' Yes': -0.00047517402, 'Yes': -7.9160233, ' No': -9.468448, ' yes': -10.688791, ' YES': -11.949657}
{' Yes': -0.0005815645, 'Yes': -8.127015, ' No': -8.408223, ' yes': -10.351146, ' YES': -11.082349}
{' Yes': -0.008725292, ' No': -5.068721, ' Finger': -6.809264, 'Yes': -7.3262143, ' F': -8.692765}
{' Yes': -0.0005747649, 'Yes': -7.551367, ' yes': -10.337698, ' YES': -11.420166, 'yes': -13.005377}
{' Yes': -0.0018708479, 'Yes': -6.74764, ' Law': -7.7742763, ' No': -8.923268, ' yes': -10.114933}
{' Yes': -0.0005210318, 'Yes': -7.6195793, ' yes': -11.484987, ' Sure': -11.951239, ' YES': -12.190607}
{' Yes': -0.00094053923, 'Yes': -7.0780582, ' yes': -10.472763, ' YES': -10.637059, ' No': -10.89762}
{' Yes': -0.010766704, ' No': -4.625871, 'Yes': -7.138816, ' yes': -9.778535, ' Cancer': -10.485728}
{' Yes': -0.27907622, ' No': -1.4175746, 'Yes': -7.429753, 'No': -8.282131, ' Cancer': -8.620028}
{' Yes': -0.016605183, ' Sc': -4.404968, 'Yes': -5.8647346, ' YES': -7.5604887, ' yes': -7.936818}
{' Yes': -0.0069318926, ' Sc': -5.593191, 'Yes': -6.03546, ' YES': -8.142485, ' yes': -8.494654}
{' Yes': -0.0026312687, ' No': -6.2295027, 'Yes': -7.413409, ' yes': -10.596265, ' YES': -11.652393}
{' Yes': -0.02017334, ' No': -3.9825792, 'Yes': -6.814099, ' Nope': -9.73575, ' yes': -9.755718}
{' Yes': -0.00037100064, 'Yes': -8.055032, ' No': -10.541181, ' Sure': -12.030852, ' yes': -12.062397}
{' Yes': -0.009965699, ' Exc': -5.621526, ' Ex': -5.7587624, ' No': -6.480607, 'Yes': -6.8332872}
{' Yes': -0.0002869914, 'Yes': -8.315613, ' No': -10.836738, ' yes': -11.195682, ' YES': -12.199033}
{' Yes': -0.00036813872, 'Yes': -8.329024, ' No': -9.171565, ' yes': -11.024225, ' YES': -12.632453}
{' Yes': -0.57028115, ' No': -0.83582985, 'Yes': -7.5899205, 'No': -7.769717, ' Nope': -8.988505}
{' Yes': -0.00236835, 'Yes': -6.570533, ' No': -7.526732, ' Cowboy': -8.4667845, ' yes': -9.638787}
{' Yes': -0.004130509, ' No': -6.3757925, 'Yes': -6.6503606, ' Finish': -6.905335, ' yes': -10.01276}
{' Yes': -0.073995836, ' Finish': -2.7734203, ' No': -5.8370214, 'Yes': -5.940718, ' Fish': -6.6138234}
{' Yes': -0.0009486529, 'Yes': -7.218617, ' Puzzle': -9.770693, ' yes': -9.859583, ' No': -10.028751}
{' Yes': -0.00043700845, 'Yes': -7.9675198, ' No': -9.843275, ' yes': -10.998871, ' YES': -11.432679}
{' Yes': -0.0003090478, 'Yes': -8.1747055, ' yes': -11.659987, ' YES': -11.71436, ' Sure': -12.320843}
{' Yes': -0.0005628365, 'Yes': -8.003876, ' Repeat': -8.678522, ' yes': -10.648705, ' YES': -11.189569}
