{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -0.0032415062, '\n': -8.225172, ' ': -6.3565564, 'No': -6.870198, ' Six': -9.390666}
{' No': -0.023822065, '\n': -6.1656656, ' ': -5.897658, 'No': -3.9916599, ' no': -9.321256}
{' No': -0.08275984, '\n': -3.3799703, ' ': -4.1907196, 'No': -3.5406852, '  ': -8.089977}
{' No': -0.0023427794, '\n': -9.880213, ' ': -7.052031, 'No': -6.5918865, ' no': -10.641818}
{' No': -0.14451405, '\n': -4.1433806, ' ': -4.4284444, 'No': -2.2543945, ' no': -7.5101943}
{' No': -0.021469077, '\n': -7.5342684, ' ': -6.089121, 'No': -4.0526195, ' no': -7.2803173}
{' No': -0.062197164, ' ': -6.282563, 'No': -2.9222548, ' Yes': -6.9213905, ' no': -5.9233913}
{' No': -0.095538825, ' ': -7.361022, 'No': -2.4085917, 'no': -9.755306, ' no': -8.496344}
{' No': -0.15737376, ' ': -6.250108, 'No': -2.4445612, ' Yes': -2.9805927, 'Yes': -5.828905}
{' No': -0.012356942, ' ': -7.6670218, 'No': -4.492072, ' Yes': -8.020141, ' no': -8.589952}
{' No': -0.41758573, '\n': -7.1611342, ' ': -6.673503, 'No': -1.0828422, 'no': -8.350052}
{' No': -0.081741504, ' ': -7.7944903, 'No': -2.5551949, 'no': -9.446625, ' no': -8.639053}
{' No': -0.022781862, '\n': -7.119558, ' ': -5.1110897, 'No': -5.6526437, ' no': -4.4603696}
{' No': -0.03943472, '\n': -5.842968, ' ': -5.493456, 'No': -3.5482788, ' no': -5.958204}
{' No': -0.093809724, '\n': -3.6236827, ' ': -4.4765363, 'No': -3.0659816, ' no': -5.584531}
{' No': -0.022018835, '\n': -6.4275265, ' ': -5.643474, 'No': -4.1784787, ' no': -6.8398705}
{' No': -0.23763517, '\n': -2.8850665, ' ': -4.4686675, 'No': -2.0006986, ' no': -5.102635}
{' No': -0.16527106, '\n': -4.1666937, ' ': -4.630096, 'No': -3.8507228, ' no': -2.2981122}
{' No': -0.010157159, '\n': -5.987091, ' ': -5.506821, 'No': -5.736458, ' Yes': -8.790722}
{' No': -0.03328167, '\n': -4.504858, ' ': -5.2217236, 'No': -4.1376495, ' no': -9.267261}
{' No': -0.050078623, '\n': -4.0365953, ' ': -4.8157015, 'No': -3.8004754, ' no': -8.672544}
{' No': -0.009187174, '\n': -6.853204, ' ': -5.4132495, 'No': -5.680547, ' Six': -9.006045}
{' No': -0.055269178, '\n': -3.846647, ' ': -5.173331, 'No': -3.651977, ' no': -8.074327}
{' No': -0.045110665, '\n': -4.45853, ' ': -4.513954, 'No': -4.108888, ' no': -5.6901593}
{'\n': -9.927242, ' ': -9.31481, ' Yes': -0.002910637, ' yes': -9.970278, 'Yes': -5.9104824}
{'\n': -10.710842, ' ': -8.343543, ' Yes': -0.01465719, ' yes': -8.363984, 'Yes': -4.268239}
{'\n': -7.824139, ' ': -7.158964, ' Yes': -0.01984278, ' yes': -7.6056123, 'Yes': -4.032231}
{' ': -9.717452, ' Yes': -0.0019445402, ' yes': -9.911679, 'Yes': -6.3120427, ' Six': -12.077021}
{'\n': -8.1936035, ' ': -7.436388, ' Yes': -0.025894541, ' yes': -8.389151, 'Yes': -3.715407}
{'\n': -7.9334917, ' ': -7.7082214, ' Yes': -0.017859166, ' yes': -7.326243, 'Yes': -4.1298566}
{'\n': -7.8554416, ' ': -6.558204, ' Yes': -0.003553106, ' yes': -7.973232, 'Yes': -6.6127696}
{'\n': -7.298736, ' ': -6.6712813, ' Yes': -0.019174092, ' yes': -7.5082903, 'Yes': -4.1135497}
{'\n': -4.243374, ' ': -5.249483, ' Yes': -0.057359792, ' yes': -6.7596, 'Yes': -3.372343}
{'\n': -9.4923725, ' ': -7.2012315, ' Yes': -0.0031479876, ' yes': -8.769486, 'Yes': -6.148413}
{'\n': -5.047432, ' ': -5.2789927, ' Yes': -0.14283195, ' yes': -5.999397, 'Yes': -2.1378784}
{'\n': -7.2529, ' ': -6.1691113, ' Yes': -0.01855673, ' yes': -5.7022953, 'Yes': -4.4411488}
{'\n': -8.181824, ' ': -6.8067966, ' Yes': -0.032501057, ' yes': -4.7409854, 'Yes': -3.8487449}
{' No': -8.771301, ' ': -7.690746, ' Yes': -0.039747074, ' yes': -6.3424087, 'Yes': -3.3167872}
{' No': -5.888169, ' ': -6.5055637, ' Yes': -0.065570325, ' yes': -5.247749, 'Yes': -2.9529145}
{' ': -7.7682576, ' Yes': -0.011601577, ' yes': -6.933888, 'Yes': -4.6090956, 'yes': -10.159785}
{' No': -6.4656973, ' ': -6.5960517, ' Yes': -0.1855726, ' yes': -6.5260367, 'Yes': -1.812579}
{' ': -8.28633, ' Yes': -0.019677725, ' yes': -6.304607, 'Yes': -4.062297, 'yes': -8.977984}
{'\n': -6.518759, ' ': -5.4583416, ' Yes': -0.052505575, ' yes': -3.2536733, 'Yes': -5.1548157}
{'\n': -5.863931, ' ': -5.4470916, ' Yes': -0.045118086, ' yes': -5.3074374, 'Yes': -3.462194}
{'\n': -4.1228085, ' ': -4.7863297, ' Yes': -0.085764304, ' yes': -4.773844, 'Yes': -3.046757}
{'\n': -7.371373, ' ': -6.7092505, ' Yes': -0.020064661, ' yes': -5.979226, 'Yes': -4.1854105}
{'\n': -2.9870198, ' ': -4.68514, ' Yes': -0.21556441, ' yes': -4.2550464, 'Yes': -2.1859262}
{'\n': -5.033944, ' ': -5.2413507, ' Yes': -0.15166837, ' yes': -2.192455, 'Yes': -4.2867007}
{'\n': -6.432705, ' ': -6.4163113, ' Yes': -0.00747155, ' yes': -7.3424487, 'Yes': -5.6751246}
{'\n': -5.740538, ' ': -5.918267, ' Yes': -0.019583385, ' yes': -7.3572965, 'Yes': -4.3728337}
{'\n': -4.5934978, ' ': -5.108232, ' Yes': -0.041637275, ' yes': -6.723479, 'Yes': -3.7833266}
{'\n': -6.691772, ' ': -5.737276, ' Yes': -0.008219152, ' yes': -7.8790526, 'Yes': -5.721552}
{'\n': -3.1482377, ' ': -4.75162, ' Yes': -0.1122384, ' yes': -6.141845, 'Yes': -3.0070481}
{'\n': -4.7493253, ' ': -4.7132726, ' Yes': -0.03619075, ' yes': -5.021806, 'Yes': -4.549912}
{'\n': -11.71487, ' ': -10.938329, ' Yes': -0.0019165318, ' yes': -10.584172, 'Yes': -6.291429}
{' ': -9.040744, ' Yes': -0.013644525, ' yes': -8.289919, 'Yes': -4.338035, ' True': -10.331568}
{'\n': -9.030406, ' ': -8.188043, ' Yes': -0.016728397, ' yes': -7.7556543, 'Yes': -4.1637545}
{' ': -11.526731, ' Absolutely': -11.610539, ' Yes': -0.0007221462, ' yes': -10.857802, 'Yes': -7.313037}
{'\n': -8.711059, ' ': -7.7579436, ' Yes': -0.014939451, ' yes': -8.565594, 'Yes': -4.276765}
{' Five': -8.040714, ' ': -8.527039, ' Yes': -0.014345382, ' yes': -7.881447, 'Yes': -4.3426266}
{'\n': -9.743217, ' ': -8.400219, ' Yes': -0.0011491937, ' yes': -8.701619, 'Yes': -7.3643556}
{'\n': -7.1925154, ' ': -7.188029, ' Yes': -0.016577793, ' yes': -7.279071, 'Yes': -4.271441}
{'\n': -4.7246537, ' ': -5.5492916, ' Yes': -0.04760421, ' yes': -6.710736, 'Yes': -3.4428432}
{'\n': -10.653468, ' ': -8.346587, ' Yes': -0.0015614424, ' yes': -8.534366, 'Yes': -6.842572}
{'\n': -4.914002, ' ': -5.5694466, ' Yes': -0.12507418, ' yes': -6.110756, 'Yes': -2.2740285}
{' Five': -6.3558893, ' ': -7.1133156, ' Yes': -0.017455555, ' yes': -5.7041965, 'Yes': -4.5817084}
{' ': -7.46682, ' Yes': -0.035942275, ' yes': -4.353365, 'Yes': -3.9361782, ' True': -6.735497}
{' YES': -9.002168, ' ': -8.578027, ' Yes': -0.021525778, ' yes': -6.609185, 'Yes': -3.9480548}
{' No': -7.08996, ' ': -7.542554, ' Yes': -0.04513106, ' yes': -5.3110437, 'Yes': -3.2997735}
{' ': -8.764814, ' Yes': -0.0074582193, ' yes': -7.227461, 'Yes': -5.0853353, ' True': -8.676121}
{' ': -7.2433457, ' Yes': -0.10773633, ' yes': -6.837596, 'Yes': -2.3079638, 'yes': -8.130938}
{' No': -7.3397393, ' ': -7.570241, ' Yes': -0.01845667, ' yes': -6.670022, 'Yes': -4.1790743}
{'\n': -7.477313, ' ': -6.7101593, ' Yes': -0.04400759, ' yes': -3.3193028, 'Yes': -5.5258036}
{'\n': -5.8493304, ' ': -6.0267997, ' Yes': -0.033993036, ' yes': -4.946844, 'Yes': -3.904013}
{'\n': -3.8727648, ' ': -5.2290254, ' Yes': -0.093315765, ' yes': -4.476216, 'Yes': -3.0011468}
{'\n': -6.605831, ' ': -6.936693, ' Yes': -0.017496679, ' yes': -5.5131326, 'Yes': -4.5591874}
{'\n': -3.5240073, ' Yes': -0.1643683, ' yes': -4.15107, 'Yes': -2.3336625, 'yes': -5.4977336}
{'\n': -4.9217, ' Yes': -0.15146638, ' yes': -2.2532938, 'Yes': -4.0765457, 'yes': -5.5145006}
{'\n': -7.985221, ' ': -8.232076, ' Yes': -0.0029161365, ' yes': -7.987886, 'Yes': -6.315681}
{'\n': -6.298873, ' ': -6.9233737, ' Yes': -0.016059307, ' yes': -7.3935595, 'Yes': -4.4128447}
{'\n': -5.3073616, ' ': -5.863928, ' Yes': -0.027448863, ' yes': -7.1220164, 'Yes': -4.018627}
{'\n': -7.530007, ' ': -6.9474683, ' Yes': -0.0036017403, ' yes': -8.6266, 'Yes': -6.2945747}
{'\n': -4.909006, ' ': -6.329869, ' Yes': -0.04076398, ' yes': -6.717582, 'Yes': -3.5451028}
{'\n': -5.190345, ' ': -5.473775, ' Yes': -0.0330651, ' yes': -5.1548758, 'Yes': -4.1807394}
{' No': -0.0073341615, '\n': -9.684282, ' ': -8.4572115, 'No': -4.959618, ' no': -12.095444}
{' No': -0.036041323, '\n': -9.699262, ' ': -6.8407974, 'No': -3.3763773, ' no': -10.55982}
{' No': -0.044357203, '\xa0': -9.681317, '\n': -7.6801906, ' ': -6.774183, 'No': -3.1806831}
{' No': -0.008606428, ' ': -8.26985, 'No': -4.7951856, ' Two': -10.7664385, ' no': -12.136686}
{' No': -0.051587716, '\xa0': -9.768381, '\n': -6.7698708, ' ': -6.360511, 'No': -3.0552325}
{' No': -0.06370438, '\n': -8.198433, ' ': -7.012302, 'No': -2.8114746, ' no': -8.979315}
{' No': -0.0036767551, '\n': -8.049964, ' ': -6.4565268, 'No': -6.3937635, ' no': -9.672447}
{' No': -0.026074696, '\n': -6.328607, ' ': -5.6937037, 'No': -3.898267, ' no': -8.956583}
{' No': -0.05983831, '\n': -4.2550325, ' ': -4.6889296, 'No': -3.3871505, ' no': -8.395803}
{' No': -0.004190482, '\n': -9.694324, ' ': -6.5313053, 'No': -5.949644, ' no': -10.514249}
{' No': -0.11368082, '\n': -4.6328373, ' ': -4.418762, 'No': -2.481967, ' no': -7.3898582}
{' No': -0.021645153, '\n': -7.613787, ' ': -5.7603927, 'No': -4.111153, ' no': -6.8153005}
{' No': -0.05269223, '\n': -7.8958297, ' ': -6.06967, 'No': -3.1260219, ' no': -5.4716253}
{' No': -0.07141807, ' ': -7.004206, 'No': -2.6989548, 'no': -9.244246, ' no': -7.7609625}
{' No': -0.1133704, '\n': -7.859531, ' ': -6.6074347, 'No': -2.2621684, ' no': -7.2614837}
{' No': -0.014360317, ' ': -7.25795, 'No': -4.3355293, 'no': -10.545161, ' no': -8.070426}
{' No': -0.30513638, '\n': -6.8344913, ' ': -6.25148, 'No': -1.3508326, ' no': -8.130422}
{' No': -0.060950898, '\n': -9.464581, ' ': -7.09922, 'No': -2.8490198, ' no': -8.699649}
{' No': -0.021108508, '\n': -7.0523505, ' ': -5.265056, 'No': -5.279096, ' no': -4.6688724}
{' No': -0.054304928, '\n': -5.531685, ' ': -4.7963457, 'No': -3.252419, ' no': -6.4991174}
{' No': -0.089522086, '\n': -4.2002397, ' ': -4.6837697, 'No': -2.8435483, ' no': -6.0966363}
{' No': -0.029072916, '\n': -6.4569745, ' ': -5.3280573, 'No': -3.8681936, ' no': -6.820927}
{' No': -0.1790949, '\n': -3.635173, ' ': -4.7193184, 'No': -2.1204152, ' no': -5.10509}
{' No': -0.12288233, '\n': -5.308757, ' ': -5.0812225, 'No': -3.985999, ' no': -2.4860072}
{' No': -0.009301114, '\n': -6.237458, ' ': -5.6780853, 'No': -5.606225, ' no': -8.882365}
{' No': -0.028963204, '\n': -5.377928, ' ': -5.419941, 'No': -3.9541664, ' no': -8.88568}
{' No': -0.051833145, '\n': -4.575164, ' ': -4.645571, 'No': -3.5139797, ' no': -8.3875885}
{' No': -0.00990562, '\n': -7.0765424, ' ': -5.48721, 'No': -5.353785, ' no': -9.645993}
{' No': -0.054638956, '\n': -4.2256365, ' ': -4.7089176, 'No': -3.5545683, ' no': -7.8902993}
{' No': -0.037386894, '\n': -5.242062, ' ': -4.8762617, 'No': -3.9190075, ' no': -5.7120447}
{' Seven': -8.162056, ' No': -0.012160051, '\n': -8.794449, ' ': -7.93747, 'No': -4.489833}
{' Seven': -9.132956, ' No': -0.040836316, ' ': -7.4353485, 'No': -3.2475126, ' Yes': -8.291574}
{' No': -0.05004974, '\n': -7.295663, ' ': -6.816087, 'No': -3.073886, ' Yes': -7.879693}
{' Seven': -7.865299, ' No': -0.01290153, ' ': -8.412004, 'No': -4.4219418, ' Yes': -9.231893}
{' Seven': -5.825569, ' No': -0.071825996, '\n': -6.3784404, ' ': -5.8303666, 'No': -2.8003454}
{' Seven': -6.6160727, ' No': -0.057640538, ' ': -7.130551, 'No': -2.9671767, ' Yes': -6.61002}
{' Seven': -7.564933, ' No': -0.004408978, '\n': -7.969843, ' ': -6.21952, 'No': -6.6339326}
{' No': -0.023820542, '\n': -5.9001656, ' ': -5.8015075, 'No': -4.0451865, ' no': -9.321048}
{' No': -0.08498874, '\n': -3.2835264, ' ': -4.359187, 'No': -3.5113058, '  ': -8.2223835}
{' Seven': -9.880005, ' No': -0.0030203352, '\n': -9.430766, ' ': -6.833827, 'No': -6.3417788}
{' No': -0.1359118, '\n': -4.1038632, ' ': -4.495639, 'No': -2.3244817, ' no': -7.86047}
{' No': -0.018753424, '\n': -7.480024, ' ': -5.81859, 'No': -4.2834725, ' no': -7.4357557}
{' No': -0.06378303, ' ': -5.9411, 'No': -2.9581428, ' Yes': -5.6337214, ' no': -6.313347}
{' No': -0.10589068, ' ': -7.0656867, 'No': -2.3196452, ' Yes': -8.06952, ' no': -7.8052626}
{' No': -0.5446678, ' ': -5.591542, 'No': -2.9786544, ' Yes': -1.0781188, 'Yes': -4.041145}
{' No': -0.018397594, ' ': -7.3339868, 'No': -4.2549396, ' Yes': -5.8019834, ' no': -8.711177}
{' No': -0.3989959, '\n': -7.0809765, ' ': -6.736587, 'No': -1.1205975, 'no': -8.307565}
{' No': -0.09135387, ' ': -7.789929, 'No': -2.449243, 'no': -9.193367, ' no': -8.618167}
{' No': -0.015989233, ' ': -5.1802344, 'No': -5.716598, ' Yes': -7.067148, ' no': -5.2558002}
{' No': -0.03446137, '\n': -5.810605, ' ': -5.439145, 'No': -3.692983, ' no': -6.6099463}
{' No': -0.08177171, '\n': -3.821058, ' ': -4.527775, 'No': -3.145439, ' no': -6.356817}
{' No': -0.018240847, '\n': -6.763301, ' ': -5.468636, 'No': -4.4205084, ' no': -7.673373}
{' No': -0.19374032, '\n': -3.172749, ' ': -4.706104, 'No': -2.1293826, ' no': -5.4772973}
{' No': -0.14543211, '\n': -4.222173, ' ': -4.4452596, 'No': -3.9438949, ' no': -2.6198986}
{' No': -0.011990829, '\n': -5.765458, ' ': -5.4695673, 'No': -5.6052637, ' Yes': -7.432912}
{' Seven': -8.465495, ' No': -0.03936181, '\n': -4.4141865, ' ': -5.1347694, 'No': -3.9131715}
{' Seven': -7.9659295, ' No': -0.056689974, '\n': -4.034042, ' ': -4.565412, 'No': -3.6594293}
{' Seven': -7.813959, ' No': -0.01099381, '\n': -6.3924003, ' ': -5.442341, 'No': -5.4264812}
{' No': -0.05293139, '\n': -3.7713418, ' ': -5.2156157, 'No': -3.7990003, ' no': -8.2823305}
{' No': -0.05800259, '\n': -4.149391, ' ': -4.2158895, 'No': -4.040334, ' Yes': -5.576926}
{'\n': -10.31868, ' ': -9.482647, ' Yes': -0.0024058125, ' yes': -10.1755295, 'Yes': -6.0989475}
{'\n': -10.331307, ' ': -7.607161, ' Yes': -0.014168173, ' yes': -8.395609, 'Yes': -4.324934}
{'\n': -7.809833, ' ': -6.9731402, ' Yes': -0.020543735, ' yes': -8.010277, 'Yes': -3.9940963}
{' Seven': -11.1334095, ' ': -9.016665, ' Yes': -0.0018240918, ' yes': -10.074291, 'Yes': -6.423205}
{'\n': -7.9278345, ' ': -7.1095486, ' Yes': -0.025083723, ' yes': -8.395115, 'Yes': -3.7640743}
{'\n': -8.027188, ' ': -7.544722, ' Yes': -0.015435505, ' yes': -7.8678217, 'Yes': -4.2754607}
{'\n': -7.713334, ' ': -6.69296, ' Yes': -0.003323853, ' yes': -7.940728, 'Yes': -6.7188826}
{'\n': -6.7257967, ' ': -6.4952245, ' Yes': -0.018065982, ' yes': -7.552552, 'Yes': -4.2357345}
{'\n': -3.7667928, ' ': -4.896088, ' Yes': -0.07379035, ' yes': -6.8113303, 'Yes': -3.2559574}
{'\n': -9.331858, ' ': -7.03645, ' Yes': -0.0029630633, ' yes': -8.65361, 'Yes': -6.332301}
{'\n': -5.0261135, ' ': -5.1993084, ' Yes': -0.12328436, ' yes': -5.9801, 'Yes': -2.303069}
{'\n': -7.2142873, ' ': -6.102633, ' Yes': -0.017073387, ' yes': -5.880757, 'Yes': -4.536835}
{'\n': -7.6771, ' ': -6.4427404, ' Yes': -0.032103557, ' yes': -5.053281, 'Yes': -3.7986097}
{' ': -7.4790487, ' Yes': -0.035764102, ' yes': -6.52917, 'Yes': -3.421676, 'yes': -8.840171}
{' No': -5.856808, ' ': -6.433224, ' Yes': -0.055268355, ' yes': -5.6386614, 'Yes': -3.1186037}
{' YES': -9.828626, ' ': -7.5241666, ' Yes': -0.011170221, ' yes': -7.233666, 'Yes': -4.6440454}
{' No': -6.4413652, ' ': -6.5383167, ' Yes': -0.1746082, ' yes': -6.4836226, 'Yes': -1.87327}
{' ': -7.9943924, ' Yes': -0.022074101, ' yes': -6.458239, 'Yes': -3.9278548, 'yes': -8.853798}
{'\n': -6.567809, ' ': -5.5256476, ' Yes': -0.043300387, ' yes': -3.4984243, 'Yes': -5.15414}
{'\n': -5.3470592, ' ': -5.372402, ' Yes': -0.053352475, ' yes': -5.147129, 'Yes': -3.3317068}
{'\n': -3.7224882, ' ': -4.5726886, ' Yes': -0.09492859, ' yes': -4.798038, 'Yes': -3.086746}
{'\n': -7.0968494, ' ': -6.305834, ' Yes': -0.016935216, ' yes': -5.919388, 'Yes': -4.495014}
{'\n': -2.966834, ' ': -4.7734537, ' Yes': -0.21951596, ' yes': -4.111516, 'Yes': -2.1789029}
{'\n': -5.078909, ' ': -5.382367, ' Yes': -0.117711246, ' yes': -2.4943266, 'Yes': -4.2780905}
{'\n': -6.3577533, ' ': -6.467418, ' Yes': -0.0073358426, ' yes': -7.437851, 'Yes': -5.7075367}
{'\n': -5.146133, ' ': -5.654544, ' Yes': -0.023621874, ' yes': -7.2515535, 'Yes': -4.342664}
{'\n': -4.398332, ' ': -5.018533, ' Yes': -0.043523554, ' yes': -6.7202044, 'Yes': -3.828788}
{'\n': -6.4450164, ' ': -5.6561637, ' Yes': -0.00859801, ' yes': -8.217191, 'Yes': -5.7663736}
{'\n': -3.7296188, ' ': -5.1294403, ' Yes': -0.07445619, ' yes': -6.2380743, 'Yes': -3.2689118}
{'\n': -4.6258097, ' ': -4.831746, ' Yes': -0.03667366, ' yes': -5.196763, 'Yes': -4.4432344}
{'\n': -11.890233, ' ': -11.045422, ' Yes': -0.0018600383, ' yes': -10.362371, 'Yes': -6.3232746}
{' ': -9.154179, ' Yes': -0.0150889, ' yes': -8.168523, 'Yes': -4.2362576, ' True': -9.999036}
{'\n': -9.207389, ' ': -8.146095, ' Yes': -0.015291812, ' yes': -7.7762527, 'Yes': -4.2565675}
{' ': -11.31472, ' Absolutely': -12.162834, ' Yes': -0.0015688464, ' yes': -10.226718, 'Yes': -6.507273}
{'\n': -9.365753, ' ': -7.9671326, ' Yes': -0.012682018, ' yes': -8.764561, 'Yes': -4.434353}
{' ': -7.9960046, ' Yes': -0.0153932525, ' yes': -7.370967, 'Yes': -4.482568, ' Six': -6.005078}
{'\n': -10.152731, ' ': -8.183306, ' Yes': -0.0015050304, ' yes': -8.179049, 'Yes': -7.069088}
{'\n': -7.463884, ' ': -7.122677, ' Yes': -0.014522441, ' yes': -6.978235, 'Yes': -4.4329987}
{'\n': -5.002207, ' ': -5.5626316, ' Yes': -0.04732927, ' yes': -6.6522255, 'Yes': -3.3837073}
{'\n': -11.465373, ' ': -8.531603, ' Yes': -0.0013781269, ' yes': -8.510213, 'Yes': -6.9608197}
{'\n': -4.864662, ' ': -5.131253, ' Yes': -0.10849272, ' yes': -5.9728723, 'Yes': -2.4708793}
{' ': -6.6653166, ' Yes': -0.027677217, ' yes': -4.8561893, 'Yes': -4.5949893, ' Six': -5.0211616}
{' ': -7.240381, ' Yes': -0.051239323, ' yes': -3.7982543, 'Yes': -3.7030394, ' True': -6.974412}
{' No': -7.135836, ' ': -7.9729543, ' Yes': -0.028618505, ' yes': -5.907891, 'Yes': -3.7335308}
{' No': -6.6942954, ' ': -7.624189, ' Yes': -0.044495843, ' yes': -5.064952, 'Yes': -3.3619356}
{' ': -8.794151, ' Yes': -0.006646062, ' yes': -7.1267996, 'Yes': -5.2078843, ' True': -9.375569}
{' No': -7.697579, ' ': -7.3833795, ' Yes': -0.109792076, ' yes': -6.6134934, 'Yes': -2.2942574}
{' No': -4.9409204, ' Yes': -0.031842202, ' yes': -6.2411585, 'Yes': -4.1199746, ' Six': -5.5428267}
{'\n': -7.4966927, ' ': -6.2069917, ' Yes': -0.08316, ' yes': -2.6299758, 'Yes': -5.5763407}
{'\n': -6.320112, ' ': -5.996439, ' Yes': -0.035343066, ' yes': -4.56905, 'Yes': -3.9416368}
{'\n': -4.013306, ' ': -4.8908906, ' Yes': -0.09972237, ' yes': -4.007563, 'Yes': -3.014065}
{'\n': -7.4997435, ' ': -7.1449246, ' Yes': -0.017890112, ' yes': -5.0493994, 'Yes': -4.648093}
{'\n': -3.5829701, ' ': -5.2195783, ' Yes': -0.14731477, ' yes': -4.2216077, 'Yes': -2.4732063}
{'\n': -4.812412, ' ': -5.5186677, ' Yes': -0.26108503, ' yes': -1.6408533, 'Yes': -4.3900943}
{'\n': -8.412628, ' ': -8.273104, ' Yes': -0.002937595, ' yes': -7.7617106, 'Yes': -6.255928}
{'\n': -7.020064, ' ': -7.090934, ' Yes': -0.015211986, ' yes': -7.022084, 'Yes': -4.4078374}
{'\n': -5.5374618, ' ': -5.8886824, ' Yes': -0.027332041, ' yes': -6.801595, 'Yes': -3.979528}
{'\n': -8.378129, ' ': -7.237531, ' Yes': -0.002860363, ' yes': -8.386649, 'Yes': -6.417445}
{'\n': -5.7080503, ' ': -6.5036283, ' Yes': -0.0380407, ' yes': -6.658667, 'Yes': -3.4900458}
{'\n': -5.530027, ' ': -5.4439363, ' Yes': -0.040419094, ' yes': -4.168938, 'Yes': -4.391585}
{' No': -0.008504413, '\n': -10.073606, ' ': -8.282615, 'No': -4.8089385, ' Two': -12.116495}
{' No': -0.040550493, '\n': -9.864723, ' ': -6.810245, 'No': -3.2572918, ' no': -10.618826}
{' No': -0.055913024, '\xa0': -10.034222, '\n': -7.9350853, ' ': -6.9899907, 'No': -2.9386492}
{' No': -0.0067742956, ' ': -8.038937, 'No': -5.0582094, ' Two': -9.950923, ' no': -11.932797}
{' No': -0.055151388, '\xa0': -9.925539, '\n': -7.2504253, ' ': -6.4755383, 'No': -2.9728148}
{' No': -0.07000123, '\n': -8.131266, ' ': -7.0923915, 'No': -2.715509, ' no': -9.291655}
{' No': -0.0038180132, '\n': -7.927415, ' ': -6.295384, 'No': -6.5079064, ' no': -9.66285}
{' No': -0.030182227, '\n': -6.244829, ' ': -5.662058, 'No': -3.730227, ' no': -8.825257}
{' No': -0.07135694, '\n': -4.0750246, ' ': -4.604701, 'No': -3.1993914, ' no': -8.13928}
{' No': -0.004274164, '\n': -9.723255, ' ': -6.56965, 'No': -5.8980746, ' no': -10.422479}
{' No': -0.13897806, '\n': -4.6485214, ' ': -4.4512434, 'No': -2.2389936, ' no': -7.4187837}
{' No': -0.02608626, '\n': -7.3252707, ' ': -5.6067357, 'No': -3.920707, ' no': -6.658929}
{' No': -0.05737008, '\n': -7.7592893, ' ': -5.9851418, 'No': -3.0318632, ' no': -5.5112267}
{' No': -0.06341272, ' ': -7.081492, 'No': -2.8135383, 'no': -9.370137, ' no': -8.01247}
{' No': -0.11276281, '\n': -7.9719105, ' ': -6.6677213, 'No': -2.2654672, ' no': -7.315953}
{' No': -0.013846058, ' ': -7.3822637, 'No': -4.3634725, 'no': -10.465995, ' no': -8.257414}
{' No': -0.35895494, '\n': -7.1260433, ' ': -6.3112054, 'No': -1.2101932, 'no': -8.250156}
{' No': -0.0864851, '\n': -9.321368, ' ': -7.014095, 'No': -2.5065632, ' no': -8.76452}
{' No': -0.024870137, '\n': -7.1619134, ' ': -5.1101933, 'No': -5.473031, ' no': -4.329197}
{' No': -0.06450468, '\n': -5.32598, ' ': -4.7709403, 'No': -3.0694027, ' no': -6.1571817}
{' No': -0.1133596, '\n': -4.0860977, ' ': -4.6510525, 'No': -2.577568, ' no': -5.617188}
{' No': -0.030243225, '\n': -6.400799, ' ': -5.354283, 'No': -3.8098164, ' no': -6.8899503}
{' No': -0.21739037, '\n': -3.4153423, ' ': -4.6527157, 'No': -1.9266074, ' no': -5.3158293}
{' No': -0.1456126, '\n': -5.3411937, ' ': -5.0288534, 'No': -4.0205336, ' no': -2.2694376}
{' No': -0.009350507, '\n': -6.29192, ' ': -5.753891, 'No': -5.5018945, ' no': -8.899832}
{' No': -0.028555395, '\n': -5.3962097, ' ': -5.5560627, 'No': -3.93973, ' no': -8.951471}
{' No': -0.053610217, '\n': -4.5401616, ' ': -4.7333107, 'No': -3.4429057, ' no': -8.42221}
{' No': -0.010377441, '\n': -7.1281056, ' ': -5.5352073, 'No': -5.213325, ' no': -9.727232}
{' No': -0.050702855, '\n': -4.510669, ' ': -5.0762753, 'No': -3.4633882, ' no': -7.9097815}
{' No': -0.035519686, '\n': -5.314831, ' ': -4.946327, 'No': -3.9217405, ' no': -5.969907}
{' No': -0.01316071, ' Eight': -7.4757667, '\n': -8.457812, ' ': -7.6217957, 'No': -4.4532146}
{' That': -9.062627, ' No': -0.051776648, ' ': -7.5259447, 'No': -3.0310643, ' Yes': -6.7709265}
{' No': -0.047998287, '\n': -7.5292187, ' ': -6.996467, 'No': -3.1102827, ' Yes': -7.9352403}
