{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.043166388, ' No': -3.6800508, ' Po': -4.453422, ' Nope': -5.8446913, 'Yes': -6.5695987}
{' Yes': -0.2209156, ' No': -1.6598766, ' Nope': -5.607505, ' Po': -5.8637185, 'Yes': -6.979229}
{' Yes': -0.52824503, ' No': -0.8926973, ' Nope': -8.275704, 'Yes': -8.277635, 'No': -8.826777}
{' Yes': -0.7568424, ' No': -0.7708481, ' Cro': -2.8014188, ' Nope': -6.5698614, ' Rock': -6.583785}
{' Yes': -0.0697995, ' No': -2.706062, 'Yes': -7.492895, 'No': -10.06087, ' yes': -11.68937}
{' Yes': -0.094380625, ' No': -2.4225094, 'Yes': -6.8792024, 'No': -9.077563, ' Nope': -9.758366}
{' Yes': -0.034848332, ' No': -3.5180387, ' Door': -5.771424, 'Yes': -6.8979764, ' yes': -8.355365}
{' Yes': -0.24735259, ' No': -2.0212631, ' Door': -2.5019338, 'Yes': -6.273501, ' yes': -7.3406982}
{' No': -0.24918012, ' Yes': -1.5427097, ' Nope': -5.8257794, ' To': -6.7737346, 'No': -7.010662}
{' No': -0.033644684, ' Yes': -3.5319662, ' Nope': -5.9871163, 'No': -7.0531936, ' St': -8.851234}
{' Yes': -0.08672669, ' Maze': -2.6202254, ' No': -4.942323, 'Yes': -6.0930514, ' Maz': -8.460902}
{' No': -0.07462976, ' Yes': -2.660308, ' Nope': -7.0744467, 'No': -7.127789, ' Maze': -9.135613}
{' Yes': -0.21737838, ' No': -1.6503348, 'Yes': -6.661626, ' Nope': -7.0684447, ' Monk': -7.445466}
{' Yes': -0.23091523, ' No': -1.592764, 'Yes': -6.7917156, ' Nope': -7.379556, ' Mon': -7.9502273}
{' Yes': -0.008168914, ' No': -4.9471526, 'Yes': -7.2073145, ' Camp': -9.221213, ' yes': -9.42699}
{' Yes': -0.0824838, ' No': -2.591433, ' Camp': -5.943735, 'Yes': -7.1187806, ' Nope': -8.360968}
{' Yes': -0.004159835, ' No': -5.806938, 'Yes': -7.5021744, ' Most': -7.5374155, ' yes': -11.000427}
{' Yes': -0.08099817, ' No': -2.5939567, ' Most': -6.2536554, 'Yes': -7.551207, ' Nope': -8.417951}
{' Yes': -0.010372503, ' No': -5.654959, ' Tri': -5.8692727, ' Trip': -6.5837264, 'Yes': -6.829563}
{' Yes': -0.014475573, ' No': -4.528851, ' Tri': -6.7817316, 'Yes': -6.895433, ' yes': -7.7692966}
{' No': -0.45569885, ' Yes': -1.1375206, ' Dusk': -3.1700618, 'Yes': -7.0492706, 'No': -7.150437}
{' No': -0.0055664857, ' Yes': -5.386357, 'No': -7.0390134, ' Nope': -9.500081, 'Yes': -11.814761}
{' Yes': -0.08217703, ' No': -2.550391, 'Yes': -8.404321, ' Hello': -8.801043, ' Hell': -8.851857}
{' Yes': -0.019463222, ' No': -3.9675434, 'Yes': -8.527283, ' Nope': -10.231098, ' Hell': -10.396851}
{' No': -0.00562265, ' Yes': -5.3401885, 'No': -7.282958, ' Nope': -9.125157, 'Yes': -12.565373}
{' No': -0.004296253, ' Yes': -5.810881, 'No': -7.218295, ' Nope': -7.6372666, ' N': -11.427556}
{' Yes': -0.28497636, ' No': -1.407495, ' Hill': -6.297778, ' Nope': -7.2419424, 'Yes': -8.291537}
{' No': -0.22706707, ' Yes': -1.6053495, ' Nope': -7.114482, 'No': -7.2180657, ' Hill': -7.44933}
{' Yes': -0.21308048, ' No': -1.6561708, 'Yes': -7.5114794, ' Nope': -8.118209, 'No': -9.238473}
{' Yes': -0.03768648, ' No': -3.3977175, 'Yes': -6.6957083, ' Take': -7.112355, ' Nope': -7.8079424}
{' Yes': -0.11390203, ' No': -2.2375097, 'Yes': -7.449763, ' Nope': -9.124473, 'No': -9.364734}
{' Yes': -0.030714476, ' No': -3.6969838, 'Yes': -6.073424, ' Part': -6.732349, ' Apart': -7.7297893}
{' Yes': -0.6722371, ' No': -0.7155892, 'Yes': -8.213719, 'No': -8.680173, ' Nope': -9.847701}
{' No': -0.5651745, ' Yes': -0.85401964, ' Nope': -5.4348855, 'No': -7.302536, 'Yes': -7.7713685}
{' Yes': -0.0027152975, ' No': -6.2918653, 'Yes': -7.161717, ' yes': -10.316512, ' YES': -10.981864}
{' No': -0.40591207, ' Yes': -1.0991207, 'No': -8.3048315, 'Yes': -8.831847, ' Nope': -9.949378}
{' No': -0.00060858356, 'No': -8.138549, ' Yes': -8.407373, ' Nope': -9.3166485, ' NO': -14.2809925}
{' No': -0.001226593, ' Yes': -7.758322, ' Nope': -7.7804656, 'No': -7.900427, ' no': -13.212509}
{' No': -0.08014667, ' Yes': -2.575483, 'No': -7.5194182, ' Nope': -8.381335, 'Yes': -9.299478}
{' No': -0.0035814005, ' Yes': -5.9683003, 'No': -7.1927705, ' Nope': -8.341716, ' NO': -12.069836}
{' No': -0.09484392, ' Yes': -2.4117231, 'No': -7.797335, ' Nope': -8.262987, 'Yes': -9.452754}
{' No': -0.14845403, ' Yes': -1.988462, 'No': -7.5351458, ' Nope': -8.309594, 'Yes': -8.765695}
{' No': -0.117418736, ' Yes': -2.2048972, ' Nope': -8.056353, 'No': -8.704506, 'Yes': -10.34515}
{' No': -0.0041749184, ' Yes': -5.665981, ' Nope': -7.8197756, 'No': -8.191213, ' None': -11.489178}
{' Yes': -0.007585714, ' No': -5.1336255, 'Yes': -7.0605526, ' Fire': -8.191937, ' yes': -8.766356}
{' Yes': -0.041428264, ' No': -3.2298133, 'Yes': -7.5688515, ' Nope': -8.80009, ' Fire': -9.418687}
{' Yes': -0.0011932353, ' No': -7.6002574, 'Yes': -7.676761, ' yes': -8.97437, ' YES': -10.6145}
{' Yes': -0.0030194987, ' No': -6.5348887, 'Yes': -7.1920986, ' yes': -8.147879, ' Dread': -8.194643}
