{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Up': -0.10159996, ' up': -2.3463166, ' Down': -7.7565455, ' UP': -8.234025, ' down': -9.182952}
{' Down': -0.020545136, ' down': -4.2963953, ' Up': -5.32825, 'Down': -6.4994116, 'down': -8.775821}
{' Up': -0.0075787473, ' up': -5.113944, ' Down': -7.2621675, ' UP': -7.727599, 'Up': -8.123135}
{' Down': -0.03843537, ' down': -3.3247187, 'Down': -6.627445, 'down': -8.538593, ' DOWN': -8.738619}
{' Up': -0.0075371265, ' up': -5.0662127, ' UP': -7.230584, 'Up': -8.016515, ' Down': -9.136357}
{' Down': -0.003329655, ' down': -5.9716387, ' Up': -7.6007476, 'Down': -8.356719, 'down': -10.869296}
{' Up': -0.0012983875, ' up': -6.843339, ' UP': -8.884521, 'Up': -9.742562, ' Down': -10.936054}
{' Down': -0.012289957, ' down': -4.4457846, 'Down': -8.280943, ' Up': -8.835841, 'down': -9.851141}
{' Up': -0.0016445467, ' up': -6.5380306, ' UP': -9.391118, ' Down': -9.67621, 'Up': -10.027435}
{' Down': -0.09650286, ' down': -2.6861768, ' Up': -4.1286893, 'Down': -5.184115, 'down': -6.8273835}
{' Up': -0.041273024, ' up': -3.390293, ' Down': -5.772859, 'Up': -6.11762, ' UP': -7.2441}
{' Down': -0.18825527, ' down': -1.8098296, 'Down': -5.2295947, 'down': -6.2712727, ' Up': -7.7431793}
{' Up': -0.057163943, ' up': -2.9585252, 'Up': -6.2631044, ' UP': -7.1094227, ' Down': -7.4778733}
{' Down': -0.030525925, ' down': -3.5123239, 'Down': -8.602341, 'down': -10.159325, ' DOWN': -11.944368}
{' Up': -0.0027965244, ' up': -5.944601, ' UP': -8.912762, 'Up': -10.750879, ' Down': -11.129007}
{' Down': -0.014584673, ' down': -4.251979, 'Down': -8.678338, ' Up': -10.225141, 'down': -10.881965}
{' Up': -0.011594945, ' up': -4.5440044, ' UP': -7.2751236, ' Down': -8.928608, 'Up': -9.809771}
{' Down': -0.10827603, ' down': -2.2886977, 'Down': -7.1352377, 'down': -7.8621116, ' DOWN': -10.517947}
{' Up': -0.0069039245, ' up': -5.041961, ' UP': -8.356448, 'Up': -8.962636, ' Down': -10.096692}
{' Down': -0.043547086, ' down': -3.1763327, 'Down': -7.4126277, 'down': -8.704039, ' DOWN': -9.641405}
{' Up': -0.02341568, ' up': -3.8151195, ' UP': -7.0962095, 'Up': -8.427078, ' Down': -10.511669}
{' Down': -0.13327791, ' down': -2.1025429, 'Down': -6.499271, 'down': -6.957891, ' DOWN': -9.002979}
{' Up': -0.006485811, ' up': -5.2529035, ' UP': -6.9312153, 'Up': -8.505529, 'up': -10.776683}
{' Down': -0.0604603, ' down': -2.8892927, 'Down': -6.4076605, 'down': -7.4479227, ' Up': -7.744567}
{' Up': -0.035937887, ' up': -3.4829612, ' UP': -5.5120025, 'Up': -7.93266, ' Down': -9.572314}
{' Down': -0.32052156, ' down': -1.2973721, 'Down': -7.6473017, 'down': -8.359712, ' Up': -8.801263}
{' Up': -0.04985399, ' up': -3.0413334, ' UP': -7.6915317, ' Down': -8.223445, 'Up': -9.648631}
{' Down': -0.24049778, ' down': -1.5538313, ' Up': -6.7313657, 'Down': -7.711119, ' up': -8.109077}
{' Up': -0.28567138, ' up': -1.4051782, ' UP': -6.417221, ' Down': -7.353422, ' down': -7.431474}
{' Down': -0.054594766, ' down': -2.980973, 'Down': -6.3894887, 'down': -7.5179195, ' DOWN': -8.913357}
{' Up': -0.005584707, ' up': -5.4482093, ' UP': -7.0518494, 'Up': -7.955679, 'up': -10.85375}
{' Down': -0.022382233, ' down': -3.9271252, 'Down': -6.4216685, ' DOWN': -7.650533, 'down': -8.22339}
{' Up': -0.042384967, ' up': -3.3359294, ' UP': -5.3157535, 'Up': -7.178806, 'up': -9.46483}
{' Down': -0.010582475, ' down': -4.6069036, 'Down': -7.777921, 'down': -9.339001, ' DOWN': -10.869022}
{' Up': -0.001480616, ' up': -6.743687, ' UP': -8.3882, 'Up': -9.9242935, ' Down': -10.820948}
{' Down': -0.0043585706, ' down': -5.529101, 'Down': -8.332031, ' Up': -9.65987, 'down': -10.324213}
{' Up': -0.00428925, ' up': -5.7340956, ' UP': -7.0523787, 'Up': -9.494077, ' Down': -9.536138}
{' down': -0.65676236, ' Down': -0.79312634, 'down': -4.243648, 'Down': -4.2782183, ' DOWN': -7.869846}
{' Up': -0.14108008, ' up': -2.1022158, 'Up': -5.22525, ' UP': -6.569709, 'up': -6.6920514}
{' Down': -0.24600306, ' down': -1.6524037, 'Down': -4.516768, ' Up': -4.9571486, 'down': -5.210297}
{' Up': -0.30792838, ' up': -1.3952754, 'Up': -4.856444, ' UP': -5.624464, ' Down': -6.054933}
{' Down': -0.3673757, ' down': -1.1944841, ' Up': -5.6368475, 'Down': -7.780984, ' up': -8.153424}
{' Down': -0.24678615, ' down': -1.5234147, 'Down': -7.887514, 'down': -8.4223, ' Up': -9.247297}
{' Up': -0.14374886, ' up': -2.0467467, ' Down': -5.7206144, ' down': -6.6939116, ' UP': -9.408406}
{' Down': -0.37751284, ' down': -1.1586714, 'down': -8.156922, 'Down': -8.432368, ' DOWN': -10.97075}
{' Down': -0.11944547, ' down': -2.2101896, 'Down': -6.6819186, ' Up': -6.9667335, 'down': -7.347217}
{' Down': -0.054093566, ' down': -3.1745994, ' Up': -4.658829, 'Down': -7.0142107, 'down': -8.085006}
{' Up': -0.06694541, ' Down': -3.247157, ' up': -3.8117266, ' down': -5.720664, 'Up': -8.481322}
{' Down': -0.10482607, ' down': -2.321009, 'Down': -7.1750407, 'down': -7.5094333, ' DOWN': -10.7361965}
{' Down': -0.09596906, ' down': -2.4261656, 'Down': -6.2818837, 'down': -6.897425, ' Up': -8.90132}
{' Down': -0.05507808, ' down': -3.1397698, ' Up': -4.983608, 'Down': -6.0471315, 'down': -7.0200186}
{' Down': -0.5874627, ' Up': -0.93244106, ' down': -3.2016153, ' up': -4.945813, 'Down': -6.5806265}
{' Down': -0.13822028, ' down': -2.0735955, 'Down': -6.40506, 'down': -6.425247, ' DOWN': -10.045094}
{' Down': -0.42190984, ' down': -1.0717721, ' Up': -7.2694674, 'Down': -7.434923, 'down': -7.882602}
{' Down': -0.43271044, ' down': -1.4517419, ' Up': -2.2271898, ' up': -4.8090663, 'Down': -7.510272}
{' Up': -0.3429457, ' up': -1.4951826, ' Down': -3.383883, ' down': -3.4524488, 'Up': -8.75045}
{' down': -0.657385, ' Down': -0.73215306, 'down': -7.545049, 'Down': -7.940119, ' DOWN': -10.5565605}
{' Down': -0.07330087, ' down': -2.7098746, 'Down': -5.807513, 'down': -6.935172, ' DOWN': -9.043384}
{' Down': -0.030071903, ' down': -3.6895719, 'Down': -5.9857492, ' Up': -6.637521, 'down': -7.394868}
{' Up': -0.25244468, ' Down': -1.5888246, ' down': -4.6760516, ' up': -4.9016733, 'Down': -7.1977553}
{' Down': -0.07144924, ' down': -2.7296045, 'Down': -5.925472, 'down': -6.9331903, ' DOWN': -10.018006}
{' Down': -0.02296737, ' down': -3.86394, ' Up': -6.8217893, 'Down': -7.66182, 'down': -8.977848}
{' Down': -0.017999465, ' down': -4.512857, ' Up': -5.0627055, 'Down': -7.8851733, 'down': -9.114086}
{' Up': -0.009767173, ' Down': -5.125133, ' up': -5.640323, ' down': -9.550191, 'Up': -9.58438}
{' Down': -0.017194293, ' down': -4.091888, 'Down': -8.326734, 'down': -9.458415, ' DOWN': -11.46433}
{' Down': -0.08426098, ' down': -2.6063502, 'Down': -5.171482, 'down': -6.8153725, ' Up': -8.771811}
{' Down': -0.13127053, ' Up': -2.692645, ' down': -3.0596168, 'Down': -5.1437063, 'down': -6.7136464}
{' Up': -0.049541906, ' up': -3.503428, ' Down': -4.285662, 'Up': -6.146463, ' down': -6.524832}
{' Down': -0.2239697, ' down': -1.6411716, 'Down': -5.4517565, 'down': -5.991821, ' "': -9.895181}
{' Down': -0.04360262, ' down': -3.1888835, ' Up': -6.713536, 'Down': -8.631693, 'down': -10.159177}
{' Down': -0.26013383, ' Up': -1.6945515, ' down': -3.176163, ' up': -5.7884636, 'Down': -7.8133125}
{' Down': -0.15767057, ' Up': -2.2489278, ' down': -3.24641, ' up': -6.703761, 'Down': -8.714177}
{' Down': -0.06132347, ' down': -2.827341, 'Down': -8.695467, ' Up': -9.290411, 'down': -10.048196}
{' Down': -0.018255599, ' down': -4.0536327, 'Down': -7.7422447, ' Up': -8.421894, 'down': -9.631165}
{' Down': -0.07062637, ' Up': -2.8884077, ' down': -4.4527326, 'Down': -7.482859, ' up': -8.396307}
{' Down': -0.12292364, ' Up': -2.3025231, ' down': -4.237622, ' up': -7.3184605, 'Down': -7.695732}
{' Down': -0.027527343, ' down': -3.626736, 'Down': -7.762079, 'down': -9.3102455, ' Up': -10.663425}
{' Down': -0.056677103, ' down': -2.9188864, 'Down': -7.140306, 'down': -8.462774, ' Up': -9.482713}
{' Up': -0.4414516, ' Down': -1.0598351, ' down': -4.936601, ' up': -5.9743357, 'Down': -7.9655623}
{' Down': -0.18578295, ' Up': -1.9383005, ' down': -3.739484, ' up': -7.030066, 'Down': -7.3139753}
{' Down': -0.050401162, ' down': -3.032037, 'Down': -7.2879496, 'down': -8.458604, ' DOWN': -11.163155}
{' Down': -0.21331558, ' down': -1.6576724, ' Up': -6.9498777, 'Down': -7.866994, 'down': -8.967353}
{' Down': -0.17755096, ' down': -2.1248472, ' Up': -3.1885488, ' up': -6.4614153, 'Down': -8.0311575}
{' Down': -0.6539867, ' Up': -1.4215896, ' down': -1.571801, ' up': -3.4874523, 'Down': -8.300612}
{' Down': -0.39497328, ' down': -1.1216788, 'Down': -8.098809, 'down': -8.716231, ' Up': -9.508679}
{' Down': -0.046351112, ' down': -3.127804, 'Down': -6.8510404, 'down': -8.508087, ' Up': -8.56168}
{' Down': -0.5114534, ' Up': -0.95394117, ' down': -4.361709, ' up': -6.503443, 'Down': -7.3802238}
{' Down': -0.5938781, ' Up': -0.8413909, ' down': -4.305517, ' up': -6.0220413, 'Down': -7.5559354}
{' Down': -0.035807155, ' down': -3.3759367, 'Down': -7.126803, 'down': -8.772758, ' DOWN': -11.303878}
{' Down': -0.008955121, ' down': -4.8088036, ' Up': -7.5999756, 'Down': -8.431236, 'down': -10.498219}
{' Down': -0.08639666, ' Up': -2.5355237, ' down': -5.7302465, 'Down': -8.681008, ' up': -9.2258215}
{' Down': -0.039878793, ' Up': -3.4006078, ' down': -5.2180176, 'Down': -8.517518, ' up': -9.443314}
{' Down': -0.0112225395, ' down': -4.524902, 'Down': -8.647729, ' Up': -9.184261, 'down': -10.283708}
{' Down': -0.35481924, ' down': -1.5602673, ' Up': -2.5616903, ' up': -4.9493394, 'Down': -5.7417746}
{' Down': -0.44418928, ' Up': -1.6543334, ' down': -1.9424194, ' up': -3.9406872, 'Down': -5.6974545}
{' Down': -0.7155287, ' Up': -1.1212847, ' down': -2.0112517, ' up': -3.0639136, 'Down': -5.8764076}
{' Down': -0.31361553, ' down': -1.3822612, ' Up': -4.455032, 'Down': -5.5638895, 'down': -6.5273643}
{' Down': -0.6316121, ' down': -0.9620681, ' Up': -2.605281, ' up': -4.5171676, 'Down': -7.188693}
{' Down': -0.37508658, ' down': -1.1665943, 'Down': -7.07573, 'down': -7.670721, ' DOWN': -10.499907}
{' down': -0.639379, ' Down': -0.7512984, 'down': -8.26872, 'Down': -8.304781, ' Up': -9.380946}
{' Down': -0.3198161, ' down': -1.2974811, 'Down': -8.128241, 'down': -8.806019, ' Up': -10.335233}
{' Down': -0.14623351, ' down': -2.3268023, ' Up': -3.371434, 'Down': -6.039862, ' up': -7.0474267}
{' Down': -0.05739401, ' down': -2.90007, 'Down': -7.424135, 'down': -8.828192, ' DOWN': -11.219335}
{' Down': -0.1323442, ' down': -2.0996654, 'Down': -6.959916, 'down': -7.787423, ' Up': -9.991815}
{' Down': -0.049791966, ' down': -3.040776, 'Down': -7.457171, 'down': -8.7794895, ' DOWN': -10.459737}
{' Down': -0.10531158, ' down': -2.4090776, ' Up': -4.926202, 'Down': -6.268803, 'down': -7.449597}
{' Down': -0.06601281, ' down': -2.7743297, 'Down': -6.7596617, 'down': -8.19304, ' DOWN': -10.054698}
{' Down': -0.20713152, ' down': -1.6875544, 'Down': -6.701752, 'down': -7.225245, ' DOWN': -9.284722}
{' Down': -0.08227332, ' down': -2.559881, 'Down': -6.7734523, 'down': -7.8580074, ' DOWN': -9.218503}
{' Down': -0.5909852, ' down': -1.0278252, ' Up': -2.5208366, ' up': -5.0028253, 'Down': -7.1502385}
{' Down': -0.38654158, ' down': -1.1405491, 'Down': -7.3106823, 'down': -8.319511, ' DOWN': -10.187192}
{' down': -0.21415825, ' Down': -1.6502678, 'down': -7.7429094, 'Down': -8.193603, ' DOWN': -10.384524}
{' Down': -0.6521802, ' down': -0.73894185, 'Down': -7.446575, 'down': -7.7638993, ' Up': -8.081907}
{' Down': -0.18878666, ' down': -1.9182558, ' Up': -3.9816558, 'Down': -5.386216, 'down': -6.7329392}
{' Down': -0.11922337, ' down': -2.2056527, 'Down': -6.355393, 'down': -7.923899, ' DOWN': -9.188406}
{' Down': -0.38147813, ' down': -1.1688432, 'Down': -5.480515, 'down': -6.2100396, ' DOWN': -8.49284}
{' Down': -0.12601027, ' down': -2.1770127, 'Down': -5.554324, 'down': -7.0079684, ' DOWN': -8.445376}
{' Down': -0.04828139, ' Up': -3.3529003, ' down': -4.4729543, 'Down': -7.6102085, ' up': -9.040932}
{' Down': -0.009859988, ' down': -4.663768, 'Down': -8.018071, 'down': -10.218926, ' DOWN': -11.297584}
{' Down': -0.03892953, ' down': -3.2805312, 'Down': -7.819681, 'down': -9.013054, ' DOWN': -10.480919}
{' Down': -0.023541626, ' down': -3.7877817, 'Down': -7.659028, 'down': -9.196382, ' DOWN': -10.424729}
{' Down': -0.22403196, ' down': -2.1492753, ' Up': -2.6550279, 'Down': -4.7643533, 'down': -5.8965993}
{' Down': -0.20597921, ' down': -1.7396227, 'Down': -4.8321652, 'down': -6.006226, ' DOWN': -9.233704}
{' down': -0.6223383, ' Down': -0.802413, 'down': -4.8238325, 'Down': -4.9887934, ' DOWN': -8.970855}
{' Down': -0.29722798, ' down': -1.4168187, 'Down': -4.6791115, 'down': -5.2959976, ' DOWN': -8.546196}
{' Down': -0.017167732, ' down': -4.182802, ' Up': -6.4759026, 'Down': -8.675844, 'down': -10.598024}
{' Up': -0.012427126, ' up': -4.4181485, ' UP': -8.767167, ' Down': -9.367924, 'Up': -10.133638}
{' Down': -0.108054414, ' down': -2.5268872, ' Up': -3.842145, ' up': -7.178426, 'Down': -8.613101}
{' Up': -0.021017319, ' up': -3.9176714, ' Down': -7.2354774, ' UP': -8.952723, ' down': -10.385004}
{' Down': -0.11579695, ' Up': -2.3500497, ' down': -4.3950152, ' up': -6.873742, 'Down': -7.7035594}
{' Up': -0.008529478, ' up': -5.0759845, ' Down': -6.2592216, ' UP': -8.849461, 'Up': -9.011068}
{' Down': -0.068103135, ' down': -3.1314557, ' Up': -3.8610203, 'Down': -7.6410985, ' up': -7.8499765}
{' Up': -0.015322437, ' up': -4.307139, ' Down': -6.574995, ' UP': -8.692695, 'Up': -9.143003}
{' Down': -0.12149146, ' Up': -2.2758646, ' down': -4.604218, 'Down': -7.1466928, ' up': -7.399575}
{' Up': -0.030688599, ' Down': -3.6647024, ' up': -5.6279387, ' down': -7.5242643, ' UP': -8.356238}
{' Down': -0.039287355, ' down': -3.2922416, 'Down': -7.1017284, ' Up': -8.437151, 'down': -8.443023}
{' Up': -0.006057495, ' up': -5.293878, ' Down': -7.4792128, ' UP': -8.281522, 'Up': -8.756732}
{' Down': -0.16822435, ' down': -2.358261, ' Up': -2.8976552, ' up': -5.4034977, 'Down': -7.9008975}
{' Up': -0.075134225, ' up': -2.6426277, ' Down': -7.4782887, ' UP': -7.9408145, ' down': -8.815}
{' Down': -0.4270227, ' down': -1.5386293, ' Up': -2.1475465, ' up': -4.1827602, 'Down': -7.912498}
{' Up': -0.12769511, ' up': -2.1835861, ' Down': -5.1887436, ' down': -6.705036, ' UP': -8.0268955}
{' Down': -0.34562185, ' Up': -1.2772377, ' down': -4.555945, ' up': -6.4722795, 'Down': -7.009646}
{' Up': -0.059231125, ' Down': -3.0248337, ' up': -5.094143, ' down': -6.262516, ' UP': -7.7980995}
{' Down': -0.040860344, ' down': -3.2578535, 'Down': -6.8707814, 'down': -8.36049, ' Up': -8.925942}
{' Up': -0.007848368, ' up': -5.243436, ' Down': -6.4186316, ' UP': -7.465312, 'Up': -8.262378}
{' Down': -0.011669175, ' Up': -4.785412, ' down': -5.840704, 'Down': -8.239668, 'down': -10.549684}
{' Up': -0.0014659873, ' up': -6.793629, ' UP': -8.902012, ' Down': -8.942679, 'Up': -9.643956}
{' Down': -0.027142594, ' Up': -4.1953077, ' down': -4.4902735, 'Down': -8.180665, ' up': -9.513867}
{' Up': -0.0061254976, ' Down': -5.513158, ' up': -6.286799, ' UP': -8.916973, 'Up': -9.929842}
{' Down': -0.3126094, ' Up': -1.7062023, ' down': -2.649506, ' up': -4.6526284, 'Down': -5.3330846}
{' Down': -0.56417114, ' Up': -1.1276058, ' down': -2.4567053, ' up': -4.141054, 'Down': -5.6187057}
{' Down': -0.39560467, ' down': -1.4730183, ' Up': -2.4990935, ' up': -4.7205234, 'Down': -5.584493}
{' Up': -0.3247687, ' Down': -1.6072605, ' up': -3.0670228, ' down': -3.6252124, 'Down': -6.6479025}
{' Down': -0.027140755, ' down': -3.6290023, 'Down': -8.633106, 'down': -10.163329, ' DOWN': -11.632729}
{' Up': -0.0033168553, ' up': -5.7790084, ' UP': -8.7993965, ' Down': -10.166469, 'Up': -10.496142}
{' Down': -0.016673548, ' down': -4.118869, 'Down': -8.749938, ' Up': -9.59657, 'down': -10.53864}
{' Up': -0.021436198, ' up': -3.9070847, ' UP': -7.1276503, ' Down': -8.466953, 'Up': -9.831691}
{' Down': -0.09543142, ' down': -2.4085398, 'Down': -7.21367, 'down': -8.093993, ' DOWN': -10.665723}
{' Up': -0.006368829, ' up': -5.123434, ' UP': -8.693834, 'Up': -8.959952, ' Down': -9.421236}
{' Down': -0.07013459, ' down': -2.7086864, 'Down': -7.2385817, 'down': -8.203519, ' DOWN': -9.650233}
{' Up': -0.037162494, ' up': -3.3490465, ' UP': -6.9251795, 'Up': -8.320635, ' Down': -9.364598}
{' Down': -0.09736125, ' down': -2.4026306, 'Down': -6.6003613, 'down': -7.230356, ' DOWN': -8.719542}
{' Up': -0.0065878024, ' up': -5.246778, ' UP': -6.876292, 'Up': -8.44181, 'up': -10.872676}
{' Down': -0.05146521, ' down': -3.0392218, 'Down': -6.637603, 'down': -7.607541, ' DOWN': -8.447507}
{' Up': -0.03911509, ' up': -3.3963747, ' UP': -5.4775133, 'Up': -7.8887124, ' Down': -8.736247}
{' Down': -0.24810968, ' down': -1.5187929, 'Down': -7.7040844, 'down': -8.513956, ' DOWN': -10.036938}
{' Up': -0.03975489, ' up': -3.2682304, ' UP': -7.5344734, ' Down': -8.343634, 'Up': -9.535809}
{' Down': -0.29691598, ' down': -1.3655386, ' Up': -7.4189825, 'Down': -7.714337, 'down': -8.183568}
{' Up': -0.33104327, ' up': -1.2801038, ' UP': -6.2678394, ' down': -7.0760074, ' Down': -7.148948}
{' Down': -0.083495386, ' down': -2.5519574, 'Down': -6.537438, 'down': -7.507333, ' DOWN': -8.763646}
{' Up': -0.009813696, ' up': -4.7628026, ' UP': -7.084734, 'Up': -8.061345, ' Down': -10.425616}
{' Down': -0.04507593, ' down': -3.1801658, 'Down': -6.5668287, ' DOWN': -7.4409776, 'down': -7.741632}
{' Up': -0.066406325, ' up': -2.8664186, ' UP': -5.080164, 'Up': -7.240112, ' Down': -8.630674}
{' Down': -0.012939149, ' down': -4.398481, 'Down': -7.753927, 'down': -9.220424, ' DOWN': -10.65987}
{' Up': -0.0024214082, ' up': -6.218261, ' UP': -8.149165, ' Down': -9.436137, 'Up': -9.889001}
{' Down': -0.010369432, ' down': -4.6457796, ' Up': -8.100402, 'Down': -8.192179, 'down': -9.662301}
{' Up': -0.007839372, ' up': -5.0807667, ' UP': -6.583053, ' Down': -9.25378, 'Up': -9.432234}
{' down': -0.46121037, ' Down': -1.0776197, 'down': -4.1798916, 'Down': -4.392519, ' DOWN': -7.681005}
{' Up': -0.18824418, ' up': -1.8218615, 'Up': -5.274597, ' UP': -6.3195515, 'up': -6.6734123}
{' Down': -0.56821185, ' down': -0.9533513, ' Up': -4.0178003, ' up': -4.563548, 'Down': -4.711316}
{' Up': -0.46465164, ' up': -1.0779481, ' down': -4.5568604, ' Down': -4.6514783, 'Up': -5.215243}
{' Down': -0.4670553, ' down': -1.0806224, ' Up': -3.5083797, ' up': -5.7193513, 'Down': -8.222337}
{' Down': -0.26318187, ' down': -1.4759007, ' Up': -6.1683903, 'Down': -8.195831, ' up': -8.358158}
{' Up': -0.22554258, ' up': -1.7555699, ' Down': -3.9810643, ' down': -4.580462, 'Up': -9.719454}
{' Down': -0.5476897, ' down': -0.8645289, 'down': -8.22459, 'Down': -8.652081, ' DOWN': -11.075249}
{' Down': -0.09423856, ' down': -2.4287913, 'Down': -6.834772, 'down': -7.5866046, ' Up': -8.669029}
{' Down': -0.07827919, ' down': -3.1099064, ' Up': -3.5386672, 'Down': -7.0389986, ' up': -7.895404}
{' Up': -0.24710006, ' Down': -1.767131, ' up': -3.5756385, ' down': -3.9419162, 'Down': -8.590632}
{' Down': -0.14056456, ' down': -2.041264, 'Down': -7.350186, 'down': -7.429568, ' DOWN': -10.733505}
{' Down': -0.09459917, ' down': -2.4359632, 'Down': -6.448248, 'down': -6.876709, ' DOWN': -9.663351}
{' Down': -0.04269949, ' down': -3.4801686, ' Up': -4.7320914, 'Down': -6.547269, 'down': -7.4944277}
{' Down': -0.406289, ' Up': -1.288783, ' down': -2.9945893, ' up': -5.212752, 'Down': -6.6728697}
{' Down': -0.11759794, ' down': -2.2196047, 'down': -6.8025074, 'Down': -6.8291078, ' DOWN': -9.872887}
{' Down': -0.23049882, ' down': -1.5902877, ' Up': -6.779452, 'Down': -7.6471167, 'down': -8.260761}
{' Down': -0.71520513, ' Up': -0.9037522, ' down': -2.4655466, ' up': -3.9013357, 'Down': -7.9454274}
{' Up': -0.17056061, ' up': -2.0817618, ' Down': -3.7985985, ' down': -4.6746616, 'Up': -8.797546}
{' Down': -0.5132121, ' down': -0.9151401, 'down': -7.5962863, 'Down': -7.786636, ' DOWN': -10.480048}
{' Down': -0.06296864, ' down': -2.848958, 'Down': -6.2397127, 'down': -7.282798, ' Up': -7.9894896}
{' Down': -0.021076731, ' down': -3.993357, 'Down': -6.5128307, ' Up': -7.6672235, 'down': -8.014971}
{' Up': -0.6753102, ' Down': -0.7651996, ' down': -3.9608593, ' up': -5.359606, 'Down': -7.0097365}
{' Down': -0.07667278, ' down': -2.634786, 'Down': -6.6637216, 'down': -7.2615914, ' DOWN': -9.678092}
{' Down': -0.020769486, ' down': -3.9739192, ' Up': -6.6810036, 'Down': -7.975441, 'down': -8.931572}
{' Down': -0.02211956, ' Up': -4.2906075, ' down': -4.8598537, 'Down': -8.18517, 'down': -9.364121}
{' Up': -0.014406816, ' Down': -4.894879, ' up': -5.030007, ' down': -8.82807, 'Up': -9.755634}
{' Down': -0.023817735, ' down': -3.7634013, 'Down': -8.434292, 'down': -9.308264, ' "': -11.365349}
{' Down': -0.07960597, ' down': -2.6403437, 'Down': -5.609427, 'down': -6.886147, ' Up': -7.8585024}
