{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' No': -0.7780988, 'No': -0.8064497, ' Yes': -3.4716833, 'T': -4.1411753, ' Tigers': -4.6290946}
{' No': -0.076506376, 'No': -2.889674, ' Yes': -4.348958, ' Tiger': -6.9360013, ' A': -6.959938}
{' Yes': -0.1829149, ' No': -2.2605288, 'Yes': -3.684782, 'No': -4.5300007, ' yes': -4.8587093}
{' Yes': -0.26560542, ' No': -1.8887475, 'Yes': -3.5158417, ' Tigers': -3.7370274, 'No': -3.9498777}
{' Yes': -0.44348618, ' No': -1.4169971, 'No': -3.3184843, 'Yes': -3.5282316, ' Tigers': -3.5875309}
{' Yes': -0.03673568, ' yes': -3.527578, 'Yes': -5.4351234, ' ': -6.6277995, ' YES': -8.003129}
{' Yes': -0.029157907, ' yes': -3.9443054, 'Yes': -5.4891434, ' ': -6.2049937, ' No': -6.2666717}
{' Yes': -0.023139315, ' yes': -4.3956428, ' No': -5.225906, 'Yes': -5.7021623, ' ': -6.7791047}
{' Yes': -0.04258473, ' No': -3.8654835, ' yes': -4.3281794, 'Yes': -5.378484, ' ': -6.3750315}
{' Yes': -0.039291132, 'Yes': -3.6627269, ' yes': -5.0482802, ' ': -6.228293, ' No': -6.577645}
{' Yes': -0.06996377, 'Yes': -3.55135, ' No': -4.1149025, ' yes': -4.852564, ' A': -5.4023724}
{' Yes': -0.03953957, 'Yes': -3.5677338, ' yes': -5.450115, ' No': -6.1447635, ' ': -6.4045806}
{' No': -0.5767039, ' Yes': -1.049118, 'No': -2.8945577, 'Yes': -4.299692, ' ': -4.92814}
{' Yes': -0.14977762, 'Yes': -2.8101742, '\n': -3.2895157, ' No': -4.163984, ' ': -4.519021}
{' Yes': -0.24055962, 'Yes': -2.605874, '\n': -2.6607122, ' No': -3.5485106, ' ': -4.2048044}
{' Yes': -0.24442205, '\n': -2.5436394, 'Yes': -2.9147499, ' No': -2.9816656, ' ': -4.2435675}
{' No': -0.7429898, ' Yes': -1.3303998, '\n': -2.137273, 'No': -2.4828808, 'Yes': -3.721267}
{' Yes': -0.02878038, ' No': -4.0496945, 'Yes': -4.912716, ' yes': -6.695824, ' ': -6.9155693}
{' Yes': -0.018015975, 'Yes': -4.4872236, ' No': -6.0636396, ' yes': -6.1692953, ' A': -7.1590357}
{' Yes': -0.30543607, ' No': -1.3876065, 'Yes': -5.0733724, 'No': -5.446576, ' ': -6.7661233}
{' Yes': -0.483087, ' No': -1.011312, 'No': -4.7284102, 'Yes': -4.947772, ' ': -6.496776}
{' No': -0.46178538, 'No': -1.5234233, ' Yes': -2.6934977, '\n': -3.073974, ' ': -4.169155}
{' No': -0.5047271, 'No': -1.6133047, ' Yes': -2.2266414, '\n': -3.0051944, 'Yes': -3.953693}
{' No': -0.3094909, 'No': -1.4403865, '\n': -4.1463513, ' ': -4.850659, ' Yes': -6.470757}
{' No': -0.30191347, 'No': -1.5124847, '\n': -3.60258, ' ': -4.7398214, ' no': -6.4928436}
{' Yes': -0.08442356, ' yes': -2.9608788, 'Yes': -4.2594204, ' No': -4.9581733, ' ': -5.923944}
{' Yes': -0.110062584, ' yes': -2.7398462, 'Yes': -4.1933813, ' No': -4.565011, '\n': -5.3472223}
{' Yes': -0.13404246, ' yes': -2.9776456, ' No': -3.23851, 'Yes': -3.8494165, '\n': -5.5731454}
{' Yes': -0.38453025, ' No': -1.5694267, ' yes': -2.942706, 'Yes': -3.9929044, 'No': -4.2780166}
{' Yes': -0.009846265, ' No': -5.52965, 'Yes': -6.035353, '\n': -6.3911195, ' ': -7.1286755}
{' Yes': -0.01569909, ' No': -4.576755, 'Yes': -5.9825096, ' A': -7.2234664, '\n': -7.2995906}
{' Yes': -0.055944033, ' No': -3.1367733, '\n': -5.2829866, 'Yes': -5.8407426, ' ': -6.288102}
{' No': -0.2914138, ' Yes': -1.4298052, 'No': -4.973291, '\n': -5.893752, ' ': -6.524602}
{' Yes': -0.48273632, ' No': -1.12689, '\n': -4.002546, 'No': -4.2816463, 'Yes': -4.530704}
{' No': -0.2384074, ' Yes': -2.022816, 'No': -3.2164688, '\n': -3.9249592, ' A': -4.763773}
{' No': -0.15176791, ' Yes': -2.5724013, 'No': -3.4113846, '\n': -3.9525926, ' ': -5.103035}
{' No': -0.06741586, 'No': -2.9318626, '\n': -5.0278955, ' ': -5.9427443, ' Yes': -6.5177026}
{' Yes': -0.34212044, ' No': -1.5445473, '\n': -3.538497, 'Yes': -4.272704, ' A': -4.398889}
{' No': -0.62594163, ' Yes': -1.0416979, '\n': -3.322797, 'No': -3.5407746, ' A': -3.8230298}
{' No': -0.3734989, ' Yes': -1.4684448, '\n': -3.4904423, 'No': -3.6613994, ' ': -4.6145535}
{' No': -0.100451194, 'No': -3.2319934, ' Yes': -3.4878297, '\n': -4.131451, ' ': -5.066233}
{' Yes': -0.66071004, ' No': -0.78195447, ' ': -4.730099, '\n': -5.0544386, 'No': -5.4682336}
{' No': -0.57978165, ' Yes': -0.9042904, ' ': -4.4203634, ' A': -4.856094, '\n': -4.952752}
{' No': -0.1930576, ' Yes': -1.937612, 'No': -4.2257876, '\n': -4.9904838, ' ': -5.14179}
{' No': -0.10286512, ' Yes': -2.7675245, 'No': -3.8945365, '\n': -4.888448, ' ': -5.243925}
{' No': -0.13692138, ' Yes': -2.6488135, 'No': -3.2153075, ' ': -4.9257073, '\n': -5.3453794}
{' No': -0.06641135, 'No': -2.916164, ' ': -5.472598, '\n': -5.615874, ' A': -6.8820906}
{' No': -0.063570164, 'No': -3.016733, ' ': -5.070129, '\n': -5.5495086, ' Yes': -6.2917}
{' No': -0.056136116, 'No': -3.1409957, ' ': -5.189242, '\n': -5.7839265, ' Yes': -6.1214757}
{' Yes': -0.1001585, ' No': -2.7480657, ' ': -4.683233, '\n': -4.7101455, 'Yes': -5.2202306}
{' Yes': -0.13132788, ' No': -2.5696518, ' A': -4.562748, 'Yes': -4.6033354, '\n': -4.7583513}
{' Yes': -0.30700636, ' No': -1.4924635, 'Yes': -4.616018, ' ': -4.786485, 'No': -4.9153905}
{' No': -0.4744867, ' Yes': -1.1142668, 'No': -3.9042885, '\n': -4.8808, ' ': -4.9586344}
{' Yes': -0.0051602507, 'Yes': -5.521365, ' No': -8.033555, ' Absolutely': -8.103171, ' A': -8.790045}
{' Yes': -0.004630697, 'Yes': -5.4475913, ' yes': -9.184425, ' Generally': -9.298413, ' ': -10.324534}
{' Yes': -0.014652049, ' No': -4.881717, 'Yes': -5.5235896, ' Tigers': -6.3943496, ' Generally': -7.7855277}
{' Yes': -0.0052884137, 'Yes': -5.484046, ' Tigers': -7.8229804, ' yes': -8.457356, ' Generally': -8.573415}
{' Yes': -0.017346261, 'Yes': -4.398944, ' No': -5.7338896, ' Generally': -7.547686, ' ': -8.092198}
{' Yes': -0.01779697, 'Yes': -4.150235, ' Generally': -7.101371, ' yes': -8.009198, ' ': -8.344815}
{' Yes': -0.03311457, 'Yes': -4.106935, ' No': -4.5406694, ' Tigers': -5.699116, 'No': -7.384911}
{' Yes': -0.024458192, 'Yes': -3.8578913, ' No': -6.8988643, ' Tigers': -7.5226345, ' ': -7.6165233}
{' Yes': -0.043077957, 'Yes': -3.955828, ' No': -4.0088906, ' ': -6.5443, 'No': -6.945683}
{' Yes': -0.023121139, 'Yes': -3.8749027, ' ': -7.3605022, ' yes': -7.9765224, ' A': -8.023649}
{' Yes': -0.11642107, ' No': -2.7907946, 'Yes': -3.767008, ' Tigers': -4.2089753, 'No': -5.498575}
{' Yes': -0.03441646, 'Yes': -3.570366, ' No': -6.2153783, ' ': -6.7570324, ' Tigers': -7.0834007}
{' Yes': -0.011186552, 'Yes': -5.160278, ' No': -5.5133133, ' A': -7.404126, ' Absolutely': -8.658152}
{' Yes': -0.004419813, 'Yes': -5.539822, ' yes': -8.904714, ' Generally': -8.90723, ' A': -9.012913}
{' Yes': -0.09507856, ' No': -3.104083, ' Tigers': -3.3399384, 'Yes': -4.9764147, ' Generally': -6.685143}
{' Yes': -0.011035334, 'Yes': -4.788764, ' Tigers': -6.285093, ' No': -8.086406, ' yes': -8.3084135}
{' Yes': -0.24179034, ' No': -1.9206252, 'Yes': -3.5139456, 'No': -4.0249476, ' Generally': -4.9166446}
{' Yes': -0.05319977, 'Yes': -3.1051767, ' ': -6.1137714, ' Generally': -6.6177535, '\n': -6.686924}
{' Yes': -0.7475218, ' No': -0.99651664, ' Tigers': -2.8407948, 'No': -3.1392493, 'Yes': -3.8429103}
{' Yes': -0.07085616, 'Yes': -2.950123, ' No': -5.061472, ' ': -5.8789053, '\n': -6.563558}
{' Yes': -0.02157304, 'Yes': -4.6089177, ' No': -5.563391, ' Generally': -5.6727915, ' A': -6.757076}
{' Yes': -0.018208679, 'Yes': -4.3177996, ' Generally': -6.2619367, ' A': -7.0947824, ' yes': -7.174101}
{' Yes': -0.12489398, ' Tigers': -2.9040039, ' No': -3.4913776, 'Yes': -3.914958, ' Generally': -5.5768614}
{' Yes': -0.04350674, 'Yes': -3.566635, ' Tigers': -4.8438034, ' yes': -6.3605127, ' ': -7.0129256}
{' Yes': -0.011062934, ' No': -5.1736913, 'Yes': -5.8048015, ' A': -7.187031, ' ': -7.260034}
{' Yes': -0.0029843457, 'Yes': -6.1383195, ' yes': -7.96441, ' ': -8.4614935, ' A': -8.861997}
{' Yes': -0.09877215, ' No': -2.4480686, 'Yes': -5.89406, ' Tigers': -6.3533134, ' ': -6.565851}
{' Yes': -0.0058202334, 'Yes': -5.78287, ' No': -6.3952274, ' ': -7.746578, ' yes': -8.167584}
{' Yes': -0.6037587, ' No': -0.95074344, ' A': -3.838765, 'No': -3.864716, 'Yes': -4.458335}
{' Yes': -0.025466701, 'Yes': -3.972452, '\n': -6.3574553, ' ': -6.479127, ' A': -6.712602}
{' Yes': -0.56000566, ' No': -1.067143, ' Tigers': -2.8641553, 'No': -4.58483, 'Yes': -4.7955284}
{' Yes': -0.04288009, 'Yes': -4.0527086, ' No': -4.4088335, ' ': -5.742633, ' Tigers': -5.8495016}
{' Yes': -0.50460374, ' No': -1.9244397, '\n': -1.9841378, ' A': -3.3587964, 'Yes': -3.504657}
{' Yes': -0.08748604, 'Yes': -3.0909345, '\n': -3.7865255, ' ': -4.905647, ' A': -5.179773}
{' No': -0.3225457, '\n': -2.3186412, 'No': -2.5582368, ' Yes': -3.0056014, ' Tigers': -3.7384105}
{' Yes': -0.136694, '\n': -2.9065282, 'Yes': -3.1200943, ' ': -4.4124126, ' No': -4.484695}
{' Yes': -0.546739, ' No': -0.88862926, 'No': -5.905854, ' ': -6.0164557, 'Yes': -6.0506654}
{' Yes': -0.0042697354, 'Yes': -5.7636633, ' ': -7.637542, ' yes': -8.197068, ' A': -8.785716}
{' No': -0.5130729, ' Yes': -0.95255077, ' Tigers': -4.726967, 'No': -5.564649, 'Yes': -6.5541553}
{' Yes': -0.010433152, ' No': -5.2929034, 'Yes': -5.4326935, ' ': -7.519373, ' yes': -8.73051}
{' No': -0.35793388, 'No': -1.8445156, ' Yes': -2.54905, ' ': -3.8266878, '\n': -4.0102706}
{' Yes': -0.17079823, 'Yes': -2.0053089, ' ': -4.8463674, '\n': -4.972516, ' yes': -5.606451}
{' No': -0.22940868, 'No': -1.8216308, ' ': -4.237115, '\n': -4.300355, ' Tigers': -5.063788}
{' Yes': -0.26673877, 'Yes': -2.1966627, ' No': -3.081514, ' ': -3.5579793, '\n': -4.0124907}
{' Yes': -0.044680197, ' No': -4.078421, 'Yes': -4.585057, ' A': -5.1081347, ' ': -5.454716}
{' Yes': -0.019709215, 'Yes': -4.425648, ' yes': -5.490168, ' ': -6.644321, ' A': -6.7224383}
{' Yes': -0.09189285, ' No': -3.5408673, ' Tigers': -3.6357694, 'Yes': -4.1443925, ' ': -5.213082}
{' Yes': -0.031158887, 'Yes': -4.0923347, ' yes': -5.203673, ' ': -6.056551, ' YES': -6.541893}
{' Yes': -0.08086852, 'Yes': -3.1739795, ' No': -4.074622, ' A': -4.9966207, ' yes': -5.131959}
{' Yes': -0.06330742, 'Yes': -3.0184653, ' yes': -4.9579396, ' A': -6.004373, ' ': -7.285506}
{' Yes': -0.10674577, 'Yes': -3.0661724, ' No': -4.114757, ' yes': -4.20362, ' Tigers': -4.2683496}
{' Yes': -0.10522543, 'Yes': -2.808497, ' yes': -4.4432874, ' No': -4.60634, ' Tigers': -4.9173703}
{' Yes': -0.12047339, 'Yes': -2.8436694, ' No': -3.1806483, 'No': -4.928924, ' yes': -5.69148}
{' Yes': -0.04988645, 'Yes': -3.1229358, ' yes': -6.247232, ' No': -6.545933, ' ': -7.2878}
{' Yes': -0.15244986, ' No': -2.5672808, 'Yes': -3.013995, 'No': -4.397872, ' ': -7.198528}
{' Yes': -0.068188064, 'Yes': -3.0617697, ' No': -4.179251, 'No': -6.074627, ' ': -7.622349}
{' Yes': -0.11738435, ' No': -2.9651835, 'Yes': -3.000931, 'No': -5.0087266, ' ': -6.637779}
{' Yes': -0.055322092, 'Yes': -2.9796555, ' ': -7.043803, ' yes': -7.057942, ' No': -7.357817}
{' Yes': -0.12855646, 'Yes': -2.8898153, ' No': -2.987855, 'No': -4.7917376, ' ': -6.3042617}
{' Yes': -0.08530072, 'Yes': -2.6289713, ' No': -5.330841, ' ': -6.690641, 'No': -6.770663}
{' Yes': -0.0906143, ' No': -2.6338232, 'Yes': -4.5054665, 'No': -6.2509327, ' yes': -7.379463}
{' Yes': -0.012868809, 'Yes': -4.4891586, ' yes': -7.461885, ' No': -7.72331, ' ': -8.362611}
{' Yes': -0.03292008, ' No': -4.0871115, 'Yes': -4.4532976, ' Tigers': -6.101231, 'No': -7.4304757}
{' Yes': -0.018238056, 'Yes': -4.2448807, ' No': -6.1664543, ' Tigers': -7.1783943, ' yes': -8.035574}
{' No': -0.4713297, 'No': -1.0320063, ' Yes': -4.7513914, ' A': -5.996487, 'Yes': -6.1644163}
{' Yes': -0.72953784, 'No': -1.8337173, ' No': -1.8461913, 'Yes': -1.8811586, '\n': -4.529665}
{' Yes': -1.0085309, ' No': -1.2970403, 'No': -2.0507119, ' Tigers': -2.2193768, 'Yes': -2.7667859}
{' Yes': -0.4199752, 'Yes': -1.4484024, 'No': -3.1810856, ' No': -3.3750725, 'T': -4.5427036}
{' Yes': -0.15809628, ' No': -2.6842859, 'Yes': -3.5564573, ' Tiger': -3.8254716, 'No': -5.0838375}
{' Yes': -0.05335876, 'Yes': -3.3486428, ' yes': -4.721455, ' T': -6.2145863, ' ': -6.253351}
{' Yes': -0.10363704, 'Yes': -3.2588704, ' Tigers': -3.399379, ' No': -4.2365065, ' Generally': -5.42681}
{' Yes': -0.09068804, 'Yes': -3.0121126, ' Tigers': -4.286374, ' No': -4.590884, ' yes': -5.701063}
{' Yes': -0.013641326, ' yes': -4.8504176, 'Yes': -5.6955566, ' No': -6.71793, ' ': -7.2250724}
{' Yes': -0.017088363, ' yes': -4.5339627, 'Yes': -5.2601566, ' ': -7.4647217, 'yes': -8.556576}
{' Yes': -0.14559984, ' No': -2.1362708, ' Tigers': -5.4651856, ' ': -5.4874, 'Yes': -5.539789}
{' Yes': -0.011728818, 'Yes': -5.13357, ' yes': -5.442515, ' ': -7.290011, ' No': -8.056862}
{' Yes': -0.12132106, ' No': -2.9050698, 'Yes': -3.3980124, ' A': -4.968964, 'No': -5.2570324}
{' Yes': -0.054071292, 'Yes': -3.184242, ' yes': -5.1144214, ' ': -6.331708, '\n': -6.369947}
{' Yes': -0.054162655, 'Yes': -3.5534625, ' No': -4.5629654, ' yes': -5.557784, ' ': -5.6946783}
{' Yes': -0.05095654, 'Yes': -3.2191713, ' yes': -5.485664, '\n': -6.07331, ' ': -6.1723857}
{' Yes': -0.25300387, '\n': -2.528034, 'Yes': -2.6875665, ' No': -3.361036, ' ': -4.0751996}
{' Yes': -0.15851022, 'Yes': -2.3367386, '\n': -3.4336352, ' ': -5.0085716, ' yes': -5.023136}
{' Yes': -0.42055422, '\n': -1.8981408, ' No': -2.9208076, ' Tigers': -2.9772196, 'Yes': -3.0840368}
{' Yes': -0.21007149, 'Yes': -2.4706192, '\n': -2.5527039, ' ': -4.5249767, ' yes': -5.214113}
{' Yes': -0.3862093, ' No': -1.204668, 'Yes': -4.8745933, 'No': -5.0337543, ' A': -6.067846}
{' Yes': -0.016800769, 'Yes': -4.2797155, ' yes': -6.224045, ' ': -7.9281316, '\n': -8.592409}
{' Yes': -0.52864236, ' No': -0.94005567, 'No': -4.893266, 'Yes': -5.0676646, ' Tigers': -5.8590655}
{' Yes': -0.014933098, 'Yes': -4.4634953, ' No': -6.238032, ' yes': -7.214705, ' ': -8.081013}
{' No': -0.7047266, ' Yes': -1.6571, 'No': -1.8107561, '\n': -2.5763113, 'Yes': -3.1993496}
{' Yes': -0.29007447, 'Yes': -1.5736401, '\n': -3.7625058, ' yes': -4.558833, ' ': -5.0687504}
{' No': -0.25750622, 'No': -1.6342475, '\n': -4.024103, ' ': -4.7195187, ' Yes': -6.5467763}
{' Yes': -0.32004502, 'Yes': -1.9757075, '\n': -3.0591178, ' No': -3.0762894, 'No': -4.1405196}
{' Yes': -0.061521664, ' yes': -3.5353014, 'Yes': -3.886864, '\n': -5.9541016, ' ': -5.9870744}
{' Yes': -0.063132174, ' yes': -3.3912284, 'Yes': -3.7697418, '\n': -6.6657457, ' ': -6.8257623}
{' Yes': -0.08492287, ' yes': -3.4536855, 'Yes': -3.4851418, '\n': -5.3275986, ' No': -5.639249}
{' Yes': -0.081808515, ' yes': -3.2611694, 'Yes': -3.485361, '\n': -5.5948358, 'yes': -6.24398}
{' Yes': -0.015115466, ' No': -4.966844, 'Yes': -5.84679, '\n': -6.011581, ' ': -6.83534}
{' Yes': -0.0052014743, 'Yes': -5.6724277, ' yes': -7.501125, '\n': -7.747991, ' A': -7.897857}
{' Yes': -0.11893016, ' No': -2.372598, '\n': -4.710584, ' ': -5.6716046, 'Yes': -5.679635}
{' Yes': -0.007839251, 'Yes': -5.747591, ' No': -5.96834, '\n': -7.0777392, ' ': -7.404628}
{' Yes': -0.32877392, ' No': -1.5252098, '\n': -3.9050279, 'Yes': -4.364123, ' A': -4.5195947}
{' Yes': -0.041438762, 'Yes': -3.78244, '\n': -4.7585754, ' A': -5.737762, ' ': -5.738878}
{' No': -0.7355144, ' Yes': -0.93439937, '\n': -3.0672462, ' Tigers': -3.2984567, 'No': -3.8996933}
{' Yes': -0.102502234, ' No': -3.2238781, '\n': -3.741611, 'Yes': -3.9819555, ' ': -4.997609}
{' Yes': -0.37925765, ' No': -1.5209737, '\n': -3.267855, ' A': -3.9147058, ' ': -4.266112}
{' Yes': -0.051746573, 'Yes': -3.6965277, '\n': -4.356601, ' ': -5.1478047, ' A': -5.349142}
{' Yes': -0.75640947, ' No': -0.9404763, '\n': -3.0185192, ' Tigers': -3.0649822, ' ': -4.012213}
{' Yes': -0.06067092, '\n': -3.89938, 'Yes': -3.9410324, ' No': -4.793943, ' ': -4.979559}
{' No': -0.5564742, ' Yes': -0.9180311, ' A': -4.7034316, ' ': -4.7916007, 'No': -5.2261424}
{' Yes': -0.013317929, 'Yes': -5.31742, ' A': -6.051314, ' ': -6.0620656, '\n': -6.3082075}
{' No': -0.33556226, ' Yes': -1.5815738, ' Tigers': -3.2789462, 'No': -4.260927, ' ': -4.336436}
{' Yes': -0.081468396, ' No': -3.106523, '\n': -4.7006717, 'Yes': -4.736217, ' Tigers': -4.9380183}
{' No': -0.2478261, ' Yes': -1.7943882, 'No': -3.4638503, ' ': -4.774916, '\n': -5.3397794}
{' Yes': -0.050954152, 'Yes': -3.3663034, ' ': -5.332389, '\n': -5.3918276, ' No': -5.934226}
{' No': -0.08241474, 'No': -3.244028, ' Yes': -3.8542728, ' ': -4.720272, '\n': -5.1010323}
{' Yes': -0.12984854, ' No': -2.6850052, 'Yes': -3.6538732, ' ': -4.29286, '\n': -4.774088}
{' Yes': -0.030889291, 'Yes': -4.7123947, ' ': -5.267342, '\n': -5.3068247, ' No': -5.439354}
{' Yes': -0.026622826, 'Yes': -4.4964294, ' yes': -5.023525, '\n': -5.615818, ' ': -5.887861}
{' Yes': -0.039833102, 'Yes': -4.2088375, ' Tigers': -5.172989, ' ': -5.343358, ' yes': -5.3982096}
{' Yes': -0.030963616, 'Yes': -4.178285, ' yes': -5.013271, '\n': -5.7904215, ' ': -5.885118}
{' Yes': -0.007748725, 'Yes': -5.5713453, ' Generally': -5.8300233, ' No': -7.828582, ' A': -8.593081}
{' Yes': -0.004451486, 'Yes': -5.5118976, ' Generally': -8.687332, ' yes': -9.0332985, ' A': -10.364808}
{' Yes': -0.17067005, ' No': -2.1063504, ' Generally': -4.026549, 'Yes': -5.1837926, ' Sn': -5.3253846}
{' Yes': -0.015962403, 'Yes': -4.8632565, ' No': -5.2304244, ' Generally': -6.320092, ' yes': -8.384523}
{' Yes': -0.026281992, 'Yes': -4.485476, ' Generally': -5.0127416, ' No': -5.1592584, ' A': -7.18413}
{' Yes': -0.015101607, 'Yes': -4.4398947, ' No': -6.396933, ' Generally': -7.37612, ' yes': -8.170238}
{' Yes': -0.06787825, ' No': -3.3476725, 'Yes': -4.1354938, ' Generally': -5.120273, ' Sn': -5.5173316}
{' Yes': -0.034609325, 'Yes': -3.8205094, ' No': -4.6747994, 'No': -6.964888, ' Generally': -7.010922}
{' Yes': -0.080507405, ' No': -3.0706654, 'Yes': -4.028185, 'No': -5.8492217, '\n': -5.8721733}
{' Yes': -0.023630356, 'Yes': -4.1690774, ' No': -5.576294, ' ': -6.7289658, '\n': -6.929044}
{' Yes': -0.7159936, ' No': -0.8378312, 'No': -3.16143, 'Yes': -4.3623233, ' Sn': -4.6862006}
{' Yes': -0.042193826, 'Yes': -3.5653164, ' No': -4.706224, 'No': -6.9844823, ' ': -7.1054344}
{' Yes': -0.01635723, ' Generally': -4.9123054, 'Yes': -5.2629027, ' No': -6.467336, ' A': -6.927781}
{' Yes': -0.005500796, 'Yes': -5.504141, ' No': -7.6733356, ' Generally': -7.8158016, ' A': -8.245384}
{' Yes': -0.05041683, ' No': -4.068212, ' Generally': -4.5453506, ' Sn': -4.582498, 'Yes': -4.875377}
{' Yes': -0.023254367, ' No': -4.558885, 'Yes': -4.636829, ' Generally': -6.752237, ' Sn': -7.5393267}
{' Yes': -0.71834815, ' No': -0.8807569, 'No': -3.1443105, ' Generally': -4.1655374, 'Yes': -4.2108927}
{' Yes': -0.742313, ' No': -0.8035694, 'No': -3.1192222, 'Yes': -4.214113, '\n': -5.25419}
{' No': -0.7351811, ' Yes': -0.91577274, 'No': -2.8465855, ' Sn': -4.0506682, 'Yes': -4.235758}
{' No': -0.5969994, ' Yes': -1.1783556, 'No': -2.2613804, 'Yes': -3.9233277, ' Generally': -5.4442396}
{' Yes': -0.037044287, ' No': -4.278627, 'Yes': -4.511535, ' Generally': -5.0142436, ' A': -6.5804653}
{' Yes': -0.01473153, 'Yes': -4.6839056, ' No': -6.219828, ' Generally': -6.9628215, ' A': -7.0128407}
{' Yes': -0.09487983, ' No': -3.052794, 'Yes': -3.9918692, ' Sn': -4.676041, ' Generally': -5.063336}
{' Yes': -0.043291736, 'Yes': -3.598332, ' No': -4.741263, ' yes': -6.2377834, ' Generally': -6.7390184}
{' Yes': -0.005163185, 'Yes': -5.5824656, ' yes': -7.282537, ' ': -8.297225, '\n': -8.481887}
{' Yes': -0.0040943, 'Yes': -5.815785, ' yes': -7.4202967, ' ': -8.294248, '\n': -8.913376}
{' Yes': -0.005974265, 'Yes': -5.5306153, ' yes': -7.286289, '\n': -7.668567, ' No': -7.9549313}
{' Yes': -0.0046021934, 'Yes': -5.6647563, ' yes': -7.6518188, '\n': -8.29046, ' ': -8.454876}
{' No': -0.555208, ' Yes': -1.0325581, 'No': -3.3470285, ' A': -4.7659645, 'Yes': -4.977602}
{' Yes': -0.1665838, ' No': -2.0759542, 'Yes': -4.3574405, 'No': -5.2107043, ' ': -5.653146}
{' No': -0.495061, ' Yes': -1.0755684, 'No': -3.540635, 'Yes': -5.152196, ' Sn': -5.2159433}
{' Yes': -0.030762356, ' No': -4.272223, 'Yes': -4.332268, ' ': -6.9358616, 'No': -7.444021}
{' No': -0.70284665, ' Yes': -1.1097661, '\n': -2.7522814, 'No': -3.006264, ' A': -3.6947896}
{' Yes': -0.17638464, '\n': -3.09042, ' No': -3.134286, 'Yes': -3.4253354, ' ': -4.002375}
{' No': -0.206816, '\n': -2.562815, 'No': -2.6215956, ' ': -4.1919975, ' Yes': -4.2121887}
{' No': -0.8987219, ' Yes': -0.914818, '\n': -2.1539955, 'No': -3.3982487, ' ': -3.886505}
{' Yes': -0.007802727, ' No': -5.675948, 'Yes': -5.7447596, ' ': -7.8826494, ' A': -8.007552}
{' Yes': -0.0063552153, ' No': -5.911764, 'Yes': -5.9331274, ' ': -7.7363043, ' yes': -7.827009}
{' Yes': -0.09894717, ' No': -2.433084, 'Yes': -5.673589, 'No': -7.0085382, ' Sn': -7.076274}
{' Yes': -0.08825176, ' No': -2.529805, 'Yes': -5.706116, 'No': -7.2069554, ' ': -7.8532453}
{' No': -0.5116442, 'No': -1.6490878, ' Yes': -1.9572886, 'Yes': -4.0323844, ' A': -4.072489}
{' No': -0.30459985, 'No': -1.8325998, ' Yes': -2.888092, ' ': -4.1250277, '\n': -4.2016916}
{' No': -0.28477576, 'No': -1.5598747, '\n': -4.0908847, ' ': -4.449107, ' Yes': -5.674928}
{' No': -0.25079188, 'No': -1.6884425, '\n': -4.3825912, ' Yes': -4.547138, ' ': -4.6017632}
{' Yes': -0.034732185, ' No': -4.510507, 'Yes': -4.613532, ' yes': -5.1194816, ' A': -5.8769546}
{' Yes': -0.019674016, 'Yes': -4.7835746, ' yes': -4.9142222, ' ': -6.589939, ' A': -6.837329}
{' Yes': -0.034057476, 'Yes': -4.1342597, ' yes': -5.019403, ' No': -5.222811, ' ': -6.1987514}
{' Yes': -0.027808111, 'Yes': -4.1809297, ' yes': -4.8549027, ' ': -6.4561944, ' No': -6.7688985}
{' Yes': -0.10438639, ' No': -3.1950731, 'Yes': -3.7187414, ' A': -4.525837, ' yes': -5.0125856}
{' Yes': -0.04442319, 'Yes': -3.5484893, ' yes': -5.076361, ' No': -5.560164, ' A': -6.0314}
{' Yes': -0.12558112, ' No': -3.2288427, 'Yes': -3.3345978, ' Sn': -4.225252, ' yes': -4.376174}
{' Yes': -0.08262058, 'Yes': -2.9991012, ' yes': -4.0166745, ' No': -5.3267536, ' Generally': -6.9136634}
{' No': -0.71175283, ' Yes': -0.81352895, 'No': -3.0321739, 'Yes': -4.370841, ' Generally': -6.149943}
{' No': -0.45223248, ' Yes': -1.1765387, 'No': -3.1104755, 'Yes': -4.8753147, ' yes': -6.6064353}
{' Yes': -0.7817005, ' No': -0.83625644, 'No': -2.5491872, 'Yes': -3.9160314, ' Generally': -5.215149}
{' Yes': -0.14864115, ' No': -2.5415359, 'Yes': -3.161302, 'No': -4.200502, ' Generally': -7.025486}
