{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' No': -0.61348563, ' Yes': -0.7842314, ' Nope': -6.90617, 'No': -7.7204533, 'Yes': -7.734474}
{' No': -0.113238566, ' Yes': -2.241687, ' Nope': -7.962283, 'No': -8.025123, 'Yes': -9.929236}
{' No': -0.025028413, ' Yes': -3.737337, ' Nope': -7.4211802, 'No': -8.451536, ' Ignore': -10.231724}
{' No': -0.58216256, ' Yes': -0.8244627, ' Divide': -6.1830077, 'Yes': -8.139598, 'No': -8.14683}
{' Yes': -1.0238117, ' Divide': -1.088038, ' No': -1.211161, ' Div': -5.4655075, 'Yes': -7.9191203}
{' Yes': -0.48619097, ' Hammer': -0.9614946, ' No': -6.876533, 'Yes': -7.096714, 'hammer': -8.512922}
{' Yes': -0.13567552, ' Hammer': -2.125517, ' No': -5.0905056, 'Yes': -7.1292453, ' Ham': -9.338908}
{' Yes': -0.010340284, ' No': -4.7307115, 'Yes': -6.7228374, ' yes': -9.843287, ' YES': -10.21131}
{' Yes': -0.03533084, ' No': -3.4939413, 'Yes': -6.174221, ' Des': -6.562217, ' yes': -8.900232}
{' No': -0.45658192, ' Yes': -1.007327, 'No': -7.2176933, 'Yes': -7.761779, ' Nope': -9.35556}
{' No': -0.5349928, ' Yes': -0.88578665, 'No': -6.985919, 'Yes': -7.405706, ' Nope': -8.316374}
{' Yes': -0.009121485, ' No': -5.2024503, ' Ex': -5.920006, 'Yes': -7.2349606, ' yes': -9.713284}
{' No': -0.08881259, ' Yes': -2.534375, ' Nope': -5.4762006, 'No': -7.0681424, ' Ex': -7.726832}
{' Yes': -0.031050978, ' No': -3.505481, 'Yes': -8.018334, ' Dollar': -8.965114, ' yes': -10.197021}
{' Yes': -0.11179017, ' No': -2.2497525, 'Yes': -8.363186, 'No': -10.276033, ' yes': -10.547475}
{' Yes': -0.1938739, ' No': -2.3937564, ' Planet': -2.4986873, 'Yes': -6.5144124, ' Plane': -8.210455}
{' Yes': -0.28800663, ' No': -1.4063042, ' Planet': -5.521561, 'Yes': -7.226115, 'No': -8.263834}
{' Yes': -0.4291509, ' No': -1.0652993, ' Car': -6.5618057, 'Yes': -6.5899186, 'No': -7.0754523}
{' Yes': -0.012901167, ' No': -4.5072308, 'Yes': -6.6664042, ' Car': -8.577324, ' yes': -9.117713}
{' Yes': -0.019538404, ' No': -4.0150595, 'Yes': -6.907775, ' Ass': -8.9193945, ' Absolutely': -10.502782}
{' Yes': -0.19868009, ' No': -1.7406989, 'Yes': -6.2423086, ' Ass': -6.799913, ' Nope': -7.0444345}
{' No': -0.0061090076, ' Yes': -5.262567, 'No': -7.6098514, ' Nope': -8.163867, ' Circ': -9.686879}
{' No': -0.07155443, ' Circ': -3.0852547, ' Cir': -4.7485676, ' Yes': -4.860033, ' Circus': -5.3076916}
{' Yes': -0.028318686, ' No': -3.6177123, 'Yes': -7.062832, ' yes': -9.604448, ' YES': -10.246874}
{' Yes': -0.06681069, ' No': -2.771824, 'Yes': -6.6125503, ' yes': -8.630441, 'No': -9.082204}
{' Yes': -0.029249778, ' No': -3.5640397, 'Yes': -7.845619, ' Nope': -10.099524, ' yes': -10.736662}
{' Yes': -0.23653404, ' No': -1.5671425, ' Nope': -7.4245048, 'Yes': -7.5615363, ' Finger': -7.597575}
{' No': -0.24785158, ' Yes': -1.6288921, ' Law': -4.4438887, ' Nope': -5.8390136, 'No': -6.6389413}
{' Yes': -0.4794146, ' No': -0.9949365, ' Law': -6.0622015, ' Nope': -6.2529073, 'Yes': -6.28467}
{' Yes': -0.48229054, ' No': -0.98961467, ' Nope': -5.019905, ' Smooth': -6.261053, 'Yes': -6.8524666}
{' No': -0.25882208, ' Yes': -1.5019919, ' Nope': -5.7684617, 'No': -6.8780766, ' Smooth': -7.322465}
{' Yes': -0.20430581, ' No': -1.7361718, ' Cancer': -5.238123, 'Yes': -6.4179497, ' Cance': -7.369713}
{' No': -0.72288656, ' Yes': -0.7414412, ' Cance': -4.2604156, ' Dance': -5.360904, ' Cancer': -5.594154}
{' Yes': -0.055746064, ' Sc': -3.4380035, ' No': -4.111166, 'Yes': -6.0113463, ' Scare': -6.584078}
{' Yes': -0.015526666, ' No': -4.310305, 'Yes': -6.627688, ' Sc': -7.7710004, ' yes': -9.563564}
{' No': -0.031167435, ' Yes': -3.5105565, 'No': -7.351302, ' Nope': -9.012099, 'Yes': -10.434346}
{' No': -0.022400279, ' Yes': -3.8674529, 'No': -7.050909, ' Nope': -8.034441, 'Yes': -10.428318}
{' No': -0.03200496, ' Yes': -3.4753907, 'No': -7.767905, ' Nope': -9.281982, 'Yes': -10.830321}
{' No': -0.19349106, ' Yes': -1.7582531, ' Ex': -6.4913383, 'No': -7.0443053, ' Nope': -7.278164}
{' No': -0.110005036, ' Yes': -2.2762, ' Nope': -7.215837, 'No': -7.3412747, 'Yes': -9.483765}
{' No': -0.011205781, ' Yes': -4.560238, 'No': -7.4066787, ' Nope': -9.799517, 'Yes': -11.723731}
{' No': -0.013178708, ' Yes': -4.4856176, 'No': -6.909344, ' Nope': -7.148827, 'Yes': -11.157527}
{' No': -0.15158215, ' Yes': -1.9955704, 'No': -6.375447, ' Cow': -6.5415845, ' Nope': -7.427106}
{' No': -0.68424404, ' Yes': -0.7101191, ' Finish': -6.17868, 'Yes': -7.1449904, 'No': -7.349474}
{' Yes': -0.13267078, ' No': -2.1794274, ' Finish': -5.010373, 'Yes': -6.0537314, ' Fish': -6.893384}
{' No': -0.16144024, ' Yes': -1.9155086, 'No': -7.101345, ' Nope': -7.3239894, 'Yes': -8.682378}
{' No': -0.14805183, ' Yes': -1.9937091, 'No': -7.1625133, ' Nope': -7.8550596, 'Yes': -8.762073}
{' Yes': -0.00057536183, 'Yes': -7.816273, ' No': -8.868911, ' yes': -11.350843, ' YES': -11.576985}
{' Yes': -0.008481268, ' No': -5.05618, ' Repeat': -6.538764, 'Yes': -7.629575, ' Repe': -9.643006}
