{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.030205142, ' left': -3.553736, 'Left': -7.328584, 'left': -8.31468, ' Right': -8.378023}
{' Left': -0.086570896, ' left': -2.8872776, ' Right': -3.6908872, 'Left': -7.048992, 'left': -7.211117}
{' Left': -0.065080315, ' left': -2.782541, 'left': -7.6308484, 'Left': -7.657628, ' Right': -8.724062}
{' Right': -0.093002185, ' Left': -2.8403661, ' right': -3.720636, ' left': -5.484783, 'Right': -6.643247}
{' Left': -0.06604248, ' left': -2.7769513, 'Left': -6.9249363, 'left': -7.5493455, ' Right': -8.736832}
{' Left': -0.1616717, ' left': -1.9905405, ' Right': -4.7617426, 'left': -6.219762, 'Left': -6.5212045}
{' Left': -0.12981862, ' left': -2.1324852, ' Right': -6.6523113, 'left': -6.8429246, 'Left': -7.212012}
{' Right': -0.18448576, ' Left': -2.2658095, ' right': -2.9745953, ' left': -4.3525805, 'Right': -7.7221365}
{' Left': -0.11756139, ' left': -2.2078705, 'Left': -7.83131, ' Right': -7.9562473, 'left': -8.484325}
{' Left': -0.54532987, ' left': -0.93405896, ' Right': -3.9075963, ' right': -5.160003, 'left': -6.8702407}
{' Left': -0.32221946, ' left': -1.3109928, ' Right': -5.6056166, ' right': -6.8226633, 'left': -7.204591}
{' Right': -0.09844725, ' Left': -2.6306965, ' right': -4.181524, ' left': -5.5692987, 'Right': -6.2567053}
{' Left': -0.03726173, ' left': -3.3673208, 'Left': -6.3405375, 'left': -8.061367, ' Right': -11.319037}
{' Left': -0.07543942, ' left': -2.6809118, 'Left': -6.106497, 'left': -6.953317, ' Right': -6.981187}
{' Left': -0.11219545, ' left': -2.2684796, 'Left': -6.5297956, 'left': -6.84834, ' Right': -8.974462}
{' Right': -0.261456, ' Left': -1.5058331, ' left': -5.5351014, ' right': -5.5369973, 'Right': -8.403442}
{' Left': -0.013857361, ' left': -4.3286157, 'Left': -7.9504876, ' Right': -8.880782, 'left': -9.398588}
{' Left': -0.05690516, ' left': -2.9789534, ' Right': -5.644131, 'Left': -7.747514, 'left': -7.7976327}
{' Left': -0.032222353, ' left': -3.5097172, ' Right': -6.5917597, 'Left': -8.437154, 'left': -8.584451}
{' Right': -0.07755366, ' right': -3.1932552, ' Left': -3.8598678, 'Right': -4.7860074, ' left': -6.2032228}
{' Left': -0.09273546, ' left': -2.4978335, 'Left': -5.30591, 'left': -6.6772346, ' Right': -9.560725}
{' Left': -0.29489738, ' left': -1.4270747, ' Right': -5.2244935, 'Left': -5.3614616, 'left': -5.4983406}
{' Left': -0.28275445, ' left': -1.5623947, ' Right': -3.7708147, ' right': -5.3244205, 'Left': -5.445796}
{' Right': -0.05071941, ' Left': -3.1063356, ' right': -5.5692053, ' left': -7.396487, 'Right': -8.456178}
{' Right': -0.22735098, ' Left': -1.7154281, ' right': -4.102097, ' left': -5.065104, 'Right': -7.985343}
{' Right': -0.21890469, ' Left': -1.8109647, ' right': -3.6263618, ' left': -5.124094, 'Right': -8.150476}
{' Right': -0.10430415, ' Left': -2.5000217, ' right': -4.318883, ' left': -5.7671113, 'Right': -7.943674}
{' Right': -0.09703511, ' Left': -2.5696206, ' right': -4.452395, ' left': -5.965477, 'Right': -6.6593328}
{' Right': -0.685394, ' Left': -0.76558656, ' left': -3.995773, ' right': -4.6022696, 'Right': -6.8320613}
{' Right': -0.28633174, ' Left': -1.5772959, ' right': -3.5803378, ' left': -4.4645677, 'Right': -6.329365}
{' Right': -0.19872254, ' Left': -1.8735348, ' right': -4.077123, ' left': -4.9177966, 'Right': -6.481811}
{' Right': -0.5159472, ' Left': -1.179983, ' right': -3.053991, ' left': -3.2074087, 'Right': -5.6457496}
{' Right': -0.55382013, ' Left': -1.110558, ' left': -3.1148493, ' right': -3.142626, 'Right': -5.7515473}
{' Right': -0.308453, ' Left': -1.7318215, ' right': -2.8239996, ' left': -3.887133, 'Right': -5.455765}
{' Right': -0.34934217, ' Left': -1.891525, ' right': -2.4174173, ' left': -3.1668963, 'Right': -5.224817}
{' Right': -0.1688762, ' Left': -2.1482139, ' right': -3.5627818, ' left': -4.6680236, 'Right': -7.4129014}
{' Right': -0.2617256, ' Left': -1.778001, ' right': -3.129138, ' left': -4.1209645, 'Right': -7.2248483}
{' Right': -0.22000521, ' right': -2.3194733, ' Left': -2.4564364, ' left': -4.4173183, 'Right': -7.163372}
{' Right': -0.24383055, ' Left': -2.0357387, ' right': -2.7893264, ' left': -3.7797403, 'Right': -7.188801}
{' Left': -0.3686225, ' Right': -1.5426812, ' left': -2.6020076, ' right': -4.731715, 'Left': -5.2006288}
{' Right': -0.500342, ' Left': -1.1744716, ' left': -3.2079628, ' right': -3.4569879, 'Right': -5.0429597}
{' Right': -0.4766527, ' Left': -1.1405989, ' right': -3.7637048, ' left': -3.7789292, 'Right': -4.864907}
{' Left': -0.52937025, ' Right': -1.1043462, ' left': -2.900891, ' right': -4.5407014, 'Left': -5.2668977}
{' Right': -0.017331766, ' Left': -4.6405215, ' right': -5.0367846, 'Right': -7.3211894, ' left': -8.262618}
{' Left': -0.5570071, ' Right': -0.9232638, ' left': -3.859566, ' right': -4.897667, 'Right': -7.698576}
{' Right': -0.45685294, ' Left': -1.0659246, ' right': -4.4366026, ' left': -4.6636324, 'Right': -7.462432}
{' Right': -0.0483584, ' Left': -3.4178653, ' right': -4.427383, ' left': -6.7027617, 'Right': -7.1133394}
{' Right': -0.037402052, ' right': -4.33318, 'Right': -4.4371667, ' Left': -4.56951, 'right': -7.072075}
{' Right': -0.14454436, ' Left': -2.7662408, ' right': -3.0574949, 'Right': -4.3016086, ' left': -4.9725623}
{' Right': -0.10635045, ' right': -2.6704755, ' Left': -4.2556267, 'Right': -4.409165, 'right': -5.798695}
{' Right': -0.17484538, ' Left': -2.2156246, ' right': -3.6292043, 'Right': -4.3230176, ' left': -4.7885995}
{' Left': -0.028847987, ' left': -3.586923, ' Right': -7.6549883, 'Left': -8.618777, 'left': -9.284583}
{' Right': -0.0017509436, ' right': -6.432491, 'Right': -9.066392, ' Left': -10.986011, 'right': -12.281163}
{' Right': -0.2506338, ' Left': -1.5872294, ' right': -4.7588143, ' left': -4.7804036, 'Right': -8.984882}
{' Right': -0.045317896, ' right': -3.1277132, ' Left': -8.225462, 'Right': -8.979369, 'right': -9.892033}
{' Left': -0.040518776, ' left': -3.3540542, ' Right': -5.541781, 'Left': -7.7621694, 'left': -7.905428}
{' Right': -0.0024516995, ' right': -6.2441773, 'Right': -7.7491875, ' Left': -10.054412, 'right': -10.645586}
{' Right': -0.16282997, ' Left': -1.9745477, ' right': -4.9929156, ' left': -5.569516, 'Right': -7.486638}
{' Right': -0.029719517, ' right': -3.5752554, ' Left': -7.4123735, 'Right': -7.723329, 'right': -8.731908}
{' Left': -0.092506535, ' left': -2.5060673, ' Right': -5.2730255, 'Left': -7.154653, 'left': -7.314605}
{' Right': -0.008664327, ' right': -4.9036837, 'Right': -6.855933, 'right': -9.265355, ' Left': -10.588019}
{' Left': -0.2066741, ' Right': -2.3636258, ' left': -2.4600384, ' right': -5.4967833, 'Left': -6.628526}
{' Right': -0.032506347, ' right': -3.4763463, 'Right': -7.1377287, 'right': -8.435252, ' RIGHT': -10.755656}
{' Left': -0.34787518, ' left': -1.2617297, ' Right': -4.751922, ' right': -6.558622, 'left': -7.895905}
{' Right': -0.04968121, ' right': -3.0389733, 'Right': -7.935396, ' Left': -9.217207, 'right': -9.505079}
{' Right': -0.15000585, ' right': -2.7146535, ' Left': -2.8241887, ' left': -4.3379025, 'Right': -8.00008}
{' Right': -0.30721742, ' right': -1.342717, ' Left': -6.354909, ' left': -6.7712107, 'right': -8.366102}
{' Left': -0.07290658, ' left': -2.7552376, ' Right': -5.343231, 'Left': -6.713236, 'left': -7.503858}
{' Right': -0.009155052, ' right': -4.9096203, 'Right': -6.5906577, ' Left': -8.462771, 'right': -9.207877}
{' Left': -0.15794332, ' left': -2.6280322, ' Right': -2.6894927, 'Left': -6.0131826, ' right': -6.236124}
{' Right': -0.029166806, ' right': -3.6025062, 'Right': -6.7006536, 'right': -8.483281, ' RIGHT': -10.798337}
{' Left': -0.015845278, ' left': -4.1801744, 'Left': -8.40811, ' Right': -9.129244, 'left': -9.316329}
{' Right': -0.001416925, ' right': -6.804075, 'Right': -8.284444, ' Left': -10.384215, 'right': -11.472287}
{' Left': -0.3144562, ' Right': -1.3606789, ' left': -4.4581366, ' right': -6.664098, 'Left': -8.489715}
{' Right': -0.009985324, ' right': -4.6721115, ' Left': -8.011698, 'Right': -8.60585, 'right': -10.106535}
{' Left': -0.22563326, ' left': -1.844913, ' Right': -3.4006321, 'Left': -5.45651, ' right': -5.8238916}
{' Right': -0.02587093, ' right': -4.212251, 'Right': -4.6616244, 'right': -7.1512823, ' Left': -7.7717752}
{' Right': -0.4340289, ' Left': -1.3468591, ' right': -3.138281, ' left': -3.2994385, 'Right': -5.0119667}
{' Right': -0.106399514, ' right': -2.419048, 'Right': -5.046032, 'right': -5.909053, ' Left': -6.136146}
{' Left': -0.0150101185, ' left': -4.5391455, ' Right': -5.5055285, 'Left': -9.23267, ' right': -10.497652}
{' Right': -0.01009484, ' right': -4.644107, ' Left': -8.145137, 'Right': -9.198825, 'right': -10.770694}
{' Left': -0.029640127, ' left': -3.6158252, ' Right': -6.163842, 'Left': -9.0892, 'left': -9.927941}
{' Right': -0.0046036295, ' right': -5.693568, ' Left': -6.859636, 'Right': -8.922, ' left': -10.85707}
{' Left': -0.011944319, ' left': -4.585301, ' Right': -6.7694054, 'Left': -7.7561593, 'left': -9.360479}
{' Right': -0.009396413, ' right': -4.7327967, 'Right': -7.682696, 'right': -9.649316, ' Left': -10.953096}
{' Left': -0.033069104, ' left': -3.4445202, 'Left': -7.8045096, 'left': -8.638414, ' Right': -10.717788}
{' Right': -0.009036316, ' right': -4.847146, 'Right': -7.0200706, ' Left': -8.957822, 'right': -9.453632}
{' Left': -0.056631934, ' left': -2.9901874, ' Right': -5.8472357, 'Left': -6.6929307, 'left': -7.5355597}
{' Right': -0.03709692, ' right': -3.366944, 'Right': -6.6193457, 'right': -7.627307, ' Left': -10.136315}
{' Left': -0.058222618, ' left': -2.9152493, ' Right': -6.8275185, 'Left': -7.2258534, 'left': -7.608155}
{' Right': -0.017345233, ' right': -4.224485, 'Right': -6.4113264, ' Left': -7.5551195, 'right': -8.322048}
{' Left': -0.18305446, ' left': -2.0890508, ' Right': -3.2645059, ' right': -5.3481483, 'Left': -8.178087}
{' Right': -0.100194134, ' right': -2.3590348, 'Right': -8.019982, ' Left': -8.108375, 'right': -8.911538}
{' Left': -0.25988352, ' left': -1.4908617, ' Right': -6.0232787, ' right': -7.247064, 'Left': -8.188129}
{' Right': -0.1259161, ' right': -2.148621, 'Right': -7.2466354, ' Left': -7.6208267, 'right': -8.417992}
{' Left': -0.033402458, ' left': -3.5115557, 'Left': -6.20065, ' Right': -7.4695425, 'left': -7.870253}
{' Right': -0.012592439, ' right': -4.523241, 'Right': -6.5506535, 'right': -8.568344, ' RIGHT': -10.808214}
{' Left': -0.02683746, ' left': -3.7093627, 'Left': -6.660896, 'left': -7.908494, ' Right': -8.023811}
{' Right': -0.013233187, ' right': -4.6260276, 'Right': -5.9341803, ' Left': -8.292524, 'right': -8.307981}
{' Left': -0.017732602, ' left': -4.1792717, ' Right': -6.262838, 'Left': -8.250006, 'left': -9.478613}
{' Right': -0.0047708913, ' right': -5.4253087, 'Right': -8.318689, ' Left': -9.440974, 'right': -10.702984}
{' Left': -0.011116456, ' left': -4.5975842, ' Right': -7.1803393, 'Left': -8.77644, 'left': -9.792715}
{' Right': -0.004040614, ' right': -5.6902585, 'Right': -7.905659, ' Left': -8.557994, ' "': -10.282664}
{' Left': -0.084830806, ' Right': -3.2399611, ' left': -3.4852061, 'Left': -4.7662024, ' right': -6.8118215}
{' Right': -0.05956858, ' right': -3.3473873, 'Right': -4.1454086, ' Left': -5.5502644, 'right': -5.977601}
{' Left': -0.11322621, ' left': -2.4548075, ' Right': -4.5643506, 'Left': -4.906502, 'left': -6.1548934}
{' Right': -0.11559453, ' right': -3.0754046, 'Right': -3.5690436, ' Left': -3.5901392, 'right': -5.540031}
{' Left': -0.42349264, ' Right': -1.1163504, ' left': -4.280098, ' right': -5.6262856, 'Left': -9.084318}
{' Left': -0.045046195, ' left': -3.3640003, ' Right': -4.742033, 'left': -8.114746, 'Left': -8.343851}
{' Right': -0.04611883, ' right': -3.1914375, ' Left': -5.7581186, 'Right': -7.9548388, 'right': -8.372079}
{' Left': -0.05911338, ' left': -2.86801, 'Left': -8.207931, 'left': -8.2482195, ' Right': -9.894316}
{' Left': -0.045893654, ' Right': -3.6631896, ' left': -4.0294695, 'Left': -7.2402406, 'left': -7.7861257}
{' Left': -0.030262642, ' left': -3.5887628, ' Right': -7.087715, 'Left': -7.2549496, 'left': -7.3887143}
{' Right': -0.055382058, ' Left': -3.5866587, ' right': -3.7591517, ' left': -6.698234, 'Right': -6.977579}
{' Left': -0.05442809, ' left': -2.9763699, 'Left': -6.8955784, 'left': -6.9955482, ' Right': -9.701431}
{' Left': -0.07660103, ' Right': -2.9852886, ' left': -3.8557985, 'Left': -7.2020354, 'left': -7.3773646}
{' Left': -0.028487256, ' left': -3.6955862, ' Right': -6.6280003, 'Left': -6.8608937, 'left': -7.0696793}
{' Right': -0.039272413, ' right': -3.6558797, ' Left': -4.6587787, 'Right': -6.5639744, 'right': -6.725675}
{' Left': -0.05679349, ' left': -2.942562, 'left': -6.6841397, 'Left': -6.7422047, ' Right': -10.372011}
{' Left': -0.21977761, ' Right': -1.8078265, ' left': -3.5504715, ' right': -5.557719, 'Left': -8.009854}
{' Left': -0.07494656, ' left': -2.8695495, ' Right': -4.2706347, ' right': -7.3765173, 'left': -7.671536}
{' Right': -0.14938556, ' right': -2.0367546, ' Left': -5.125555, ' left': -6.8447433, 'right': -7.2653213}
{' Left': -0.13438375, ' left': -2.085422, 'left': -7.2993407, 'Left': -7.39371, ' Right': -8.667457}
{' Left': -0.033018336, ' left': -3.5611897, 'Left': -6.307829, ' Right': -6.5906334, 'left': -7.0705566}
{' Left': -0.021865787, ' left': -4.063049, ' Right': -6.2278986, 'Left': -6.370409, 'left': -7.247886}
{' Right': -0.029744811, ' right': -4.1466994, ' Left': -4.650514, 'Right': -5.976321, 'right': -7.008142}
{' Left': -0.053291112, ' left': -3.0217814, 'Left': -6.1941867, 'left': -6.799312, ' ': -11.585115}
{' Left': -0.06981516, ' Right': -2.8707051, ' left': -4.6037297, ' right': -8.064646, 'Left': -8.256878}
{' Left': -0.013359067, ' left': -4.5455375, ' Right': -6.1539116, 'Left': -7.996549, 'left': -8.64443}
{' Right': -0.008236221, ' right': -5.110447, ' Left': -6.385315, 'Right': -7.9730396, 'right': -9.183075}
{' Left': -0.022318114, ' left': -3.8394566, 'Left': -8.048565, 'left': -8.457542, ' Right': -10.457111}
{' Left': -0.24411835, ' Right': -1.6435325, ' left': -4.2030454, 'Left': -5.6499486, ' right': -6.071621}
{' Left': -0.23895411, ' Right': -1.7438942, ' left': -3.6873412, 'Left': -5.3181815, ' right': -5.642087}
{' Right': -0.050119992, ' right': -3.3008466, 'Right': -4.6982236, 'right': -5.8978047, ' Left': -9.101808}
{' Left': -0.06543324, ' left': -2.9248636, 'Left': -4.889585, 'left': -6.1990404, ' Right': -9.51459}
{' Left': -0.076380715, ' Right': -2.973424, ' left': -3.836278, ' right': -7.4300995, 'Left': -8.956949}
{' Left': -0.11412041, ' Right': -2.5586033, ' left': -3.5563145, ' right': -6.42205, 'left': -9.023957}
{' Left': -0.3142027, ' Right': -1.4827511, ' left': -3.373788, ' right': -4.817706, 'left': -9.205727}
{' Left': -0.08734385, ' left': -2.7774835, ' Right': -3.89284, ' right': -7.4046254, 'left': -8.303761}
{' Left': -0.035877526, ' Right': -4.0420914, ' left': -4.07975, 'Left': -7.883093, 'left': -8.464568}
{' Left': -0.029849328, ' left': -4.1491194, ' Right': -4.349145, 'Left': -7.912242, 'left': -8.52543}
{' Left': -0.1069078, ' Right': -2.5757647, ' left': -3.759669, ' right': -6.529027, 'Left': -8.130852}
{' Left': -0.034554657, ' left': -3.628009, ' Right': -5.0563498, 'Left': -7.441186, 'left': -8.0198345}
{' Left': -0.058964916, ' left': -2.9779408, ' Right': -5.338132, 'Left': -7.118045, 'left': -7.4770703}
{' Left': -0.24067238, ' Right': -1.708791, ' left': -3.596885, ' right': -5.527932, 'Left': -7.5257707}
{' Left': -0.14788051, ' Right': -2.4182663, ' left': -3.131775, ' right': -5.623041, 'Left': -7.6049995}
{' Left': -0.093812734, ' left': -2.4974515, ' Right': -5.300174, 'Left': -6.9068403, 'left': -6.9413233}
{' Left': -0.17857806, ' left': -1.9384258, ' Right': -4.065823, ' right': -6.2883835, 'left': -8.100023}
{' Left': -0.12605387, ' left': -2.3362205, ' Right': -3.9445617, ' right': -6.2606974, 'left': -8.378968}
{' Left': -0.37297505, ' left': -1.559712, ' Right': -2.5908666, ' right': -3.6643546, 'left': -8.219645}
{' Left': -0.3891833, ' left': -1.1537155, ' Right': -5.368506, ' right': -6.601433, 'left': -7.4853497}
{' Left': -0.038337324, ' left': -3.3861668, ' Right': -6.025251, 'Left': -6.9692965, 'left': -7.935855}
{' Left': -0.05915663, ' left': -3.4033241, ' Right': -3.80192, 'Left': -6.9699416, ' right': -7.5984187}
{' Left': -0.11064684, ' Right': -2.7554128, ' left': -3.2674785, ' right': -6.270024, 'Left': -7.2289867}
{' Left': -0.07073243, ' left': -2.7337458, 'Left': -6.5845566, ' Right': -6.792721, 'left': -7.197239}
{' Left': -0.069063105, ' Right': -2.8883054, ' left': -4.569553, ' right': -8.061337, 'Left': -8.374594}
{' Left': -0.07973519, ' Right': -2.6959043, ' left': -4.7716603, ' right': -7.980976, 'Left': -8.519878}
{' Left': -0.062205534, ' Right': -3.0016263, ' left': -4.6079874, ' right': -7.9858503, 'Left': -8.696982}
{' Left': -0.075927965, ' Right': -2.9502013, ' left': -3.925257, ' right': -7.680704, 'Left': -8.1346655}
{' Left': -0.46372575, ' Right': -1.3825738, ' left': -2.4574068, ' right': -3.535629, 'Left': -6.229983}
{' Left': -0.23440658, ' left': -2.272897, ' Right': -2.4141607, ' right': -4.3939047, 'Left': -6.132939}
{' Left': -0.49509457, ' Right': -1.4755672, ' left': -2.1902945, ' right': -3.1074047, 'Left': -6.2642064}
{' Left': -0.38377908, ' Right': -1.7746233, ' left': -2.1282172, ' right': -3.7821078, 'Left': -5.738385}
{' Right': -0.06983625, ' Left': -2.9398046, ' right': -4.3970704, ' left': -6.2312603, 'Right': -8.451408}
{' Left': -0.052160323, ' left': -2.9904823, 'Left': -8.220749, ' Right': -8.617704, 'left': -9.157907}
{' Left': -0.2874438, ' left': -1.4986081, ' Right': -3.7616947, ' right': -6.099133, 'left': -7.491263}
{' Left': -0.18339902, ' left': -1.8073003, ' Right': -5.9686327, 'left': -7.864078, ' right': -8.142438}
{' Right': -0.06872466, ' Left': -2.9735115, ' right': -4.4016714, ' left': -6.2559967, 'Right': -7.115855}
{' Left': -0.019615112, ' left': -3.9947202, 'Left': -7.416286, ' Right': -8.344695, 'left': -8.686417}
{' Left': -0.0856804, ' left': -2.753714, ' Right': -4.12093, 'Left': -7.0052204, 'left': -7.129652}
{' Left': -0.103114404, ' left': -2.3361483, 'left': -7.4299164, 'Left': -7.663614, ' Right': -8.505515}
{' Right': -0.06149352, ' right': -3.1669831, ' Left': -4.297337, 'Right': -6.492794, ' left': -6.5246387}
{' Left': -0.075645894, ' left': -2.6456075, 'Left': -6.8330045, 'left': -7.3614755, ' Right': -8.69323}
{' Left': -0.17368346, ' left': -1.9843924, ' Right': -4.050553, 'left': -6.290882, 'Left': -6.5979214}
{' Left': -0.19114257, ' left': -1.7723689, ' Right': -6.437598, 'left': -6.552882, 'Left': -7.111369}
{' Right': -0.11536292, ' right': -2.7097385, ' Left': -3.3115509, ' left': -5.2508855, 'Right': -7.754319}
{' Left': -0.19401579, ' left': -1.7397348, 'Left': -7.8196445, 'left': -8.222694, ' Right': -9.171732}
{' Left': -0.46741667, ' left': -1.0664138, ' Right': -3.8065624, ' right': -5.229543, 'left': -6.9060135}
{' Left': -0.5122598, ' left': -0.944629, ' Right': -4.9337435, ' right': -5.624049, 'left': -7.0499225}
{' Right': -0.039290205, ' right': -3.8921285, ' Left': -4.232281, 'Right': -6.2167063, ' left': -6.9054456}
{' Left': -0.05276109, ' left': -3.0116556, 'Left': -6.371354, 'left': -7.7399364, ' Right': -10.292361}
