{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -9.446585, ' ': -10.854666, ' Yes': -0.009207564, ' yes': -9.900001, 'Yes': -4.7096334}
{' YES': -11.996595, ' ': -10.743459, ' Yes': -0.007914692, ' yes': -8.7989435, 'Yes': -4.8673124}
{' YES': -12.550424, ' ': -10.641058, ' Yes': -0.00058526185, ' yes': -9.013391, 'Yes': -7.748132}
{' YES': -12.06689, ' ': -9.992095, ' Yes': -0.004737951, ' yes': -9.0563545, 'Yes': -5.3935623}
{' No': -11.143624, ' ': -9.263274, ' Yes': -0.0037398736, ' yes': -9.308503, 'Yes': -5.6517196}
{' YES': -12.753752, ' ': -11.04196, ' Yes': -0.0010167877, ' yes': -9.739979, 'Yes': -6.9741}
{' No': -10.345185, ' ': -8.109725, ' Yes': -0.006252825, ' yes': -9.3672085, 'Yes': -5.154364}
{'\n': -10.1192665, ' ': -8.39909, ' Yes': -0.0054918677, ' yes': -7.218965, 'Yes': -5.418453}
{' ': -10.77898, ' Yes': -0.007534366, ' yes': -7.5632954, 'Yes': -4.972376, 'yes': -11.003956}
{' No': -12.33045, ' ': -12.356137, ' Yes': -0.0064095627, ' yes': -9.883626, 'Yes': -5.063313}
{' ': -10.079409, ' Yes': -0.021536374, ' yes': -7.8357754, 'Yes': -3.8717427, 'yes': -10.644754}
{' No': -10.815142, ' ': -11.013269, ' Yes': -0.0043278, ' yes': -8.8856125, 'Yes': -5.4891734}
{' No': -9.996436, ' ': -9.999708, ' Yes': -0.017191622, ' yes': -8.243036, 'Yes': -4.0946774}
{' ': -9.990141, ' Yes': -0.020172182, ' yes': -7.05546, 'Yes': -3.963497, 'yes': -10.084074}
{' ': -9.255829, ' Yes': -0.0029127894, ' yes': -6.4806404, 'Yes': -6.686668, 'yes': -10.993074}
{' ': -8.734257, ' Yes': -0.009596852, ' yes': -7.0563164, 'Yes': -4.7711377, 'yes': -10.240345}
{'\n': -10.490299, ' ': -8.217495, ' Yes': -0.011478632, ' yes': -7.567697, 'Yes': -4.550556}
{' ': -8.840483, ' Yes': -0.0047208224, ' yes': -6.678753, 'Yes': -5.7302837, 'yes': -10.215595}
{'\n': -9.204294, ' ': -7.484793, ' Yes': -0.010826714, ' yes': -7.566603, 'Yes': -4.6515756}
{' ': -7.450336, ' Yes': -0.018682797, ' yes': -4.8039017, 'Yes': -4.6723957, 'yes': -8.5474205}
{'\n': -12.294028, ' ': -10.242073, ' Yes': -0.0005262817, ' yes': -9.782984, 'Yes': -7.763435}
{' No': -11.8625145, ' ': -9.265907, ' Yes': -0.0038935265, ' yes': -9.339206, 'Yes': -5.6047025}
{'\n': -10.23551, ' ': -8.56137, ' Yes': -0.004494774, ' yes': -9.388842, 'Yes': -5.483426}
{' No': -11.011631, ' ': -9.422098, ' Yes': -0.00097245903, ' yes': -9.754174, 'Yes': -7.125194}
{'\n': -10.245592, ' ': -8.045457, ' Yes': -0.0053756037, ' yes': -9.702527, 'Yes': -5.314448}
{'\n': -11.712985, ' ': -9.543047, ' Yes': -0.0012981491, ' yes': -9.101531, 'Yes': -6.811585}
{' No': -0.003971434, ' ': -9.682907, 'No': -5.5477977, ' no': -13.252455, ' NO': -13.190382}
{' No': -0.00855052, ' ': -9.797586, 'No': -4.7734127, ' no': -13.493453, ' NO': -12.361363}
{' No': -0.013589843, ' ': -9.147755, 'No': -4.313768, ' no': -13.599616, ' NO': -12.262494}
{' No': -0.0043904814, ' ': -10.526603, 'No': -5.4372287, ' no': -14.07828, ' NO': -13.712277}
{' No': -0.019203985, ' ': -9.119264, 'No': -3.9684513, ' no': -13.163987, ' NO': -12.899208}
{' No': -0.0175978, ' ': -8.39946, 'No': -4.0630937, ' no': -11.823296, ' NO': -12.273869}
{' No': -0.00071904395, '\n': -12.554445, ' ': -9.172547, 'No': -7.4110217, ' no': -12.541263}
{' No': -0.0045502186, '\n': -12.613, ' ': -8.897347, 'No': -5.427903, ' NO': -12.697857}
{' No': -0.0045427326, '\n': -11.031397, ' ': -8.6172, 'No': -5.4429007, ' NO': -12.746481}
{' No': -0.0018280313, '\n': -12.547647, ' ': -9.353101, 'No': -6.3587575, ' NO': -13.03966}
{' No': -0.006915327, '\n': -10.091014, ' ': -7.554929, 'No': -5.0651026, ' NO': -12.390113}
{' No': -0.0058202334, '\n': -9.830796, ' ': -8.018441, 'No': -5.2229166, ' no': -11.106831}
{' No': -0.012703207, ' ': -9.446257, 'No': -4.3818536, ' no': -10.525676, ' NO': -11.775544}
{' No': -0.0076509393, ' ': -11.19851, 'No': -4.8787713, ' no': -14.101604, ' NO': -14.391685}
{' No': -0.04358818, ' ': -8.888186, 'No': -3.1588073, ' no': -11.397893, ' NO': -11.620749}
{' No': -0.0069416156, ' ': -9.654268, 'No': -4.9852376, ' no': -11.796102, ' NO': -12.478531}
{' No': -0.04424823, ' ': -8.465718, 'No': -3.1458774, ' no': -11.274542, ' NO': -11.845232}
{' No': -0.055743795, ' ': -8.009009, 'No': -2.9244206, 'no': -10.649022, ' no': -9.27187}
{' No': -0.0018034292, '\n': -11.074861, ' ': -7.844825, 'No': -6.6269026, ' no': -9.717053}
{' No': -0.011036962, '\n': -10.988884, ' ': -7.679431, 'No': -4.560054, ' no': -10.725335}
{' No': -0.01626599, '\n': -9.131078, ' ': -6.9866996, 'No': -4.1952972, ' no': -11.178902}
{' No': -0.004629261, '\n': -10.489281, ' ': -7.4816284, 'No': -5.5318413, ' no': -9.86698}
{' No': -0.010022592, '\n': -8.652112, ' ': -6.6921473, 'No': -4.7648497, ' no': -10.981676}
{' No': -0.01573978, '\n': -8.216326, ' ': -6.5447655, 'No': -4.305134, ' no': -7.9677124}
{' No': -0.00083160505, '\n': -12.060217, ' ': -8.943843, 'No': -7.280636, ' no': -12.8328}
{' No': -0.0045191455, '\n': -11.599215, ' ': -8.078556, 'No': -5.4779215, ' NO': -12.009272}
{' No': -0.007071207, '\n': -9.162421, ' ': -7.3824735, 'No': -5.067282, ' NO': -11.809702}
{' No': -0.0016102776, '\n': -11.431668, ' ': -8.183295, 'No': -6.6382174, ' NO': -12.3417635}
{' No': -0.0075472766, '\n': -9.093052, ' ': -7.0421863, 'No': -5.0338836, ' NO': -11.992591}
{' No': -0.002194683, '\n': -11.323351, ' ': -8.263497, 'No': -6.258493, ' no': -12.48681}
{' No': -0.0035170375, ' ': -9.90915, 'No': -5.7068954, ' Yes': -8.920775, ' NO': -13.629053}
{' No': -0.0142979175, ' ': -9.309929, 'No': -4.2807007, ' Yes': -8.250948, 'Yes': -12.462045}
{' No': -0.016947038, ' ': -9.001591, 'No': -4.101317, ' Yes': -9.057371, ' NO': -12.252389}
{' No': -0.004968785, ' ': -10.184978, 'No': -5.3321114, ' Yes': -9.427235, ' NO': -13.580506}
{' No': -0.02351862, ' ': -9.00215, 'No': -3.7804954, ' Yes': -8.137338, 'Yes': -12.044989}
{' No': -0.022117244, ' ': -8.05757, 'No': -4.143192, ' Yes': -5.184318, 'Yes': -9.81947}
{' No': -0.0061487085, ' ': -8.583308, 'No': -7.5768075, ' Yes': -5.220983, ' no': -11.544878}
{' No': -0.0059138844, ' ': -8.792735, 'No': -5.557782, ' Yes': -6.284911, 'Yes': -11.403614}
{' No': -0.019992113, '\n': -9.182931, ' ': -7.4048376, 'No': -5.346925, ' Yes': -4.2542048}
{' No': -0.0019180843, '\n': -12.3899, ' ': -9.078427, 'No': -6.556296, ' Yes': -7.898585}
{' No': -0.008717896, '\n': -9.80025, ' ': -7.1955175, 'No': -5.1586676, ' Yes': -6.1683645}
{' No': -0.009897373, '\n': -8.865755, ' ': -7.203575, 'No': -5.371002, ' Yes': -5.4614697}
{' No': -0.010367868, ' ': -9.203536, 'No': -4.6217546, ' Yes': -8.043909, ' no': -10.513625}
{' No': -0.01580386, ' ': -10.393834, 'No': -4.6061435, ' Yes': -5.185449, 'Yes': -9.799026}
{' No': -0.05334317, ' ': -8.19688, 'No': -3.7475185, ' Yes': -3.5976737, 'Yes': -7.362299}
{' No': -0.06422536, ' ': -8.758325, 'No': -5.093606, ' Yes': -2.8906434, 'Yes': -7.9762197}
{' No': -0.026432473, ' ': -8.373016, 'No': -3.8788779, ' Yes': -5.293476, 'Yes': -9.198339}
{' No': -0.123624906, ' ': -7.383981, 'No': -3.3226964, ' Yes': -2.5562973, 'Yes': -6.3616657}
{' No': -0.004963334, ' ': -7.2923074, 'No': -6.697006, ' Yes': -5.889515, ' no': -8.423561}
{' No': -0.01043526, ' ': -7.5115623, 'No': -4.684372, ' Yes': -7.5690174, ' no': -10.049753}
{' No': -0.01725408, '\n': -8.677948, ' ': -6.536073, 'No': -4.655178, ' Yes': -5.140505}
{' No': -0.0058889408, ' ': -7.1563497, 'No': -5.450986, ' Yes': -7.354476, ' no': -9.307514}
{' No': -0.010780501, '\n': -8.723694, ' ': -6.793691, 'No': -4.844759, ' Yes': -6.48773}
{' No': -0.017810687, ' ': -6.0594573, 'No': -4.7664123, ' Yes': -5.175379, ' no': -7.5098066}
{' No': -0.004713516, '\n': -11.256726, ' ': -8.436342, 'No': -7.7341404, ' Yes': -5.5153604}
{' No': -0.0046608173, '\n': -11.021176, ' ': -7.7939477, 'No': -5.680917, ' Yes': -7.1357713}
{' No': -0.013223343, '\n': -8.4028225, ' ': -6.8681054, 'No': -5.4963584, ' Yes': -4.8654494}
{' No': -0.004800357, '\n': -11.06236, ' ': -7.750949, 'No': -6.881612, ' Yes': -5.7133126}
{' No': -0.040138796, '\n': -7.9653234, ' ': -6.2244854, 'No': -5.16342, ' Yes': -3.4725423}
{' No': -0.012209769, '\n': -10.376148, ' ': -7.2877216, 'No': -6.35367, ' Yes': -4.6412053}
{' YES': -11.956564, ' ': -11.623357, ' Yes': -0.0034075824, ' yes': -10.208842, 'Yes': -5.6997204}
{' YES': -11.1686125, ' ': -10.604703, ' Yes': -0.01182061, ' yes': -9.579093, 'Yes': -4.453719}
{' YES': -10.912021, ' ': -10.534305, ' Yes': -0.0153744295, ' yes': -9.513394, 'Yes': -4.191224}
{' YES': -11.819679, ' ': -11.410025, ' Yes': -0.006157824, ' yes': -9.995311, 'Yes': -5.1042695}
{' ': -11.00883, ' Yes': -0.014494804, ' yes': -9.78857, 'Yes': -4.24762, 'yes': -11.57912}
{' YES': -11.354234, ' ': -10.340672, ' Yes': -0.010165047, ' yes': -8.971486, 'Yes': -4.611928}
{' YES': -11.535287, ' ': -10.688825, ' Yes': -0.0007797653, ' yes': -9.186105, 'Yes': -7.3548517}
{' YES': -11.315207, ' ': -10.232826, ' Yes': -0.0050292877, ' yes': -9.370276, 'Yes': -5.3243575}
{'\n': -10.023285, ' ': -9.407513, ' Yes': -0.0056960187, ' yes': -8.848389, 'Yes': -5.2243314}
{' YES': -11.894298, ' ': -11.301649, ' Yes': -0.0014760777, ' yes': -9.751325, 'Yes': -6.5758877}
{'\n': -10.365911, ' ': -8.763249, ' Yes': -0.007464704, ' yes': -9.434735, 'Yes': -4.941516}
{'\n': -9.597243, ' ': -8.865556, ' Yes': -0.007858043, ' yes': -7.8328276, 'Yes': -4.9383926}
{' ': -10.437332, ' Yes': -0.009920307, ' yes': -7.755949, 'Yes': -4.671957, 'yes': -10.44865}
{' ': -12.41458, ' Yes': -0.010304875, ' yes': -9.894846, 'Yes': -4.586637, 'yes': -11.8694315}
{' ': -10.181552, ' Yes': -0.027596395, ' yes': -7.929843, 'Yes': -3.6216724, 'yes': -10.099004}
{' ': -10.836848, ' Yes': -0.007438522, ' yes': -8.793464, 'Yes': -4.931476, 'yes': -11.353896}
{' ': -9.953198, ' Yes': -0.01974976, ' yes': -8.595979, 'Yes': -3.94876, 'yes': -10.649399}
{' ': -9.662291, ' Yes': -0.023674726, ' yes': -6.954922, 'Yes': -3.8041484, 'yes': -9.680393}
{' ': -9.083494, ' Yes': -0.0045763263, ' yes': -6.3392453, 'Yes': -5.94872, 'yes': -10.329859}
{' ': -8.756317, ' Yes': -0.015375156, ' yes': -6.803133, 'Yes': -4.2798424, 'yes': -9.4046955}
{'\n': -9.16297, ' ': -8.375189, ' Yes': -0.014894801, ' yes': -7.652714, 'Yes': -4.2750974}
{' ': -8.821186, ' Yes': -0.009100433, ' yes': -6.3061814, 'Yes': -4.974695, 'yes': -9.330223}
{'\n': -8.857443, ' ': -7.9887776, ' Yes': -0.01576456, ' yes': -7.9318776, 'Yes': -4.217909}
{'\n': -8.178628, ' ': -7.7349224, ' Yes': -0.023713972, ' yes': -4.911041, 'Yes': -4.200392}
{' YES': -11.524304, ' ': -10.304046, ' Yes': -0.0007857313, ' yes': -9.770049, 'Yes': -7.3000197}
{'\n': -10.634228, ' ': -9.386368, ' Yes': -0.0059873364, ' yes': -9.289184, 'Yes': -5.1601777}
{'\n': -8.764768, ' ': -8.609538, ' Yes': -0.006204365, ' yes': -9.208449, 'Yes': -5.1640716}
{' YES': -11.33669, ' ': -9.832807, ' Yes': -0.0013382577, ' yes': -9.98359, 'Yes': -6.7126474}
{'\n': -9.0428095, ' ': -8.389796, ' Yes': -0.0083362255, ' yes': -9.578016, 'Yes': -4.8453126}
{'\n': -11.231065, ' ': -9.860705, ' Yes': -0.0019766092, ' yes': -9.530844, 'Yes': -6.3039455}
{' No': -10.2346115, ' ': -10.972999, ' Yes': -0.0020788594, ' yes': -10.013093, 'Yes': -6.227111}
{' No': -10.355524, ' ': -10.601448, ' Yes': -0.0050584637, ' yes': -9.790333, 'Yes': -5.3138275}
{' YES': -11.515287, ' ': -10.577342, ' Yes': -0.011580833, ' yes': -9.502629, 'Yes': -4.474708}
{' No': -11.866643, ' ': -11.97036, ' Yes': -0.0030360604, ' yes': -10.294292, 'Yes': -5.815501}
{' No': -10.539269, ' ': -10.726716, ' Yes': -0.0084010195, ' yes': -9.712554, 'Yes': -4.797766}
{' YES': -11.979239, ' ': -10.870513, ' Yes': -0.0070698867, ' yes': -8.783566, 'Yes': -4.982148}
{' YES': -12.4003725, ' ': -10.771071, ' Yes': -0.0006157379, ' yes': -8.906452, 'Yes': -7.704494}
{' YES': -11.831439, ' ': -10.042755, ' Yes': -0.00462441, ' yes': -8.960329, 'Yes': -5.4210706}
{'\n': -11.267863, ' ': -9.5439, ' Yes': -0.003893048, ' yes': -9.196606, 'Yes': -5.602548}
{' YES': -12.751824, ' ': -11.164748, ' Yes': -0.0010333165, ' yes': -9.598273, 'Yes': -6.964839}
{'\n': -10.652456, ' ': -8.390848, ' Yes': -0.0063005714, ' yes': -9.329309, 'Yes': -5.1292405}
{'\n': -10.191394, ' ': -8.721164, ' Yes': -0.005151203, ' yes': -7.3819532, 'Yes': -5.4545436}
{' ': -10.763643, ' Yes': -0.0070476746, ' yes': -7.492363, 'Yes': -5.0505943, 'yes': -11.0805435}
{' No': -12.194469, ' ': -12.4440975, ' Yes': -0.0070007965, ' yes': -9.73661, 'Yes': -4.975825}
{' ': -9.9607, ' Yes': -0.018586364, ' yes': -7.7608767, 'Yes': -4.0230513, 'yes': -10.83575}
{' No': -11.309824, ' ': -11.224124, ' Yes': -0.003787021, ' yes': -8.902696, 'Yes': -5.6248817}
{' No': -10.383436, ' ': -9.890066, ' Yes': -0.01756935, ' yes': -8.330794, 'Yes': -4.0708838}
{' ': -9.853197, ' Yes': -0.020185381, ' yes': -6.649147, 'Yes': -3.9867492, 'yes': -9.940189}
{' ': -9.401852, ' Yes': -0.0029663506, ' yes': -6.42223, 'Yes': -6.7072086, 'yes': -10.995472}
{' ': -8.860866, ' Yes': -0.009917778, ' yes': -6.9136, 'Yes': -4.7478266, 'yes': -10.12883}
{'\n': -10.482062, ' ': -8.401226, ' Yes': -0.011301022, ' yes': -7.654276, 'Yes': -4.558693}
{' ': -8.982334, ' Yes': -0.0048104194, ' yes': -6.594485, 'Yes': -5.731977, 'yes': -10.195293}
{'\n': -9.818049, ' ': -8.069644, ' Yes': -0.009864323, ' yes': -7.6932397, 'Yes': -4.7153735}
{' ': -7.5536857, ' Yes': -0.018068412, ' yes': -4.8938484, 'Yes': -4.6533985, 'yes': -8.590994}
{'\n': -12.415419, ' ': -10.5131445, ' Yes': -0.0005691593, ' yes': -9.636008, 'Yes': -7.667983}
{'\n': -11.7301445, ' ': -9.101982, ' Yes': -0.004032655, ' yes': -9.160259, 'Yes': -5.5774937}
{'\n': -10.086195, ' ': -8.762001, ' Yes': -0.004722619, ' yes': -9.366083, 'Yes': -5.4239745}
{' No': -11.851309, ' ': -9.643896, ' Yes': -0.0009916694, ' yes': -9.6814, 'Yes': -7.076242}
{'\n': -10.6792145, ' ': -8.310081, ' Yes': -0.005972166, ' yes': -9.570639, 'Yes': -5.1868267}
{'\n': -11.807659, ' ': -9.568968, ' Yes': -0.0014733924, ' yes': -9.054641, 'Yes': -6.6671524}
{' No': -0.004172645, ' ': -9.680188, 'No': -5.497676, ' no': -13.315392, ' NO': -13.165343}
{' No': -0.008607992, ' ': -9.820765, 'No': -4.7665787, ' no': -13.579561, ' NO': -12.269653}
{' No': -0.0145812845, ' ': -9.213254, 'No': -4.242803, ' no': -13.637321, ' NO': -12.201936}
{' No': -0.0050910525, ' ': -10.264494, 'No': -5.2903714, ' no': -13.723033, ' NO': -13.43547}
{' No': -0.019741187, ' ': -8.998968, 'No': -3.9417229, ' no': -13.142945, ' NO': -12.711929}
{' No': -0.017728234, ' ': -8.47865, 'No': -4.05457, ' no': -11.97372, ' NO': -12.196743}
{' No': -0.00071964, '\n': -12.523731, ' ': -9.29109, 'No': -7.391802, ' no': -12.420384}
{' No': -0.005186192, '\n': -12.5414295, ' ': -8.774302, 'No': -5.297025, ' NO': -12.56924}
{' No': -0.004709206, '\n': -11.079854, ' ': -8.666143, 'No': -5.4033275, ' NO': -12.70899}
{' No': -0.0017292683, '\n': -12.5263605, ' ': -9.3811865, 'No': -6.4156847, ' NO': -13.148041}
{' No': -0.0070036175, '\n': -10.298734, ' ': -7.7317743, 'No': -5.0365925, ' NO': -12.450625}
{' No': -0.006071707, '\n': -10.00529, ' ': -8.198329, 'No': -5.166352, ' no': -11.163681}
{' No': -0.0135688195, ' ': -9.442394, 'No': -4.3157845, ' no': -10.53955, ' NO': -11.739481}
{' No': -0.009006063, ' ': -11.067413, 'No': -4.716354, ' no': -13.849944, ' NO': -14.045125}
{' No': -0.04192384, ' ': -8.81665, 'No': -3.1973825, ' no': -11.336606, ' NO': -11.57983}
{' No': -0.0072655347, ' ': -9.820141, 'No': -4.938011, ' no': -11.714802, ' NO': -12.375153}
{' No': -0.0507914, ' ': -8.330619, 'No': -3.0111165, ' no': -11.33812, ' NO': -11.548809}
{' No': -0.055480406, ' x': -10.615306, ' ': -7.805988, 'No': -2.9307358, ' no': -9.228768}
{' No': -0.0015513548, '\n': -11.393068, ' ': -8.106319, 'No': -6.746012, ' no': -9.843273}
{' No': -0.01148267, '\n': -10.992549, ' ': -7.6836925, 'No': -4.518885, ' no': -10.654174}
{' No': -0.016655972, '\n': -9.166088, ' ': -7.1013703, 'No': -4.1633782, ' no': -11.193727}
{' No': -0.0046999827, '\n': -10.534222, ' ': -7.5697417, 'No': -5.503626, ' no': -9.757906}
{' No': -0.0113801155, '\n': -8.77101, ' ': -6.9189973, 'No': -4.591283, ' no': -11.000841}
{' No': -0.015701998, '\n': -8.225779, ' ': -6.5916963, 'No': -4.305325, ' no': -7.88542}
{' No': -0.0007985542, '\n': -11.888959, ' ': -9.000794, 'No': -7.3195467, ' no': -12.901097}
{' No': -0.004636028, '\n': -11.7202635, ' ': -8.322501, 'No': -5.4346094, ' NO': -11.999399}
{' No': -0.007720251, '\n': -9.117686, ' ': -7.52564, 'No': -4.958528, ' NO': -11.951207}
{' No': -0.0018727588, '\n': -11.21719, ' ': -8.042536, 'No': -6.4858546, ' NO': -12.098206}
{' No': -0.0073587787, '\n': -9.399979, ' ': -7.3031616, 'No': -5.0269794, ' NO': -12.044233}
{' No': -0.0022000559, '\n': -11.536532, ' ': -8.38309, 'No': -6.2393155, ' no': -12.541543}
{' No': -0.0041912002, ' ': -9.792356, 'No': -5.493815, ' Yes': -11.64127, ' NO': -13.155517}
{' No': -0.011469587, ' ': -9.539333, 'No': -4.483118, ' Yes': -10.630956, ' NO': -12.239679}
{' No': -0.017352145, ' ': -9.012473, 'No': -4.0714765, ' Yes': -11.137086, ' NO': -11.9728565}
{' No': -0.0042716507, ' ': -10.267074, 'No': -5.468507, ' Yes': -12.09586, ' NO': -13.239284}
{' No': -0.021784153, ' ': -9.136627, 'No': -3.8456252, ' Yes': -9.825558, ' NO': -12.543572}
{' No': -0.0187663, ' ': -8.489395, 'No': -4.095899, ' Yes': -6.3740764, 'Yes': -10.950733}
{' No': -0.00081311085, ' ': -9.03706, 'No': -7.5001817, ' Yes': -9.032231, ' no': -11.564703}
{' No': -0.004348574, ' ': -9.157487, 'No': -5.5140624, ' Yes': -8.567611, ' no': -12.583526}
{' No': -0.005119931, '\n': -10.119795, ' ': -8.05918, 'No': -5.587467, ' Yes': -6.923718}
{' No': -0.0015443093, '\n': -12.175666, ' ': -9.217938, 'No': -6.5701017, ' Yes': -10.384627}
{' No': -0.0064496947, '\n': -10.79999, ' ': -8.008693, 'No': -5.1285963, ' Yes': -8.872533}
{' No': -0.0060766833, '\n': -9.416656, ' ': -7.7039886, 'No': -5.349855, ' Yes': -7.221227}
{' No': -0.0100121135, ' ': -9.333742, 'No': -4.6318364, ' Yes': -9.414055, ' no': -10.569465}
{' No': -0.01149069, ' ': -10.628538, 'No': -4.4936376, ' Yes': -8.455862, 'Yes': -12.841263}
{' No': -0.019346539, ' ': -8.798908, 'No': -4.023915, ' Yes': -6.839889, 'Yes': -10.733268}
{' No': -0.008098906, ' ': -9.278798, 'No': -4.9863358, ' Yes': -6.796692, 'Yes': -11.613263}
{' No': -0.025772335, ' ': -8.672944, 'No': -3.7089427, ' Yes': -7.235765, 'Yes': -11.073824}
{' No': -0.057519443, ' ': -7.741203, 'No': -2.9978418, ' Yes': -5.257337, 'Yes': -8.669756}
{' No': -0.0019405999, ' ': -7.8630853, 'No': -6.66486, ' Yes': -9.0980015, ' no': -8.868061}
{' No': -0.0077722715, ' ': -8.010982, 'No': -4.9219623, ' Yes': -9.501601, ' no': -10.382474}
{' No': -0.0094594695, '\n': -9.238444, ' ': -7.167683, 'No': -4.795533, ' Yes': -8.323388}
{' No': -0.004817186, ' ': -7.589907, 'No': -5.490794, ' Yes': -9.814637, ' no': -9.461131}
{' No': -0.00689222, '\n': -9.6078005, ' ': -7.491696, 'No': -5.08879, ' Yes': -9.757009}
{' No': -0.013303554, ' ': -6.383245, 'No': -4.599994, ' Yes': -7.4464602, ' no': -7.558483}
{' No': -0.0010601055, '\n': -11.435426, ' ': -8.681338, 'No': -7.619294, ' Yes': -7.877097}
{' No': -0.0029457847, '\n': -11.682422, ' ': -8.202403, 'No': -5.956578, ' Yes': -9.724728}
{' No': -0.005272175, '\n': -8.833057, ' ': -7.4220066, 'No': -5.5566344, ' Yes': -7.3657055}
{' No': -0.001633204, '\n': -11.238943, ' ': -8.0475025, 'No': -6.7316456, ' Yes': -9.279062}
{' No': -0.009321566, '\n': -8.814295, ' ': -7.0221806, 'No': -4.930153, ' Yes': -6.921304}
{' No': -0.002478588, '\n': -10.791348, ' ': -8.005309, 'No': -6.3296437, ' Yes': -8.03206}
{' YES': -11.872468, ' ': -11.364637, ' Yes': -0.0041973647, ' yes': -10.041714, 'Yes': -5.4910364}
{' YES': -11.235858, ' ': -10.786284, ' Yes': -0.009389916, ' yes': -9.640397, 'Yes': -4.6840935}
{' YES': -10.758225, ' ': -10.52473, ' Yes': -0.013425154, ' yes': -9.498527, 'Yes': -4.3272295}
{' YES': -11.923526, ' ': -11.682957, ' Yes': -0.005057984, ' yes': -10.081025, 'Yes': -5.301229}
{' YES': -11.456831, ' ': -10.851296, ' Yes': -0.014627252, ' yes': -9.750049, 'Yes': -4.238931}
{' YES': -11.480952, ' ': -10.499162, ' Yes': -0.010328358, ' yes': -9.0278, 'Yes': -4.5942593}
{' YES': -11.491442, ' ': -10.716556, ' Yes': -0.00078895374, ' yes': -9.218125, 'Yes': -7.3341074}
{' YES': -11.16263, ' ': -10.192279, ' Yes': -0.005195242, ' yes': -9.36131, 'Yes': -5.291618}
{'\n': -10.40378, ' ': -9.473393, ' Yes': -0.0049000196, ' yes': -8.936589, 'Yes': -5.3766594}
{' YES': -11.76335, ' ': -11.209212, ' Yes': -0.0015237144, ' yes': -9.710888, 'Yes': -6.545229}
{'\n': -10.369433, ' ': -8.965581, ' Yes': -0.008089953, ' yes': -9.560558, 'Yes': -4.8531976}
{'\n': -9.57893, ' ': -8.900211, ' Yes': -0.007499954, ' yes': -7.76658, 'Yes': -4.992218}
{' YES': -10.5617075, ' ': -10.678477, ' Yes': -0.010032164, ' yes': -7.9433017, 'Yes': -4.6505785}
{' ': -12.481765, ' Yes': -0.012678457, ' yes': -10.027576, 'Yes': -4.378687, 'yes': -12.129237}
{' YES': -10.363931, ' ': -10.270843, ' Yes': -0.020391218, ' yes': -8.124221, 'Yes': -3.9222846}
{' YES': -11.553957, ' ': -10.997445, ' Yes': -0.0075143673, ' yes': -8.901683, 'Yes': -4.917953}
{' ': -9.950293, ' Yes': -0.017531255, ' yes': -8.846523, 'Yes': -4.065743, 'yes': -10.960254}
{' ': -9.295711, ' Yes': -0.03760862, ' yes': -6.853832, 'Yes': -3.3346782, 'yes': -9.337476}
{' YES': -10.645003, ' ': -9.164666, ' Yes': -0.0040979483, ' yes': -6.642598, 'Yes': -5.9439306}
{' ': -8.844343, ' Yes': -0.015178278, ' yes': -7.063455, 'Yes': -4.272123, 'yes': -9.726779}
{'\n': -9.258576, ' ': -8.472965, ' Yes': -0.013581506, ' yes': -7.6979795, 'Yes': -4.368352}
{' ': -9.182765, ' Yes': -0.007421166, ' yes': -6.64277, 'Yes': -5.1358237, 'yes': -9.859349}
{'\n': -9.080118, ' ': -8.141257, ' Yes': -0.015663188, ' yes': -8.132949, 'Yes': -4.214334}
{'\n': -8.43442, ' ': -7.8036976, ' Yes': -0.022679428, ' yes': -5.008048, 'Yes': -4.210059}
{' YES': -11.437995, ' ': -10.265176, ' Yes': -0.0009116053, ' yes': -9.759129, 'Yes': -7.1330776}
{'\n': -10.785201, ' ': -9.367631, ' Yes': -0.005656576, ' yes': -9.428758, 'Yes': -5.2157817}
{'\n': -8.881354, ' ': -8.729362, ' Yes': -0.006204365, ' yes': -9.277898, 'Yes': -5.156574}
