{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{'\n': -10.694333, ' ': -9.401275, ' Yes': -0.008450673, ' yes': -9.687741, 'Yes': -4.799201}
{'\n': -11.836212, ' ': -10.714075, ' Yes': -0.0029450085, ' yes': -9.178156, 'Yes': -5.8779182}
{' No': -11.461027, ' ': -12.192539, ' Yes': -0.002253942, ' yes': -10.063788, 'Yes': -6.123664}
{' YES': -11.952329, ' ': -11.457046, ' Yes': -0.008796365, ' yes': -9.114436, 'Yes': -4.7535334}
{' ': -11.35696, ' Yes': -0.014641707, ' yes': -9.154046, 'Yes': -4.24047, 'yes': -11.897253}
{' YES': -12.927504, ' ': -12.308526, ' Yes': -0.0034877872, ' yes': -10.013537, 'Yes': -5.676175}
{' No': -11.229745, ' ': -10.837154, ' Yes': -0.013339796, ' yes': -9.212813, 'Yes': -4.3348136}
{' ': -10.690952, ' Yes': -0.0088337045, ' yes': -8.221374, 'Yes': -4.7694993, 'yes': -11.608162}
{' YES': -13.097173, ' ': -11.882828, ' Yes': -0.0005973695, ' yes': -9.410776, 'Yes': -7.5923996}
{' ': -10.948536, ' Yes': -0.0045418963, ' yes': -9.194912, 'Yes': -5.4256024, 'yes': -12.29538}
{'\n': -11.972169, ' ': -10.085944, ' Yes': -0.0059102857, ' yes': -9.084167, 'Yes': -5.163726}
{' YES': -12.982183, ' ': -11.860807, ' Yes': -0.001212212, ' yes': -9.706903, 'Yes': -6.7777615}
{'\n': -10.962465, ' ': -9.042969, ' Yes': -0.0062291357, ' yes': -9.312708, 'Yes': -5.120729}
{'\n': -10.477529, ' ': -9.259343, ' Yes': -0.0059420625, ' yes': -7.363614, 'Yes': -5.272864}
{' No': -10.259599, ' Yes': -0.012841638, ' yes': -6.9335356, 'Yes': -4.4507117, 'yes': -10.097703}
{' YES': -13.035343, ' Yes': -0.012490737, ' yes': -8.906154, 'Yes': -4.401344, 'yes': -11.296446}
{' ': -10.541784, ' Yes': -0.02740359, ' yes': -6.9357476, 'Yes': -3.6517513, 'yes': -9.639719}
{' ': -11.680005, ' Yes': -0.0064955275, ' yes': -7.9807096, 'Yes': -5.099419, 'yes': -11.195722}
{' ': -10.400965, ' Yes': -0.027017418, ' yes': -7.4374447, 'Yes': -3.6509416, 'yes': -9.817334}
{' ': -10.1827, ' Yes': -0.024343856, ' yes': -5.8900356, 'Yes': -3.8581352, 'yes': -9.122187}
{' ': -10.481757, ' Yes': -0.0025692962, ' yes': -6.6223154, 'Yes': -6.736671, 'yes': -11.284691}
{' ': -10.176803, ' Yes': -0.008067124, ' yes': -7.1241136, 'Yes': -4.9404764, 'yes': -10.40886}
{' ': -9.3439045, ' Yes': -0.009148315, ' yes': -7.7742105, 'Yes': -4.7604775, 'yes': -10.85244}
{' ': -9.699256, ' Yes': -0.005755965, ' yes': -6.3739047, 'Yes': -5.5454946, 'yes': -9.887744}
{'\n': -9.385508, ' ': -8.07272, ' Yes': -0.011835567, ' yes': -7.2301693, 'Yes': -4.5474477}
{' ': -8.351546, ' Yes': -0.01825056, ' yes': -4.800767, 'Yes': -4.6745253, 'yes': -8.625144}
{'\n': -12.676515, ' ': -11.222013, ' Yes': -0.00063762726, ' yes': -9.82884, 'Yes': -7.4800973}
{'\n': -12.195132, ' ': -9.925149, ' Yes': -0.0044112536, ' yes': -9.238462, 'Yes': -5.463056}
{'\n': -10.315164, ' ': -9.340097, ' Yes': -0.006033328, ' yes': -9.255398, 'Yes': -5.1520905}
{' YES': -12.442383, ' ': -10.194069, ' Yes': -0.0012940904, ' yes': -9.467732, 'Yes': -6.7518125}
{'\n': -9.301078, ' ': -8.103097, ' Yes': -0.00831898, ' yes': -9.319641, 'Yes': -4.8552713}
{'\n': -11.242136, ' ': -10.024829, ' Yes': -0.0018712055, ' yes': -8.933113, 'Yes': -6.3919425}
{' No': -0.006480411, ' ': -10.497966, 'No': -5.0471163, ' no': -13.534389, ' NO': -13.715454}
{' No': -0.017267425, ' ': -10.354672, 'No': -4.069845, ' no': -13.064322, ' NO': -12.615641}
{' No': -0.03326054, ' ': -9.564574, 'No': -3.4223998, ' no': -13.06682, ' NO': -12.565608}
{' No': -0.0070019965, ' ': -10.8682995, 'No': -4.968235, ' no': -13.648778, ' NO': -13.756648}
{' No': -0.044821505, '\n': -12.217643, ' ': -9.076698, 'No': -3.1304538, ' no': -12.3668375}
{' No': -0.024196438, ' x': -12.087572, ' ': -8.911021, 'No': -3.740913, ' no': -11.33634}
{' No': -0.0011070643, '\n': -13.470323, ' ': -10.323843, 'No': -6.8419538, ' no': -13.023098}
{' No': -0.006918629, '\n': -13.10496, ' ': -9.766138, 'No': -4.9865823, ' no': -12.889783}
{' No': -0.006922408, '\n': -11.136842, ' ': -9.154599, 'No': -4.9952226, ' no': -12.847451}
{' No': -0.0024025845, '\n': -13.227672, ' ': -10.35501, 'No': -6.0476923, ' no': -13.597621}
{' No': -0.009007026, '\n': -10.214991, ' ': -8.284636, 'No': -4.7483163, ' no': -12.623124}
{' No': -0.008552803, '\n': -9.977404, ' ': -8.832209, 'No': -4.7914414, ' no': -11.187087}
{' No': -0.029124646, ' ': -9.59256, 'No': -3.556127, ' no': -9.699117, ' NO': -11.492124}
{' No': -0.02589105, ' ': -11.141039, 'No': -3.667683, 'no': -13.060359, ' no': -12.368812}
{' No': -0.07729406, ' ': -8.985567, 'No': -2.6011627, 'no': -11.086341, ' no': -10.545144}
{' No': -0.016823862, ' ': -10.040796, 'No': -4.097934, ' no': -10.8396015, ' NO': -12.089951}
{' No': -0.07457492, '\n': -11.032576, ' ': -8.605345, 'No': -2.6367257, ' no': -10.513062}
{' No': -0.08058757, ' x': -9.634841, ' ': -8.333069, 'No': -2.5677302, ' no': -8.3920765}
{' No': -0.00207014, '\n': -11.494247, ' ': -8.859026, 'No': -6.283369, ' no': -10.072622}
{' No': -0.011265458, '\n': -12.209986, ' ': -8.988979, 'No': -4.505955, ' no': -10.783453}
{' No': -0.016419154, '\n': -9.8771, ' ': -8.100199, 'No': -4.140898, ' no': -11.535007}
{' No': -0.0068724756, '\n': -11.254757, ' ': -8.455885, 'No': -5.028118, ' no': -9.738871}
{' No': -0.01633857, '\n': -8.761996, ' ': -7.4104366, 'No': -4.1731687, ' no': -10.605183}
{' No': -0.017196171, '\n': -8.553461, ' ': -7.4703946, 'No': -4.145231, ' no': -7.8110538}
{' No': -0.0012800678, '\n': -12.210344, ' ': -9.5117855, 'No': -6.7292614, ' no': -12.896797}
{' No': -0.0075766454, '\n': -11.723487, ' ': -8.740858, 'No': -4.910353, ' no': -12.428888}
{' No': -0.009367832, '\n': -9.3575535, ' ': -8.187147, 'No': -4.716155, ' NO': -12.704064}
{' No': -0.003226318, '\n': -11.735874, ' ': -8.83288, 'No': -5.7898197, ' NO': -12.550848}
{' No': -0.010682957, '\n': -9.3209305, ' ': -7.7009444, 'No': -4.597917, ' NO': -12.604344}
{' No': -0.004120395, '\n': -11.075611, ' ': -8.727671, 'No': -5.5406723, ' no': -11.974058}
{' No': -0.0055040936, ' ': -10.483809, 'No': -5.471076, ' Yes': -6.6883936, 'Yes': -12.028955}
{' No': -0.022332253, ' ': -9.514581, 'No': -4.1205645, ' Yes': -5.1685762, 'Yes': -9.517883}
{' No': -0.03123643, ' ': -8.995006, 'No': -3.7484968, ' Yes': -4.9710174, 'Yes': -8.948354}
{' No': -0.010384307, ' ': -10.49801, 'No': -5.326037, ' Yes': -5.2198224, 'Yes': -10.502064}
{' No': -0.06457574, ' ': -8.925653, 'No': -3.7450624, ' Yes': -3.2654748, 'Yes': -7.464085}
{' No': -0.7040952, ' ': -8.048739, 'No': -4.853826, ' Yes': -0.70617616, 'Yes': -5.622213}
{' No': -0.94060946, ' ': -8.541667, 'No': -8.473747, ' Yes': -0.49641275, 'Yes': -7.8483853}
{' No': -0.49876982, ' ': -8.145867, 'No': -5.745685, ' Yes': -0.948412, 'Yes': -6.3136153}
{' No': -1.0535282, ' ': -7.3066254, 'No': -6.4858036, ' Yes': -0.4374431, 'Yes': -5.738703}
{' No': -0.446721, ' ': -8.7362385, 'No': -7.174134, ' Yes': -1.0248383, 'Yes': -7.6903424}
{' No': -1.0303669, ' ': -6.796259, 'No': -6.1139045, ' Yes': -0.45230108, 'Yes': -5.6750445}
{' No': -2.4356937, ' ': -7.5410433, 'No': -7.5310855, ' Yes': -0.097595364, 'Yes': -5.5732436}
{' No': -0.025089284, ' ': -8.90316, 'No': -4.188604, ' Yes': -4.677673, 'Yes': -9.123499}
{' No': -0.13856643, ' ': -9.869504, 'No': -4.272075, ' Yes': -2.1701179, 'Yes': -6.727071}
{' No': -2.3708863, 'No': -6.0012226, ' Yes': -0.119371936, ' yes': -7.649972, 'Yes': -4.1417146}
{' No': -2.2896554, 'No': -7.149364, ' Yes': -0.112933755, ' yes': -8.412372, 'Yes': -5.429456}
{' No': -4.9557776, 'No': -7.972704, ' Yes': -0.03150895, ' yes': -7.901489, 'Yes': -3.7676597}
{' No': -1.8903584, 'No': -4.892466, ' Yes': -0.19289272, ' yes': -6.9784794, 'Yes': -4.1693597}
{' No': -0.1791199, ' ': -7.159032, 'No': -6.979081, ' Yes': -1.8218504, 'Yes': -8.350643}
{' No': -0.1321584, ' ': -7.2823906, 'No': -4.895998, ' Yes': -2.1667595, 'Yes': -6.971922}
{' No': -1.5201288, ' ': -6.5189953, 'No': -6.4019895, ' Yes': -0.25858754, 'Yes': -5.1781297}
{' No': -0.20459582, ' ': -6.986103, 'No': -5.688751, ' Yes': -1.7165815, 'Yes': -7.177416}
{' No': -0.14181902, ' ': -6.0585175, 'No': -4.90802, ' Yes': -2.1119347, 'Yes': -6.7813187}
{' No': -0.21332689, ' ': -6.057376, 'No': -4.8928924, ' Yes': -1.7208037, 'Yes': -6.55881}
{' No': -0.9913616, ' ': -7.8393493, 'No': -8.692564, ' Yes': -0.46529582, 'Yes': -8.011286}
{' No': -0.41732368, ' ': -7.4361415, 'No': -5.9069853, ' Yes': -1.0891529, 'Yes': -6.631137}
{' No': -2.961886, ' ': -7.3791356, 'No': -8.115579, ' Yes': -0.059300255, 'Yes': -5.3542676}
{' No': -1.2660782, ' ': -7.5567307, 'No': -8.156156, ' Yes': -0.33345526, 'Yes': -7.214035}
{' No': -4.02178, ' ': -7.1070557, 'No': -8.909556, ' Yes': -0.024814656, 'Yes': -5.212698}
{' No': -4.56413, ' ': -8.087195, ' Yes': -0.0126314955, ' yes': -8.621124, 'Yes': -6.445578}
{' YES': -11.92856, ' ': -12.160585, ' Yes': -0.00446807, ' yes': -10.070455, 'Yes': -5.425988}
{' YES': -10.91207, ' ': -11.254759, ' Yes': -0.012503896, ' yes': -9.255376, 'Yes': -4.399291}
{' YES': -10.844402, ' ': -11.01263, ' Yes': -0.016701125, ' yes': -9.26628, 'Yes': -4.1094017}
{' YES': -11.835813, ' ': -12.345495, ' Yes': -0.004897624, ' yes': -10.18426, 'Yes': -5.3322825}
{' ': -11.210602, ' Yes': -0.014439231, ' yes': -9.686615, 'Yes': -4.251803, 'yes': -11.328793}
{' YES': -11.328078, ' ': -10.534975, ' Yes': -0.008993674, ' yes': -8.7754, 'Yes': -4.738951}
{' YES': -11.652235, ' ': -11.583084, ' Yes': -0.0009633306, ' yes': -9.460642, 'Yes': -7.0543056}
{' YES': -11.283104, ' ': -10.586255, ' Yes': -0.0063104057, ' yes': -9.142961, 'Yes': -5.0940576}
{'\n': -10.727179, ' ': -9.80923, ' Yes': -0.005249287, ' yes': -9.015033, 'Yes': -5.295685}
{' YES': -11.963288, ' ': -11.955904, ' Yes': -0.0012657441, ' yes': -10.0035515, 'Yes': -6.721802}
{'\n': -10.897336, ' ': -9.127433, ' Yes': -0.00742531, ' yes': -9.383542, 'Yes': -4.9389815}
{' ': -9.380973, ' Yes': -0.0072508855, ' yes': -7.7908983, 'Yes': -5.014701, 'yes': -10.438185}
{' YES': -10.548096, ' Yes': -0.015581818, ' yes': -7.389786, 'Yes': -4.217728, 'yes': -9.763836}
{' YES': -12.316109, ' Yes': -0.016864415, ' yes': -9.3318615, 'Yes': -4.097757, 'yes': -11.026873}
{' ': -10.303121, ' Yes': -0.027032178, ' yes': -7.6741095, 'Yes': -3.6466115, 'yes': -9.774925}
{' YES': -11.36491, ' Yes': -0.007983304, ' yes': -8.559543, 'Yes': -4.8635645, 'yes': -11.097859}
{' ': -9.997204, ' Yes': -0.029680712, ' yes': -8.3037815, 'Yes': -3.5446799, 'yes': -9.851282}
{' ': -10.020495, ' Yes': -0.020250704, ' yes': -7.050518, 'Yes': -3.961363, 'yes': -9.620773}
{' ': -10.228078, ' Yes': -0.0033273823, ' yes': -7.0600877, 'Yes': -6.039273, 'yes': -10.79551}
{' ': -9.447028, ' Yes': -0.012162285, ' yes': -7.1168466, 'Yes': -4.5004125, 'yes': -9.740868}
{'\n': -10.698624, ' ': -9.225962, ' Yes': -0.007134058, ' yes': -8.430977, 'Yes': -5.0003533}
{' ': -9.666097, ' Yes': -0.0071545285, ' yes': -7.0291286, 'Yes': -5.1026287, 'yes': -9.785704}
{'\n': -9.457256, ' ': -8.347141, ' Yes': -0.011869947, ' yes': -8.285921, 'Yes': -4.4940743}
{' ': -8.351668, ' Yes': -0.019731158, ' yes': -5.23323, 'Yes': -4.301313, 'yes': -8.427392}
{' YES': -11.910565, ' ': -11.031931, ' Yes': -0.00072697556, ' yes': -10.246422, 'Yes': -7.3174915}
{' YES': -11.102762, ' ': -9.9039545, ' Yes': -0.005576435, ' yes': -9.460124, 'Yes': -5.221467}
{'\n': -10.527725, ' ': -9.856754, ' Yes': -0.0036095749, ' yes': -9.750774, 'Yes': -5.66836}
{' YES': -11.818125, ' ': -10.670682, ' Yes': -0.0011286073, ' yes': -10.172086, 'Yes': -6.8536043}
{'\n': -10.397967, ' ': -9.067292, ' Yes': -0.0069020633, ' yes': -9.851314, 'Yes': -5.0106077}
{'\n': -11.596162, ' ': -10.289521, ' Yes': -0.0024676519, ' yes': -9.50286, 'Yes': -6.057933}
{' No': -12.185446, ' ': -12.310308, ' Yes': -0.0020423073, ' yes': -9.862668, 'Yes': -6.22697}
{' YES': -11.867832, ' ': -11.753882, ' Yes': -0.0081541315, ' yes': -9.02726, 'Yes': -4.8310223}
{' YES': -11.932226, ' ': -11.493625, ' Yes': -0.014525584, ' yes': -9.295815, 'Yes': -4.247194}
{' YES': -13.003853, ' ': -12.601732, ' Yes': -0.0029925369, ' yes': -10.029995, 'Yes': -5.8310013}
{' ': -11.208242, ' Yes': -0.011096143, ' yes': -9.37513, 'Yes': -4.5172224, 'yes': -11.923011}
{' ': -10.771681, ' Yes': -0.009777828, ' yes': -8.389974, 'Yes': -4.6600823, 'yes': -11.69993}
{' YES': -13.055367, ' ': -12.113698, ' Yes': -0.000601784, ' yes': -9.465344, 'Yes': -7.5719748}
{' YES': -12.274138, ' ': -11.133369, ' Yes': -0.004148106, ' yes': -9.223534, 'Yes': -5.5176597}
{'\n': -12.219572, ' ': -10.543239, ' Yes': -0.0046320753, ' yes': -9.308944, 'Yes': -5.405488}
{' YES': -12.994273, ' ': -12.179869, ' Yes': -0.0010514549, ' yes': -9.7514515, 'Yes': -6.9244366}
{'\n': -11.022909, ' ': -9.387032, ' Yes': -0.006075605, ' yes': -9.36235, 'Yes': -5.1396637}
{'\n': -10.494153, ' ': -9.841841, ' Yes': -0.0046501565, ' yes': -7.56006, 'Yes': -5.51902}
{' ': -11.053044, ' Yes': -0.00907054, ' yes': -6.7838216, 'Yes': -4.8493204, 'yes': -10.387925}
{' YES': -13.063326, ' Yes': -0.009828931, ' yes': -8.826653, 'Yes': -4.6438203, 'yes': -11.640799}
{' ': -10.8101425, ' Yes': -0.019512331, ' yes': -7.3042865, 'Yes': -3.9854393, 'yes': -10.338868}
{' ': -11.987718, ' Yes': -0.0048483904, ' yes': -8.086502, 'Yes': -5.4025683, 'yes': -11.475484}
{' ': -10.580389, ' Yes': -0.023864856, ' yes': -7.547407, 'Yes': -3.7734356, 'yes': -10.045626}
{' ': -10.113399, ' Yes': -0.022089152, ' yes': -6.0371, 'Yes': -3.9474833, 'yes': -9.351372}
{' ': -10.733551, ' Yes': -0.002245341, ' yes': -6.7799296, 'Yes': -6.842825, 'yes': -11.4950485}
{' ': -10.397446, ' Yes': -0.0069277515, ' yes': -7.232189, 'Yes': -5.096504, 'yes': -10.630976}
{' ': -9.442557, ' Yes': -0.008206414, ' yes': -7.9497995, 'Yes': -4.865386, 'yes': -11.004304}
{' ': -9.896218, ' Yes': -0.005206145, ' yes': -6.544489, 'Yes': -5.614298, 'yes': -10.027082}
{' ': -8.724644, ' Yes': -0.009127382, ' yes': -7.654509, 'Yes': -4.7806573, 'yes': -10.579861}
{' ': -8.535577, ' Yes': -0.016270775, ' yes': -4.8325357, 'Yes': -4.8635416, 'yes': -8.793841}
{'\n': -12.66315, ' ': -11.14138, ' Yes': -0.00063005235, ' yes': -9.675828, 'Yes': -7.512484}
{' YES': -12.23679, ' ': -10.075199, ' Yes': -0.003906931, ' yes': -9.312299, 'Yes': -5.5849633}
{'\n': -10.363894, ' ': -9.463178, ' Yes': -0.0058217924, ' yes': -9.319901, 'Yes': -5.1856766}
{' YES': -12.45417, ' ': -10.44821, ' Yes': -0.0012517198, ' yes': -9.494415, 'Yes': -6.778397}
{'\n': -9.952829, ' ': -8.660628, ' Yes': -0.007280124, ' yes': -9.258335, 'Yes': -4.972196}
{'\n': -11.232201, ' ': -10.058885, ' Yes': -0.0016952358, ' yes': -8.96346, 'Yes': -6.4987783}
{' No': -0.006568483, ' ': -10.671952, 'No': -5.0329375, ' no': -13.473712, ' NO': -13.659493}
{' No': -0.020435506, ' ': -10.238144, 'No': -3.902853, ' no': -13.0791, ' NO': -12.427976}
{' No': -0.034168426, ' ': -9.779194, 'No': -3.3954449, ' no': -13.217107, ' NO': -12.449022}
{' No': -0.005432953, ' ': -11.292328, 'No': -5.2207227, ' no': -13.73094, ' NO': -14.051292}
{' No': -0.0333913, '\n': -12.486567, ' ': -9.296184, 'No': -3.419385, ' no': -12.491043}
{' No': -0.02371452, ' x': -12.279581, ' ': -9.025873, 'No': -3.7600214, ' no': -11.424337}
{' No': -0.0011159552, '\n': -13.367244, ' ': -10.511278, 'No': -6.827772, ' no': -13.231142}
{' No': -0.00772746, '\n': -12.691258, ' ': -9.639988, 'No': -4.876603, ' no': -12.909388}
{' No': -0.007058902, '\n': -11.071845, ' ': -9.248324, 'No': -4.9739966, ' no': -13.03403}
{' No': -0.002151015, '\n': -13.440024, ' ': -10.467311, 'No': -6.15813, ' no': -13.660462}
{' No': -0.009739187, '\n': -10.110426, ' ': -8.317728, 'No': -4.667534, ' no': -12.463182}
{' No': -0.0076714796, '\n': -10.065168, ' ': -9.001083, 'No': -4.8986206, ' no': -11.343554}
{' No': -0.025082318, ' ': -9.683912, 'No': -3.7032418, ' no': -10.04631, ' NO': -11.698542}
{' No': -0.02483885, ' ': -11.232297, 'No': -3.7086232, 'no': -13.07441, ' no': -12.401422}
{' No': -0.0625091, '\n': -11.394316, ' ': -9.150849, 'No': -2.806312, ' no': -10.751697}
{' No': -0.009427943, ' ': -10.546083, 'No': -4.67357, ' no': -11.388645, ' NO': -12.614879}
{' No': -0.08285205, '\n': -10.68423, ' ': -8.575825, 'No': -2.5356317, ' no': -10.169381}
{' No': -0.07244964, ' x': -9.176391, ' ': -8.295608, 'No': -2.6716185, ' no': -8.358938}
{' No': -0.0018330455, '\n': -11.696984, ' ': -8.946934, 'No': -6.4063034, ' no': -10.226592}
{' No': -0.0101313265, '\n': -11.903237, ' ': -8.79861, 'No': -4.616084, ' no': -10.710572}
{' No': -0.016925337, '\n': -9.820806, ' ': -8.0607195, 'No': -4.110986, ' no': -11.5661545}
{' No': -0.0060013067, '\n': -11.4093, ' ': -8.586118, 'No': -5.1628327, ' no': -9.923494}
{' No': -0.013640842, '\n': -9.371011, ' ': -7.765376, 'No': -4.3427367, ' no': -10.611075}
{' No': -0.014208798, '\n': -8.762227, ' ': -7.5978303, 'No': -4.337361, ' no': -7.968504}
{' No': -0.0011615454, '\n': -12.220468, ' ': -9.855574, 'No': -6.81324, ' no': -12.994142}
{' No': -0.0073616607, '\n': -11.555172, ' ': -8.782945, 'No': -4.9387503, ' NO': -12.609753}
{' No': -0.00990658, '\n': -9.099378, ' ': -8.1697035, 'No': -4.661466, ' NO': -12.729239}
{' No': -0.0025858511, '\n': -11.849312, ' ': -9.002826, 'No': -6.013446, ' NO': -12.771154}
{' No': -0.010943249, '\n': -9.475983, ' ': -7.8898506, 'No': -4.564017, ' no': -12.4650955}
{' No': -0.0038011402, '\n': -10.966552, ' ': -8.83146, 'No': -5.6210685, ' no': -12.003416}
{' No': -0.00516828, ' ': -10.8414755, 'No': -5.274846, ' Yes': -11.284111, ' no': -13.482445}
{' No': -0.022111515, ' ': -10.330169, 'No': -3.8366902, ' Yes': -8.267543, 'Yes': -12.281256}
{' No': -0.032500256, ' ': -9.556992, 'No': -3.451661, ' Yes': -8.530602, 'Yes': -12.1570015}
{' No': -0.0078179855, ' ': -11.065402, 'No': -4.8607497, ' Yes': -10.712953, ' NO': -13.227597}
{' No': -0.026782295, ' ': -9.643125, 'No': -3.6615078, ' Yes': -7.3480325, 'Yes': -11.356237}
{' No': -0.029621463, ' ': -8.51376, 'No': -3.9077225, ' Yes': -4.7362766, 'Yes': -9.346092}
{' No': -0.004757773, ' ': -9.808116, 'No': -7.142905, ' Yes': -5.5503182, 'Yes': -12.238546}
{' No': -0.0076267943, ' ': -9.49105, 'No': -5.0368357, ' Yes': -6.899056, 'Yes': -11.724982}
{' No': -0.0059493203, '\n': -10.998463, ' ': -8.872196, 'No': -5.2432637, ' Yes': -7.640419}
{' No': -0.0017195947, ' ': -10.01242, 'No': -6.5285916, ' Yes': -8.483596, ' NO': -13.361843}
{' No': -0.0076331603, '\n': -10.645487, ' ': -8.548976, 'No': -4.950929, ' Yes': -8.11128}
{' No': -0.014371806, '\n': -9.303214, ' ': -8.026099, 'No': -4.9365306, ' Yes': -5.022184}
{' No': -0.021221802, ' ': -9.298641, 'No': -3.9341626, ' Yes': -6.668614, ' no': -10.369797}
{' No': -0.020693116, ' ': -11.170691, 'No': -3.9173644, ' Yes': -7.495085, 'Yes': -11.669799}
{' No': -0.05168801, ' ': -8.802959, 'No': -3.6208062, ' Yes': -3.7758987, 'Yes': -7.6144085}
{' No': -0.01515268, ' ': -9.933783, 'No': -4.763182, ' Yes': -5.0542016, 'Yes': -9.94261}
{' No': -1.0873861, 'No': -4.1656404, ' Yes': -0.46148196, ' yes': -8.008163, 'Yes': -4.1186533}
{' No': -0.17438515, ' ': -7.8954763, 'No': -3.1738987, ' Yes': -2.1613731, 'Yes': -6.071985}
{' No': -0.0025035662, ' ': -8.504205, 'No': -6.661702, ' Yes': -6.963439, ' no': -9.801318}
{' No': -0.009890449, ' ': -8.356269, 'No': -4.7005777, ' Yes': -7.663628, ' no': -10.576783}
{' No': -0.009254008, '\n': -10.041402, ' ': -7.768489, 'No': -4.9042196, ' Yes': -6.645049}
{' No': -0.0050200615, ' ': -8.279234, 'No': -5.4073043, ' Yes': -8.44396, ' no': -10.400753}
{' No': -0.010768571, '\n': -9.897423, ' ': -7.619029, 'No': -4.6334515, ' Yes': -7.760671}
{' No': -0.010671272, ' ': -7.2876673, 'No': -4.708362, ' Yes': -7.6000395, ' no': -8.231583}
{' No': -0.0017135639, '\n': -11.830974, ' ': -9.202308, 'No': -7.4508576, ' Yes': -6.8905835}
{' No': -0.0055612717, '\n': -12.271228, ' ': -8.898351, 'No': -5.2887506, ' Yes': -7.965134}
{' No': -0.004773524, '\n': -9.915418, ' ': -8.414187, 'No': -5.5732985, ' Yes': -7.287942}
{' No': -0.002136024, '\n': -12.064827, ' ': -8.753785, 'No': -6.6542563, ' Yes': -7.3013167}
{' No': -0.013513659, '\n': -8.993414, ' ': -7.24509, 'No': -4.7092476, ' Yes': -5.6480255}
{' No': -0.0045075887, '\n': -10.908262, ' ': -8.370387, 'No': -5.8712735, ' Yes': -6.5599055}
{' YES': -11.912425, ' ': -12.402719, ' Yes': -0.0040513286, ' yes': -9.996347, 'Yes': -5.5255013}
{' YES': -11.178047, ' ': -11.433239, ' Yes': -0.012856188, ' yes': -9.182022, 'Yes': -4.371304}
{' YES': -11.061982, ' ': -11.302574, ' Yes': -0.016604641, ' yes': -9.353936, 'Yes': -4.1139803}
{' YES': -11.948631, ' ': -12.429319, ' Yes': -0.00478706, ' yes': -10.128673, 'Yes': -5.355407}
{' ': -11.331476, ' Yes': -0.015779035, ' yes': -9.502412, 'Yes': -4.1638083, 'yes': -11.387056}
{' YES': -11.621717, ' ': -10.646889, ' Yes': -0.008118079, ' yes': -8.848713, 'Yes': -4.840983}
{' YES': -11.812281, ' ': -11.715199, ' Yes': -0.00093803304, ' yes': -9.386319, 'Yes': -7.088304}
{' YES': -11.551871, ' ': -10.905555, ' Yes': -0.0057084872, ' yes': -9.149238, 'Yes': -5.1948752}
{'\n': -10.275967, ' ': -9.593758, ' Yes': -0.006321923, ' yes': -8.932798, 'Yes': -5.108695}
{' YES': -12.010653, ' ': -11.843095, ' Yes': -0.0013704271, ' yes': -9.932406, 'Yes': -6.641511}
{'\n': -10.128782, ' ': -9.017942, ' Yes': -0.008656088, ' yes': -9.2872505, 'Yes': -4.786473}
{'\n': -9.9225645, ' ': -9.288787, ' Yes': -0.0085056145, ' yes': -7.653624, 'Yes': -4.8542123}
{' YES': -10.794459, ' Yes': -0.014408026, ' yes': -7.6103954, 'Yes': -4.288318, 'yes': -10.171061}
{' YES': -12.3607025, ' Yes': -0.015039163, ' yes': -9.33821, 'Yes': -4.21182, 'yes': -11.353982}
{' ': -10.527304, ' Yes': -0.023189945, ' yes': -8.055149, 'Yes': -3.793339, 'yes': -10.320297}
{' YES': -11.6156645, ' Yes': -0.008077037, ' yes': -8.659764, 'Yes': -4.848094, 'yes': -11.367601}
{' ': -10.356192, ' Yes': -0.025116296, ' yes': -8.397322, 'Yes': -3.7093906, 'yes': -10.196373}
{' ': -10.1058035, ' Yes': -0.0238018, ' yes': -7.108623, 'Yes': -3.7911031, 'yes': -9.738726}
{' ': -10.151234, ' Yes': -0.003513568, ' yes': -7.0364003, 'Yes': -5.9710426, 'yes': -10.969088}
{' ': -9.161915, ' Yes': -0.0149432, ' yes': -6.924853, 'Yes': -4.2951612, 'yes': -9.606578}
