{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.013105813, 'Yes': -4.692414, ' No': -5.846411, ' yes': -7.099634, 'No': -9.796646}
{' Yes': -0.0625353, 'Yes': -2.8159854, ' yes': -7.7341256, ' No': -8.87219, ' ': -9.708899}
{' Yes': -0.05997893, 'Yes': -2.86673, ' yes': -7.0666847, ' No': -8.43145, 'yes': -9.156881}
{' Yes': -0.051605035, 'Yes': -3.0498424, ' yes': -5.9561815, 'yes': -8.871329, ' YES': -9.547259}
{' Yes': -0.049784888, 'Yes': -3.14198, ' yes': -5.4238596, ' No': -7.7589674, 'yes': -8.443372}
{' Yes': -0.0031897821, 'Yes': -6.139002, ' yes': -6.9689317, ' ': -10.203209, ' YES': -10.5845175}
{' Yes': -0.0047908328, 'Yes': -6.0366683, ' yes': -6.23936, ' No': -8.246182, ' ': -8.909341}
{' Yes': -0.011903304, 'Yes': -4.5191073, ' yes': -7.2995825, ' ': -9.169931, ' No': -9.704297}
{' Yes': -0.015721736, 'Yes': -4.348661, ' yes': -6.6764064, ' No': -6.7771583, ' ': -8.645297}
{' Yes': -0.011622441, 'Yes': -4.5123987, ' yes': -8.013438, ' ': -8.876752, ' No': -10.288444}
{' Yes': -0.016496893, 'Yes': -4.2950573, ' No': -6.290488, ' yes': -7.8064384, ' ': -7.945717}
{' Yes': -0.003997648, 'Yes': -5.743789, ' yes': -7.4688735, ' No': -8.920797, ' ': -10.033017}
{' Yes': -0.020501697, ' No': -4.2639823, 'Yes': -5.447631, ' yes': -6.696952, ' ': -7.5951586}
{' Yes': -0.013916348, 'Yes': -4.368534, ' ': -7.6438293, ' yes': -8.14957, ' No': -8.258768}
{' Yes': -0.018457517, 'Yes': -4.0888157, ' ': -7.4549217, ' yes': -7.812145, ' No': -7.877062}
{' Yes': -0.012002473, 'Yes': -4.7877536, ' yes': -5.8154025, ' ': -8.260689, '\n': -8.905489}
{' Yes': -0.024544623, 'Yes': -4.354411, ' yes': -4.961005, ' No': -5.913012, ' ': -6.805605}
{' Yes': -0.0020920613, 'Yes': -6.289167, ' yes': -8.90474, ' ': -9.995738, '\n': -10.796121}
{' Yes': -0.0024500256, 'Yes': -6.2502775, ' No': -8.456716, ' yes': -8.652572, ' ': -9.249834}
{' Yes': -0.008010223, 'Yes': -4.8782473, ' yes': -8.755757, ' ': -9.140883, ' No': -9.814083}
{' Yes': -0.00950081, 'Yes': -4.848988, ' No': -6.810863, ' ': -8.194481, ' yes': -8.613331}
{' Yes': -0.009072465, 'Yes': -4.792989, ' ': -8.199349, ' No': -8.531968, '\n': -8.970131}
{' Yes': -0.014040015, 'Yes': -4.608358, ' No': -5.793802, ' ': -7.519447, '\n': -8.746313}
{' Yes': -0.0025673832, 'Yes': -6.5883255, ' No': -6.9419894, ' ': -9.1736, ' yes': -9.329294}
{' Yes': -0.006940895, ' No': -5.435503, 'Yes': -6.20261, ' ': -7.915568, ' yes': -9.047092}
{' Yes': -0.014072598, 'Yes': -4.3609333, ' ': -7.399704, '\n': -8.42276, ' No': -8.510313}
{' Yes': -0.021391015, 'Yes': -4.528908, ' No': -4.8106823, ' ': -6.471572, '\n': -7.9173503}
{' Yes': -0.0036160958, 'Yes': -5.7067065, ' yes': -8.722475, ' ': -9.5660305, '\n': -10.464319}
{' Yes': -0.0059993905, 'Yes': -5.6496887, ' No': -6.460741, ' ': -7.6568794, ' yes': -8.121852}
{' No': -0.010849971, 'No': -4.5324926, ' ': -10.549371, ' NO': -12.157608, ' no': -13.0295725}
{' No': -0.011636793, 'No': -4.4626656, ' ': -10.469508, ' NO': -12.494771, ' no': -12.793798}
{' No': -0.058859713, 'No': -2.86398, ' ': -9.766091, ' NO': -10.027418, ' no': -11.718844}
{' No': -0.040261284, 'No': -3.2344406, ' ': -10.0157995, ' NO': -11.03432, ' no': -11.40256}
{' No': -0.061591264, 'No': -2.8198385, ' ': -9.529434, ' NO': -10.363388, ' no': -12.419118}
{' No': -0.045017827, 'No': -3.1255991, ' ': -9.480276, ' NO': -11.052208, ' no': -11.750876}
{' No': -0.014768668, 'No': -4.225075, ' ': -10.703831, ' NO': -11.692464, ' no': -12.796618}
{' No': -0.017655855, 'No': -4.0478487, ' ': -10.454839, ' NO': -12.163819, ' no': -12.229069}
{' No': -0.09086518, 'No': -2.4460936, ' ': -8.876842, ' NO': -10.38574, ' Yes': -10.922124}
{' No': -0.048622563, 'No': -3.0507894, ' ': -9.25915, ' NO': -11.413294, ' no': -11.653574}
{' No': -0.042312898, 'No': -3.189428, ' ': -8.842157, ' NO': -10.405747, ' no': -10.689343}
{' No': -0.040900018, 'No': -3.2257297, ' ': -8.566416, ' X': -9.878659, ' no': -10.108502}
{' No': -0.001463604, 'No': -6.5518975, ' ': -10.563117, ' NO': -12.228193, ' no': -13.0999155}
{' No': -0.0022675034, 'No': -6.1125617, ' ': -10.189237, ' no': -12.116552, ' NO': -12.518663}
{' No': -0.014200819, 'No': -4.269463, ' ': -9.323769, ' NO': -11.46347, ' no': -12.438414}
{' No': -0.01398217, 'No': -4.2867675, ' ': -9.149726, ' NO': -11.455749, ' no': -11.702642}
{' No': -0.012563468, 'No': -4.398351, ' ': -8.864406, '\n': -10.707185, ' NO': -11.081687}
{' No': -0.013538549, 'No': -4.324806, ' ': -8.7097845, '\n': -10.8244505, ' NO': -11.389015}
{' No': -0.0025005778, 'No': -6.0035033, ' ': -10.896948, ' NO': -12.111833, ' no': -13.380658}
{' No': -0.0028911487, 'No': -5.8679876, ' ': -9.978875, ' NO': -12.278503, ' no': -12.570619}
{' No': -0.01714554, 'No': -4.0987053, ' ': -8.098234, '\n': -9.593567, ' NO': -10.810223}
{' No': -0.012061169, 'No': -4.441062, ' ': -8.719494, '\n': -10.698932, ' NO': -11.66313}
{' No': -0.008774838, 'No': -4.7617826, ' ': -9.142638, '\n': -9.898431, ' NO': -11.185842}
{' No': -0.010128918, 'No': -4.632239, ' ': -8.491798, '\n': -9.544777, ' no': -10.157598}
{' No': -0.032143194, 'No': -3.4581263, ' ': -9.542887, ' NO': -10.244477, ' no': -10.643912}
{' No': -0.04288308, 'No': -3.1778948, ' no': -8.844691, ' ': -9.518839, ' NO': -9.974902}
{' No': -0.09144204, 'No': -2.438873, ' ': -9.58312, ' NO': -10.826785, ' no': -11.169046}
{' No': -0.11946832, 'No': -2.18638, ' no': -9.399488, ' NO': -9.83591, ' ': -9.853924}
{' No': -0.21745469, 'No': -1.6366384, ' ': -7.9922824, ' NO': -8.403123, '\n': -9.479942}
{' No': -0.1609001, 'No': -1.9107075, ' ': -8.307679, ' no': -9.132583, ' NO': -9.324794}
{' No': -0.029051252, 'No': -3.5574877, ' ': -9.62451, ' NO': -10.462177, ' no': -10.819542}
{' No': -0.017062109, 'No': -4.0884957, ' ': -9.684745, ' no': -9.716098, ' NO': -10.909375}
{' No': -0.16091362, 'No': -1.9085732, ' ': -8.577141, ' NO': -9.832158, '\n': -10.395572}
{' No': -0.14310755, 'No': -2.018159, ' ': -8.678349, ' no': -9.597882, ' Yes': -9.646043}
{' No': -0.11878122, 'No': -2.1946173, ' ': -8.295398, ' no': -8.872081, ' NO': -9.421987}
{' No': -0.12145896, 'No': -2.1837108, ' no': -7.4526277, ' ': -8.049449, ' Yes': -8.138307}
{' No': -0.002619975, 'No': -6.045266, ' ': -8.589717, ' no': -10.26357, ' NO': -11.208915}
{' No': -0.002957562, 'No': -5.925639, ' ': -8.656775, ' no': -9.363872, '\n': -11.446009}
{' No': -0.01806034, 'No': -4.0404067, ' ': -8.309478, ' NO': -10.635592, ' no': -10.808349}
{' No': -0.021551479, 'No': -3.8634284, ' ': -8.381582, ' no': -9.738558, ' NO': -10.880442}
{' No': -0.015159941, 'No': -4.2220654, ' ': -8.186426, '\n': -9.73699, ' NO': -10.649008}
{' No': -0.021854393, 'No': -3.8482244, ' ': -8.362304, '\n': -10.403497, ' no': -11.079017}
{' No': -0.0043400144, 'No': -5.470696, ' ': -9.371612, ' no': -11.101875, ' NO': -11.389542}
{' No': -0.006511306, 'No': -5.0838313, ' ': -8.527673, ' no': -9.712443, '\n': -10.974008}
{' No': -0.014564593, 'No': -4.271124, ' ': -7.822457, '\n': -9.724401, ' NO': -11.061477}
{' No': -0.021573527, 'No': -3.8720658, ' ': -7.8336086, '\n': -9.392368, ' no': -10.603702}
{' No': -0.0119654955, 'No': -4.4758844, ' ': -8.29649, '\n': -9.133038, ' no': -9.184018}
{' No': -0.01989598, 'No': -4.0065846, ' ': -7.356472, ' no': -7.431851, '\n': -8.472802}
{' No': -0.0029191854, 'No': -5.896701, ' ': -8.990523, '\n': -10.547468, ' NO': -11.527049}
{' No': -0.002593321, 'No': -6.025426, ' ': -8.911094, '\n': -10.675019, ' NO': -11.823642}
{' No': -0.01608911, 'No': -4.157004, ' ': -8.292362, ' NO': -10.722401, '\n': -10.803036}
{' No': -0.013152617, 'No': -4.359426, ' ': -8.369752, '\n': -10.942934, ' NO': -10.997422}
{' No': -0.013611838, 'No': -4.33204, ' ': -8.281005, '\n': -9.185513, ' NO': -11.168633}
{' No': -0.015511411, 'No': -4.207005, ' ': -7.8610387, '\n': -9.282741, ' NO': -11.721218}
{' No': -0.002534938, 'No': -6.057878, ' ': -8.757611, ' NO': -10.968335, '\n': -11.262723}
{' No': -0.0037315562, 'No': -5.6621723, ' ': -8.429415, '\n': -11.270554, ' NO': -11.577227}
{' No': -0.019636268, 'No': -3.9951208, ' ': -7.287313, '\n': -8.045935, ' NO': -10.952917}
{' No': -0.014925717, 'No': -4.2583375, ' ': -7.591521, '\n': -8.855812, ' NO': -11.689151}
{' No': -0.006709067, 'No': -5.0345235, ' ': -8.91095, '\n': -10.528871, ' NO': -11.721938}
{' No': -0.0059376894, 'No': -5.186922, ' ': -8.298124, '\n': -10.009764, ' no': -10.757391}
{' Yes': -0.53836286, ' No': -0.8965916, 'No': -5.369398, 'Yes': -5.62862, ' yes': -9.992491}
{' Yes': -0.07934886, ' No': -2.652036, 'Yes': -5.2886915, 'No': -7.377294, ' yes': -9.69398}
{' Yes': -0.5803332, ' No': -0.90607965, 'No': -3.8768303, 'Yes': -4.18572, ' yes': -8.938281}
{' Yes': -0.08110391, ' No': -2.9534526, 'Yes': -3.7795215, 'No': -5.9508796, ' yes': -8.5570135}
{' Yes': -0.38522136, ' No': -1.250902, 'Yes': -3.974905, 'No': -4.238813, ' yes': -9.085214}
{' Yes': -0.033308417, 'Yes': -3.4947035, ' No': -6.181841, ' yes': -8.840601, 'No': -8.970774}
{' Yes': -0.4289129, ' No': -1.0852544, 'No': -5.1990867, 'Yes': -5.241628, ' yes': -9.376542}
{' Yes': -0.0130165005, 'Yes': -4.5351014, ' No': -6.183665, ' yes': -9.456365, 'No': -10.098241}
{' Yes': -0.29656017, ' No': -1.5057772, 'Yes': -3.9242418, 'No': -4.2214427, ' ': -8.632689}
{' Yes': -0.046315275, 'Yes': -3.6727915, ' No': -3.9962988, 'No': -6.6954293, ' yes': -9.047677}
{' Yes': -0.03484401, ' No': -3.992148, 'Yes': -4.2273946, 'No': -7.082907, ' yes': -8.2183075}
{' Yes': -0.017212847, 'Yes': -4.2085257, ' No': -6.4074926, ' yes': -7.8795214, 'No': -9.432647}
{' Yes': -0.0062585226, ' No': -5.273291, 'Yes': -6.9663906, ' yes': -8.827084, ' YES': -11.851128}
{' Yes': -0.0017013276, 'Yes': -6.7026687, ' No': -7.9655466, ' yes': -9.122017, ' YES': -11.972659}
{' Yes': -0.030093893, ' No': -3.7952094, 'Yes': -5.006517, 'No': -8.412249, ' yes': -8.652946}
{' Yes': -0.008982307, 'Yes': -5.182402, ' No': -5.771862, ' yes': -8.970801, ' ': -10.149502}
{' Yes': -0.021837031, ' No': -4.437067, 'Yes': -4.6764717, ' yes': -8.726004, 'No': -8.863513}
{' Yes': -0.009138387, 'Yes': -4.8592434, ' No': -6.8099847, ' yes': -9.034481, ' ': -9.608616}
{' Yes': -0.12676522, ' No': -2.1457355, 'Yes': -6.3669457, 'No': -8.2455225, ' yes': -9.590318}
{' Yes': -0.0025877634, 'Yes': -6.283616, ' No': -7.3816385, ' yes': -9.572988, ' ': -11.212411}
{' Yes': -0.026215538, ' No': -4.122411, 'Yes': -4.7096987, ' ': -8.375302, 'No': -8.416253}
{' Yes': -0.010075031, 'Yes': -4.7359967, ' No': -6.9740067, ' ': -8.887743, ' yes': -9.068174}
{' Yes': -0.013953277, ' No': -4.7312136, 'Yes': -5.423873, ' yes': -7.905226, ' ': -9.147344}
{' Yes': -0.006431817, 'Yes': -5.2152557, ' yes': -7.623115, ' No': -8.057278, ' ': -9.233788}
{' Yes': -0.38254154, ' No': -1.2252635, 'Yes': -4.31098, 'No': -4.5923805, ' yes': -7.609031}
{' Yes': -0.020744717, 'Yes': -4.163315, ' No': -5.645151, ' yes': -6.7368374, 'No': -8.830745}
{' No': -0.33203894, ' Yes': -1.4605675, 'No': -3.1532972, 'Yes': -4.882818, ' yes': -9.587366}
{' Yes': -0.035630673, 'Yes': -3.5484478, ' No': -5.2294707, ' yes': -7.7041483, 'No': -7.961768}
{' Yes': -0.23031074, ' No': -2.1351721, 'Yes': -2.6751215, 'No': -4.0415483, ' yes': -7.49093}
{' Yes': -0.054462202, 'Yes': -2.9743476, ' yes': -7.067785, ' No': -7.1299753, 'No': -9.349793}
{' Yes': -0.6049104, ' No': -0.81678253, 'No': -5.059544, 'Yes': -5.218884, ' yes': -8.6332}
{' Yes': -0.009841931, 'Yes': -4.73666, ' No': -7.537229, ' yes': -7.7281528, ' YES': -11.072049}
{' Yes': -0.19099957, ' No': -2.2454696, 'Yes': -2.9340549, 'No': -4.2463946, ' yes': -8.195661}
{' Yes': -0.033711635, 'Yes': -3.4390287, ' No': -7.5253935, ' yes': -7.8989725, 'No': -9.979844}
{' Yes': -0.16100141, ' No': -2.2702734, 'Yes': -3.4066317, 'No': -4.5222116, ' yes': -6.870966}
{' Yes': -0.03633698, 'Yes': -3.4286842, ' yes': -6.0941277, ' No': -7.2781253, 'yes': -9.227008}
{' Yes': -0.008044167, ' No': -5.375954, 'Yes': -6.1505537, ' yes': -6.770755, ' ': -9.779117}
{' Yes': -0.002988471, 'Yes': -6.4445734, ' yes': -6.9424624, ' No': -7.9248075, ' ': -10.118777}
{' Yes': -0.048063226, ' No': -3.3892229, 'Yes': -4.45734, ' yes': -7.1990204, 'No': -7.386482}
{' Yes': -0.017201569, 'Yes': -4.3710604, ' No': -5.7081594, ' yes': -7.0941415, ' ': -8.93765}
{' Yes': -0.01454778, 'Yes': -4.733994, ' No': -5.288328, ' yes': -8.137453, ' ': -8.689838}
{' Yes': -0.01183593, 'Yes': -4.4892716, ' yes': -8.0632105, ' No': -9.224757, ' ': -9.422425}
{' Yes': -0.02184958, ' No': -4.0397134, 'Yes': -5.7371473, ' yes': -7.38964, 'No': -9.481403}
{' Yes': -0.005480959, 'Yes': -5.465234, ' yes': -7.032485, ' No': -8.271474, ' ': -9.839572}
{' Yes': -0.01869482, 'Yes': -4.6335573, ' No': -4.8363943, ' ': -7.817712, ' yes': -8.345046}
{' Yes': -0.015533145, 'Yes': -4.23793, ' yes': -8.002418, ' No': -8.049086, ' ': -8.458017}
{' Yes': -0.019274771, 'Yes': -4.795249, ' No': -4.9520674, ' yes': -5.784985, ' ': -8.111159}
{' Yes': -0.022604737, 'Yes': -4.228528, ' yes': -5.0013967, ' No': -7.6103864, ' ': -8.289112}
{' Yes': -0.008445561, ' No': -4.9713225, 'Yes': -6.636434, ' yes': -9.296706, ' ': -10.027304}
{' Yes': -0.0026809936, 'Yes': -6.30708, ' No': -7.295357, ' yes': -9.06815, ' ': -10.210254}
{' Yes': -0.017259115, 'Yes': -4.7711096, ' No': -4.7995105, ' yes': -8.81562, ' ': -9.078454}
{' Yes': -0.018006383, ' No': -4.5652304, 'Yes': -4.9721594, ' ': -8.445909, ' yes': -8.911482}
{' Yes': -0.022836134, ' No': -4.2269416, 'Yes': -4.9146147, ' ': -8.130778, 'No': -8.922774}
{' Yes': -0.013687672, 'Yes': -4.4693894, ' No': -6.4454365, ' ': -8.534851, '\n': -8.663044}
{' Yes': -0.08839949, ' No': -2.490787, 'Yes': -6.5723677, ' ': -8.853364, 'No': -8.968312}
{' Yes': -0.013295217, ' No': -4.537257, 'Yes': -6.14164, ' ': -8.618494, ' yes': -9.177266}
{' Yes': -0.0191267, 'Yes': -4.5648823, ' No': -4.893125, ' ': -7.420961, '\n': -8.570329}
{' Yes': -0.011476401, 'Yes': -4.649671, ' No': -6.7817397, ' ': -7.8937035, '\n': -8.581665}
{' Yes': -0.0035755986, 'Yes': -6.1093035, ' No': -6.7458034, ' yes': -9.198939, ' ': -9.956307}
{' Yes': -0.006597883, 'Yes': -5.500468, ' No': -6.202692, ' yes': -8.226437, ' ': -8.98954}
{' Yes': -0.006196928, 'Yes': -5.104542, ' yes': -9.380108, ' YES': -11.621474, ' ': -11.977712}
{' Yes': -0.008702865, 'Yes': -4.758575, ' yes': -9.581431, ' YES': -11.597322, ' ': -12.271122}
{' Yes': -0.0250476, 'Yes': -3.716278, ' yes': -8.057217, ' YES': -10.086683, 'yes': -10.548265}
{' Yes': -0.039526302, 'Yes': -3.2593307, ' yes': -8.274445, ' YES': -10.273642, 'yes': -10.301245}
{' Yes': -0.026428739, 'Yes': -3.6564374, ' yes': -8.583864, ' YES': -10.263231, ' ': -11.143324}
{' Yes': -0.04787435, 'Yes': -3.0692518, ' yes': -8.462177, ' YES': -10.3726635, 'yes': -10.54431}
{' Yes': -0.009466089, 'Yes': -4.683428, ' yes': -8.96089, ' YES': -10.821053, ' ': -11.508723}
{' Yes': -0.018624377, 'Yes': -3.999154, ' yes': -9.292409, ' YES': -11.174452, 'yes': -11.71601}
{' Yes': -0.025110673, 'Yes': -3.7055113, ' yes': -8.831869, ' ': -10.709074, ' YES': -10.872778}
{' Yes': -0.033781484, 'Yes': -3.4099925, ' yes': -9.029926, 'yes': -10.747889, ' ': -10.864613}
{' Yes': -0.017937142, 'Yes': -4.054737, ' yes': -7.947361, ' YES': -10.346109, ' ': -10.553919}
{' Yes': -0.02195553, 'Yes': -3.8520944, ' yes': -7.872106, ' YES': -10.195121, ' ': -10.306016}
{' Yes': -0.0010345085, 'Yes': -7.014184, ' yes': -9.056548, ' YES': -11.701687, ' No': -12.457525}
{' Yes': -0.001568607, 'Yes': -6.5379453, ' yes': -9.181555, ' YES': -11.549704, ' ': -12.439135}
{' Yes': -0.0074624224, 'Yes': -4.934615, ' yes': -8.5927, ' YES': -10.582725, ' ': -11.087268}
{' Yes': -0.0084113, 'Yes': -4.8058543, ' yes': -8.805168, ' YES': -10.9274025, ' ': -11.182156}
{' Yes': -0.009795403, 'Yes': -4.6612024, ' yes': -8.560937, ' ': -10.280042, ' YES': -10.304873}
{' Yes': -0.009893398, 'Yes': -4.6428394, ' yes': -8.880341, ' ': -10.262925, ' YES': -10.883074}
{' Yes': -0.0016438306, 'Yes': -6.4751616, ' yes': -9.3618, ' YES': -11.635024, ' ': -12.96478}
{' Yes': -0.0022994645, 'Yes': -6.1179705, ' yes': -9.519238, ' YES': -11.367567, ' ': -12.0672655}
{' Yes': -0.009895022, 'Yes': -4.6524863, ' yes': -8.880601, ' ': -9.19466, '\n': -10.284557}
{' Yes': -0.011662966, 'Yes': -4.47603, ' yes': -9.111384, ' ': -9.651019, ' YES': -10.951039}
{' Yes': -0.00577461, 'Yes': -5.244853, ' yes': -7.893294, ' ': -10.244504, '\n': -10.44031}
{' Yes': -0.008776823, 'Yes': -4.811995, ' yes': -7.611787, ' ': -10.125033, ' YES': -10.421886}
{' Yes': -0.02147255, 'Yes': -3.8945594, ' yes': -7.184255, 'yes': -9.845066, ' YES': -9.946371}
{' Yes': -0.030045431, 'Yes': -3.5886412, ' yes': -6.338153, 'yes': -9.100102, ' YES': -9.880725}
{' Yes': -0.030281132, 'Yes': -3.5209274, ' yes': -8.49818, 'yes': -10.417078, ' YES': -11.188655}
{' Yes': -0.038281955, 'Yes': -3.2963767, ' yes': -7.7513165, 'yes': -9.549565, ' YES': -10.427113}
{' Yes': -0.07407645, 'Yes': -2.6537235, ' yes': -7.26258, 'yes': -9.190827, ' YES': -9.205436}
{' Yes': -0.07293324, 'Yes': -2.670967, ' yes': -7.042363, 'yes': -8.985911, ' YES': -9.316349}
{' Yes': -0.010929088, 'Yes': -4.55524, ' yes': -8.097059, ' YES': -10.924884, 'yes': -11.033314}
{' Yes': -0.015945384, 'Yes': -4.188623, ' yes': -7.4534907, 'yes': -10.226519, ' YES': -10.566442}
{' Yes': -0.06553048, 'Yes': -2.764192, ' yes': -8.237359, 'yes': -9.6754465, ' ': -10.155766}
{' Yes': -0.059744217, 'Yes': -2.8565507, ' yes': -7.9147987, 'yes': -9.43535, ' ': -10.027727}
{' Yes': -0.04361476, 'Yes': -3.19024, ' yes': -6.653177, 'yes': -9.116948, ' ': -9.886025}
{' Yes': -0.05163629, 'Yes': -3.048855, ' yes': -5.970705, 'yes': -8.482082, ' YES': -9.437323}
{' Yes': -0.00379366, 'Yes': -5.9887943, ' yes': -6.723236, ' YES': -10.545091, ' ': -10.588525}
{' Yes': -0.0028323294, 'Yes': -6.179654, ' yes': -7.254028, ' ': -10.828232, ' YES': -11.138433}
{' Yes': -0.012893018, 'Yes': -4.423877, ' yes': -7.265527, ' ': -10.135726, 'yes': -10.154807}
{' Yes': -0.0158844, 'Yes': -4.2095222, ' yes': -7.1423736, 'yes': -9.947795, ' ': -10.262626}
{' Yes': -0.009514166, 'Yes': -4.705118, ' yes': -8.147133, ' ': -9.605387, '\n': -10.607292}
{' Yes': -0.013173576, 'Yes': -4.3652625, ' yes': -8.209378, ' ': -9.8235235, 'yes': -10.788659}
{' Yes': -0.0040539606, 'Yes': -5.6949787, ' yes': -7.3831673, ' YES': -10.881456, 'yes': -10.886836}
{' Yes': -0.0066248816, 'Yes': -5.185604, ' yes': -7.00373, 'yes': -10.224127, ' ': -10.385633}
{' Yes': -0.013138125, 'Yes': -4.380474, ' yes': -8.1995535, ' ': -8.699852, '\n': -9.956497}
{' Yes': -0.017663985, 'Yes': -4.073118, ' yes': -8.184463, ' ': -8.997772, '\n': -10.328154}
{' Yes': -0.01754369, 'Yes': -4.3144507, ' yes': -5.633727, '\n': -8.877305, ' ': -8.99087}
{' Yes': -0.034410223, 'Yes': -3.6778767, ' yes': -4.8452396, 'yes': -8.134563, ' ': -8.688937}
{' Yes': -0.0016760695, 'Yes': -6.4751234, ' yes': -9.294307, ' ': -10.968194, ' YES': -11.142151}
{' Yes': -0.0025955916, 'Yes': -6.0163546, ' yes': -9.14914, ' ': -10.84739, ' YES': -10.992208}
{' Yes': -0.011292222, 'Yes': -4.5141416, ' yes': -8.670107, ' ': -9.96593, ' YES': -10.271147}
{' Yes': -0.012646948, 'Yes': -4.397857, ' yes': -8.702523, ' ': -10.045605, ' YES': -10.403607}
{' Yes': -0.009458689, 'Yes': -4.6992054, ' yes': -9.042659, ' ': -9.175491, '\n': -9.756842}
{' Yes': -0.012644473, 'Yes': -4.3991838, ' yes': -8.979376, ' ': -9.635225, '\n': -9.70542}
{' Yes': -0.001605023, 'Yes': -6.506461, ' yes': -9.554748, ' ': -10.83216, ' YES': -11.279164}
{' Yes': -0.0027837944, 'Yes': -5.9507017, ' yes': -9.068201, ' ': -10.412765, ' YES': -10.812531}
{' Yes': -0.015029057, 'Yes': -4.2436247, ' ': -8.214404, ' yes': -8.90526, '\n': -9.002557}
{' Yes': -0.013777949, 'Yes': -4.31844, ' ': -8.69591, ' yes': -9.315091, '\n': -9.36988}
{' Yes': -0.0028401604, 'Yes': -5.913862, ' yes': -9.309433, ' ': -10.651892, ' YES': -11.625338}
{' Yes': -0.0049023572, 'Yes': -5.365771, ' yes': -8.828953, ' ': -10.2952175, '\n': -10.919527}
{' Yes': -0.0054090414, 'Yes': -5.3718066, ' No': -7.344346, ' yes': -9.515401, ' YES': -11.542266}
{' Yes': -0.47964692, ' No': -0.996691, 'No': -5.002196, 'Yes': -5.3110695, ' ': -8.743998}
{' Yes': -0.020755671, 'Yes': -3.9218538, ' No': -7.827806, ' yes': -8.37196, ' YES': -10.2147}
{' Yes': -0.116744965, ' No': -2.4505138, 'Yes': -3.9665637, 'No': -5.396902, ' yes': -8.192367}
{' Yes': -0.030442784, 'Yes': -3.5781932, ' No': -6.3888335, ' yes': -8.710103, 'No': -8.926864}
{' Yes': -0.10075354, ' No': -2.6820905, 'Yes': -3.7599752, 'No': -5.614338, ' ': -8.381803}
{' Yes': -0.007137599, 'Yes': -5.012305, ' No': -8.022389, ' yes': -9.304684, ' YES': -11.147538}
{' Yes': -0.04930956, ' No': -3.2485833, 'Yes': -4.7792535, 'No': -7.306975, ' yes': -8.994595}
{' Yes': -0.038722258, 'Yes': -3.372779, ' No': -5.7883353, 'No': -7.957389, ' yes': -8.709777}
{' Yes': -0.1626629, ' No': -2.1577418, 'Yes': -3.65375, 'No': -4.8156605, ' ': -8.080404}
{' Yes': -0.012888009, 'Yes': -4.413826, ' No': -8.063437, ' yes': -8.1593075, ' ': -10.044638}
{' Yes': -0.09253791, ' No': -2.6603575, 'Yes': -4.255845, 'No': -5.74529, ' yes': -7.42537}
{' Yes': -0.0011366637, 'Yes': -6.887155, ' yes': -9.3276825, ' No': -11.555713, ' YES': -11.568265}
{' Yes': -0.00182421, 'Yes': -6.5098653, ' No': -8.727835, ' yes': -8.9158325, ' ': -10.605608}
{' Yes': -0.006682783, 'Yes': -5.060634, ' yes': -8.928794, ' No': -8.978948, ' ': -10.38734}
{' Yes': -0.010273619, 'Yes': -4.790301, ' No': -6.467451, ' yes': -8.414413, ' ': -9.426426}
{' Yes': -0.010245976, 'Yes': -4.645576, ' No': -8.11461, ' yes': -8.898793, ' ': -9.298612}
{' Yes': -0.017096246, 'Yes': -4.4175153, ' No': -5.4612527, ' ': -8.349014, ' yes': -8.357119}
{' Yes': -0.0016015603, 'Yes': -6.561549, ' No': -9.2630205, ' yes': -9.55446, ' YES': -11.436889}
{' Yes': -0.009248593, ' No': -4.9391365, 'Yes': -6.312, ' yes': -9.093233, ' ': -9.418234}
{' Yes': -0.013812097, 'Yes': -4.512862, ' No': -6.2198777, ' ': -7.82024, ' yes': -8.797329}
{' Yes': -0.015796717, 'Yes': -4.7500153, ' No': -5.086763, ' ': -7.5908237, ' yes': -8.852557}
{' Yes': -0.005020481, 'Yes': -5.4012985, ' yes': -8.107489, ' ': -9.616069, ' No': -9.872104}
{' Yes': -0.008126128, 'Yes': -5.1287165, ' No': -6.716664, ' yes': -7.3884974, ' ': -8.541187}
