{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{'\n': -10.62681, ' ': -8.983463, ' Yes': -0.006309927, ' yes': -9.122936, 'Yes': -5.1134686}
{'\n': -10.486083, ' ': -9.544233, ' Yes': -0.005808604, ' yes': -7.7774816, 'Yes': -5.25158}
{' No': -9.475439, ' Yes': -0.010620668, ' yes': -7.332052, 'Yes': -4.629643, 'yes': -10.113354}
{' No': -12.502153, ' Yes': -0.013769488, ' yes': -9.054768, 'Yes': -4.3023148, 'yes': -11.25399}
{' ': -10.850244, ' Yes': -0.014546148, ' yes': -7.835421, 'Yes': -4.2694497, 'yes': -10.5636425}
{' ': -11.593728, ' Yes': -0.008697997, ' yes': -7.880766, 'Yes': -4.7985063, 'yes': -10.707331}
{' ': -10.623936, ' Yes': -0.019843692, ' yes': -7.859485, 'Yes': -3.9536967, 'yes': -10.036048}
{' ': -10.343279, ' Yes': -0.018259486, ' yes': -6.384424, 'Yes': -4.118723, 'yes': -9.338446}
{' ': -10.298808, ' Yes': -0.0019551057, ' yes': -7.2386184, 'Yes': -6.7397895, 'yes': -11.477992}
{' ': -9.779297, ' Yes': -0.008218611, ' yes': -7.441852, 'Yes': -4.892759, 'yes': -10.436872}
{' ': -9.30594, ' Yes': -0.007130996, ' yes': -8.180007, 'Yes': -5.0054026, 'yes': -11.058677}
{' ': -9.358886, ' Yes': -0.005202669, ' yes': -7.005868, 'Yes': -5.488038, 'yes': -10.018321}
{'\n': -10.032676, ' ': -8.60673, ' Yes': -0.006539745, ' yes': -7.860387, 'Yes': -5.137784}
{' ': -8.183406, ' Yes': -0.012519106, ' yes': -5.476231, 'Yes': -4.8593645, 'yes': -9.06813}
{'\n': -12.27868, ' ': -10.784511, ' Yes': -0.00066339417, ' yes': -9.716371, 'Yes': -7.463851}
{' YES': -12.3791275, ' ': -9.917106, ' Yes': -0.004231665, ' yes': -9.418624, 'Yes': -5.502464}
{'\n': -10.164435, ' ': -9.095103, ' Yes': -0.005077215, ' yes': -9.370477, 'Yes': -5.3356414}
{' No': -11.929226, ' ': -10.003579, ' Yes': -0.00095688767, ' yes': -9.585006, 'Yes': -7.095654}
{'\n': -10.036498, ' ': -8.674389, ' Yes': -0.0058044675, ' yes': -9.695822, 'Yes': -5.202841}
{'\n': -11.075341, ' ': -9.742186, ' Yes': -0.0018044448, ' yes': -9.09998, 'Yes': -6.431171}
{' No': -0.00751725, ' ': -10.60231, 'No': -4.898386, ' no': -13.234153, ' NO': -13.313672}
{' No': -0.023882318, ' ': -10.2535305, 'No': -3.748522, ' no': -12.51617, ' NO': -12.249159}
{' No': -0.041726947, ' ': -9.433945, 'No': -3.1997318, ' no': -12.6163, ' NO': -12.170039}
{' No': -0.007814381, ' ': -11.147027, 'No': -4.857969, ' no': -13.472272, ' NO': -13.781357}
{' No': -0.029871313, ' ': -9.407791, 'No': -3.5291293, ' no': -12.495032, ' NO': -12.571}
{' No': -0.02551207, ' ': -9.21066, 'No': -3.6865113, ' no': -11.410162, ' NO': -12.38646}
{' No': -0.0016296823, '\n': -12.182062, ' ': -9.840697, 'No': -6.4619164, ' no': -12.258102}
{' No': -0.010227611, '\n': -12.092855, ' ': -9.253023, 'No': -4.5987873, ' no': -12.519164}
{' No': -0.008275824, '\n': -10.292477, ' ': -8.940574, 'No': -4.820289, ' no': -12.5248995}
{' No': -0.002688224, '\n': -12.60198, ' ': -10.137217, 'No': -5.938004, ' NO': -13.238055}
{' No': -0.00911132, '\n': -10.1101675, ' ': -8.391668, 'No': -4.734529, ' no': -12.175284}
{' No': -0.012706047, '\n': -9.230807, ' ': -8.540946, 'No': -4.398061, ' no': -10.915784}
{' No': -0.024097275, ' ': -9.607259, 'No': -3.7429442, ' no': -10.248762, ' NO': -11.55191}
{' No': -0.033213396, ' ': -10.903475, 'No': -3.4224343, 'no': -12.468069, ' no': -11.671724}
{' No': -0.057354614, '\n': -11.375712, ' ': -9.015257, 'No': -2.890299, ' no': -10.730438}
{' No': -0.015695216, ' ': -10.136399, 'No': -4.166461, ' no': -11.012686, ' NO': -12.396334}
{' No': -0.0743828, '\n': -10.686195, ' ': -8.570678, 'No': -2.6397266, ' no': -10.190313}
{' No': -0.05465986, ' x': -9.4915085, ' ': -8.409461, 'No': -2.9463587, ' no': -8.413159}
{' No': -0.002439572, '\n': -10.97525, ' ': -8.633517, 'No': -6.115886, ' no': -10.494054}
{' No': -0.016966866, '\n': -11.302899, ' ': -8.3241, 'No': -4.1028466, ' no': -10.45474}
{' No': -0.01472276, '\n': -9.699585, ' ': -8.167864, 'No': -4.2511444, ' no': -11.548539}
{' No': -0.008865578, '\n': -10.729353, ' ': -8.228898, 'No': -4.771761, ' no': -9.803461}
{' No': -0.011671466, '\n': -9.1545315, ' ': -7.7611847, 'No': -4.5069485, ' no': -10.614451}
{' No': -0.017079148, '\n': -8.407887, ' ': -7.4785995, 'No': -4.142092, ' no': -8.403289}
{' No': -0.0011264578, '\n': -11.82898, ' ': -9.579829, 'No': -6.8637815, ' no': -13.012558}
{' No': -0.0071221106, '\n': -11.567035, ' ': -8.827221, 'No': -4.9715347, ' NO': -12.705492}
{' No': -0.009228141, '\n': -9.109511, ' ': -8.117582, 'No': -4.737108, ' no': -12.688101}
{' No': -0.0020828617, '\n': -11.768136, ' ': -9.28886, 'No': -6.2277985, ' no': -12.798846}
{' No': -0.008481868, '\n': -9.669296, ' ': -8.040703, 'No': -4.822157, ' no': -12.548589}
{' No': -0.003300172, '\n': -10.675774, ' ': -8.598665, 'No': -5.784643, ' no': -11.761358}
{' No': -0.0040686843, ' ': -11.138913, 'No': -5.5470734, ' Yes': -8.843218, 'Yes': -14.244262}
{' No': -0.0223531, ' ': -10.063164, 'No': -3.8215587, ' Yes': -8.7504015, 'Yes': -12.727784}
{' No': -0.03794944, ' ': -9.524328, 'No': -3.2991245, ' Yes': -8.361848, 'Yes': -11.900814}
{' No': -0.007309244, ' ': -11.43161, 'No': -4.931305, ' Yes': -9.859528, ' no': -14.176621}
{' No': -0.13201067, ' ': -8.885627, 'No': -3.4716523, ' Yes': -2.3970711, 'Yes': -6.535756}
{' No': -0.4317312, ' ': -8.387385, 'No': -4.299166, ' Yes': -1.0956486, 'Yes': -6.058444}
{' No': -0.020017594, ' ': -9.706331, 'No': -7.2036033, ' Yes': -3.9641244, 'Yes': -10.895112}
{' No': -0.028735537, ' ': -9.2693205, 'No': -4.997382, ' Yes': -3.8474724, 'Yes': -8.938981}
{' No': -0.30714533, ' ': -7.887711, 'No': -5.42979, ' Yes': -1.353698, 'Yes': -6.6288943}
{' No': -0.0023364455, ' ': -10.183205, 'No': -6.621803, ' Yes': -6.949062, 'Yes': -13.150772}
{' No': -0.076867595, ' ': -7.614923, 'No': -5.164283, ' Yes': -2.69898, 'Yes': -7.835647}
{' No': -0.37943754, ' ': -7.4965444, 'No': -5.1996584, ' Yes': -1.1786948, 'Yes': -6.3886933}
{' No': -0.025118927, ' ': -9.603269, 'No': -4.309026, ' Yes': -4.4964433, 'Yes': -9.152003}
{' No': -0.017782472, ' ': -11.313516, 'No': -4.331974, ' Yes': -5.4219017, 'Yes': -9.959848}
{' No': -0.33034587, 'No': -4.1444497, ' Yes': -1.3415859, ' yes': -9.09075, 'Yes': -5.573406}
{' No': -0.08110159, ' ': -10.005221, 'No': -4.902337, ' Yes': -2.6601782, 'Yes': -7.683415}
{' No': -2.5652614, 'No': -5.478694, ' Yes': -0.10544358, ' yes': -7.8451667, 'Yes': -3.9961696}
{' No': -3.275032, 'No': -6.4011936, ' Yes': -0.054958675, ' yes': -6.456162, 'Yes': -4.411598}
{' No': -0.010583741, ' ': -8.391779, 'No': -6.7220054, ' Yes': -4.708191, ' no': -10.183082}
{' No': -0.013804057, ' ': -8.562349, 'No': -4.745726, ' Yes': -5.3465524, 'Yes': -10.125576}
{' No': -0.12161073, ' ': -7.2345233, 'No': -5.0058327, ' Yes': -2.2417734, 'Yes': -7.2326713}
{' No': -0.005009582, ' ': -8.352599, 'No': -5.562442, ' Yes': -7.0244474, ' no': -11.406114}
{' No': -0.028784735, ' ': -7.3597183, 'No': -4.9227, ' Yes': -3.900828, 'Yes': -8.806624}
{' No': -0.023800397, ' ': -6.7573395, 'No': -4.620909, ' Yes': -4.4256406, ' no': -8.593071}
{' No': -0.008736897, '\n': -11.463577, ' ': -9.106437, 'No': -7.0748553, ' Yes': -4.864265}
{' No': -0.009131171, ' ': -8.993805, 'No': -5.236802, ' Yes': -5.621098, 'Yes': -10.894449}
{' No': -0.08243351, ' ': -7.278383, 'No': -5.117647, ' Yes': -2.6341932, 'Yes': -7.6755934}
{' No': -0.001986403, '\n': -12.292152, ' ': -8.9716215, 'No': -6.776452, ' Yes': -7.2531824}
{' No': -0.16804756, ' ': -6.6709733, 'No': -4.8911405, ' Yes': -1.9347824, 'Yes': -6.7847314}
{' No': -0.5483363, ' ': -7.3053417, 'No': -6.4709296, ' Yes': -0.870171, 'Yes': -7.0962615}
{' YES': -12.644747, ' ': -12.014017, ' Yes': -0.0031115138, ' yes': -10.068234, 'Yes': -5.7917924}
{' YES': -11.309206, ' ': -11.308153, ' Yes': -0.013351998, ' yes': -9.047705, 'Yes': -4.3344274}
{' YES': -11.074173, ' Yes': -0.019002035, ' yes': -8.994686, 'Yes': -3.9815814, 'yes': -11.258678}
{' YES': -12.639232, ' ': -12.503915, ' Yes': -0.0066181007, ' yes': -10.056872, 'Yes': -5.0292926}
{' ': -11.286778, ' Yes': -0.013200512, ' yes': -9.490981, 'Yes': -4.342451, 'yes': -11.193922}
{' ': -10.60757, ' Yes': -0.009245045, ' yes': -8.587946, 'Yes': -4.7139015, 'yes': -11.4525385}
{' YES': -12.122618, ' ': -11.289904, ' Yes': -0.0010519318, ' yes': -9.307126, 'Yes': -6.971083}
{' YES': -11.862736, ' ': -10.588414, ' Yes': -0.0056412295, ' yes': -9.282251, 'Yes': -5.204755}
{'\n': -10.924266, ' ': -10.231315, ' Yes': -0.005084223, ' yes': -9.116639, 'Yes': -5.3199205}
{' YES': -12.497636, ' ': -11.740277, ' Yes': -0.0011741966, ' yes': -9.956803, 'Yes': -6.8014975}
{'\n': -10.581537, ' ': -9.336571, ' Yes': -0.0071302745, ' yes': -9.403807, 'Yes': -4.9774213}
{'\n': -10.406004, ' ': -9.462811, ' Yes': -0.008030829, ' yes': -7.950796, 'Yes': -4.8932004}
{' ': -11.063302, ' Yes': -0.012149736, ' yes': -7.7879653, 'Yes': -4.4566307, 'yes': -10.45057}
{' YES': -12.623052, ' Yes': -0.014169925, ' yes': -9.1950245, 'Yes': -4.272293, 'yes': -11.225108}
{' YES': -11.005804, ' Yes': -0.018205522, ' yes': -7.9594283, 'Yes': -4.038326, 'yes': -10.333547}
{' YES': -11.801154, ' Yes': -0.01004234, ' yes': -8.469605, 'Yes': -4.630476, 'yes': -10.944565}
{' ': -10.824066, ' Yes': -0.024592206, ' yes': -8.371946, 'Yes': -3.7301662, 'yes': -10.135364}
{' ': -9.950089, ' Yes': -0.021473952, ' yes': -6.6379304, 'Yes': -3.9242752, 'yes': -9.278345}
{' ': -9.999607, ' Yes': -0.0027548044, ' yes': -7.3975945, 'Yes': -6.1825624, 'yes': -11.288883}
{' ': -9.467881, ' Yes': -0.010674828, ' yes': -7.3617578, 'Yes': -4.6204214, 'yes': -10.218411}
{'\n': -11.016765, ' ': -9.64684, ' Yes': -0.0077660247, ' yes': -8.556922, 'Yes': -4.9007635}
{' ': -9.870125, ' Yes': -0.006090538, ' yes': -7.4330845, 'Yes': -5.2264194, 'yes': -10.268415}
{'\n': -10.010593, ' ': -8.867979, ' Yes': -0.010145958, ' yes': -8.500664, 'Yes': -4.638848}
{' ': -8.38523, ' Yes': -0.017626978, ' yes': -5.377349, 'Yes': -4.3997507, 'yes': -8.741731}
{'\n': -11.732123, ' ': -10.618899, ' Yes': -0.0010710839, ' yes': -9.815303, 'Yes': -6.931918}
{' YES': -11.764817, ' ': -10.167848, ' Yes': -0.005611021, ' yes': -9.53966, 'Yes': -5.2088847}
{'\n': -10.127454, ' ': -9.691134, ' Yes': -0.006347237, ' yes': -9.3736515, 'Yes': -5.095397}
{' YES': -12.331335, ' ': -10.624531, ' Yes': -0.0011587427, ' yes': -9.968425, 'Yes': -6.832182}
{'\n': -10.256952, ' ': -9.144479, ' Yes': -0.011161962, ' yes': -9.647461, 'Yes': -4.5210133}
{'\n': -11.232431, ' ': -10.171157, ' Yes': -0.0023374, ' yes': -9.5853615, 'Yes': -6.1148825}
{' YES': -13.034163, ' ': -12.375485, ' Yes': -0.0019804314, ' yes': -10.133016, 'Yes': -6.2507825}
{' ': -11.321678, ' Yes': -0.010168599, ' yes': -9.073841, 'Yes': -4.6080976, 'yes': -11.759495}
{' ': -10.927867, ' Yes': -0.021945477, ' yes': -8.991118, 'Yes': -3.838018, 'yes': -11.239742}
{' ': -12.334242, ' Yes': -0.0035527474, ' yes': -10.026523, 'Yes': -5.656974, 'yes': -13.064797}
{' ': -11.420498, ' Yes': -0.010272775, ' yes': -9.638867, 'Yes': -4.5927315, 'yes': -11.829019}
{' ': -11.076709, ' Yes': -0.007217865, ' yes': -8.616436, 'Yes': -4.964825, 'yes': -11.704234}
{' YES': -12.669138, ' ': -11.409828, ' Yes': -0.0008666214, ' yes': -9.185107, 'Yes': -7.201281}
{' ': -10.645206, ' Yes': -0.005778388, ' yes': -9.055394, 'Yes': -5.183926, 'yes': -11.802304}
{'\n': -11.36314, ' ': -10.093812, ' Yes': -0.005870597, ' yes': -9.118567, 'Yes': -5.1709876}
{' YES': -13.00666, ' ': -11.607946, ' Yes': -0.0011290851, ' yes': -9.78888, 'Yes': -6.8509917}
{'\n': -10.95457, ' ': -9.197048, ' Yes': -0.007364483, ' yes': -9.196028, 'Yes': -4.947298}
{'\n': -10.345494, ' ': -9.478938, ' Yes': -0.006772435, ' yes': -7.523944, 'Yes': -5.106452}
{' ': -11.05389, ' Yes': -0.010593076, ' yes': -7.5913405, 'Yes': -4.6086936, 'yes': -10.405161}
{' YES': -13.26504, ' Yes': -0.01669397, ' yes': -9.1007, 'Yes': -4.108956, 'yes': -11.125791}
{' ': -11.092334, ' Yes': -0.016149864, ' yes': -7.9818134, 'Yes': -4.158793, 'yes': -10.571985}
{' ': -11.724342, ' Yes': -0.008580758, ' yes': -8.19539, 'Yes': -4.7991786, 'yes': -10.970456}
{' ': -10.657264, ' Yes': -0.024527153, ' yes': -7.846715, 'Yes': -3.7401795, 'yes': -9.853107}
{' ': -10.309879, ' Yes': -0.018148586, ' yes': -6.3664627, 'Yes': -4.1276493, 'yes': -9.302993}
{' ': -10.099876, ' Yes': -0.0023250333, ' yes': -7.119768, 'Yes': -6.5365105, 'yes': -11.316328}
{' ': -9.739165, ' Yes': -0.009734372, ' yes': -7.3351274, 'Yes': -4.718674, 'yes': -10.198974}
{' ': -9.06804, ' Yes': -0.00874754, ' yes': -8.167465, 'Yes': -4.795128, 'yes': -10.9332485}
{' ': -9.310735, ' Yes': -0.0056598736, ' yes': -7.1590905, 'Yes': -5.3574743, 'yes': -10.014794}
{'\n': -9.832681, ' ': -8.478852, ' Yes': -0.008233636, ' yes': -8.068107, 'Yes': -4.8808684}
{' ': -7.9879003, ' Yes': -0.017592644, ' yes': -5.093589, 'Yes': -4.544915, 'yes': -8.586337}
{'\n': -11.943852, ' ': -10.792714, ' Yes': -0.0009268772, ' yes': -9.526915, 'Yes': -7.1044}
{' ': -10.069145, ' Yes': -0.005136405, ' yes': -9.415693, 'Yes': -5.3011837, 'yes': -12.321226}
{'\n': -9.649579, ' ': -9.123686, ' Yes': -0.0070602214, ' yes': -9.308854, 'Yes': -4.996791}
{' YES': -12.378212, ' ': -10.224549, ' Yes': -0.0012712333, ' yes': -9.546596, 'Yes': -6.7665033}
{'\n': -9.613566, ' ': -8.698397, ' Yes': -0.0075482368, ' yes': -9.466917, 'Yes': -4.9340005}
{'\n': -10.703292, ' ': -9.8254385, ' Yes': -0.0022476087, ' yes': -8.999153, 'Yes': -6.195494}
{' No': -0.00712175, ' ': -10.277839, 'No': -4.9538646, ' no': -13.302979, ' NO': -13.433993}
{' No': -0.021595208, ' ': -10.330753, 'No': -3.8481178, ' no': -12.685825, ' NO': -12.115848}
{' No': -0.044583656, ' ': -9.330821, 'No': -3.134973, ' no': -12.867958, ' NO': -12.119126}
{' No': -0.008192593, ' ': -11.3559885, 'No': -4.810417, ' no': -13.708892, ' NO': -13.747829}
{' No': -0.028901732, '\n': -12.678904, ' ': -9.5562, 'No': -3.5612328, ' NO': -12.752779}
{' No': -0.02589729, ' ': -9.050973, 'No': -3.6721869, ' no': -11.634541, ' NO': -12.395966}
{' No': -0.0016517697, '\n': -12.349717, ' ': -9.729988, 'No': -6.450462, ' no': -12.489805}
{' No': -0.011664951, '\n': -11.849878, ' ': -9.211351, 'No': -4.4671736, ' no': -12.5435915}
{' No': -0.009964915, '\n': -10.165825, ' ': -8.958229, 'No': -4.631896, ' no': -12.556193}
{' No': -0.0027727364, '\n': -12.372979, ' ': -10.031217, 'No': -5.908471, ' NO': -13.321925}
{' No': -0.010134156, '\n': -10.077736, ' ': -8.403919, 'No': -4.6248193, ' no': -12.653464}
{' No': -0.01338329, '\n': -8.87712, ' ': -8.386098, 'No': -4.351442, ' no': -10.716782}
{' No': -0.0289667, ' ': -9.5895, 'No': -3.5603578, ' no': -10.377951, ' NO': -11.674208}
{' No': -0.039890148, ' ': -10.828864, 'No': -3.2423704, 'no': -12.543812, ' no': -11.988087}
{' No': -0.060241804, '\n': -11.387164, ' ': -9.011326, 'No': -2.8422315, ' no': -11.298276}
{' No': -0.01694795, ' ': -10.065841, 'No': -4.089963, ' no': -11.263556, ' NO': -12.381017}
{' No': -0.07347701, '\n': -10.882349, ' ': -8.718048, 'No': -2.650818, ' Yes': -10.858234}
{' No': -0.0565133, ' x': -9.984286, ' ': -8.359105, 'No': -2.9126534, ' no': -8.62173}
{' No': -0.0027965244, '\n': -10.592302, ' ': -8.410412, 'No': -5.9871807, ' no': -10.531126}
{' No': -0.019173605, '\n': -11.052708, ' ': -8.1415, 'No': -3.9823787, ' no': -10.520947}
{' No': -0.016523255, '\n': -9.347994, ' ': -7.8311005, 'No': -4.142603, ' no': -11.732875}
{' No': -0.01037166, '\n': -10.089308, ' ': -7.9737844, 'No': -4.619493, ' no': -9.817211}
{' No': -0.016422182, '\n': -9.144431, ' ': -7.7345066, 'No': -4.153887, ' no': -10.7029295}
{' No': -0.020829005, '\n': -7.9677587, ' ': -7.2048645, 'No': -3.9554622, ' no': -8.02557}
{' No': -0.001545385, '\n': -11.049559, ' ': -9.371185, 'No': -6.5446186, ' no': -12.981771}
{' No': -0.009347799, '\n': -11.194843, ' ': -8.703154, 'No': -4.69775, ' NO': -12.647458}
{' No': -0.012858784, '\n': -8.680892, ' ': -7.883674, 'No': -4.4051714, ' NO': -12.532364}
{' No': -0.0026529026, '\n': -11.418651, ' ': -9.087103, 'No': -5.9840636, ' NO': -12.834539}
{' No': -0.010646994, '\n': -9.118679, ' ': -7.8883953, 'No': -4.5957127, ' NO': -12.666332}
{' No': -0.0049583614, '\n': -10.142489, ' ': -8.519769, 'No': -5.3616476, ' no': -11.754741}
{' No': -0.04075976, ' ': -10.249423, 'No': -5.1259036, ' Yes': -3.3875177, 'Yes': -8.710026}
{' No': -0.07761557, ' ': -9.351076, 'No': -3.4541185, ' Yes': -3.1686418, 'Yes': -7.018291}
{' No': -0.23506796, ' ': -8.613063, 'No': -3.3163323, ' Yes': -1.7829653, 'Yes': -5.3334985}
{' No': -0.085875034, ' ': -10.344416, 'No': -4.73189, ' Yes': -2.6181052, 'Yes': -7.603174}
{' No': -2.338155, ' ': -9.280547, 'No': -5.608609, ' Yes': -0.12107594, 'Yes': -4.293931}
{' No': -2.8365438, 'No': -6.5263114, ' Yes': -0.07073192, ' yes': -8.488104, 'Yes': -4.8443713}
{' No': -3.9568748, ' ': -9.832397, ' Yes': -0.020599712, ' yes': -8.806479, 'Yes': -6.8846855}
{' No': -2.5812552, ' ': -8.962366, 'No': -7.4382496, ' Yes': -0.085304685, 'Yes': -5.2515187}
{' No': -7.147734, ' ': -9.534021, ' Yes': -0.0063117268, ' yes': -9.021288, 'Yes': -5.2443333}
{' No': -0.57258934, ' ': -8.847245, 'No': -6.9842734, ' Yes': -0.8343768, 'Yes': -7.295482}
{' No': -4.460536, ' ': -8.078049, 'No': -9.03841, ' Yes': -0.018887533, 'Yes': -5.031684}
{' No': -5.2975516, ' ': -8.64751, ' Yes': -0.012517776, ' yes': -7.45918, 'Yes': -5.034347}
{' No': -0.9092517, 'No': -4.8948264, ' Yes': -0.53915167, ' yes': -7.7404017, 'Yes': -5.148393}
{' No': -0.43228558, 'No': -4.2963543, ' Yes': -1.1011107, ' yes': -9.744125, 'Yes': -5.3495564}
{' No': -4.9253225, 'No': -8.375102, ' Yes': -0.025134329, ' yes': -7.8451486, 'Yes': -4.0837965}
{' No': -5.983082, 'No': -10.331882, ' Yes': -0.009636269, ' yes': -8.362892, 'Yes': -4.995384}
{' No': -4.309141, 'No': -6.8948226, ' Yes': -0.04325122, ' yes': -7.7706394, 'Yes': -3.6022508}
{' No': -5.75553, 'No': -8.665715, ' Yes': -0.022673024, ' yes': -6.2015305, 'Yes': -4.083246}
{' No': -3.537022, ' ': -8.312704, ' Yes': -0.032507394, ' yes': -6.934429, 'Yes': -6.4602532}
{' No': -1.1851468, ' ': -7.3484974, 'No': -5.631035, ' Yes': -0.38047832, 'Yes': -5.116146}
{' No': -4.7211556, ' ': -8.061258, ' Yes': -0.017826524, ' yes': -8.129137, 'Yes': -4.8309045}
{' No': -1.2744218, ' ': -7.2037826, 'No': -6.616037, ' Yes': -0.33571243, 'Yes': -5.838772}
{' No': -2.8833702, ' ': -7.0660124, 'No': -7.191829, ' Yes': -0.068728626, 'Yes': -4.781588}
{' No': -2.56125, 'No': -6.600283, ' Yes': -0.098493025, ' yes': -5.4957476, 'Yes': -4.6797686}
{' No': -1.294598, ' ': -8.283251, 'No': -8.100755, ' Yes': -0.32222015, 'Yes': -7.167776}
{' No': -0.54942334, ' ': -7.8837476, 'No': -5.4730015, ' Yes': -0.87764764, 'Yes': -6.0720725}
{' No': -4.089592, ' ': -7.8202376, 'No': -8.726648, ' Yes': -0.024694417, 'Yes': -4.983797}
{' No': -0.2013247, ' ': -8.034451, 'No': -6.915243, ' Yes': -1.7106897, 'Yes': -8.272961}
{' No': -6.2647533, ' ': -7.97387, ' Yes': -0.010929692, ' yes': -9.17209, 'Yes': -4.7822843}
{' No': -5.7848487, ' ': -9.044149, ' Yes': -0.0055542607, ' yes': -8.832197, 'Yes': -6.140812}
{' YES': -12.19058, ' ': -12.375588, ' Yes': -0.004787898, ' yes': -9.802556, 'Yes': -5.358498}
{' YES': -11.025699, ' Yes': -0.018806206, ' yes': -8.794072, 'Yes': -3.993572, 'yes': -11.011449}
{' YES': -10.8852005, ' Yes': -0.023774883, ' yes': -8.883033, 'Yes': -3.7590957, 'yes': -10.856551}
{' YES': -12.146961, ' Yes': -0.008822704, ' yes': -9.726256, 'Yes': -4.7432394, 'yes': -12.276461}
{' ': -11.692498, ' Yes': -0.01596828, ' yes': -9.560267, 'Yes': -4.151668, 'yes': -11.100448}
{' ': -11.103176, ' Yes': -0.0136619285, ' yes': -8.685254, 'Yes': -4.315576, 'yes': -11.188962}
{' YES': -11.957056, ' ': -11.799002, ' Yes': -0.0013099075, ' yes': -9.201388, 'Yes': -6.7336683}
{' YES': -11.598723, ' ': -10.996181, ' Yes': -0.0068728356, ' yes': -9.0956955, 'Yes': -5.0057206}
{'\n': -11.1617, ' ': -10.548226, ' Yes': -0.0065414845, ' yes': -9.000754, 'Yes': -5.06137}
{' YES': -12.0741825, ' ': -12.06449, ' Yes': -0.0015463396, ' yes': -9.756984, 'Yes': -6.5207834}
{'\n': -11.242572, ' ': -9.961821, ' Yes': -0.007908083, ' yes': -9.326902, 'Yes': -4.8655853}
{' ': -9.857212, ' Yes': -0.010165168, ' yes': -7.784346, 'Yes': -4.6499968, 'yes': -10.278206}
{' YES': -10.83045, ' Yes': -0.016257752, ' yes': -7.3627367, 'Yes': -4.1732287, 'yes': -9.852855}
{' YES': -12.373727, ' Yes': -0.020311287, ' yes': -9.160672, 'Yes': -3.9131813, 'yes': -10.888063}
{' YES': -10.766166, ' Yes': -0.028485665, ' yes': -7.888936, 'Yes': -3.5891562, 'yes': -9.908933}
{' YES': -11.427741, ' Yes': -0.01273297, ' yes': -8.020347, 'Yes': -4.4001136, 'yes': -10.392863}
{' ': -10.557277, ' Yes': -0.036279067, ' yes': -8.067744, 'Yes': -3.347091, 'yes': -9.406192}
{' ': -10.195277, ' Yes': -0.029406415, ' yes': -6.386393, 'Yes': -3.609385, 'yes': -8.816464}
{' ': -10.320652, ' Yes': -0.0033993889, ' yes': -7.2629666, 'Yes': -5.9431705, 'yes': -10.987141}
{' ': -9.74836, ' Yes': -0.013034736, ' yes': -7.304582, 'Yes': -4.4113007, 'yes': -9.813508}
{' ': -9.932765, ' Yes': -0.010167636, ' yes': -8.31404, 'Yes': -4.6280646, 'yes': -10.818158}
{' ': -10.035505, ' Yes': -0.0065132864, ' yes': -7.284879, 'Yes': -5.1691623, 'yes': -9.980145}
{' ': -9.562885, ' Yes': -0.013023566, ' yes': -8.386976, 'Yes': -4.376734, 'yes': -10.181296}
{' ': -8.652505, ' Yes': -0.021749191, ' yes': -5.4463267, 'Yes': -4.096517, 'yes': -8.437581}
{'\n': -11.792526, ' ': -10.918364, ' Yes': -0.0015634737, ' yes': -9.4718275, 'Yes': -6.5361433}
{' YES': -11.504608, ' ': -10.628926, ' Yes': -0.007092758, ' yes': -9.322967, 'Yes': -4.9715223}
{'\n': -10.495857, ' ': -10.312368, ' Yes': -0.007452153, ' yes': -9.442244, 'Yes': -4.9239826}
{' YES': -12.042614, ' ': -11.116487, ' Yes': -0.0015560715, ' yes': -9.84987, 'Yes': -6.517745}
{'\n': -10.421149, ' ': -9.75986, ' Yes': -0.009425475, ' yes': -9.555604, 'Yes': -4.6875696}
{'\n': -11.373446, ' ': -10.661726, ' Yes': -0.0027977203, ' yes': -9.583319, 'Yes': -5.920699}
{' No': -12.58844, ' ': -12.179208, ' Yes': -0.00199805, ' yes': -10.051048, 'Yes': -6.2446294}
{' ': -11.019271, ' Yes': -0.010034392, ' yes': -8.923064, 'Yes': -4.6240554, 'yes': -11.62179}
