{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.00085981993, 'Yes': -7.6369467, ' No': -8.4459715, ' YES': -10.05903, ' Yeah': -10.341706}
{' Yes': -0.001364459, 'Yes': -7.4645276, ' No': -7.626376, ' Yeah': -9.530733, ' YES': -9.754716}
{' Yes': -0.013329406, ' Beef': -4.485488, 'Yes': -6.8709574, ' No': -7.745457, ' yes': -8.259392}
{' Yes': -0.011442214, ' Beef': -5.104412, ' No': -5.5106564, 'Yes': -7.103422, ' yes': -8.662906}
{' Yes': -0.00039187065, 'Yes': -7.886151, ' yes': -11.44198, ' YES': -12.650838, 'yes': -14.715809}
{' Yes': -0.0032496979, ' No': -6.125543, 'Yes': -7.1472793, ' Milk': -8.545288, ' yes': -10.19864}
{' Yes': -0.0018282707, 'Yes': -6.638413, ' No': -8.164001, ' Bass': -9.284927, ' yes': -9.561997}
{' Yes': -0.0036699949, 'Yes': -6.144455, ' Bass': -6.927347, ' No': -8.016804, ' yes': -9.365817}
{' Yes': -0.0019964983, ' Bird': -6.8168745, 'Yes': -7.260289, ' yes': -9.317765, ' YES': -10.034962}
{' Yes': -0.047314398, ' Bird': -3.1433265, 'Yes': -6.465041, ' yes': -7.949077, ' B': -8.088896}
{' Yes': -0.0011714529, 'Yes': -7.1976414, ' YES': -8.284769, ' yes': -9.393653, ' Yeah': -10.868656}
{' Yes': -0.0058317455, 'Yes': -6.740164, ' YES': -6.93293, ' Believe': -7.0480304, ' Live': -7.496904}
{' Yes': -0.001036658, 'Yes': -7.687693, ' Indeed': -8.443727, ' yes': -9.217275, ' Need': -9.50488}
{' Yes': -0.027683346, ' Need': -4.288269, ' No': -5.0821943, ' Indeed': -6.188544, 'Yes': -6.808226}
{' Yes': -0.0004346243, 'Yes': -7.963577, ' yes': -10.23693, ' YES': -10.836926, ' No': -11.441311}
{' Yes': -0.018091837, ' Tool': -4.3334126, ' Too': -6.2421594, 'Yes': -6.9446535, ' No': -7.0577106}
{' Yes': -0.049752813, ' Po': -3.2263176, ' No': -5.147039, 'Yes': -6.7359095, ' Nope': -7.001172}
{' Yes': -0.029239405, ' Po': -3.7402167, ' No': -5.680862, 'Yes': -6.797216, ' Nope': -8.610826}
{' Yes': -0.0014501729, 'Yes': -7.215986, ' Rock': -8.480244, ' yes': -8.569971, ' Cro': -9.260596}
{' Yes': -0.60833186, ' Cro': -0.8532068, ' Rock': -4.3378587, ' Rocket': -5.0536833, 'Yes': -6.1646276}
{' Yes': -0.0007332964, 'Yes': -7.2707963, ' No': -11.02801, ' yes': -11.288433, ' YES': -12.020349}
{' Yes': -0.0019517669, 'Yes': -6.518692, ' Last': -8.313568, ' Blast': -9.761708, ' yes': -9.838493}
{' Yes': -0.0020418295, ' Door': -6.9605427, 'Yes': -7.1137586, ' yes': -9.141018, ' Sure': -9.30365}
{' Yes': -0.027799776, ' Door': -3.8042088, 'Yes': -5.9841275, ' yes': -6.8801928, ' No': -7.5527835}
{' Yes': -0.01430094, ' No': -4.409578, 'Yes': -6.6365523, ' To': -7.848521, ' yes': -9.578574}
{' Yes': -0.16370337, ' No': -1.9253554, 'Yes': -5.9825716, ' St': -7.2060094, ' Nope': -7.280609}
{' Yes': -0.0019996043, 'Yes': -6.6640615, ' Maze': -7.408334, ' yes': -9.839531, ' YES': -10.544464}
{' Yes': -0.0018118488, 'Yes': -6.560487, ' No': -8.6511755, ' Maze': -9.860414, ' yes': -9.953967}
{' Yes': -0.004732381, 'Yes': -6.1790886, ' Monk': -6.7653294, ' yes': -7.7084394, ' Yep': -8.222674}
{' Yes': -0.0028941375, 'Yes': -6.731486, ' No': -6.7852616, ' yes': -8.838534, ' Mon': -9.190498}
{' Yes': -0.00035776378, 'Yes': -8.075034, ' Yep': -11.003058, ' yes': -11.083354, ' YES': -11.904013}
{' Yes': -0.021635896, ' Camp': -4.0345654, 'Yes': -6.756117, ' Campus': -6.9216356, ' Yep': -7.9857783}
{' Yes': -0.0023006604, ' Most': -6.4150033, 'Yes': -7.4107437, ' yes': -10.6299305, ' Mostly': -11.876137}
{' Yes': -0.0031394358, ' Most': -6.0114193, 'Yes': -7.607033, ' Mostly': -9.42716, ' yes': -10.623123}
{' Yes': -0.0016361881, 'Yes': -7.2703357, ' Tri': -8.091016, ' Trip': -8.347241, ' yes': -8.605159}
{' Yes': -0.0038092174, ' Tri': -6.9113445, 'Yes': -6.9204655, ' Trip': -7.7050686, ' yes': -7.728673}
{' Yes': -0.14620683, ' Dusk': -2.0715685, ' No': -5.240466, 'Yes': -5.8038087, ' D': -7.118207}
{' Yes': -0.011418759, ' No': -4.580194, 'Yes': -6.9215283, ' yes': -10.0971775, ' Dusk': -10.548134}
{' Yes': -0.0016303376, ' No': -7.465446, ' Hello': -7.7575026, 'Yes': -8.180926, ' Hell': -8.583186}
{' Yes': -0.00026314214, 'Yes': -8.565277, ' yes': -10.829172, ' Hello': -11.109011, ' YES': -11.305008}
{' Yes': -0.0012750528, 'Yes': -7.08726, ' Lawn': -8.484638, ' No': -9.333273, ' YES': -10.017145}
{' Yes': -0.26258647, ' No': -1.8391702, ' Lawn': -2.7490213, ' Nope': -6.325223, 'Yes': -6.6703477}
{' Yes': -0.06773287, ' Hill': -2.7443037, 'Yes': -7.9129243, ' No': -8.103503, ' yes': -8.964308}
{' Yes': -0.07028351, ' Hill': -2.7475963, ' No': -5.869617, 'Yes': -7.845823, ' yes': -8.99986}
{' Yes': -0.00050111365, 'Yes': -7.855884, ' No': -9.365703, ' YES': -11.755378, ' yes': -11.79529}
{' Yes': -0.001797219, 'Yes': -6.8240585, ' Take': -8.144558, ' yes': -9.011364, ' YES': -9.227979}
{' Yes': -0.00092031324, 'Yes': -7.422816, ' No': -9.249461, ' Part': -9.938467, ' yes': -10.02038}
{' Yes': -0.004273807, 'Yes': -6.442794, ' Party': -6.9175444, ' Part': -7.3257704, ' yes': -8.63499}
{' Yes': -0.00056188187, 'Yes': -8.080482, ' No': -8.405047, ' Sure': -11.352623, ' yes': -11.597394}
{' Yes': -0.0060044834, ' Pick': -5.7173233, 'Yes': -6.684564, ' No': -7.211931, ' Yep': -8.27338}
{' Yes': -0.0005501929, 'Yes': -7.602742, ' yes': -10.934588, ' YES': -11.470328, ' Sure': -11.613946}
{' Yes': -0.0029285708, ' No': -5.9587255, 'Yes': -8.102123, ' yes': -11.194551, ' YES': -11.902866}
{' Yes': -0.020319013, ' No': -3.9364376, 'Yes': -7.713081, ' yes': -9.832285, ' YES': -10.339212}
{' Yes': -0.21398439, ' No': -1.6805943, ' De': -5.4786687, 'Yes': -7.1353784, ' Nope': -7.8925815}
{' Yes': -0.00066398835, 'Yes': -7.4989796, ' yes': -9.479809, ' YES': -10.5828705, 'yes': -12.821534}
{' Yes': -0.0037834318, 'Yes': -6.082398, ' yes': -7.525849, ' No': -7.975562, ' Kiss': -8.050267}
{' Yes': -0.0004453587, 'Yes': -8.0863495, ' No': -9.092897, ' yes': -11.291511, ' YES': -12.071891}
{' Yes': -0.0012214576, 'Yes': -7.433266, ' No': -7.4949384, ' yes': -10.454498, ' Soda': -10.970829}
{' Yes': -0.010646391, ' No': -4.590217, 'Yes': -8.067836, ' Nope': -9.674447, ' yes': -10.908887}
{' Yes': -0.62341213, ' No': -0.77568734, ' Nope': -5.903113, 'Yes': -8.044751, 'No': -8.348357}
{' Yes': -0.001825524, 'Yes': -7.103994, ' Fire': -7.7047863, ' yes': -8.729071, ' YES': -8.805362}
{' Yes': -0.0025803526, 'Yes': -7.011958, ' Fire': -7.182336, ' YES': -8.580672, ' yes': -8.621576}
{' Yes': -0.00075023813, 'Yes': -7.554531, ' yes': -8.966932, ' YES': -10.406077, ' Yeah': -11.153311}
{' Yes': -0.0019591684, 'Yes': -7.044182, ' yes': -7.8123093, ' Dread': -8.1203165, ' YES': -9.444258}
