{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.008812661, 'Yes': -4.7768736, ' yes': -8.546941, ' ': -9.132661, '\n': -10.5939865}
{' Yes': -0.020107595, 'Yes': -4.167614, ' yes': -5.5924325, '\n': -8.179491, ' ': -8.560255}
{' Yes': -0.024842577, 'Yes': -3.9741795, ' yes': -5.2886896, ' ': -8.352288, '\n': -8.361056}
{' Yes': -0.00083172426, 'Yes': -7.196996, ' yes': -9.796242, ' YES': -11.376255, ' ': -11.529011}
{' Yes': -0.00130173, 'Yes': -6.7353024, ' yes': -9.5190115, ' ': -10.91455, ' YES': -11.883358}
{' Yes': -0.008146802, 'Yes': -4.839186, ' yes': -8.980249, ' ': -10.383688, ' YES': -10.474255}
{' Yes': -0.009929275, 'Yes': -4.6439853, ' yes': -8.905065, ' ': -9.561601, '\n': -10.688571}
{' Yes': -0.008034615, 'Yes': -4.8608904, ' yes': -9.330688, ' ': -9.491121, '\n': -9.6735}
{' Yes': -0.009572718, 'Yes': -4.6854606, ' ': -9.229494, ' yes': -9.288062, '\n': -9.3306}
{' Yes': -0.0012311277, 'Yes': -6.776164, ' yes': -9.826565, ' ': -11.072467, ' YES': -11.139792}
{' Yes': -0.0017695139, 'Yes': -6.4219317, ' yes': -9.363746, ' ': -10.231891, ' YES': -11.45218}
{' Yes': -0.014320349, 'Yes': -4.295967, ' ': -8.253635, '\n': -8.648907, ' yes': -8.972757}
{' Yes': -0.009443883, 'Yes': -4.703036, ' ': -8.685818, ' yes': -9.267286, '\n': -9.832216}
{' Yes': -0.0021295126, 'Yes': -6.231784, ' yes': -9.168561, ' ': -10.566017, '\n': -10.974595}
{' Yes': -0.004795505, 'Yes': -5.404221, ' yes': -8.551996, ' ': -9.812307, '\n': -10.844236}
{' Yes': -0.09332964, ' No': -2.4642918, 'Yes': -5.7235417, 'No': -7.4069715, ' ': -9.490506}
{' Yes': -0.013544893, ' No': -4.7094426, 'Yes': -5.465056, ' yes': -9.387387, 'No': -9.490766}
{' Yes': -0.018568086, 'Yes': -4.1136336, ' No': -6.4188933, ' yes': -8.286381, 'No': -9.5238695}
{' Yes': -0.025528457, 'Yes': -4.0648236, ' No': -4.907688, 'No': -8.158342, ' yes': -8.29347}
{' Yes': -0.022653941, 'Yes': -3.915493, ' No': -6.1841297, ' yes': -8.614716, 'No': -9.179152}
{' Yes': -0.02262815, 'Yes': -3.8195126, ' yes': -8.196368, ' No': -9.426808, ' ': -10.283023}
{' Yes': -0.0091178175, 'Yes': -5.2848783, ' No': -5.5630517, ' yes': -9.358611, 'No': -9.953303}
{' Yes': -0.010030417, 'Yes': -4.983253, ' No': -5.8244696, ' yes': -9.48923, 'No': -9.957536}
{' Yes': -0.033473827, 'Yes': -3.7312179, ' No': -4.825361, 'No': -7.4537725, ' yes': -8.63707}
{' Yes': -0.025960483, 'Yes': -3.6814473, ' yes': -8.433633, ' No': -9.067971, ' ': -9.6803465}
{' Yes': -0.013881779, 'Yes': -4.4053154, ' No': -6.80096, ' yes': -8.060089, ' ': -9.804594}
{' Yes': -0.013806534, 'Yes': -4.3730764, ' yes': -7.305529, ' No': -8.129636, ' ': -9.498818}
{' Yes': -0.0009017598, 'Yes': -7.267616, ' yes': -9.0729, ' No': -9.67236, ' ': -11.276914}
{' Yes': -0.0013058488, 'Yes': -6.808257, ' yes': -8.734332, ' ': -10.867669, ' YES': -11.69939}
{' Yes': -0.004613571, 'Yes': -5.446136, ' yes': -8.886433, ' No': -9.365586, ' ': -10.246415}
{' Yes': -0.0068460703, 'Yes': -5.027621, ' yes': -8.678068, ' ': -10.132704, ' No': -10.372156}
{' Yes': -0.008723789, 'Yes': -5.069322, ' No': -6.208743, ' ': -8.684857, ' yes': -8.869147}
{' Yes': -0.010068648, 'Yes': -4.649923, ' yes': -8.53021, ' ': -9.025517, ' No': -9.260966}
{' Yes': -0.0029064526, ' No': -6.464566, 'Yes': -6.7023673, ' yes': -9.45061, ' ': -10.837386}
{' Yes': -0.0017361355, 'Yes': -6.4742665, ' yes': -9.28989, ' No': -9.698879, ' ': -10.579821}
{' Yes': -0.01070525, 'Yes': -4.820985, ' No': -6.311885, ' ': -7.7107625, ' yes': -8.825406}
{' Yes': -0.008526412, 'Yes': -4.8372464, ' ': -8.20624, ' yes': -8.833126, ' No': -9.640789}
{' Yes': -0.004268717, 'Yes': -5.6690345, ' yes': -7.7794337, ' No': -8.607669, ' ': -8.993525}
{' Yes': -0.007041615, 'Yes': -5.134828, ' yes': -7.124353, ' ': -8.622394, '\n': -10.149543}
{' Yes': -0.021895213, 'Yes': -4.464762, ' No': -4.6687098, ' yes': -7.796246, 'No': -8.262123}
{' Yes': -0.029633066, 'Yes': -3.8029578, ' No': -5.7339597, ' yes': -5.745293, 'No': -8.5613575}
{' Yes': -0.022899313, 'Yes': -3.816923, ' No': -8.107837, ' yes': -8.222211, 'yes': -10.617152}
{' Yes': -0.043783754, 'Yes': -3.208382, ' yes': -6.5151343, ' No': -7.286034, 'yes': -9.174709}
{' Yes': -0.061381083, 'Yes': -2.8600736, ' yes': -6.3720417, ' YES': -8.228037, 'yes': -8.962192}
{' Yes': -0.054164916, 'Yes': -2.9888742, ' yes': -6.212141, 'yes': -8.810635, ' YES': -9.221561}
{' Yes': -0.01944183, 'Yes': -4.3794823, ' No': -5.113287, ' yes': -7.711199, 'No': -8.841795}
{' Yes': -0.010149331, 'Yes': -4.7537594, ' No': -7.1526375, ' yes': -7.407148, ' ': -10.238985}
{' Yes': -0.050850417, 'Yes': -3.0433886, ' No': -6.949282, ' yes': -7.4459844, 'No': -9.128307}
{' Yes': -0.05039696, 'Yes': -3.0458057, ' yes': -6.656203, 'yes': -8.862447, ' ': -9.300908}
{' Yes': -0.03817389, 'Yes': -3.3895624, ' yes': -5.8694477, ' No': -7.6005683, 'yes': -8.906343}
{' Yes': -0.044766963, 'Yes': -3.2920086, ' yes': -5.121093, 'yes': -8.132659, ' ': -9.085248}
{' Yes': -0.0022156488, 'Yes': -6.7957354, ' yes': -6.9827504, ' No': -9.527206, ' ': -9.7226095}
{' Yes': -0.004991789, ' yes': -5.8983173, 'Yes': -6.194336, ' ': -9.070316, ' No': -10.425077}
{' Yes': -0.008833105, 'Yes': -4.8528237, ' yes': -7.338701, ' No': -8.814297, ' ': -9.101969}
{' Yes': -0.012868444, 'Yes': -4.5114336, ' yes': -6.461759, ' ': -9.080828, 'yes': -9.787972}
{' Yes': -0.00976615, 'Yes': -4.7368436, ' yes': -7.960333, ' No': -8.206121, ' ': -8.370608}
{' Yes': -0.0127016995, 'Yes': -4.4428353, ' yes': -7.4218993, ' ': -8.724955, ' No': -10.257219}
{' Yes': -0.0033700825, 'Yes': -6.1086, ' No': -7.451975, ' yes': -7.6763453, ' ': -9.681829}
{' Yes': -0.004871272, 'Yes': -5.789926, ' yes': -6.792717, ' No': -7.6876106, ' ': -8.697813}
{' Yes': -0.009907907, 'Yes': -4.7746572, ' ': -7.583136, ' yes': -7.854474, ' No': -7.8797045}
{' Yes': -0.016174579, 'Yes': -4.22081, ' yes': -7.3742976, ' ': -7.564245, '\n': -9.068638}
{' Yes': -0.010807975, 'Yes': -5.049514, ' yes': -5.678834, ' ': -7.9490824, ' No': -8.2594}
{' Yes': -0.024369083, 'Yes': -4.4098325, ' yes': -4.577212, ' ': -7.28421, ' No': -7.7651176}
{' Yes': -0.001170259, 'Yes': -7.0342054, ' yes': -9.051639, ' No': -9.448953, ' ': -9.708068}
{' Yes': -0.0017075948, 'Yes': -6.5833836, ' yes': -8.78804, ' ': -9.320201, ' No': -9.992769}
{' Yes': -0.0063077076, 'Yes': -5.136198, ' yes': -8.766726, ' ': -9.102873, ' No': -9.304213}
{' Yes': -0.007155729, 'Yes': -5.0141497, ' yes': -8.32006, ' ': -8.772723, ' No': -10.23795}
{' Yes': -0.006702286, 'Yes': -5.1935825, ' No': -7.497659, ' ': -8.027345, ' yes': -9.091169}
{' Yes': -0.008930105, 'Yes': -4.792301, ' ': -8.200156, ' yes': -8.71931, '\n': -9.409763}
{' Yes': -0.007815222, ' No': -5.033032, 'Yes': -6.9484253, ' ': -8.654871, ' yes': -9.339014}
{' Yes': -0.0022663085, 'Yes': -6.327679, ' No': -8.715334, ' ': -8.723106, ' yes': -9.011013}
{' Yes': -0.012667531, 'Yes': -4.6441846, ' No': -6.66879, ' ': -6.9259, '\n': -7.543317}
{' Yes': -0.011004298, 'Yes': -4.7382917, ' ': -6.807181, ' No': -7.5669146, '\n': -7.826758}
{' Yes': -0.0024303095, 'Yes': -6.284914, ' yes': -8.563669, ' No': -8.684784, ' ': -8.86401}
{' Yes': -0.0033561483, 'Yes': -5.9469366, ' yes': -7.888785, ' ': -8.366279, '\n': -9.776486}
{' No': -0.0068034604, 'No': -4.997034, ' ': -11.068369, ' NO': -12.454708, ' no': -13.585741}
{' No': -0.008927761, 'No': -4.726783, ' ': -10.629647, ' NO': -12.504559, ' no': -12.887767}
{' No': -0.035332013, 'No': -3.3633022, ' ': -9.975069, ' NO': -10.290548, ' no': -11.887594}
{' No': -0.029731307, 'No': -3.5329716, ' ': -9.965245, ' NO': -10.974841, ' no': -11.946809}
{' No': -0.03719522, 'No': -3.313627, ' ': -9.47357, ' NO': -10.135847, ' no': -12.331955}
{' No': -0.03947217, 'No': -3.2549968, ' ': -9.488627, ' NO': -10.459704, ' no': -11.928002}
{' No': -0.009251061, 'No': -4.691031, ' ': -10.86174, ' NO': -11.81277, ' no': -12.80463}
{' No': -0.013551055, 'No': -4.310882, ' ': -10.512292, ' NO': -12.201441, ' no': -12.51856}
{' No': -0.05132221, 'No': -2.9980342, ' ': -9.199757, ' NO': -10.761814, ' no': -12.197804}
{' No': -0.0476801, 'No': -3.0705338, ' ': -9.064831, ' Yes': -10.963442, ' NO': -11.229227}
{' No': -0.037389986, 'No': -3.3097134, ' ': -9.082499, ' NO': -10.937383, ' no': -11.175455}
{' No': -0.034110267, 'No': -3.4032316, ' ': -8.831929, ' Yes': -10.291362, ' X': -10.363397}
{' No': -0.00073174766, 'No': -7.2492914, ' ': -11.122143, ' NO': -12.68599, ' no': -13.239814}
{' No': -0.0017479578, 'No': -6.3781323, ' ': -10.241927, ' no': -12.376399, ' NO': -12.399949}
{' No': -0.007141742, 'No': -4.955662, ' ': -9.768604, ' NO': -11.687524, ' no': -12.58}
{' No': -0.009652578, 'No': -4.6557918, ' ': -9.521024, ' NO': -11.4976635, ' no': -12.008924}
{' No': -0.0068572937, 'No': -5.0011196, ' ': -9.461651, ' NO': -11.472184, '\n': -11.493122}
{' No': -0.010680849, 'No': -4.5592875, ' ': -9.0597925, '\n': -10.82249, ' NO': -11.557351}
{' No': -0.0018220606, 'No': -6.31732, ' ': -11.543706, ' NO': -12.498878, ' no': -13.631592}
{' No': -0.0030544759, 'No': -5.81016, ' ': -10.10582, ' NO': -12.229792, '\n': -12.635738}
{' No': -0.010223818, 'No': -4.6200852, ' ': -8.342691, '\n': -9.860733, ' NO': -10.875551}
{' No': -0.010843584, 'No': -4.5556626, ' ': -8.44845, '\n': -10.104456, ' NO': -11.390905}
{' No': -0.005506731, 'No': -5.2356987, ' ': -9.271936, '\n': -9.905209, ' NO': -11.389524}
{' No': -0.009151501, 'No': -4.7323375, ' ': -8.592463, '\n': -9.665287, ' no': -10.489578}
{' No': -0.018369485, 'No': -4.0112057, ' ': -9.9566965, ' NO': -10.603424, ' no': -11.28896}
{' No': -0.05154165, 'No': -2.9991424, ' no': -8.626683, ' ': -9.197104, ' NO': -9.455716}
{' No': -0.051119816, 'No': -3.0006263, ' ': -10.02961, ' NO': -11.148948, ' no': -11.730484}
{' No': -0.1067012, 'No': -2.2928565, ' ': -9.777207, ' no': -9.785847, ' NO': -9.917166}
{' No': -0.1401603, 'No': -2.0389144, ' ': -8.232601, ' NO': -8.782122, '\n': -9.4559765}
{' No': -0.14138706, 'No': -2.0305223, ' ': -8.251971, ' NO': -9.398895, ' no': -9.608622}
{' No': -0.018913228, 'No': -3.982065, ' ': -9.966382, ' NO': -10.603538, ' no': -11.339856}
{' No': -0.018014818, 'No': -4.033443, ' ': -9.737634, ' no': -9.922832, ' NO': -10.90253}
{' No': -0.12443075, 'No': -2.1481771, ' ': -8.683606, ' NO': -9.839409, '\n': -10.388673}
{' No': -0.10377238, 'No': -2.3222916, ' ': -8.467628, ' Yes': -8.948695, ' no': -10.010216}
{' No': -0.11035813, 'No': -2.2648017, ' ': -8.096205, ' no': -9.1208105, ' NO': -9.515802}
{' No': -0.10891606, 'No': -2.285792, ' no': -7.775264, ' ': -7.9725933, ' Yes': -8.102117}
{' No': -0.001652607, 'No': -6.536151, ' ': -8.854161, ' no': -10.32426, ' NO': -11.25412}
{' No': -0.0021176254, 'No': -6.2728105, ' ': -8.872282, ' no': -9.706606, '\n': -11.104057}
{' No': -0.0116207525, 'No': -4.4796686, ' ': -8.720929, ' NO': -10.727504, ' no': -10.811946}
{' No': -0.018705813, 'No': -4.005387, ' ': -8.514002, ' no': -9.625813, ' NO': -10.674231}
{' No': -0.010600728, 'No': -4.5704665, ' ': -8.955142, '\n': -10.128766, ' NO': -11.155984}
{' No': -0.0163373, 'No': -4.141322, ' ': -8.457354, '\n': -9.77688, ' no': -11.07466}
{' No': -0.0029098007, 'No': -5.8747163, ' ': -9.600556, ' no': -11.360599, ' NO': -11.548836}
{' No': -0.0060631903, 'No': -5.1608253, ' ': -8.460232, ' no': -9.9244795, '\n': -10.560433}
{' No': -0.010143248, 'No': -4.6401362, ' ': -8.055436, '\n': -9.437754, ' NO': -10.855879}
{' No': -0.01976368, 'No': -3.9708364, ' ': -7.571277, '\n': -8.802985, ' no': -10.7547455}
{' No': -0.011954515, 'No': -4.49343, ' ': -8.002975, '\n': -8.477635, ' no': -9.128356}
{' No': -0.024135316, 'No': -3.820396, ' ': -7.1362166, ' no': -7.530784, '\n': -7.6399145}
{' No': -0.0016000087, 'No': -6.5031524, ' ': -9.490949, '\n': -11.334191, ' NO': -11.780481}
{' No': -0.0021537654, 'No': -6.2096634, ' ': -9.116592, '\n': -10.929457, ' NO': -11.956206}
{' No': -0.009009734, 'No': -4.7337027, ' ': -8.88573, ' NO': -10.9978285, '\n': -11.310812}
{' No': -0.009909653, 'No': -4.645785, ' ': -8.482739, '\n': -10.683646, ' NO': -11.140565}
{' No': -0.009170509, 'No': -4.7278957, ' ': -8.572081, '\n': -9.52389, ' NO': -11.1772585}
{' No': -0.011968088, 'No': -4.463571, ' ': -8.202872, '\n': -9.356806, ' NO': -11.958402}
{' No': -0.0021848262, 'No': -6.1806226, ' ': -9.349408, ' NO': -11.302469, '\n': -11.619954}
{' No': -0.0035740435, 'No': -5.7116575, ' ': -8.412391, '\n': -10.783883, ' NO': -11.544993}
{' No': -0.01521701, 'No': -4.2745514, ' ': -7.3220267, '\n': -7.6135035, ' NO': -11.158607}
{' No': -0.011228086, 'No': -4.5729856, ' ': -7.437106, '\n': -8.3788805, ' NO': -11.822314}
{' No': -0.0049618953, 'No': -5.3458166, ' ': -8.981262, '\n': -10.106008, ' NO': -11.838807}
{' No': -0.0054059247, 'No': -5.2905464, ' ': -8.226251, '\n': -9.796423, ' no': -11.057892}
{' No': -0.048217528, ' Yes': -3.198671, 'No': -5.1145854, 'Yes': -8.478511, ' ': -10.443535}
{' Yes': -0.13067275, ' No': -2.1384983, 'Yes': -5.5978913, 'No': -7.1288314, ' ': -9.337217}
{' No': -0.55771995, ' Yes': -0.9316214, 'No': -3.723789, 'Yes': -4.7076187, ' ': -8.630762}
{' Yes': -0.44473645, ' No': -1.0943755, 'Yes': -4.381897, 'No': -4.4967594, ' ': -7.924097}
{' Yes': -0.561795, ' No': -0.9316528, 'No': -3.960635, 'Yes': -4.1126103, ' ': -8.358429}
{' Yes': -0.025757227, 'Yes': -3.736599, ' No': -6.7232127, ' yes': -8.506336, ' ': -9.389953}
{' No': -0.18675056, ' Yes': -1.8281212, 'No': -4.768793, 'Yes': -6.8591876, ' ': -9.967898}
{' Yes': -0.023206847, ' No': -4.2808895, 'Yes': -4.738201, 'No': -8.455389, ' yes': -9.401125}
{' Yes': -0.42337894, ' No': -1.1822101, 'Yes': -3.9594123, 'No': -3.9652429, ' ': -8.117721}
{' Yes': -0.02913066, 'Yes': -3.6153426, ' No': -6.5902686, ' yes': -8.639868, ' ': -9.106631}
{' Yes': -0.03867889, ' No': -3.6376567, 'Yes': -4.564663, 'No': -7.1389613, ' yes': -8.14501}
{' Yes': -0.011651085, 'Yes': -4.5083475, ' yes': -7.7786717, ' ': -9.707715, ' No': -10.171789}
{' Yes': -0.01994201, ' No': -3.9917128, 'Yes': -6.991974, ' yes': -8.216347, ' ': -10.266454}
{' Yes': -0.0010479923, 'Yes': -7.1795692, ' yes': -8.894106, ' No': -9.079373, ' ': -10.7532425}
{' Yes': -0.084541015, ' No': -2.5974364, 'Yes': -5.1933208, 'No': -7.408849, ' yes': -8.352563}
{' Yes': -0.0061568636, 'Yes': -5.209038, ' No': -7.878909, ' yes': -8.649292, ' ': -9.38688}
{' Yes': -0.35661268, ' No': -1.2394804, 'Yes': -4.9954996, 'No': -5.8595743, ' ': -7.7879896}
{' Yes': -0.007828138, 'Yes': -4.9370766, ' No': -8.218296, ' yes': -8.693628, ' ': -8.962854}
{' No': -0.37294272, ' Yes': -1.1728389, 'No': -6.7952294, 'Yes': -7.4942207, ' ': -9.601973}
{' Yes': -0.0015257456, 'Yes': -6.6232357, ' yes': -9.408365, ' No': -9.453641, ' ': -10.683205}
{' Yes': -0.5927852, ' No': -0.83461994, 'Yes': -5.1339054, 'No': -5.2760086, ' ': -6.54057}
{' Yes': -0.0073803356, 'Yes': -4.9880357, ' ': -8.391649, ' yes': -8.91461, ' No': -9.134129}
{' Yes': -0.13997285, ' No': -2.086573, 'Yes': -5.460003, 'No': -7.049673, ' yes': -7.437692}
{' Yes': -0.007128353, 'Yes': -5.1108003, ' yes': -7.173723, ' ': -8.757469, '\n': -9.889187}
{' Yes': -0.40409473, ' No': -1.1577626, 'Yes': -4.691374, 'No': -4.791834, ' yes': -7.528602}
{' Yes': -0.046405993, ' No': -3.532261, 'Yes': -4.3204517, ' yes': -6.384704, 'No': -7.0343795}
{' No': -0.24220373, ' Yes': -1.7565433, 'No': -3.2895958, 'Yes': -5.2989397, ' yes': -9.54468}
{' Yes': -0.046846632, 'Yes': -3.619949, ' No': -4.071703, ' yes': -7.015789, 'No': -7.075554}
{' Yes': -0.33459502, ' No': -1.6513158, 'Yes': -2.7462597, 'No': -3.6280937, ' yes': -7.0166135}
{' Yes': -0.051700003, 'Yes': -3.0350642, ' yes': -6.4534364, ' No': -8.0395155, 'yes': -8.873801}
{' No': -0.10011528, ' Yes': -2.4826684, 'No': -4.5294194, 'Yes': -7.090587, ' ': -9.652991}
{' Yes': -0.010640126, 'Yes': -4.736308, ' No': -6.659329, ' yes': -7.728335, ' ': -10.402055}
{' Yes': -0.1908943, ' No': -2.1179612, 'Yes': -3.1871786, 'No': -4.4823427, ' yes': -7.600255}
{' Yes': -0.0353472, 'Yes': -3.3915656, ' yes': -7.5105147, ' No': -8.183355, ' ': -9.067183}
{' Yes': -0.051639684, 'Yes': -3.3907049, ' No': -4.33226, ' yes': -6.2622795, 'No': -6.6960926}
{' Yes': -0.030181427, 'Yes': -3.6728222, ' yes': -5.5599184, 'yes': -8.651231, ' ': -9.005802}
{' Yes': -0.0867161, ' No': -2.5490324, ' yes': -6.161143, 'Yes': -6.207321, ' ': -7.686915}
{' Yes': -0.0026132204, 'Yes': -6.6538906, ' yes': -6.7640114, ' ': -9.454397, ' No': -9.76766}
{' Yes': -0.097523145, ' No': -2.5152476, 'Yes': -4.704106, 'No': -6.7834067, ' yes': -6.7888546}
{' Yes': -0.0112818545, 'Yes': -4.6741786, ' yes': -6.8162966, ' No': -7.6297145, ' ': -8.43179}
{' Yes': -0.13748947, ' No': -2.1462173, 'Yes': -4.8062096, ' ': -6.713138, 'No': -6.7186866}
{' Yes': -0.010876123, 'Yes': -4.5897923, ' yes': -7.810383, ' ': -8.706663, ' No': -10.278968}
{' Yes': -0.3093766, ' No': -1.3403558, 'Yes': -6.062348, 'No': -7.0178266, ' yes': -7.2792215}
{' Yes': -0.0039100423, 'Yes': -5.8473034, ' yes': -7.315199, ' No': -8.541734, ' ': -9.072601}
{' Yes': -0.6210834, ' No': -0.80740833, 'Yes': -5.0454016, 'No': -5.218993, ' ': -5.74664}
{' Yes': -0.013159201, 'Yes': -4.4483724, ' ': -7.551784, ' yes': -7.8137794, ' No': -8.145782}
{' Yes': -0.22387095, ' No': -1.7039468, 'Yes': -4.857965, ' yes': -5.3052745, ' ': -6.060035}
{' Yes': -0.0264176, 'Yes': -4.2303777, ' yes': -4.6064076, ' ': -7.3050923, ' No': -7.926352}
{' Yes': -0.17031917, ' No': -1.8641974, 'Yes': -6.96327, ' ': -8.1748905, 'No': -8.618919}
{' Yes': -0.0027224699, ' No': -6.6859574, 'Yes': -6.7249203, ' ': -9.010811, ' yes': -9.063118}
{' Yes': -0.1266266, ' No': -2.1923823, 'Yes': -5.1802497, 'No': -6.9746337, ' ': -7.5960245}
{' Yes': -0.010887088, 'Yes': -4.8580036, ' No': -6.0209513, ' ': -8.059342, ' yes': -8.470732}
{' No': -0.6745581, ' Yes': -0.7322973, 'No': -5.5730925, 'Yes': -5.594271, ' ': -6.3888025}
{' Yes': -0.01258888, 'Yes': -4.5117664, ' No': -7.259257, ' ': -7.916256, '\n': -8.252754}
{' No': -0.3797307, ' Yes': -1.1562791, 'No': -7.4653726, 'Yes': -7.9687843, ' ': -8.041267}
{' Yes': -0.0058227517, ' No': -5.615262, 'Yes': -6.3583083, ' ': -8.239545, ' yes': -9.08591}
{' Yes': -0.5577675, ' No': -0.8892323, 'Yes': -5.117278, 'No': -5.3266387, ' ': -5.5258822}
{' Yes': -0.011315672, 'Yes': -4.5934978, ' ': -7.4992423, '\n': -8.283181, ' No': -8.781159}
{' Yes': -0.07190311, ' No': -2.7148073, 'Yes': -6.1589293, ' ': -7.5526977, 'No': -8.41325}
{' Yes': -0.0065063257, 'Yes': -5.807211, ' No': -5.929764, ' yes': -7.856943, ' ': -8.001308}
{' Yes': -0.005550244, 'Yes': -5.2180934, ' yes': -9.398786, ' YES': -10.781943, ' ': -12.093512}
{' Yes': -0.006897443, 'Yes': -4.991921, ' yes': -9.738541, ' YES': -11.441854, ' ': -11.924051}
{' Yes': -0.020805208, 'Yes': -3.9055746, ' yes': -8.100656, ' YES': -9.310839, 'yes': -10.414192}
{' Yes': -0.023982553, 'Yes': -3.757665, ' yes': -8.297544, ' YES': -9.916516, 'yes': -10.334519}
{' Yes': -0.026806664, 'Yes': -3.6487644, ' yes': -8.291813, ' YES': -9.32078, ' ': -10.420183}
{' Yes': -0.035760455, 'Yes': -3.3576005, ' yes': -8.487189, ' YES': -9.9900255, 'yes': -10.404613}
{' Yes': -0.007913009, 'Yes': -4.868531, ' yes': -8.946546, ' YES': -10.049449, ' ': -11.536301}
{' Yes': -0.016466597, 'Yes': -4.1226807, ' yes': -9.277843, ' YES': -10.947168, 'yes': -11.561024}
{' Yes': -0.029740574, 'Yes': -3.542449, ' yes': -8.408123, ' YES': -9.894699, ' ': -10.145943}
{' Yes': -0.034264646, 'Yes': -3.3978662, ' yes': -8.839515, 'yes': -10.275157, ' ': -10.393119}
{' Yes': -0.01446499, 'Yes': -4.2754583, ' yes': -7.972884, ' YES': -9.873483, ' ': -10.44218}
{' Yes': -0.021844706, 'Yes': -3.8610437, ' yes': -7.8066845, ' ': -9.734512, ' YES': -9.8675995}
{' Yes': -0.0009373178, 'Yes': -7.2379766, ' yes': -8.692952, ' YES': -10.235687, ' ': -11.840286}
{' Yes': -0.0012381112, 'Yes': -6.80191, ' yes': -9.210363, ' YES': -11.235898, ' ': -11.71716}
{' Yes': -0.0049616573, 'Yes': -5.3695087, ' yes': -8.547104, ' YES': -9.802973, ' ': -10.548189}
{' Yes': -0.007876122, 'Yes': -4.8796163, ' yes': -8.686028, ' ': -10.451435, ' YES': -10.464523}
{' Yes': -0.009723959, 'Yes': -4.6951103, ' yes': -8.148905, ' ': -9.375706, ' YES': -9.408846}
{' Yes': -0.009571816, 'Yes': -4.68582, ' yes': -8.694928, ' ': -9.696031, ' YES': -10.357353}
{' Yes': -0.0016604878, 'Yes': -6.5101523, ' yes': -8.994803, ' YES': -10.41883, ' ': -11.673844}
{' Yes': -0.0019964983, 'Yes': -6.2706256, ' yes': -9.501452, ' YES': -11.1472, ' ': -11.530919}
{' Yes': -0.009327344, 'Yes': -4.734928, ' ': -8.604408, ' yes': -8.680271, '\n': -9.367222}
{' Yes': -0.0097619975, 'Yes': -4.672888, ' ': -8.798539, ' yes': -9.038881, '\n': -9.735477}
{' Yes': -0.0069098654, 'Yes': -5.1390605, ' yes': -7.375901, ' ': -8.899345, '\n': -8.936743}
{' Yes': -0.010227851, 'Yes': -4.6794605, ' yes': -7.3361726, ' ': -9.265892, ' YES': -9.8559}
{' Yes': -0.017200902, 'Yes': -4.108193, ' yes': -7.604943, ' YES': -9.843512, 'yes': -10.09194}
{' Yes': -0.026869912, 'Yes': -3.698535, ' yes': -6.497962, 'yes': -9.036765, ' YES': -9.378945}
{' Yes': -0.023566829, 'Yes': -3.7740626, ' yes': -8.270104, 'yes': -10.161977, ' YES': -10.454478}
{' Yes': -0.04313017, 'Yes': -3.175832, ' yes': -7.95853, 'yes': -9.6961355, ' YES': -10.331428}
{' Yes': -0.06634148, 'Yes': -2.770609, ' yes': -6.9543085, ' YES': -8.003868, 'yes': -8.884229}
{' Yes': -0.082997106, 'Yes': -2.5490654, ' yes': -6.85695, 'yes': -8.603435, ' YES': -8.820088}
{' Yes': -0.010683198, 'Yes': -4.5827637, ' yes': -8.044737, ' YES': -10.299498, 'yes': -10.740316}
{' Yes': -0.020338906, 'Yes': -3.9440408, ' yes': -7.3355246, 'yes': -9.703805, ' YES': -10.318515}
{' Yes': -0.061510444, 'Yes': -2.8302023, ' yes': -7.7907925, 'yes': -9.067827, ' YES': -9.697079}
{' Yes': -0.045222472, 'Yes': -3.1308508, ' yes': -7.97201, ' ': -9.555879, 'yes': -9.579654}
{' Yes': -0.041597076, 'Yes': -3.2425323, ' yes': -6.610468, 'yes': -8.810345, ' YES': -9.347495}
{' Yes': -0.045712013, 'Yes': -3.183226, ' yes': -5.9015355, 'yes': -8.369039, ' ': -8.944803}
{' Yes': -0.004414905, 'Yes': -6.049823, ' yes': -6.30304, ' YES': -9.236937, ' ': -9.655302}
{' Yes': -0.0031469103, 'Yes': -6.173562, ' yes': -6.926824, ' ': -10.406198, ' YES': -10.58862}
