{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.35006464, ' up': -1.2374988, ' Down': -6.2161365, ' down': -6.4174056, 'up': -7.7435102}
{' Down': -0.4805329, ' down': -0.97419846, ' "': -6.512252, 'Down': -6.696286, 'down': -6.8189616}
{' Up': -0.3838615, ' Down': -1.7791041, ' up': -2.306536, ' down': -3.157705, ' "': -4.986385}
{' Up': -0.25137377, ' up': -1.5109621, ' "': -7.1392694, ' UP': -8.032099, 'Up': -8.045187}
{' Up': -0.5022138, ' up': -1.5270113, ' Down': -1.9794685, ' down': -3.3098118, ' "': -6.3385286}
{' Up': -0.033585202, ' up': -3.4672682, ' UP': -7.0363293, ' "': -7.4743295, 'Up': -7.997665}
{' Up': -0.7179566, ' Down': -1.0136529, ' down': -2.5605373, ' up': -2.7024326, ' "': -5.7555485}
{' up': -0.67700875, ' Up': -0.73970896, ' Down': -5.070401, ' down': -5.0857496, ' "': -7.2750254}
{' Down': -0.81819, ' Up': -0.98675007, ' down': -2.1239038, ' up': -2.7779276, 'Down': -6.6142464}
{' Up': -1.1419249, ' down': -1.3196287, ' Down': -1.4733762, ' up': -1.7234049, ' "': -5.820327}
{' Up': -0.21689089, ' up': -1.6732373, ' "': -5.568075, ' Down': -6.7362847, ' down': -6.909926}
{' Down': -0.4943545, ' down': -0.95862603, ' "': -5.7218394, 'down': -6.411995, 'Down': -6.6847725}
{' Up': -0.3816863, ' up': -1.1807737, ' down': -5.6247873, ' Down': -5.6728144, ' "': -6.5102944}
{' Down': -0.3785817, ' down': -1.1840492, ' "': -5.1687007, 'down': -6.623367, 'Down': -6.9091334}
{' Up': -0.25776443, ' up': -1.6224188, ' down': -4.324928, ' Down': -4.6908183, ' "': -5.07542}
{' down': -0.36557502, ' Down': -1.274501, ' Up': -4.480899, ' up': -4.6150446, ' "': -5.9296694}
{' Up': -0.24701199, ' up': -1.6236483, ' Down': -4.606993, ' down': -4.675332, ' "': -6.906132}
{' Down': -0.59112287, ' down': -0.8155319, ' "': -6.6302214, 'down': -6.6588926, 'Down': -6.7383494}
{' Down': -0.38404992, ' down': -1.6672072, ' Up': -2.2259707, ' "': -4.2228293, ' up': -5.1016173}
{' Up': -0.9408507, ' Down': -1.0565237, ' down': -1.8453193, ' up': -2.4283195, ' "': -4.220298}
{' Up': -0.14024527, ' up': -2.7942235, ' Down': -2.879339, ' down': -4.483923, ' "': -6.3861346}
{' Down': -0.26770598, ' down': -1.4681836, ' "': -5.750042, 'Down': -7.369243, 'down': -7.6266103}
{' Up': -0.22486094, ' up': -1.6525131, ' "': -5.073133, ' UP': -6.2602043, 'Up': -7.522621}
{' Down': -0.26703385, ' down': -1.4703246, ' "': -6.0366755, 'Down': -6.7851, 'down': -7.313222}
{' Up': -0.2265819, ' up': -1.6278365, ' Down': -6.18757, ' "': -6.5548625, ' down': -6.8046703}
{' Down': -0.33079058, ' down': -1.2896129, ' "': -5.53564, 'Down': -6.753651, 'down': -7.166924}
{' Down': -0.1939301, ' down': -2.1830049, ' Up': -2.987919, ' "': -4.982088, ' up': -5.5643044}
{' Up': -0.16430768, ' up': -1.9063063, ' UP': -6.4394803, ' "': -7.140803, 'Up': -7.8802457}
{' Down': -0.1453343, ' down': -2.159948, ' Up': -4.3249664, ' "': -6.0501366, 'Down': -6.3603897}
{' Up': -0.07136436, ' up': -2.7663887, ' UP': -5.5580697, ' "': -6.410239, 'Up': -7.8647695}
{' Down': -0.18992634, ' down': -2.1198082, ' Up': -3.1775422, ' up': -5.3683796, ' "': -5.469427}
{' Up': -0.27613953, ' up': -1.4311897, ' UP': -6.750804, ' "': -7.1590033, 'Up': -8.432197}
{' Down': -0.21332982, ' down': -2.1067777, ' Up': -2.8408968, ' up': -4.8153825, ' "': -6.2389374}
{' Up': -0.23483433, ' up': -1.6092982, ' UP': -5.413133, ' "': -5.45425, 'Up': -8.307357}
{' Up': -0.26439533, ' up': -1.4887567, ' "': -6.016966, ' Down': -6.489704, ' down': -6.5716195}
{' Down': -0.45776412, ' down': -1.019055, ' "': -6.1645036, 'down': -6.5660634, 'Down': -6.7233815}
{' Up': -0.44322518, ' up': -1.067695, ' down': -5.03596, ' Down': -5.2855997, ' "': -6.875222}
{' Down': -0.5334388, ' down': -0.9044715, ' "': -5.5900717, ' Up': -6.3647203, 'down': -6.450776}
{' Up': -0.18093671, ' up': -1.9318904, ' Down': -4.7388306, ' down': -4.8084946, ' "': -5.8640203}
{' down': -0.5052205, ' Down': -1.4472562, ' Up': -2.5119514, ' up': -2.581976, ' "': -6.119388}
{' Up': -0.17815886, ' up': -1.9803019, ' Down': -4.277085, ' down': -4.678017, 'up': -7.442683}
{' Down': -0.49588078, ' down': -0.94689244, 'down': -6.7938557, 'Down': -6.798825, ' "': -7.2666345}
{' Down': -0.47783598, ' down': -1.628772, ' Up': -1.8149751, ' up': -4.4504523, ' "': -4.8400874}
{' Up': -0.35667387, ' up': -1.9567791, ' Down': -2.2215, ' down': -3.137897, ' "': -5.09609}
{' Up': -0.122310966, ' up': -2.6980765, ' Down': -3.2412, ' down': -4.8834977, ' "': -7.475571}
{' Down': -0.34445554, ' down': -1.260536, ' "': -5.6989875, ' Up': -5.7592998, 'Down': -7.4418793}
{' Up': -0.19571598, ' up': -1.8013963, ' "': -5.249514, ' Down': -5.6978803, ' down': -6.041404}
{' Down': -0.25233638, ' down': -1.5175743, ' "': -6.3750134, 'Down': -6.6777396, 'down': -7.3380523}
{' Up': -0.51632386, ' up': -0.92095643, ' down': -6.297675, ' Down': -6.5139894, ' "': -7.626458}
{' Down': -0.676612, ' down': -0.7201644, ' "': -6.0052385, 'down': -6.6758027, 'Down': -6.8413243}
{' Down': -0.4060187, ' down': -1.5241237, ' Up': -2.408998, ' up': -4.0387187, ' "': -5.17658}
{' Up': -0.23430417, ' up': -1.5737511, ' UP': -7.3086805, ' "': -7.7568107, 'Up': -7.9156027}
{' Down': -0.34620562, ' Up': -1.9972428, ' down': -2.044688, ' up': -3.770415, ' "': -6.250638}
{' Up': -0.068403065, ' up': -2.7781465, ' UP': -5.9729757, ' "': -6.9881644, 'Up': -7.819331}
{' Up': -0.75959474, ' Down': -0.95403373, ' down': -2.6107013, ' up': -2.6840312, ' "': -5.7343984}
{' Up': -0.29207745, ' up': -1.3800616, ' UP': -7.1464357, ' "': -7.3646517, 'Up': -8.541022}
{' Down': -0.87238157, ' Up': -1.1686577, ' down': -1.8313965, ' up': -2.2273219, ' "': -6.75034}
{' Up': -0.33730567, ' up': -1.2771326, ' "': -5.4809785, ' UP': -6.2223454, ' Down': -7.262661}
{' Up': -0.23261093, ' up': -1.6138384, ' "': -5.4685783, ' Down': -6.432749, ' down': -6.600495}
{' Down': -0.4569397, ' down': -1.0222778, ' "': -5.6714625, 'down': -6.5623145, 'Down': -6.690429}
{' Up': -0.5084012, ' up': -0.9716084, ' down': -4.620635, ' Down': -5.0663137, ' "': -6.0971417}
{' Down': -0.40866745, ' down': -1.1135626, ' "': -5.713654, 'down': -6.530457, ' Up': -6.8975263}
{' Up': -0.15573965, ' up': -2.4747665, ' Down': -3.3070266, ' down': -4.1431546, ' "': -5.0565248}
{' Down': -0.5477727, ' down': -1.2018826, ' Up': -2.3840573, ' up': -3.8675969, ' "': -5.403028}
{' Up': -0.07913556, ' up': -2.859838, ' Down': -4.284864, ' down': -5.771011, 'Up': -7.388246}
{' Down': -0.33376622, ' down': -1.2737744, 'Down': -6.527326, 'down': -6.6814675, ' "': -6.8558736}
{' Down': -0.8402679, ' Up': -1.0834683, ' down': -1.7151995, ' up': -3.5099342, ' "': -3.9628894}
{' Down': -0.87885404, ' Up': -1.0993569, ' down': -1.7678844, ' up': -2.7260144, ' "': -4.2563086}
{' Up': -0.16554384, ' up': -2.361844, ' Down': -3.1010141, ' down': -4.4550047, ' "': -6.820872}
{' Down': -0.41646376, ' down': -1.1034241, ' "': -5.6020026, ' Up': -5.6334033, 'Down': -7.370329}
{' Up': -0.13655345, ' up': -2.226645, ' "': -4.668925, ' Down': -5.1303716, ' down': -5.877754}
{' Down': -0.17056513, ' down': -1.8786378, ' "': -6.1318417, 'Down': -6.7182183, 'down': -7.6777782}
{' Up': -0.46334192, ' up': -1.0037453, ' "': -6.4496183, ' Down': -7.127261, ' down': -7.1340895}
{' down': -0.66800696, ' Down': -0.7302895, ' "': -5.79834, 'down': -6.7050114, 'Down': -6.845688}
{' Down': -0.442755, ' Up': -1.5645087, ' down': -2.1691668, ' up': -3.802124, ' "': -4.608307}
{' Up': -0.13152516, ' up': -2.1073265, ' "': -7.104467, ' UP': -7.7605805, 'Up': -8.005721}
{' Up': -0.97720027, ' Down': -1.2677581, ' up': -1.5616406, ' down': -2.0672863, ' "': -5.521609}
{' Up': -0.038749643, ' up': -3.3588066, ' "': -6.524732, ' UP': -6.591776, 'Up': -8.040184}
{' Up': -0.65450084, ' Down': -1.1439799, ' up': -2.420269, ' down': -2.755312, ' "': -4.857212}
{' Up': -0.27114773, ' up': -1.4462672, ' "': -6.8146634, ' UP': -7.6424108, 'Up': -8.249027}
{' Up': -0.7504217, ' Down': -1.1002219, ' up': -2.118664, ' down': -2.6371615, ' "': -6.3350735}
{' Up': -0.29705012, ' up': -1.3820301, ' "': -5.7763934, ' UP': -6.13022, 'Up': -8.268821}
{' Up': -0.27068982, ' up': -1.4634484, ' "': -5.783425, ' down': -7.1768513, ' Down': -7.2859335}
{' Down': -0.39678007, ' down': -1.1364193, ' "': -5.690344, 'down': -6.7482257, 'Down': -6.90155}
{' Up': -0.5176196, ' up': -0.9467216, ' down': -4.798837, ' Down': -5.3787622, ' "': -6.4414744}
{' Down': -0.62440753, ' down': -0.7832516, ' "': -5.639645, 'down': -6.48664, ' Up': -6.7375817}
{' Up': -0.17476499, ' up': -1.9761814, ' Down': -4.816805, ' down': -4.8250275, ' "': -5.3126926}
{' down': -0.20737888, ' Down': -1.7772164, ' up': -4.904616, ' Up': -5.1128507, 'down': -6.159218}
{' Up': -0.3353578, ' up': -1.3000908, ' down': -5.12957, ' Down': -5.560144, 'up': -6.9517384}
{' down': -0.3895713, ' Down': -1.1418849, 'down': -6.3656454, ' "': -7.0395937, 'Down': -7.1661353}
{' Up': -0.8209498, ' Down': -0.96675515, ' down': -1.9910281, ' up': -3.4736674, ' "': -4.5012684}
{' Down': -0.644817, ' down': -1.4235703, ' Up': -1.6617887, ' up': -3.2995718, ' "': -5.0759254}
{' Up': -0.10636928, ' up': -2.6455615, ' Down': -3.744337, ' down': -5.258156, ' "': -7.4237103}
{' Down': -0.34308246, ' down': -1.2461262, ' "': -6.4889903, 'Down': -7.477704, 'down': -7.711601}
{' Up': -0.2069676, ' up': -1.7477505, ' "': -4.8298087, ' Down': -6.3659635, ' down': -6.538708}
{' Down': -0.26784888, ' down': -1.464777, ' "': -6.1437893, 'Down': -6.954286, 'down': -7.4965224}
{' Up': -0.4920291, ' up': -0.96470433, ' down': -5.9320884, ' Down': -6.1136584, ' "': -6.5863414}
{' down': -0.51422065, ' Down': -0.9234939, ' "': -5.8891153, 'down': -6.8112063, 'Down': -7.11008}
{' Up': -0.7514398, ' Down': -1.1042993, ' down': -2.2051523, ' up': -2.5460832, ' "': -5.01494}
{' Up': -0.37222221, ' up': -1.1741478, ' "': -7.239503, ' UP': -7.4885664, 'Up': -8.190564}
{' up': -0.8985575, ' Up': -1.1198059, ' down': -2.0268, ' Down': -2.0361555, ' "': -6.0114436}
{' Up': -0.05824384, ' up': -2.9212234, ' UP': -6.6593847, ' "': -6.8093295, 'Up': -8.29188}
{' Up': -0.44432136, ' up': -1.7299906, ' Down': -2.0628097, ' down': -3.0309837, ' "': -5.4031014}
{' Up': -0.688991, ' up': -0.7012037, ' "': -7.4269896, ' UP': -7.713256, ' Down': -8.192351}
{' Up': -0.7551749, ' up': -1.3198206, ' Down': -1.8057845, ' down': -2.344109, ' "': -6.737574}
{' Up': -0.5379746, ' up': -0.90472716, ' Down': -5.522708, ' "': -5.8199453, ' down': -5.851262}
{' Up': -0.17180742, ' up': -1.9061975, ' Down': -5.5887156, ' down': -6.021609, ' "': -6.1617846}
{' Down': -0.31903085, ' down': -1.3241006, ' Up': -5.878422, ' "': -6.551967, 'Down': -6.7687225}
{' Up': -0.25831228, ' up': -1.6656305, ' Down': -3.829567, ' down': -4.260519, ' "': -6.743269}
{' Down': -0.48492432, ' down': -1.2699833, ' Up': -2.4915009, ' up': -4.2338924, ' "': -5.6024146}
{' Up': -0.3425202, ' up': -1.4374738, ' down': -3.4117243, ' Down': -4.088486, ' "': -6.1875668}
{' down': -0.48302603, ' Down': -1.8706032, ' up': -2.040914, ' Up': -2.36148, ' "': -6.1397524}
{' Up': -0.32085767, ' up': -1.4075028, ' down': -4.168266, ' Down': -4.455436, ' "': -6.9174514}
{' down': -0.2759949, ' Down': -1.4336277, 'down': -6.455787, 'Down': -7.4911456, ' "': -7.999015}
{' Down': -0.67213684, ' Up': -1.1762052, ' down': -1.8621736, ' up': -3.9889507, ' "': -5.106219}
{' Down': -0.7999279, ' Up': -0.8658516, ' down': -2.4464352, ' up': -3.2311106, ' "': -5.910937}
{' Up': -0.14461207, ' Down': -2.5387962, ' up': -3.1354473, ' down': -4.5193543, ' "': -7.2717404}
{' Down': -0.20005983, ' down': -1.7868613, ' Up': -4.6678653, ' "': -5.950805, 'Down': -7.1502867}
{' Up': -0.17531048, ' up': -1.9485859, ' Down': -4.960263, ' down': -5.2724247, ' "': -5.3060627}
{' Down': -0.33679417, ' down': -1.2653278, ' "': -6.441115, 'Down': -6.7903647, 'down': -6.9793315}
{' Up': -0.42004248, ' up': -1.1205603, ' Down': -4.896178, ' down': -4.923653, ' "': -7.1700845}
{' Down': -0.62360007, ' down': -0.77692235, ' "': -6.4811497, 'down': -6.660777, 'Down': -6.706316}
{' down': -0.90137184, ' Up': -1.4250554, ' Down': -1.5497197, ' up': -2.0032244, ' "': -5.417498}
{' Up': -0.6284046, ' up': -0.7662163, ' "': -7.1852875, ' UP': -7.728239, 'Up': -8.157274}
{' Up': -0.7738759, ' up': -1.602064, ' Down': -1.6865994, ' down': -1.9156109, ' "': -5.911317}
{' Up': -0.10938625, ' up': -2.293783, ' "': -6.7228518, ' UP': -7.370208, ' Down': -7.6620193}
{' Up': -0.3806662, ' up': -1.6976236, ' Down': -2.447948, ' down': -3.189138, ' "': -5.509694}
{' Up': -0.45515373, ' up': -1.0105946, ' UP': -7.2921896, ' "': -7.5062633, 'Up': -8.42443}
{' Up': -0.77449816, ' up': -1.3214912, ' Down': -1.7586061, ' down': -2.338482, ' "': -6.1466866}
{' Up': -0.48642573, ' up': -0.9701199, ' "': -5.747803, ' UP': -6.1966853, ' Down': -8.044667}
{' Up': -0.18865767, ' up': -1.8576851, ' Down': -5.0570984, ' down': -5.3724303, ' "': -5.590978}
{' Down': -0.47224274, ' down': -1.0174487, ' Up': -5.0483956, ' "': -5.668276, ' up': -6.261635}
{' Up': -0.28275785, ' up': -1.520175, ' Down': -4.352845, ' down': -4.4618254, ' "': -6.405007}
{' Down': -0.692833, ' down': -0.72238547, ' Up': -5.1252937, ' "': -5.4899254, ' up': -6.426498}
{' Up': -0.41650593, ' up': -1.317072, ' down': -3.0574684, ' Down': -3.8629951, ' "': -5.5723724}
{' down': -0.80080444, ' up': -1.2301658, ' Up': -1.8238413, ' Down': -2.3938487, ' "': -5.5891247}
{' Up': -0.41748053, ' up': -1.1935312, ' down': -3.85355, ' Down': -4.297985, ' "': -6.539057}
{' down': -0.30572313, ' Down': -1.351551, 'down': -6.0983653, ' "': -7.0091934, 'Down': -7.082039}
{' Down': -0.53971666, ' Up': -1.4983081, ' down': -1.7500935, ' up': -4.3948855, ' "': -5.0638657}
{' Down': -0.59076667, ' Up': -1.3983475, ' down': -1.8045194, ' up': -3.5349727, ' "': -5.525171}
{' Up': -0.18375704, ' Down': -2.2092373, ' up': -3.1796389, ' down': -4.18456, ' "': -7.2952447}
{' Down': -0.41768152, ' down': -1.1430367, ' Up': -4.121718, ' "': -5.693482, ' up': -6.3870535}
{' Up': -0.18493874, ' up': -1.8873483, ' "': -5.03183, ' Down': -5.2559967, ' down': -5.50585}
{' Down': -0.18565448, ' down': -1.7991017, ' "': -6.2135243, 'Down': -6.712071, 'down': -7.5079823}
{' Up': -0.20458831, ' up': -1.7649958, ' Down': -4.9152966, ' down': -5.5821896, ' "': -6.5339246}
{' Down': -0.49272206, ' down': -0.9595494, ' "': -5.6402287, 'Down': -6.7473564, 'down': -6.945381}
{' Down': -0.45894074, ' down': -1.709511, ' Up': -1.8052619, ' up': -4.154219, ' "': -5.2581654}
{' Up': -0.21687518, ' up': -1.6436788, ' "': -6.932504, ' UP': -7.9598517, 'Up': -8.281385}
{' Up': -0.8259877, ' Down': -1.4959705, ' up': -1.6420276, ' down': -1.9759129, ' "': -5.472361}
{' Up': -0.08310164, ' up': -2.5588305, ' "': -6.6245446, ' UP': -7.298937, 'Up': -8.513158}
{' Up': -0.56734437, ' Down': -1.5580269, ' up': -2.005672, ' down': -2.4977298, ' "': -5.5751033}
{' Up': -0.44510958, ' up': -1.0292715, ' "': -7.254945, ' UP': -7.391778, 'Up': -8.378965}
{' Up': -0.9813595, ' Down': -1.35874, ' up': -1.5443345, ' down': -1.8896811, ' "': -6.2672234}
{' Up': -0.5392067, ' up': -0.8899852, ' "': -5.814803, ' UP': -6.3921003, ' Down': -7.4909754}
{' Up': -0.23738566, ' up': -1.6119562, ' Down': -5.4201703, ' down': -5.585425, ' "': -5.9578943}
{' Down': -0.5456165, ' down': -0.8923114, ' Up': -5.4805317, ' "': -6.023214, ' up': -6.415335}
{' Up': -0.37329587, ' up': -1.2379293, ' down': -4.628213, ' Down': -4.7030463, ' "': -6.9065695}
{' Down': -0.52564603, ' down': -0.94535995, ' Up': -4.437036, ' "': -5.82255, ' up': -5.887065}
{' Up': -0.55555326, ' up': -1.0840299, ' down': -2.7767806, ' Down': -3.9242704, ' "': -5.283144}
{' up': -0.8860819, ' down': -1.1161786, ' Up': -1.6668988, ' Down': -2.7224693, ' "': -5.5828514}
{' Up': -0.3023254, ' up': -1.3706353, ' down': -5.9577913, ' Down': -6.1118, 'up': -7.0447054}
{' down': -0.2797281, ' Down': -1.4272788, 'down': -6.165756, 'Down': -7.193324, ' "': -7.282881}
{' Up': -0.8169002, ' Down': -0.97528076, ' down': -2.005741, ' up': -3.3764458, ' "': -4.477703}
{' Down': -0.8729961, ' Up': -1.0175731, ' down': -1.9196286, ' up': -2.6866481, ' "': -5.324832}
{' Up': -0.09671288, ' up': -2.9498682, ' Down': -3.3847241, ' down': -5.2949057, ' "': -7.8062906}
{' Down': -0.41711637, ' down': -1.1390498, ' Up': -4.2549014, ' "': -5.6032543, ' up': -6.406502}
{' Up': -0.24706739, ' up': -1.5590733, ' "': -5.6398664, ' Down': -6.2838483, ' down': -6.3234715}
{' Down': -0.68670404, ' down': -0.70952356, ' "': -5.9648366, 'down': -6.62429, 'Down': -7.0402}
{' Up': -0.30232468, ' up': -1.3562703, ' Down': -6.8428917, ' down': -7.101879, 'Up': -7.8150487}
{' down': -0.6850538, ' Down': -0.70938396, ' "': -6.533049, 'down': -6.6456265, 'Down': -6.830452}
{' Up': -1.1516095, ' down': -1.1748335, ' Down': -1.4819013, ' up': -1.9841499, ' "': -4.7272396}
{' Up': -0.52334774, ' up': -0.9016552, ' "': -7.023462, ' UP': -8.323201, 'Up': -8.390519}
{' Up': -0.49863383, ' up': -1.2972428, ' Down': -2.6196532, ' down': -3.1326022, ' "': -6.3679366}
{' Up': -0.12483955, ' up': -2.1598032, ' "': -6.8940487, ' UP': -7.518602, 'Up': -8.340882}
{' Up': -0.5268532, ' up': -1.3570954, ' Down': -2.432445, ' down': -2.8082788, ' "': -5.9923053}
{' up': -0.6373646, ' Up': -0.7553533, ' "': -7.569682, ' UP': -7.8826666, 'Up': -8.534417}
{' Up': -0.9524386, ' up': -1.2820265, ' Down': -1.6646178, ' down': -1.9355165, ' "': -6.425688}
{' up': -0.57901883, ' Up': -0.8322156, ' "': -6.1796274, ' UP': -6.6655855, ' down': -7.6284037}
{' Up': -0.2760278, ' up': -1.5373077, ' down': -4.5277767, ' Down': -4.6137047, ' "': -5.4477577}
{' Down': -0.48304948, ' down': -0.9734497, ' "': -6.3101788, 'down': -6.3316875, 'Down': -6.7631283}
{' Up': -0.4004543, ' up': -1.4372357, ' down': -3.0734677, ' Down': -3.179671, ' "': -6.129864}
{' Down': -0.351428, ' down': -1.2311734, ' "': -6.3309846, 'down': -6.573874, 'Down': -6.8900857}
{' Up': -0.4252287, ' up': -1.643969, ' down': -2.4706197, ' Down': -2.8329742, ' "': -4.7512054}
{' down': -0.7765247, ' up': -1.351861, ' Up': -1.9059135, ' Down': -2.0661614, ' "': -5.733863}
{' Up': -0.37396488, ' up': -1.3371397, ' down': -3.7040486, ' Down': -3.827479, 'up': -6.867726}
{' down': -0.29776415, ' Down': -1.3721755, 'down': -6.1868763, 'Down': -7.307806, ' "': -7.371304}
{' Down': -0.5372526, ' down': -1.2832931, ' Up': -2.1671546, ' up': -4.441387, ' "': -4.5499325}
{' down': -0.80685186, ' Down': -1.0453144, ' Up': -2.0962958, ' up': -2.6657825, ' "': -4.86589}
{' Up': -0.27009493, ' Down': -1.810546, ' up': -3.1186628, ' down': -3.6308374, ' "': -6.48286}
{' Down': -0.33734348, ' down': -1.263859, ' "': -6.2861056, 'Down': -7.141461, 'down': -7.334349}
{' Up': -0.17109148, ' up': -1.9653267, ' "': -5.083304, ' Down': -5.1337667, ' down': -5.5797653}
{' Down': -0.5798671, ' down': -0.83238673, ' "': -5.973494, 'down': -6.6190243, 'Down': -6.925051}
{' Up': -0.42319673, ' up': -1.085245, ' down': -5.9007373, ' Down': -5.9369793, 'up': -7.3862853}
{' Down': -0.5530208, ' down': -0.86693025, ' "': -6.386551, 'down': -6.6127167, 'Down': -6.655176}
{' Up': -0.6475408, ' Down': -1.0906503, ' down': -2.5530906, ' up': -2.8581195, ' "': -5.427591}
{' Up': -0.3061772, ' up': -1.3370552, ' "': -7.554214, 'Up': -8.280046, ' UP': -8.4435425}
{' Up': -0.8008706, ' Down': -1.2427708, ' up': -1.9340473, ' down': -2.1738737, ' "': -6.0769916}
{' Up': -0.06900748, ' up': -2.7372317, ' "': -6.865977, ' UP': -7.716151, 'Up': -8.26131}
{' Up': -0.45803872, ' up': -1.6398491, ' Down': -2.252171, ' down': -2.7404675, ' "': -6.3620124}
{' up': -0.6948417, ' Up': -0.7445796, ' down': -4.38669, ' Down': -4.508412, ' "': -6.971575}
{' Up': -0.5158039, ' up': -1.4844261, ' Down': -2.2420745, ' down': -2.6938376, ' "': -7.4368057}
{' Up': -0.56041366, ' up': -1.615065, ' Down': -2.025944, ' down': -2.3684828, ' "': -5.9790573}
{' Up': -0.2086267, ' up': -1.727641, ' "': -5.405204, ' Down': -5.907986, ' down': -6.1139836}
{' Down': -0.3408732, ' down': -1.2609534, ' "': -6.0358033, 'down': -6.6157274, 'Down': -6.6726904}
{' Up': -0.32271484, ' up': -1.4248991, ' Down': -4.0897417, ' down': -4.2375174, ' "': -6.043828}
{' Down': -0.46891603, ' down': -1.0077993, ' "': -5.2248764, 'down': -6.427646, 'Down': -6.875118}
{' Up': -0.41977337, ' up': -1.2494282, ' down': -3.391699, ' Down': -4.270384, ' "': -4.919918}
{' down': -0.23300394, ' Down': -2.2503207, ' up': -2.658497, ' Up': -3.6050494, 'down': -5.9609013}
{' Up': -0.3800977, ' up': -1.2879804, ' down': -3.807656, ' Down': -4.171071, ' "': -6.89474}
{' Down': -0.6031805, ' down': -0.8000476, 'down': -6.4940777, 'Down': -6.774727, ' "': -7.0418186}
{' Down': -0.45328957, ' down': -1.6004225, ' Up': -1.986239, ' "': -4.1365647, ' up': -4.838406}
{' Down': -0.6262624, ' down': -1.299629, ' Up': -1.9099233, ' up': -3.343017, ' "': -4.8585873}
{' Up': -0.18178925, ' up': -2.5202138, ' Down': -2.6984594, ' down': -4.093784, ' "': -6.7700977}
{' Down': -0.44619825, ' down': -1.0482547, ' "': -5.2264676, ' Up': -6.067919, 'down': -7.3965173}
{' Up': -0.25379223, ' up': -1.5368123, ' "': -5.133358, ' UP': -6.423803, 'Up': -7.43437}
