{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' No': -0.4852436, 'No': -2.8233573, ' A': -3.110648, ' Yes': -1.3387917, 'Yes': -4.644755}
{' No': -0.27603903, ' Generally': -4.7698, 'No': -2.040262, ' C': -2.7542894, ' Yes': -3.6257627}
{' No': -0.08074187, ' ': -8.097803, 'No': -2.6478403, ' Yes': -5.099846, 'Yes': -8.333644}
{' No': -0.18692514, 'No': -2.268073, ' C': -6.9000654, ' Yes': -2.7913926, 'Yes': -5.8468156}
{' No': -0.08458986, '\n': -7.7804856, ' ': -7.1516633, 'No': -2.6220195, ' Yes': -5.004218}
{' No': -0.15388036, '\n': -7.0053887, 'No': -2.0304425, ' C': -6.9110327, ' Yes': -4.892913}
{' No': -0.01911874, ' ': -8.077041, 'No': -4.025914, ' A': -9.238922, ' Yes': -7.465581}
{' No': -0.06304431, ' ': -7.55488, 'No': -3.2995706, ' C': -6.519306, ' Yes': -3.8512425}
{' No': -0.2783528, '\n': -6.539514, ' ': -6.6655197, ' Generally': -6.9519057, 'No': -1.4347897}
{' No': -0.49356633, '\n': -5.0764155, ' Generally': -4.5357337, 'No': -1.0858878, ' C': -3.6548116}
{' No': -0.13803996, '\n': -7.323252, ' ': -6.7907457, 'No': -2.0742965, ' A': -7.6588097}
{' No': -0.1998204, ' Generally': -6.6840444, 'No': -1.8230903, ' C': -4.6845117, ' Yes': -4.978221}
{' No': -7.070515, ' ': -6.9444895, ' Yes': -0.0062209787, ' yes': -6.145126, 'Yes': -6.320214}
{' No': -4.542194, ' ': -7.056041, ' Yes': -0.017127652, ' yes': -6.2316923, 'Yes': -6.0014486}
{' No': -0.16257495, '\n': -3.8316858, ' ': -4.872572, 'No': -2.3155994, ' Yes': -4.017256}
{' No': -1.3764545, '\n': -3.0228393, 'No': -3.941352, ' Yes': -0.44431216, 'Yes': -3.6077776}
{' No': -1.2953684, '\n': -0.7543891, ' ': -3.2628691, 'No': -3.335623, ' Yes': -1.8845044}
{' No': -1.9899611, '\n': -0.40082297, ' ': -3.9995568, 'No': -3.8825562, ' Yes': -2.0260327}
{' No': -1.5447075, '\n': -4.831874, ' ': -4.8444877, ' Yes': -0.28372112, 'Yes': -4.823249}
{' No': -0.9461435, 'No': -4.5708113, ' C': -5.1392317, ' Yes': -0.5412381, 'Yes': -4.9432364}
{' No': -0.31064922, '\n': -2.5433762, ' ': -4.5826254, 'No': -1.7406819, ' Yes': -6.620778}
{' No': -0.3815095, '\n': -1.8246629, ' ': -4.60337, 'No': -1.9581354, ' Yes': -6.049566}
{'\n': -4.817047, ' ': -5.516794, ' Yes': -0.047476076, ' yes': -4.3106613, 'Yes': -4.0882535}
{'\n': -3.4087903, ' C': -4.8812294, ' Yes': -0.0984078, ' yes': -4.3045745, 'Yes': -3.6026688}
{' No': -2.504751, '\n': -3.858011, ' ': -4.445123, ' A': -4.705333, ' Yes': -0.13745672}
{' No': -2.4910164, '\n': -2.992731, ' ': -4.604849, ' C': -3.714401, ' Yes': -0.19024856}
{' No': -0.1800619, '\n': -2.492037, ' ': -3.8079073, 'No': -3.3261778, ' Yes': -4.0807137}
{' No': -0.79459244, '\n': -1.0221678, ' ': -3.682942, ' C': -3.262671, ' Yes': -2.2874703}
{' No': -0.29935572, '\n': -1.9726689, ' ': -3.367425, 'No': -3.4860356, ' Yes': -3.3503926}
{' No': -0.89066, '\n': -1.1403491, ' ': -3.2473228, ' C': -2.457253, ' Yes': -2.0497863}
{' No': -0.2216104, '\n': -3.0672657, ' ': -3.2235136, ' A': -4.452832, ' Yes': -2.3976052}
{' No': -0.26943132, '\n': -2.0561247, ' ': -3.590213, 'No': -4.21424, ' C': -2.935483}
{' No': -0.0670725, '\n': -3.7379498, ' ': -4.9834237, 'No': -3.4436078, ' A': -6.689616}
{' No': -0.08281507, '\n': -3.0151575, ' ': -4.745891, 'No': -4.145817, ' C': -5.5549884}
{' No': -2.9267094, '\n': -3.8489792, ' ': -3.7689528, ' A': -4.4351573, ' Yes': -0.13202229}
{' No': -2.195155, '\n': -3.1149793, ' ': -3.9299688, ' C': -3.210606, ' Yes': -0.27030072}
{' Generally': -3.5298207, ' Yes': -0.03717753, 'Yes': -5.497983, ' In': -7.375716, ' It': -6.7846675}
{' On': -5.6473184, ' Generally': -2.3220181, ' Yes': -0.12979744, ' B': -5.1802998, ' In': -5.033676}
{' Generally': -4.4996324, ' Yes': -0.024435775, ' B': -8.125265, 'Yes': -4.5429864, ' It': -7.1944337}
{' Generally': -4.684231, ' Yes': -0.020948539, ' B': -6.264623, 'Yes': -4.8260612, ' In': -7.6873717}
{' ': -8.149738, ' Generally': -6.595726, ' Yes': -0.017449005, 'Yes': -4.2391725, ' It': -7.92758}
{' ': -8.055054, ' Generally': -5.6729393, ' Yes': -0.025465112, ' B': -5.422861, 'Yes': -4.15119}
{' On': -7.231213, ' Generally': -3.7874072, ' Yes': -0.029663457, 'Yes': -5.647034, ' In': -7.5313587}
{' Generally': -3.220015, ' Yes': -0.057983894, ' B': -5.05625, 'Yes': -5.6046886, ' In': -5.7855377}
{'\n': -5.916587, ' ': -6.350329, ' Generally': -5.0870967, ' Yes': -0.042098455, 'Yes': -3.605281}
{' ': -6.8999853, ' Generally': -5.704438, ' Yes': -0.033860218, ' B': -6.3511066, 'Yes': -3.7027771}
{' On': -8.213724, ' Generally': -5.0518203, ' Yes': -0.018258875, ' yes': -7.6078467, 'Yes': -4.66818}
{' Generally': -4.562186, ' Yes': -0.029114459, ' B': -5.7241955, ' yes': -7.118126, 'Yes': -4.4124284}
{' ': -8.028014, ' Generally': -7.3152533, ' Yes': -0.0037437624, ' yes': -8.184035, 'Yes': -6.13066}
{'\n': -6.6458135, ' ': -6.911469, ' Generally': -5.125674, ' Yes': -0.012409925, 'Yes': -6.023312}
{'\n': -7.149164, ' ': -7.1437626, ' Generally': -5.6284847, ' Yes': -0.01995496, 'Yes': -4.4036293}
{' Generally': -5.2153554, ' Yes': -0.020178387, ' B': -5.4992356, ' yes': -7.1746426, 'Yes': -4.8445897}
{'\n': -4.4673085, ' ': -5.621014, ' Yes': -0.042215962, ' yes': -7.1508408, 'Yes': -3.7252202}
{'\n': -3.6195889, ' ': -4.8986154, ' Yes': -0.06948701, ' B': -5.1422596, 'Yes': -3.7781315}
{' ': -8.736574, ' Generally': -9.296273, ' Yes': -0.002706511, ' yes': -8.243856, 'Yes': -6.1768966}
{' Generally': -7.8335967, ' Yes': -0.00401985, ' B': -7.8165293, ' yes': -8.110162, 'Yes': -5.9614763}
{'\n': -5.2858424, ' ': -5.6676803, ' Yes': -0.082029246, ' yes': -6.0440803, 'Yes': -2.7299879}
{'\n': -5.505794, ' ': -5.864572, ' Yes': -0.07435589, ' B': -5.5813727, 'Yes': -2.8639483}
{' ': -7.358049, ' Generally': -6.6687818, ' Yes': -0.012692161, ' yes': -5.697703, 'Yes': -5.049725}
{' Generally': -6.0761194, ' Yes': -0.019724954, ' B': -6.943714, ' yes': -5.395707, 'Yes': -4.623713}
{' Generally': -5.4333158, ' Yes': -0.043686487, ' yes': -5.0082192, 'Yes': -3.5933497, ' It': -6.818389}
{' Generally': -4.545545, ' Yes': -0.07195358, ' B': -4.4045024, ' yes': -4.5984545, 'Yes': -3.533223}
{' No': -7.6653037, ' Generally': -5.541338, ' Yes': -0.030689523, ' yes': -7.152664, 'Yes': -3.7226105}
{' Generally': -4.2876053, ' Yes': -0.05360821, ' B': -6.4793854, ' yes': -7.5985575, 'Yes': -3.3638897}
{' Generally': -6.706584, ' Yes': -0.03303405, ' yes': -7.291476, 'Yes': -3.5215688, ' It': -8.223655}
{' Generally': -6.8310757, ' Yes': -0.042829633, ' B': -7.307546, ' yes': -7.2440085, 'Yes': -3.251318}
{' No': -8.631004, ' Generally': -5.900984, ' Yes': -0.011637154, ' yes': -7.700869, 'Yes': -4.8903832}
{' Generally': -4.6143346, ' Yes': -0.026642354, ' B': -5.628792, ' yes': -7.6711116, 'Yes': -4.575279}
{' Generally': -4.7454963, 'No': -6.4473505, ' Yes': -0.16017883, ' B': -6.7149305, 'Yes': -2.046602}
{' Generally': -4.598613, ' Yes': -0.14171538, ' B': -4.7764654, ' yes': -6.710662, 'Yes': -2.2316754}
{' ': -7.952221, ' Generally': -5.537958, ' Yes': -0.034399185, ' yes': -5.3333225, 'Yes': -3.7411594}
{' Generally': -4.36187, ' Yes': -0.04991333, ' B': -5.071136, ' yes': -5.7933326, 'Yes': -3.728298}
{'\n': -7.694024, ' ': -6.8241005, ' Yes': -0.056198847, ' yes': -3.060498, 'Yes': -5.1822114}
{'\n': -7.191804, ' ': -7.100378, ' Yes': -0.027428461, ' yes': -3.9246738, 'Yes': -5.312163}
{'\n': -6.880294, ' Generally': -6.6845403, ' Yes': -0.029345527, ' yes': -5.132197, 'Yes': -3.947978}
{'\n': -6.7105494, ' Generally': -5.979817, ' Yes': -0.031277813, ' yes': -5.0128527, 'Yes': -3.9960814}
{'\n': -4.26577, ' ': -5.8369656, ' Yes': -0.06923721, ' yes': -4.808363, 'Yes': -3.1964552}
{'\n': -3.3620226, ' ': -5.407633, ' Yes': -0.107151076, ' yes': -4.755863, 'Yes': -2.980093}
{'\n': -8.149755, ' Generally': -7.5867567, ' Yes': -0.010219481, ' yes': -6.0472937, 'Yes': -5.0525126}
{'\n': -7.68231, ' Generally': -6.323496, ' Yes': -0.013662774, ' yes': -5.898859, 'Yes': -4.8797174}
{'\n': -4.2045107, ' ': -5.903197, ' Yes': -0.13539404, ' yes': -4.256272, 'Yes': -2.3822641}
{'\n': -5.250122, ' ': -6.4749036, ' Yes': -0.08913451, ' yes': -4.26285, 'Yes': -2.7749958}
{'\n': -6.155106, ' ': -6.3935914, ' Yes': -0.06687741, ' yes': -3.0676405, 'Yes': -4.419054}
{'\n': -6.183422, ' Yes': -0.081511974, ' yes': -2.8645968, 'Yes': -4.2113943, 'yes': -6.6760216}
{'\n': -6.7650447, ' ': -7.52523, ' Generally': -6.718425, ' Yes': -0.0060291314, 'Yes': -5.974139}
{'\n': -4.804352, ' ': -6.2918515, ' Generally': -5.025969, ' Yes': -0.0225909, 'Yes': -5.508312}
{'\n': -5.1367664, ' ': -6.0465083, ' Generally': -6.1437507, ' Yes': -0.026571285, 'Yes': -4.23757}
{'\n': -4.481077, ' ': -5.599163, ' Generally': -5.007, ' Yes': -0.03858943, 'Yes': -4.36284}
{'\n': -5.464851, ' ': -6.1372004, ' Generally': -7.001173, ' Yes': -0.02521892, 'Yes': -4.13678}
{'\n': -5.5570145, ' ': -6.1144676, ' Yes': -0.026163409, ' B': -6.11487, 'Yes': -4.2564774}
{'\n': -6.026329, ' ': -6.2333393, ' Generally': -7.731283, ' Yes': -0.008373674, 'Yes': -5.8137093}
{'\n': -5.24658, ' ': -5.9056916, ' Generally': -6.16864, ' Yes': -0.016382556, 'Yes': -5.3143215}
{' No': -6.882776, '\n': -6.1430354, ' ': -6.4764137, ' Yes': -0.024837324, 'Yes': -4.0031066}
{'\n': -6.339051, ' ': -6.4310894, ' Generally': -7.0708814, ' Yes': -0.021912575, 'Yes': -4.158116}
{'\n': -6.017013, ' ': -6.0441313, ' Yes': -0.018550292, ' yes': -5.6340246, 'Yes': -4.8663664}
{' ': -6.723154, ' Generally': -6.0542827, ' Yes': -0.018137237, ' yes': -5.5702167, 'Yes': -4.7595634}
{' No': -4.4562826, ' Generally': -6.331797, 'No': -7.573632, ' Yes': -0.022877663, 'Yes': -4.87028}
{' Generally': -5.299567, ' Yes': -0.01056621, ' B': -6.740176, 'Yes': -5.5746946, ' In': -9.089801}
{' No': -3.1664312, ' Generally': -3.4535005, 'No': -5.053121, ' Yes': -0.11629446, 'Yes': -3.8499691}
{' Generally': -3.2058053, ' Yes': -0.061945368, ' B': -5.747885, 'Yes': -4.3996143, ' In': -6.8502736}
{' No': -4.25981, '\n': -5.8246636, ' Generally': -5.649744, ' Yes': -0.046408612, 'Yes': -3.918349}
{'\n': -5.644827, ' Generally': -4.295046, ' Yes': -0.04988482, ' B': -5.1509514, 'Yes': -3.9828854}
{' No': -5.2878165, ' Generally': -4.8875837, ' A': -8.016776, ' Yes': -0.019919693, 'Yes': -5.1439238}
{' On': -6.2365093, ' Generally': -2.8939753, ' Yes': -0.07989413, ' B': -4.450146, 'Yes': -5.2402596}
{' No': -1.6462865, ' Generally': -3.5185459, 'No': -3.241625, ' Yes': -0.40183878, 'Yes': -3.6409745}
{'\n': -4.557038, ' Generally': -3.7892728, ' Yes': -0.083876066, ' B': -4.5721555, 'Yes': -3.6368792}
{' No': -5.215135, ' Generally': -4.0317626, ' A': -6.7806034, ' Yes': -0.053605564, 'Yes': -3.778701}
{' Generally': -3.3977244, ' Yes': -0.059709862, ' B': -5.1989064, 'Yes': -4.2133904, ' In': -7.1856003}
{' No': -4.210593, '\n': -7.7895093, ' Generally': -7.984442, ' Yes': -0.018326746, 'Yes': -6.3698545}
{'\n': -7.714557, ' ': -8.788054, ' Generally': -7.0203695, ' Yes': -0.0034062073, 'Yes': -6.4034276}
{' No': -0.36318368, '\n': -3.5652041, 'No': -2.8951929, ' Yes': -1.7219979, ' It': -4.5290446}
{'\n': -6.4934387, ' Generally': -4.991335, ' Yes': -0.022758693, ' B': -6.107097, 'Yes': -4.626293}
{' No': -0.8144123, '\n': -1.6039155, ' ': -3.7350838, 'No': -3.0847576, ' Yes': -1.3662484}
{'\n': -2.0465019, ' ': -4.285247, ' Yes': -0.20262432, ' B': -4.4876432, 'Yes': -3.8621738}
{' No': -3.6583908, ' ': -7.8149977, ' Generally': -7.363252, ' Yes': -0.030256864, 'Yes': -6.2399416}
{'\n': -8.4073305, ' Generally': -6.822948, ' Yes': -0.005580931, ' B': -6.922397, 'Yes': -5.8846126}
{' No': -0.39153677, '\n': -3.520525, ' ': -4.8531494, 'No': -1.5857774, ' Yes': -2.6985378}
{'\n': -4.2515144, ' ': -5.7542176, ' Yes': -0.08435682, ' B': -5.756319, 'Yes': -2.8907337}
{' No': -0.7565423, ' Generally': -5.2384486, 'No': -3.606657, ' Yes': -0.7380905, 'Yes': -5.203982}
{' Generally': -4.8736167, ' Yes': -0.027891098, ' B': -5.533384, ' yes': -6.0668106, 'Yes': -4.6124554}
{' No': -4.0088325, ' Generally': -4.878587, 'No': -5.7240763, ' Yes': -0.06755392, 'Yes': -3.4929247}
{' Generally': -3.780877, ' Yes': -0.08194856, ' B': -4.5603075, ' yes': -5.4962416, 'Yes': -3.3455286}
{' No': -0.12543346, ' ': -8.2853565, 'No': -2.4240441, ' Yes': -3.592068, 'Yes': -6.8672886}
{' No': -3.3896487, ' Generally': -3.5771523, 'No': -4.5076504, ' Yes': -0.14376475, 'Yes': -3.2013438}
{' No': -1.4957211, ' ': -7.166334, 'No': -3.2079558, ' Yes': -0.3611234, 'Yes': -3.3334785}
{' No': -5.1073613, ' Generally': -5.3769383, ' Yes': -0.0878801, 'Yes': -2.7404375, ' It': -5.7499375}
{' No': -0.61885, ' Generally': -7.0693927, 'No': -4.030368, ' Yes': -0.82839894, 'Yes': -5.320939}
{' No': -5.837362, ' Generally': -4.6780868, ' Yes': -0.027186815, ' B': -6.802588, 'Yes': -4.4483256}
{' No': -0.41675562, '\n': -5.5634823, 'No': -1.1224995, ' Yes': -5.5377502, ' It': -6.3244452}
{' Generally': -3.8278363, ' Yes': -0.16007158, ' B': -4.3384414, 'Yes': -2.3010283, ' It': -5.9667244}
{' No': -0.26644748, '\n': -5.587946, ' ': -7.455288, 'No': -1.487389, ' Yes': -6.319315}
{' No': -1.2120025, ' Generally': -2.558995, 'No': -1.5687376, ' Yes': -1.2573726, ' B': -2.6220922}
{' No': -7.4580684, ' ': -7.5037208, ' Yes': -0.011167507, ' yes': -4.9386325, 'Yes': -6.127849}
{'\n': -7.9236007, ' Generally': -8.196367, ' Yes': -0.009498823, ' yes': -5.0259743, 'Yes': -6.259628}
{' No': -2.5691602, '\n': -4.991285, 'No': -4.8716807, ' Yes': -0.12796192, 'Yes': -4.0519423}
{'\n': -6.159879, ' Generally': -5.432268, ' Yes': -0.03270734, ' yes': -5.752687, 'Yes': -3.8869686}
{' No': -5.343528, '\n': -2.029, ' ': -4.61225, ' Yes': -0.21986641, 'Yes': -3.1697357}
{'\n': -3.0210679, ' ': -5.74272, ' Yes': -0.10253658, ' yes': -5.709626, 'Yes': -3.2382216}
{' No': -6.210522, ' Generally': -7.1905785, ' Yes': -0.01052501, ' yes': -6.6397476, 'Yes': -5.2097154}
{'\n': -7.2001767, ' Generally': -5.8355513, ' Yes': -0.011399227, ' yes': -6.92434, 'Yes': -5.120217}
{' No': -0.5110317, '\n': -2.2544, ' ': -4.901994, 'No': -1.5447059, ' Yes': -2.7727196}
{'\n': -3.194732, ' ': -5.76193, ' Yes': -0.14404413, ' yes': -4.806554, 'Yes': -2.5944948}
{' No': -5.3065763, '\n': -5.6380324, ' Yes': -0.068465106, ' yes': -3.136582, 'Yes': -4.5846143}
{'\n': -6.1096764, ' Generally': -5.884752, ' Yes': -0.0480788, ' yes': -3.563944, 'Yes': -4.5683694}
{' No': -1.5486358, '\n': -4.1986623, ' ': -5.8846397, ' Yes': -0.2710632, 'Yes': -6.1688347}
{'\n': -5.3461957, ' ': -7.1607556, ' Generally': -5.8089743, ' Yes': -0.011248217, 'Yes': -6.1327424}
{' No': -0.56181735, '\n': -2.2101614, ' ': -4.3386765, 'No': -3.180338, ' Yes': -1.4183104}
{'\n': -3.0030353, ' ': -5.371227, ' Generally': -5.6213884, ' Yes': -0.077077135, 'Yes': -4.258767}
{' No': -1.1272283, '\n': -1.7556615, ' ': -3.731665, 'No': -3.633942, ' Yes': -0.88488615}
{'\n': -3.3531144, ' ': -5.048013, ' Yes': -0.07223653, ' B': -4.6238756, 'Yes': -4.5464606}
{' No': -0.83899796, '\n': -3.3210688, ' ': -4.3995295, 'No': -4.872382, ' Yes': -0.6876061}
{'\n': -3.5433004, ' ': -5.3180118, ' Generally': -5.092571, ' Yes': -0.04730983, 'Yes': -5.4160438}
{' No': -0.0928284, '\n': -3.9618087, ' ': -5.4249663, 'No': -2.9169135, ' Yes': -4.8967395}
{' No': -4.8048267, '\n': -4.363081, ' Yes': -0.04861255, ' B': -5.256254, 'Yes': -4.3889694}
{' No': -1.9275981, '\n': -3.1857574, ' ': -4.37304, ' Yes': -0.27579224, 'Yes': -4.6547422}
{'\n': -4.9844365, ' Generally': -5.7436986, ' Yes': -0.0284661, ' yes': -5.7269897, 'Yes': -4.578362}
{' That': -2.2200365, ' No': -2.9342604, ' Generally': -1.9237509, ' The': -4.028405, ' It': -0.5162345}
{' That': -2.9443347, ' No': -2.559428, ' Generally': -1.0681082, ' B': -3.4981313, ' It': -1.0108343}
{' That': -2.9990418, ' No': -1.2993995, ' Generally': -2.066554, 'No': -3.2580137, ' It': -0.9220706}
{' No': -0.7955386, ' Generally': -2.0330322, 'No': -2.753245, ' B': -2.6207206, ' It': -1.7381961}
{' That': -2.2610228, ' No': -0.9368059, ' Generally': -3.4867651, 'No': -2.8796082, ' It': -1.1345026}
{' No': -0.6226511, ' Generally': -3.0336215, 'No': -2.4014502, ' B': -2.1553621, ' It': -2.2201757}
{' That': -2.3536377, ' No': -1.7379037, ' Generally': -1.8098698, ' B': -3.6922798, ' It': -0.8693066}
{' That': -3.1018302, ' No': -1.7195978, ' Generally': -1.1359031, ' B': -2.2232502, ' It': -1.655934}
{' That': -4.702542, ' No': -0.24756396, ' Generally': -4.0896316, 'No': -2.065847, ' It': -3.604856}
{' That': -3.8243256, ' No': -0.30213743, 'No': -2.1310406, ' B': -3.8554783, ' It': -3.4065058}
{' No': -0.49574634, ' Generally': -2.0148673, 'No': -2.7540739, ' B': -3.9574924, ' It': -2.7371383}
{' No': -0.57958204, ' Generally': -1.8900582, 'No': -2.4611986, ' B': -2.5416317, ' It': -3.2791574}
{' That': -5.974298, ' No': -0.05961565, ' Generally': -5.458656, 'No': -4.261205, ' It': -3.4834933}
{' No': -0.27048147, ' Generally': -3.0710754, 'No': -4.1221504, ' B': -3.8998816, ' It': -2.3228743}
{' That': -4.193504, ' No': -0.30469677, ' Generally': -4.032905, 'No': -2.2698534, ' It': -2.468948}
{' No': -0.48867705, ' Generally': -2.4796264, 'No': -2.9791517, ' B': -2.5267248, ' It': -2.2347517}
{' No': -0.2119467, '\n': -3.3165684, ' ': -4.714604, 'No': -2.0363944, ' It': -4.988926}
{' No': -0.36661354, '\n': -2.251734, ' ': -3.689951, 'No': -2.1718447, ' B': -3.6615908}
{' That': -4.331076, ' No': -0.14688183, 'No': -3.66071, ' It': -2.4379928, ' This': -6.2218485}
{' That': -4.890528, ' No': -0.12599622, 'No': -3.3950639, ' B': -4.1765885, ' It': -3.1210694}
{' No': -0.3526482, '\n': -4.7272344, ' ': -5.0160737, 'No': -1.3030648, ' It': -5.450684}
{' No': -0.37071702, '\n': -4.042716, ' ': -4.3880816, 'No': -1.3898743, ' B': -4.17318}
{' No': -0.64238554, ' Generally': -3.4285355, 'No': -3.3158188, ' B': -3.5595074, ' It': -1.3822366}
{' No': -0.6435519, ' Generally': -2.4978704, 'No': -3.0882168, ' B': -1.9653617, ' It': -2.392127}
{' That': -3.7755482, ' No': -0.4944746, ' Generally': -3.623278, 'No': -2.11574, ' It': -1.9128726}
{' No': -0.65852314, ' Generally': -2.9851794, 'No': -2.3778872, ' B': -2.6131854, ' It': -2.141872}
{' No': -0.39102328, ' Not': -5.787519, ' Generally': -4.1486163, 'No': -1.4058892, ' It': -3.0614522}
{' No': -0.82619476, ' Generally': -2.0795937, 'No': -1.9253235, ' B': -3.0611115, ' It': -1.8830814}
{' No': -0.3805084, ' Generally': -5.634744, 'No': -1.2534618, ' Yes': -5.6045566, ' It': -4.2305546}
{' No': -0.33666605, ' Generally': -4.8637695, 'No': -1.4942837, ' B': -3.6348457, ' It': -4.551063}
{' No': -0.113601826, ' Generally': -4.5032864, 'No': -2.8383083, ' B': -5.216976, ' It': -3.9195254}
{' No': -0.32389492, ' Generally': -2.9983675, 'No': -2.5878224, ' B': -2.7781374, ' It': -3.1337187}
{' That': -5.3270907, ' No': -1.071417, ' Generally': -4.5834155, 'No': -0.5038777, ' It': -4.0803566}
{' No': -0.841137, ' Generally': -3.667866, 'No': -0.9074346, ' B': -3.2909908, ' It': -3.2177162}
{' No': -0.36316457, ' Generally': -3.1452537, 'No': -1.8197095, ' B': -4.289371, ' It': -3.4713418}
{' No': -0.8596813, ' Generally': -2.2647717, 'No': -2.124101, ' B': -2.5323765, ' It': -2.370536}
{' That': -4.9086075, ' No': -0.23509963, ' ': -4.795625, 'No': -3.583149, ' It': -1.8780916}
{' No': -0.2500558, ' ': -4.471327, 'No': -3.4486585, ' B': -4.2113667, ' It': -2.1169915}
{' That': -3.5881972, ' No': -0.5966756, ' Generally': -3.5926206, 'No': -2.1158862, ' It': -1.5106941}
{' No': -0.5817777, ' Generally': -3.2015765, 'No': -2.21324, ' B': -3.6524928, ' It': -1.6441689}
{' No': -0.5049841, '\n': -2.829811, ' ': -4.2494526, 'No': -1.3838769, ' It': -2.948595}
{' No': -0.54461354, '\n': -2.4512565, 'No': -1.4226481, ' B': -3.5469766, ' It': -3.8800452}
{' That': -3.9665053, ' No': -0.25173795, ' Generally': -5.115135, 'No': -2.7559648, ' It': -2.1553674}
{' That': -3.8244803, ' No': -0.3745502, 'No': -2.587601, ' B': -3.176039, ' It': -2.1527045}
{' No': -0.50639576, '\n': -3.4989111, ' ': -4.9873066, 'No': -1.0408406, ' It': -5.765955}
{' No': -0.50296664, '\n': -3.68179, ' ': -4.9494166, 'No': -1.0385425, ' B': -6.119362}
{' That': -2.4562802, ' No': -1.0270219, 'No': -3.2985327, ' It': -0.9955106, ' This': -3.4538662}
{' No': -0.47417235, ' Generally': -3.8258023, 'No': -2.339113, ' B': -2.7577188, ' It': -2.4054658}
{' No': -0.093466215, '\n': -4.8879356, ' Generally': -4.6809006, 'No': -4.2178173, ' It': -3.1696916}
{' No': -0.26217812, '\n': -3.2562654, ' Generally': -2.8158243, 'No': -3.7192776, ' It': -2.9130492}
{' No': -0.19681509, '\n': -4.0386577, ' Generally': -4.305509, 'No': -2.3095107, ' It': -3.6067822}
{' No': -0.21888629, '\n': -3.1431546, ' Generally': -3.7263153, 'No': -2.5405967, ' It': -4.2240834}
{' No': -0.18262672, '\n': -3.472927, ' ': -4.497795, 'No': -2.57374, ' It': -3.5661466}
{' No': -0.19597887, '\n': -3.4805286, ' Generally': -4.2208548, 'No': -2.6540475, ' It': -3.7651737}
{' No': -0.07139361, '\n': -5.2633142, ' ': -5.128019, 'No': -3.5629191, ' It': -3.9855134}
{' No': -0.12404964, '\n': -4.3032827, ' Generally': -4.340898, 'No': -3.011161, ' It': -4.316358}
{' No': -0.07886742, '\n': -5.3613186, ' ': -5.4617043, 'No': -2.7854617, ' It': -6.150116}
{' No': -0.09514621, '\n': -5.056822, ' ': -5.230535, ' Generally': -6.0232, 'No': -2.6283875}
{' No': -0.34615827, ' ': -3.9463148, ' Generally': -3.465334, 'No': -3.4415026, ' It': -2.3122551}
{' No': -0.26170346, ' Generally': -3.09877, 'No': -2.9505749, ' B': -3.2088888, ' It': -3.5819283}
{' No': -0.14698498, ' Generally': -3.94418, 'No': -3.3380306, ' Yes': -3.8110416, ' It': -3.3636556}
{' No': -0.6250946, ' On': -3.056796, ' Generally': -1.8552411, ' B': -3.0859482, ' It': -2.2325392}
{' No': -0.21578893, ' Generally': -4.1562967, 'No': -1.8795615, ' Yes': -5.6588273, ' It': -4.531579}
{' That': -2.800373, ' No': -0.9359761, ' Generally': -1.9335939, 'No': -2.6594105, ' It': -1.6207523}
{' No': -0.13754028, '\n': -5.4946814, ' Generally': -5.7729616, 'No': -2.2418876, ' It': -5.2645297}
{' That': -2.8803582, ' No': -0.55616814, 'No': -2.1659644, ' B': -3.1456227, ' It': -2.2654252}
{' No': -0.11041052, ' Generally': -4.4981494, 'No': -2.6147592, ' Yes': -5.7524123, ' It': -4.959125}
{' That': -3.1227481, ' No': -0.63858855, ' Generally': -2.3901527, 'No': -2.5213704, ' It': -2.0572822}
