{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' YES': -10.590204, ' ': -9.440636, ' Yes': -0.0042574042, ' yes': -6.87091, 'Yes': -5.793106}
{' No': -9.783243, ' Yes': -0.013016622, ' yes': -6.4315386, 'Yes': -4.5086126, 'yes': -9.323571}
{' No': -7.3081555, ' ': -8.934241, ' Yes': -0.029042542, ' yes': -6.4465146, 'Yes': -3.650365}
{' No': -8.511146, ' ': -8.810612, ' Yes': -0.023055872, ' yes': -6.337892, 'Yes': -3.8909547}
{' No': -8.114389, ' ': -9.811583, ' Yes': -0.007725417, ' yes': -7.136099, 'Yes': -5.0441747}
{' No': -6.0564866, 'No': -8.028796, ' Yes': -0.030494276, ' yes': -8.256445, 'Yes': -3.6235538}
{' No': -10.068335, ' Yes': -0.03618259, ' yes': -6.4151306, 'Yes': -3.396063, 'yes': -8.039698}
{' ': -7.303864, ' Yes': -0.07616682, ' yes': -2.6601055, 'Yes': -6.232802, 'yes': -8.091652}
{'\n': -7.6919913, ' ': -7.5531497, ' Yes': -0.029916758, ' yes': -4.6873226, 'Yes': -3.9738672}
{'\n': -5.4740167, ' ': -6.4495964, ' Yes': -0.06219145, ' yes': -4.4455566, 'Yes': -3.1786387}
{'\n': -8.2695875, ' ': -9.022874, ' Yes': -0.008849041, ' yes': -6.3373475, 'Yes': -5.0299954}
{'\n': -4.6196814, ' ': -5.4001036, ' Yes': -0.14904498, ' yes': -4.2810316, 'Yes': -2.2505503}
{'\n': -8.042448, ' ': -8.4756775, ' Yes': -0.014853241, ' yes': -4.629481, 'Yes': -5.4754815}
{'\n': -9.426519, ' ': -9.113206, ' Yes': -0.0022827378, ' yes': -7.6236567, 'Yes': -6.4722223}
{'\n': -6.696077, ' ': -7.819488, ' Yes': -0.012411012, ' yes': -7.528366, 'Yes': -4.6033173}
{'\n': -6.2424884, ' ': -7.00247, ' Yes': -0.017280463, ' yes': -7.192676, 'Yes': -4.3180423}
{'\n': -8.42664, ' ': -8.195345, ' Yes': -0.0028977839, ' yes': -8.157467, 'Yes': -6.175413}
{'\n': -5.7773423, ' ': -6.7698483, ' Yes': -0.031212633, ' yes': -6.354958, 'Yes': -3.7214608}
{'\n': -9.196494, ' ': -8.83207, ' Yes': -0.009310921, ' yes': -5.879502, 'Yes': -5.104848}
{' No': -10.238388, '\n': -11.824002, ' Yes': -0.0017872469, ' yes': -10.277225, 'Yes': -6.383714}
{' No': -4.6503773, 'No': -8.20601, ' Yes': -0.020143539, ' yes': -8.261996, 'Yes': -4.6585083}
{' No': -7.0403795, '\n': -8.147964, ' Yes': -0.01976332, ' yes': -7.6219053, 'Yes': -4.0488963}
{' No': -4.5091214, 'No': -9.363755, ' Yes': -0.013712626, ' yes': -9.521823, 'Yes': -6.044682}
{' No': -2.1560144, '\n': -6.261227, 'No': -4.6060476, ' Yes': -0.1618777, 'Yes': -3.8980455}
{' No': -8.620023, ' ': -9.835392, ' Yes': -0.007320232, ' yes': -8.628861, 'Yes': -4.990501}
{' No': -6.510279, ' ': -8.887523, ' Yes': -0.0030296042, ' yes': -7.8183928, 'Yes': -7.0400724}
{' No': -6.164679, ' ': -7.81078, ' Yes': -0.010188168, ' yes': -7.526831, 'Yes': -5.0026674}
{'\n': -6.040052, ' ': -6.5526524, ' Yes': -0.02203175, ' yes': -7.266561, 'Yes': -4.0792637}
{' No': -5.667097, ' ': -9.464022, ' Yes': -0.0047993986, ' yes': -9.111275, 'Yes': -6.79949}
{' No': -4.5924063, '\n': -5.2370176, ' ': -5.2520595, ' Yes': -0.08072028, 'Yes': -2.9495156}
{' No': -9.151993, ' ': -9.226454, ' Yes': -0.0043343254, ' yes': -6.9283834, 'Yes': -5.7849884}
{' No': -6.827688, ' Yes': -0.014597253, ' yes': -6.9616094, 'Yes': -4.4049263, 'yes': -9.654635}
{' No': -4.582357, 'No': -7.385263, ' Yes': -0.03324501, ' yes': -7.0029545, 'Yes': -3.8781335}
{' No': -5.5786076, 'No': -8.494339, ' Yes': -0.027858976, ' yes': -6.962284, 'Yes': -3.806536}
{' No': -4.0919943, 'No': -7.76003, ' Yes': -0.029442571, ' yes': -7.577357, 'Yes': -4.4934316}
{' No': -1.7062798, ' ': -7.6720233, 'No': -3.5871904, ' Yes': -0.27335367, 'Yes': -3.571743}
{' No': -6.537082, 'No': -8.767624, ' Yes': -0.038682543, ' yes': -7.608619, 'Yes': -3.334026}
{' ': -6.9831085, ' Yes': -0.10820617, ' yes': -2.3242629, 'Yes': -5.9498177, 'yes': -7.7764864}
{'\n': -7.278489, ' ': -7.394003, ' Yes': -0.031651728, ' yes': -5.1709776, 'Yes': -3.746774}
{'\n': -5.027653, ' ': -6.319372, ' Yes': -0.061136726, ' yes': -4.4559216, 'Yes': -3.2638361}
{' No': -7.3701477, '\n': -8.411772, ' Yes': -0.009207204, ' yes': -6.4802556, 'Yes': -5.0303216}
{' No': -4.332936, '\n': -4.204087, ' Yes': -0.14618737, ' yes': -4.05086, 'Yes': -2.5436711}
{'\n': -8.174565, ' ': -8.623257, ' Yes': -0.015580546, ' yes': -4.6082034, 'Yes': -5.33134}
{' No': -6.3026295, ' ': -8.918643, ' Yes': -0.00463956, ' yes': -7.636513, 'Yes': -6.212292}
{' No': -7.426213, '\n': -6.3899164, ' Yes': -0.014611467, ' yes': -7.603581, 'Yes': -4.4956465}
{'\n': -5.9634404, ' ': -6.572466, ' Yes': -0.021149782, ' yes': -7.4160104, 'Yes': -4.128247}
{'\n': -7.8612247, ' ': -7.8856254, ' Yes': -0.0033492697, ' yes': -8.291656, 'Yes': -6.0873504}
{'\n': -5.6798854, ' ': -6.729402, ' Yes': -0.029663153, ' yes': -6.6383967, 'Yes': -3.8011491}
{'\n': -8.746663, ' ': -8.242737, ' Yes': -0.0114894835, ' yes': -6.089296, 'Yes': -4.760244}
{' No': -8.956001, ' ': -11.947751, ' Yes': -0.0010691738, ' yes': -10.313554, 'Yes': -7.039471}
{' No': -2.1625097, 'No': -5.9522142, ' Yes': -0.1337335, ' yes': -7.8692966, 'Yes': -5.047939}
{' No': -3.0772042, 'No': -6.4766946, ' Yes': -0.064072326, ' yes': -7.404366, 'Yes': -4.358975}
{' No': -2.4608705, 'No': -7.7109485, ' Yes': -0.09182726, ' yes': -9.334112, 'Yes': -6.4984703}
{' No': -3.1486535, '\n': -6.7995334, 'No': -5.6866474, ' Yes': -0.0739427, 'Yes': -3.781788}
{' No': -5.8281646, ' ': -9.08197, ' Yes': -0.009899298, ' yes': -7.9243865, 'Yes': -5.0997047}
{' No': -5.5268517, ' ': -8.565655, ' Yes': -0.00577545, ' yes': -7.36627, 'Yes': -7.142492}
{' No': -3.7153473, ' ': -7.402303, ' Yes': -0.03329492, ' yes': -6.9119678, 'Yes': -5.116974}
{'\n': -5.962335, ' ': -6.6871185, ' Yes': -0.020487094, ' yes': -6.9304233, 'Yes': -4.20566}
{' No': -3.1617823, ' ': -8.751603, ' Yes': -0.044991452, ' yes': -8.570408, 'Yes': -6.7833123}
{' No': -3.7311754, '\n': -4.8533792, ' ': -4.896703, ' Yes': -0.09863958, 'Yes': -3.0301695}
{' No': -5.986265, ' ': -8.920829, ' Yes': -0.0073611797, ' yes': -6.3646317, 'Yes': -5.8922734}
{' No': -3.6416628, 'No': -6.8339505, ' Yes': -0.044995006, ' yes': -5.5468984, 'Yes': -4.4087834}
{' No': -1.6949867, 'No': -4.552365, ' Yes': -0.24244352, ' yes': -5.84353, 'Yes': -4.038901}
{' No': -3.1155474, 'No': -6.3953934, ' Yes': -0.06894176, ' yes': -5.914164, 'Yes': -4.059191}
{' No': -1.7326674, 'No': -5.968608, ' Yes': -0.20750971, ' yes': -6.72512, 'Yes': -5.0590644}
{' No': -1.2300557, ' Generally': -7.8789973, 'No': -3.4261482, ' Yes': -0.42611596, 'Yes': -3.883824}
{' No': -1.6552958, 'No': -3.8711047, ' Yes': -0.29217875, ' yes': -5.482652, 'Yes': -3.312524}
{' No': -5.3887672, ' ': -6.5422688, ' Yes': -0.10953155, ' yes': -2.3578265, 'Yes': -6.3085513}
{' No': -5.1186333, ' ': -7.053785, ' Yes': -0.03582038, ' yes': -4.504647, 'Yes': -4.1533623}
{' No': -5.522928, '\n': -4.609619, ' Yes': -0.073912084, ' yes': -4.1641693, 'Yes': -3.2878723}
{' No': -2.4602034, 'No': -6.4781685, ' Yes': -0.10694342, ' yes': -5.240469, 'Yes': -5.014433}
{' No': -1.4375023, '\n': -3.210912, 'No': -3.15784, ' Yes': -0.5257819, 'Yes': -2.8961775}
{' No': -6.439543, '\n': -7.085564, ' Yes': -0.022989575, ' yes': -4.167074, 'Yes': -5.520539}
{' No': -5.298699, ' ': -8.898823, ' Yes': -0.007478994, ' yes': -7.1078377, 'Yes': -6.5984826}
{' No': -5.3526735, '\n': -6.718661, ' Yes': -0.016076207, ' yes': -7.0786786, 'Yes': -4.7737074}
{'\n': -5.9497766, ' ': -6.770078, ' Yes': -0.016315002, ' yes': -6.95374, 'Yes': -4.5608478}
{' No': -6.2789702, ' ': -7.4880886, ' Yes': -0.0050527714, ' yes': -7.864795, 'Yes': -6.2776866}
{' No': -5.9312196, '\n': -5.910775, ' Yes': -0.02433323, ' yes': -6.233811, 'Yes': -4.1856184}
{' No': -6.4924994, ' ': -8.641686, ' Yes': -0.011353833, ' yes': -5.37675, 'Yes': -5.37399}
{'\n': -11.953839, ' ': -11.482219, ' Yes': -0.0013905423, ' yes': -10.4405985, 'Yes': -6.620115}
{' No': -10.58849, ' ': -9.368843, ' Yes': -0.009244563, ' yes': -8.437536, 'Yes': -4.7348075}
{'\n': -8.244748, ' ': -7.86141, ' Yes': -0.017261783, ' yes': -7.7496605, 'Yes': -4.141239}
{' ': -11.962967, ' Yes': -0.0018374056, ' yes': -10.200281, 'Yes': -6.3304806, 'yes': -12.999397}
{'\n': -8.00954, ' ': -8.008583, ' Yes': -0.026526237, ' yes': -8.847869, 'Yes': -3.6788433}
{'\n': -10.942284, ' ': -9.699336, ' Yes': -0.006503627, ' yes': -8.580514, 'Yes': -5.088929}
{'\n': -9.486848, ' ': -8.879491, ' Yes': -0.0011115407, ' yes': -8.484765, 'Yes': -7.3006754}
{'\n': -8.520805, ' ': -7.965641, ' Yes': -0.008032812, ' yes': -7.8301377, 'Yes': -4.9635797}
{'\n': -5.408868, ' ': -6.062062, ' Yes': -0.026991883, ' yes': -7.2476153, 'Yes': -3.9765615}
{' YES': -12.477264, ' ': -9.852466, ' Yes': -0.00116429, ' yes': -9.716123, 'Yes': -6.869993}
{'\n': -5.321154, ' ': -5.2432666, ' Yes': -0.08586757, ' yes': -5.7053895, 'Yes': -2.6911817}
{' YES': -10.796862, ' ': -9.255994, ' Yes': -0.0033594975, ' yes': -7.159281, 'Yes': -6.024121}
{' ': -9.632469, ' Yes': -0.0153458, ' yes': -6.823437, 'Yes': -4.2729864, 'yes': -9.614264}
{' ': -9.295912, ' Yes': -0.019268453, ' yes': -7.517376, 'Yes': -3.998104, 'yes': -10.071253}
{' ': -8.511211, ' Yes': -0.022083791, ' yes': -7.10754, 'Yes': -3.882094, 'yes': -9.386413}
{' No': -10.25244, ' ': -9.490054, ' Yes': -0.0093451515, ' yes': -8.113471, 'Yes': -4.7301645}
{' ': -8.444469, ' Yes': -0.033850845, ' yes': -8.128827, 'Yes': -3.4272091, 'yes': -9.630765}
{' ': -11.10714, ' Yes': -0.04081638, ' yes': -8.053548, 'Yes': -3.2316332, 'yes': -8.722619}
{'\n': -7.6226563, ' ': -6.672702, ' Yes': -0.08794315, ' yes': -2.536084, 'Yes': -5.8930287}
{'\n': -6.837813, ' ': -6.93536, ' Yes': -0.02871585, ' yes': -5.266648, 'Yes': -3.8736577}
{'\n': -4.511324, ' ': -5.619581, ' Yes': -0.06908987, ' yes': -4.545957, 'Yes': -3.2066436}
{'\n': -8.318212, ' ': -8.69124, ' Yes': -0.010173538, ' yes': -6.1883636, 'Yes': -4.8850684}
{'\n': -4.209433, ' ': -5.216992, ' Yes': -0.1423042, ' yes': -3.880503, 'Yes': -2.428704}
{'\n': -7.6964216, ' ': -8.151866, ' Yes': -0.016906485, ' yes': -4.5456576, 'Yes': -5.2612433}
{'\n': -9.106265, ' ': -8.678769, ' Yes': -0.002429473, ' yes': -8.038037, 'Yes': -6.342172}
{'\n': -6.628688, ' ': -7.614415, ' Yes': -0.012681416, ' yes': -7.837922, 'Yes': -4.57607}
{'\n': -5.6249633, ' ': -6.3067126, ' Yes': -0.021907821, ' yes': -7.375286, 'Yes': -4.17333}
{'\n': -7.7663236, ' ': -7.433417, ' Yes': -0.0036745428, ' yes': -8.497656, 'Yes': -6.0263963}
{'\n': -5.4055977, ' ': -6.4052773, ' Yes': -0.028946333, ' yes': -6.806183, 'Yes': -3.863247}
{'\n': -8.280824, ' ': -8.127883, ' Yes': -0.011063839, ' yes': -6.2106333, 'Yes': -4.792573}
{'\n': -12.772577, ' ': -12.402015, ' Yes': -0.00092616095, ' yes': -10.612691, 'Yes': -7.0267687}
{' No': -7.9004254, ' ': -9.706468, ' Yes': -0.0078039886, ' yes': -8.108515, 'Yes': -4.9710355}
{'\n': -8.785919, ' ': -8.437028, ' Yes': -0.015008846, ' yes': -7.475588, 'Yes': -4.285942}
{' No': -10.085925, ' Yes': -0.0016949982, ' yes': -9.812245, 'Yes': -6.4624166, ' In': -11.727436}
{' No': -8.100837, '\n': -8.124417, ' ': -8.417847, ' Yes': -0.021819305, 'Yes': -3.8857965}
{' YES': -11.4103155, ' ': -10.075988, ' Yes': -0.007024087, ' yes': -8.494744, 'Yes': -5.0077295}
{'\n': -9.72977, ' ': -9.139424, ' Yes': -0.0010597479, ' yes': -8.091531, 'Yes': -7.4676943}
{'\n': -9.318302, ' ': -8.576732, ' Yes': -0.008794922, ' yes': -7.5446033, 'Yes': -4.8541813}
{'\n': -6.1049, ' ': -6.8466563, ' Yes': -0.022471959, ' yes': -6.981897, 'Yes': -4.034511}
{' YES': -12.41231, ' ': -10.247132, ' Yes': -0.0012067208, ' yes': -9.269883, 'Yes': -6.8504148}
{'\n': -5.96707, ' ': -5.830424, ' Yes': -0.08662101, ' yes': -5.940244, 'Yes': -2.6045864}
{' ': -9.593916, ' Yes': -0.0045282426, ' yes': -6.7388325, 'Yes': -5.7480187, 'yes': -10.668165}
{' ': -9.795619, ' Yes': -0.016229462, ' yes': -6.1735187, 'Yes': -4.2909045, 'yes': -9.038725}
{' No': -7.1934, ' ': -9.145832, ' Yes': -0.02450999, ' yes': -6.581209, 'Yes': -3.827042}
{' No': -8.086319, ' ': -9.042126, ' Yes': -0.017944911, ' yes': -6.5140367, 'Yes': -4.1545053}
{' No': -7.589828, ' ': -9.696585, ' Yes': -0.007339026, ' yes': -7.2757277, 'Yes': -5.1221194}
{' No': -5.80276, 'No': -7.9343143, ' Yes': -0.028054569, ' yes': -8.384603, 'Yes': -3.7393925}
{' ': -10.858536, ' Yes': -0.049641624, ' yes': -6.249443, 'Yes': -3.0768213, 'yes': -7.971852}
{' ': -7.149331, ' Yes': -0.120955184, ' yes': -2.207383, 'Yes': -6.112507, 'yes': -7.776816}
{'\n': -7.446515, ' ': -7.4526286, ' Yes': -0.029235108, ' yes': -4.7254324, 'Yes': -3.995395}
{'\n': -5.084569, ' ': -6.363564, ' Yes': -0.07647401, ' yes': -4.2921057, 'Yes': -2.9813204}
{'\n': -8.331231, ' ': -9.154737, ' Yes': -0.0080515, ' yes': -6.4049993, 'Yes': -5.1311536}
{'\n': -4.832841, ' ': -5.597436, ' Yes': -0.14519577, ' yes': -4.254164, 'Yes': -2.2531307}
{'\n': -8.187744, ' ': -8.548657, ' Yes': -0.016043317, ' yes': -4.4994855, 'Yes': -5.502037}
{'\n': -9.481987, ' ': -8.979272, ' Yes': -0.0019444221, ' yes': -7.624932, 'Yes': -6.7215734}
{'\n': -6.9098663, ' ': -8.203606, ' Yes': -0.012300579, ' yes': -7.5654187, 'Yes': -4.573807}
{'\n': -6.4258924, ' ': -7.2425027, ' Yes': -0.017523613, ' yes': -7.0962644, 'Yes': -4.2677693}
{'\n': -8.2563505, ' ': -8.026221, ' Yes': -0.0028851714, ' yes': -8.103559, 'Yes': -6.2345}
{'\n': -6.0602765, ' ': -7.2694764, ' Yes': -0.03349934, ' yes': -6.366004, 'Yes': -3.5859075}
{' ': -9.176296, ' Yes': -0.008592841, ' yes': -5.9108715, 'Yes': -5.198439, 'yes': -9.442398}
{' No': -0.642872, '\n': -8.501957, 'No': -5.5943465, ' Yes': -0.7585508, 'Yes': -6.5147357}
{' No': -0.24236232, ' ': -7.563595, 'No': -3.922639, ' Yes': -1.6518509, 'Yes': -6.0483346}
{' No': -0.07271683, '\n': -7.153597, ' ': -7.224449, 'No': -3.101344, ' Yes': -3.7911348}
{' No': -0.015215738, ' ': -9.691958, 'No': -4.4397073, ' Yes': -5.77789, 'Yes': -10.773028}
{' No': -0.12821448, '\n': -6.038849, 'No': -2.555964, ' Yes': -3.288197, 'Yes': -6.6514516}
{' No': -2.6394129, 'No': -6.2867627, ' Yes': -0.08423134, ' yes': -8.535843, 'Yes': -4.985596}
{' No': -0.010997486, '\n': -7.66736, ' ': -7.3626337, 'No': -6.668092, ' Yes': -4.777839}
{' No': -0.36841923, ' ': -6.768359, 'No': -4.5718055, ' Yes': -1.2277789, 'Yes': -5.9464545}
{' No': -0.2831246, '\n': -4.65393, 'No': -3.9751525, ' Yes': -1.5644624, 'Yes': -5.4933944}
{' No': -0.003976521, '\n': -10.828837, ' ': -8.647178, 'No': -6.189325, ' Yes': -6.38281}
{' No': -0.13228112, '\n': -4.785897, ' ': -4.7754474, 'No': -2.6581714, ' Yes': -3.3866832}
{' No': -4.4497943, ' ': -8.358869, ' Yes': -0.016990263, ' yes': -6.708102, 'Yes': -5.659671}
{' No': -0.2747928, 'No': -3.3862026, ' Yes': -1.6002741, ' yes': -7.885553, 'Yes': -5.7228303}
{' No': -0.6054035, 'No': -3.7285097, ' Yes': -0.8673627, ' yes': -7.6951733, 'Yes': -4.709478}
{' No': -1.2892435, 'No': -4.316345, ' Yes': -0.36868262, ' yes': -6.78951, 'Yes': -4.0391483}
{' No': -0.5868626, 'No': -4.7577243, ' Yes': -0.8421344, ' yes': -8.215551, 'Yes': -5.5475745}
{' No': -0.14515986, ' Not': -7.2759366, 'No': -2.1671154, ' Yes': -4.015214, 'Yes': -7.1438093}
{' No': -0.5283657, 'No': -2.5388904, ' Yes': -1.1585002, ' yes': -7.94645, 'Yes': -4.0923076}
{' No': -0.4442112, ' ': -4.9744654, ' Yes': -1.4068615, ' yes': -2.9147084, ' no': -3.06512}
{' No': -2.3587942, 'No': -5.38806, ' Yes': -0.14230254, ' yes': -4.59425, 'Yes': -3.955842}
{' No': -1.0439737, '\n': -3.7003782, 'No': -3.464597, ' Yes': -0.60797846, 'Yes': -3.5509446}
{' No': -0.21124598, '\n': -6.6001534, 'No': -4.439313, ' Yes': -1.7490476, 'Yes': -6.448251}
{' No': -0.29988453, '\n': -3.7975736, ' ': -4.6692266, 'No': -2.099363, ' Yes': -2.4206138}
{' No': -4.6916447, '\n': -6.9505916, ' Yes': -0.029983642, ' yes': -4.3626804, 'Yes': -5.160551}
{' No': -0.051959015, '\n': -7.94617, ' ': -7.5952387, 'No': -5.874642, ' Yes': -3.0654056}
{' No': -0.16912965, '\n': -4.878316, ' ': -6.3027697, 'No': -4.183522, ' Yes': -2.0487244}
{' No': -2.1819046, '\n': -4.491635, ' ': -5.4396963, ' Yes': -0.15930268, 'Yes': -4.198174}
{' No': -0.028247623, '\n': -5.8725104, ' ': -6.2817283, 'No': -5.5187182, ' Yes': -3.9631631}
{' No': -0.14253917, '\n': -4.6870413, ' ': -5.7033696, 'No': -3.6482742, ' Yes': -2.3987265}
{' No': -3.2919521, ' ': -7.525455, ' Yes': -0.052110657, ' yes': -5.7172103, 'Yes': -4.749801}
{' No': -6.6117706, ' ': -11.474334, ' Yes': -0.0023008997, ' yes': -10.306442, 'Yes': -7.0499}
{' No': -2.0151134, 'No': -5.8434577, ' Yes': -0.15445663, ' yes': -8.316451, 'Yes': -5.10946}
{' No': -2.2599688, ' ': -7.3055525, 'No': -5.7528863, ' Yes': -0.12836356, 'Yes': -4.494004}
{' No': -1.9348692, 'No': -7.1500916, ' Yes': -0.15904382, 'Yes': -6.6424575, ' In': -9.121987}
{' No': -2.8264358, '\n': -6.8349137, 'No': -5.3115683, ' Yes': -0.09232609, 'Yes': -3.827191}
{' No': -5.6200676, ' ': -8.855047, ' Yes': -0.010997968, ' yes': -8.174858, 'Yes': -5.043272}
{' No': -0.33775666, '\n': -6.518878, ' ': -6.7676497, 'No': -7.1956844, ' Yes': -1.2630763}
{' No': -2.0172658, ' ': -6.9089074, 'No': -6.345164, ' Yes': -0.1532064, 'Yes': -5.2964478}
{' No': -2.7580338, '\n': -4.6154118, ' ': -5.399555, ' Yes': -0.098794915, 'Yes': -4.3355064}
{' No': -1.3406231, ' ': -7.8408422, 'No': -7.6935987, ' Yes': -0.3057473, 'Yes': -7.292903}
{' No': -0.32472482, '\n': -4.263287, ' ': -4.2330174, 'No': -2.5636792, ' Yes': -1.8428828}
{' No': -5.1071734, ' ': -8.621464, ' Yes': -0.010444477, ' yes': -6.425714, 'Yes': -6.0673676}
{' No': -3.8546505, 'No': -6.8728504, ' Yes': -0.040817317, ' yes': -5.523741, 'Yes': -4.3292255}
{' No': -0.86434823, 'No': -3.413506, ' Yes': -0.6361531, ' yes': -6.596691, 'Yes': -4.252476}
{' No': -1.767069, 'No': -4.7665677, ' Yes': -0.22385806, ' yes': -6.275383, 'Yes': -3.9916365}
{' No': -3.5202343, 'No': -7.6385274, ' Yes': -0.03872808, ' yes': -7.1221986, 'Yes': -4.988118}
{' No': -0.6258421, ' Generally': -7.497934, 'No': -2.604453, ' Yes': -0.9766264, 'Yes': -4.3496675}
{' No': -2.629452, 'No': -4.7611294, ' Yes': -0.12878458, ' yes': -5.8741074, 'Yes': -3.3042226}
{' No': -3.7139373, ' ': -5.6939497, ' Yes': -0.1548097, ' yes': -2.196882, 'Yes': -6.2959857}
{' No': -2.4731092, 'No': -5.8491, ' Yes': -0.12040427, ' yes': -4.6497393, 'Yes': -4.352597}
{' No': -2.958507, '\n': -3.9009793, ' Yes': -0.14890626, ' yes': -4.135522, 'Yes': -3.2662616}
{' No': -3.3839006, '\n': -6.5651155, ' Yes': -0.04522029, ' yes': -5.9359803, 'Yes': -5.336116}
{' No': -0.30853593, '\n': -3.466636, ' ': -4.67685, 'No': -1.9302381, ' Yes': -2.7628987}
{' No': -5.6405196, '\n': -6.8821235, ' Yes': -0.025999201, ' yes': -4.1053486, 'Yes': -5.602329}
{' No': -1.0147123, 'No': -7.2088, ' Yes': -0.45517638, ' yes': -7.3068185, 'Yes': -7.113812}
{' No': -1.7893096, '\n': -5.166877, 'No': -5.8292737, ' Yes': -0.20501836, 'Yes': -4.931133}
{' No': -4.892086, '\n': -5.5675945, ' ': -6.442749, ' Yes': -0.027895143, 'Yes': -4.330021}
{' No': -0.8427243, '\n': -5.9050837, ' ': -5.782425, 'No': -6.48535, ' Yes': -0.57853943}
{' No': -1.2891372, '\n': -3.8147795, 'No': -4.7229137, ' Yes': -0.4045452, 'Yes': -4.021729}
{' No': -5.37254, ' ': -8.271214, ' Yes': -0.013872832, ' yes': -5.623854, 'Yes': -5.3411818}
{'\n': -11.95093, ' ': -11.525652, ' Yes': -0.0013535962, ' yes': -10.594142, 'Yes': -6.6427217}
{' No': -8.6727705, ' ': -9.248822, ' Yes': -0.008092416, ' yes': -8.317979, 'Yes': -4.899965}
{'\n': -8.239189, ' ': -7.9537354, ' Yes': -0.014271191, ' yes': -7.637638, 'Yes': -4.3491426}
{' No': -10.674888, ' ': -11.600338, ' Yes': -0.0014659873, ' yes': -9.9292965, 'Yes': -6.590087}
{' No': -8.403892, '\n': -7.779132, ' ': -7.9871554, ' Yes': -0.025607336, 'Yes': -3.7281027}
{'\n': -11.350786, ' ': -9.905093, ' Yes': -0.0051225065, ' yes': -8.775355, 'Yes': -5.329301}
{'\n': -8.388203, ' ': -8.637181, ' Yes': -0.0014612162, ' yes': -8.577019, 'Yes': -7.0675654}
{'\n': -8.577777, ' ': -7.9470243, ' Yes': -0.006438836, ' yes': -7.8705816, 'Yes': -5.216634}
{'\n': -5.3960238, ' ': -6.1000247, ' Yes': -0.02486354, ' yes': -7.223326, 'Yes': -4.091195}
{'\n': -12.614944, ' ': -10.043944, ' Yes': -0.0010638057, ' yes': -9.556998, 'Yes': -6.9713225}
{'\n': -5.394876, ' ': -5.3970413, ' Yes': -0.07265985, ' yes': -5.6464005, 'Yes': -2.8737538}
{'\n': -10.364401, ' ': -9.024079, ' Yes': -0.0038101748, ' yes': -6.8217325, 'Yes': -5.9869256}
{' ': -9.686382, ' Yes': -0.013681085, ' yes': -6.4198203, 'Yes': -4.4419246, 'yes': -9.581386}
{' No': -9.848177, ' ': -9.224255, ' Yes': -0.017636321, ' yes': -7.384352, 'Yes': -4.0968714}
{' No': -9.344362, ' ': -8.917471, ' Yes': -0.020601537, ' yes': -6.7995453, 'Yes': -3.9691734}
{' No': -9.421323, ' ': -10.032898, ' Yes': -0.006954641, ' yes': -8.125189, 'Yes': -5.040907}
{' No': -7.639267, ' ': -8.679909, ' Yes': -0.02743955, ' yes': -8.217295, 'Yes': -3.6529088}
{' ': -11.080356, ' Yes': -0.045070447, ' yes': -7.886798, 'Yes': -3.1348014, 'yes': -8.713121}
{'\n': -7.550711, ' ': -6.3071866, ' Yes': -0.13075331, ' yes': -2.1456687, 'Yes': -5.9563184}
{'\n': -7.010678, ' ': -7.14037, ' Yes': -0.02982421, ' yes': -4.8792195, 'Yes': -3.923962}
{'\n': -4.7414584, ' ': -6.0290484, ' Yes': -0.0721166, ' yes': -3.9720874, 'Yes': -3.2627313}
{'\n': -8.350223, ' ': -8.718308, ' Yes': -0.009152164, ' yes': -5.910418, 'Yes': -5.1315293}
{'\n': -4.4417224, ' ': -5.353062, ' Yes': -0.14600885, ' yes': -3.5097134, 'Yes': -2.470035}
{'\n': -7.535901, ' ': -8.019049, ' Yes': -0.0198291, ' yes': -4.2149296, 'Yes': -5.5823026}
{'\n': -9.037394, ' ': -8.641219, ' Yes': -0.002365124, ' yes': -7.8709087, 'Yes': -6.42317}
{'\n': -6.4765973, ' ': -7.712163, ' Yes': -0.013545134, ' yes': -7.626332, 'Yes': -4.5207396}
{'\n': -5.616377, ' ': -6.311632, ' Yes': -0.022165261, ' yes': -7.2400074, 'Yes': -4.16531}
{'\n': -7.823022, ' ': -7.603253, ' Yes': -0.0033484334, ' yes': -8.342763, 'Yes': -6.1327577}
{'\n': -5.5321274, ' ': -6.551948, ' Yes': -0.0294306, ' yes': -6.5551033, 'Yes': -3.8218384}
{'\n': -8.473828, ' ': -8.316315, ' Yes': -0.010866118, ' yes': -5.9464397, 'Yes': -4.8840084}
{' No': -8.311961, '\n': -11.3313265, ' Yes': -0.0017831862, ' yes': -10.096019, 'Yes': -6.5396094}
{' No': -3.2605124, 'No': -6.701016, ' Yes': -0.05174181, ' yes': -7.9473953, 'Yes': -4.620763}
{' No': -4.4418116, 'No': -7.5177493, ' Yes': -0.032555792, ' yes': -7.5124984, 'Yes': -4.0126395}
{' No': -5.1040616, ' Yes': -0.008190548, ' yes': -9.615854, 'Yes': -6.339287, ' In': -9.888099}
{' No': -1.8981608, '\n': -6.475702, 'No': -4.254488, ' Yes': -0.20982927, 'Yes': -3.8160381}
{' No': -4.7499413, 'No': -8.05342, ' Yes': -0.01726039, ' yes': -8.214745, 'Yes': -4.907433}
